"xCoords","yCoords","width","colorToUse"
1,6.4,0.0404732567837588,"#ffd300"
1.2,6.4,0.0404732567837588,"#ffd300"
1.4,6.4,0.0404732567837588,"#ffd300"
2,6.4,0.0404732567837588,"#ffd300"
1.8,6.4,0.0404732567837588,"#ffd300"
1.6,6.4,0.0404732567837588,"#ffd300"
1,6.4,0.00270871601821265,"#e41a1c"
1.2,5.9,0.00270871601821265,"#e41a1c"
1.4,5.9,0.00270871601821265,"#e41a1c"
2,1.9,0.00270871601821265,"#ffd300"
1.8,2.4,0.00270871601821265,"#ffd300"
1.6,2.4,0.00270871601821265,"#ffd300"
1,6.4,0.0123467055713879,"#f781bf"
1.2,6.2,0.0123467055713879,"#f781bf"
1.4,6.2,0.0123467055713879,"#f781bf"
2,4.6,0.0123467055713879,"#ffd300"
1.8,4.8,0.0123467055713879,"#ffd300"
1.6,4.8,0.0123467055713879,"#ffd300"
1,6.4,0.185925007622201,"#AAAAAA"
1.2,5.8,0.185925007622201,"#AAAAAA"
1.4,5.8,0.185925007622201,"#AAAAAA"
2,1,0.185925007622201,"#ffd300"
1.8,1.6,0.185925007622201,"#ffd300"
1.6,1.6,0.185925007622201,"#ffd300"
1,6.4,0.147530532898931,"#4daf4a"
1.2,6.3,0.147530532898931,"#4daf4a"
1.4,6.3,0.147530532898931,"#4daf4a"
2,5.5,0.147530532898931,"#ffd300"
1.8,5.6,0.147530532898931,"#ffd300"
1.6,5.6,0.147530532898931,"#ffd300"
1,6.4,0.12825455379258,"#a65628"
1.2,6.1,0.12825455379258,"#a65628"
1.4,6.1,0.12825455379258,"#a65628"
2,3.7,0.12825455379258,"#ffd300"
1.8,4,0.12825455379258,"#ffd300"
1.6,4,0.12825455379258,"#ffd300"
1,6.4,0.00513396175544956,"#377eb8"
1.2,6,0.00513396175544956,"#377eb8"
1.4,6,0.00513396175544956,"#377eb8"
2,2.8,0.00513396175544956,"#ffd300"
1.8,3.2,0.00513396175544956,"#ffd300"
1.6,3.2,0.00513396175544956,"#ffd300"
1,1.9,0.000566940561951485,"#ffd300"
1.2,2.4,0.000566940561951485,"#ffd300"
1.4,2.4,0.000566940561951485,"#ffd300"
