"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,1285,0.0404732567837588,16585,0.522372734442521,10321,0.325077418883404
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,86,0.00270871601821265,16585,0.522372734442521,25538,0.804362670617612
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,392,0.0123467055713879,16585,0.522372734442521,200994,6.3306472949376
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,5903,0.185925007622201,16585,0.522372734442521,1712459,53.9368037654932
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,4684,0.147530532898931,16585,0.522372734442521,458353,14.4366059662305
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,4072,0.12825455379258,16585,0.522372734442521,615735,19.3936192729554
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,163,0.00513396175544956,16585,0.522372734442521,151536,4.77288361088223
2008,2009,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",1,2,1.9,6.4,1.2,1.8,2.4,5.9,18,0.000566940561951485,4186,0.131845177351606,10321,0.325077418883404
2008,2009,"dryBeans_dryBeans","dryBeans","dryBeans","#e41a1c","#e41a1c",1,2,1.9,1.9,1.2,1.8,1.9,1.9,26,0.000818914145041034,4186,0.131845177351606,25538,0.804362670617612
2008,2009,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",1,2,1.9,4.6,1.2,1.8,2.2,4.3,46,0.00144884810276491,4186,0.131845177351606,200994,6.3306472949376
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,822,0.0258902856624511,4186,0.131845177351606,1712459,53.9368037654932
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,473,0.0148979381001696,4186,0.131845177351606,458353,14.4366059662305
2008,2009,"dryBeans_springWheat","dryBeans","springWheat","#e41a1c","#a65628",1,2,1.9,3.7,1.2,1.8,2.1,3.5,2113,0.0665525226335271,4186,0.131845177351606,615735,19.3936192729554
2008,2009,"dryBeans_sugarbeets","dryBeans","sugarbeets","#e41a1c","#377eb8",1,2,1.9,2.8,1.2,1.8,2,2.7,688,0.0216697281457012,4186,0.131845177351606,151536,4.77288361088223
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,1455,0.0458276954244117,226176,7.12379714110773,10321,0.325077418883404
2008,2009,"hay_dryBeans","hay","dryBeans","#f781bf","#e41a1c",1,2,4.6,1.9,1.2,1.8,4.3,2.2,115,0.00362212025691227,226176,7.12379714110773,25538,0.804362670617612
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,135128,4.25608579196557,226176,7.12379714110773,200994,6.3306472949376
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,73720,2.32193656817019,226176,7.12379714110773,1712459,53.9368037654932
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,10469,0.329738930170561,226176,7.12379714110773,458353,14.4366059662305
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,5168,0.162774934675849,226176,7.12379714110773,615735,19.3936192729554
2008,2009,"hay_sugarbeets","hay","sugarbeets","#f781bf","#377eb8",1,2,4.6,2.8,1.2,1.8,4.4,3,121,0.00381110044422943,226176,7.12379714110773,151536,4.77288361088223
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,3502,0.11030143599745,1587987,50.0163467862029,10321,0.325077418883404
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,1676,0.0527884656572605,1587987,50.0163467862029,25538,0.804362670617612
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,53015,1.66979743843655,1587987,50.0163467862029,200994,6.3306472949376
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,1410432,44.4239505930198,1587987,50.0163467862029,1712459,53.9368037654932
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,45862,1.44450155845661,1587987,50.0163467862029,458353,14.4366059662305
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,67049,2.1118220965714,1587987,50.0163467862029,615735,19.3936192729554
2008,2009,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",1,2,1,2.8,1.2,1.8,1.2,2.6,6451,0.203185198063835,1587987,50.0163467862029,151536,4.77288361088223
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,1596,0.050268729826365,455162,14.3361000032757,10321,0.325077418883404
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,1896,0.0597177391922231,455162,14.3361000032757,25538,0.804362670617612
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,4485,0.141262690019578,455162,14.3361000032757,200994,6.3306472949376
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,83439,2.62805297492611,455162,14.3361000032757,1712459,53.9368037654932
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,74443,2.34470868074191,455162,14.3361000032757,458353,14.4366059662305
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,281514,8.86676140873391,455162,14.3361000032757,615735,19.3936192729554
2008,2009,"soy_sugarbeets","soy","sugarbeets","#4daf4a","#377eb8",1,2,5.5,2.8,1.2,1.8,5.2,3.1,7789,0.245327779835562,455162,14.3361000032757,151536,4.77288361088223
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,1841,0.0579854208084824,739156,23.2809732227673,10321,0.325077418883404
2008,2009,"springWheat_dryBeans","springWheat","dryBeans","#a65628","#e41a1c",1,2,3.7,1.9,1.2,1.8,3.5,2.1,14231,0.448229507618421,739156,23.2809732227673,25538,0.804362670617612
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,7800,0.24567424351231,739156,23.2809732227673,200994,6.3306472949376
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,133222,4.19605308579449,739156,23.2809732227673,1712459,53.9368037654932
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,303288,9.55257050850789,739156,23.2809732227673,458353,14.4366059662305
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,143063,4.50601208969252,739156,23.2809732227673,615735,19.3936192729554
2008,2009,"springWheat_sugarbeets","springWheat","sugarbeets","#a65628","#377eb8",1,2,3.7,2.8,1.2,1.8,3.6,2.9,135711,4.27444836683322,739156,23.2809732227673,151536,4.77288361088223
2008,2009,"sugarbeets_corn","sugarbeets","corn","#377eb8","#ffd300",1,2,2.8,6.4,1.2,1.8,3.2,6,624,0.0196539394809848,145684,4.58856493485223,10321,0.325077418883404
2008,2009,"sugarbeets_dryBeans","sugarbeets","dryBeans","#377eb8","#e41a1c",1,2,2.8,1.9,1.2,1.8,2.7,2,7508,0.236477207729542,145684,4.58856493485223,25538,0.804362670617612
2008,2009,"sugarbeets_hay","sugarbeets","hay","#377eb8","#f781bf",1,2,2.8,4.6,1.2,1.8,3,4.4,128,0.00403157732943278,145684,4.58856493485223,200994,6.3306472949376
2008,2009,"sugarbeets_other","sugarbeets","other","#377eb8","#AAAAAA",1,2,2.8,1,1.2,1.8,2.6,1.2,4921,0.154995250297959,145684,4.58856493485223,1712459,53.9368037654932
2008,2009,"sugarbeets_soy","sugarbeets","soy","#377eb8","#4daf4a",1,2,2.8,5.5,1.2,1.8,3.1,5.2,19134,0.602657817354429,145684,4.58856493485223,458353,14.4366059662305
2008,2009,"sugarbeets_springWheat","sugarbeets","springWheat","#377eb8","#a65628",1,2,2.8,3.7,1.2,1.8,2.9,3.6,112756,3.55144166685565,145684,4.58856493485223,615735,19.3936192729554
2008,2009,"sugarbeets_sugarbeets","sugarbeets","sugarbeets","#377eb8","#377eb8",1,2,2.8,2.8,1.2,1.8,2.8,2.8,613,0.0193074758042367,145684,4.58856493485223,151536,4.77288361088223
2009,2010,"corn_corn","corn","corn","#ffd300","#ffd300",2,3,6.4,6.4,2.2,2.8,6.4,6.4,721,0.0227091191759456,10321,0.325077418883404,14922,0.469993725857781
2009,2010,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",2,3,6.4,1.9,2.2,2.8,5.9,2.4,222,0.00699226693073498,10321,0.325077418883404,35711,1.12477857821386
2009,2010,"corn_hay","corn","hay","#ffd300","#f781bf",2,3,6.4,4.6,2.2,2.8,6.2,4.8,183,0.00576389571317343,10321,0.325077418883404,195621,6.16141553719508
2009,2010,"corn_other","corn","other","#ffd300","#AAAAAA",2,3,6.4,1,2.2,2.8,5.8,1.6,5342,0.168255360108046,10321,0.325077418883404,1702250,53.6152539767731
2009,2010,"corn_soy","corn","soy","#ffd300","#4daf4a",2,3,6.4,5.5,2.2,2.8,6.3,5.6,1802,0.0567570495909209,10321,0.325077418883404,480967,15.1488722922289
2009,2010,"corn_springWheat","corn","springWheat","#ffd300","#a65628",2,3,6.4,3.7,2.2,2.8,6.1,4,2040,0.064253263687835,10321,0.325077418883404,642622,20.2404709890215
2009,2010,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",2,3,6.4,2.8,2.2,2.8,6,3.2,11,0.00034646367674813,10321,0.325077418883404,102843,3.23921490070981
2009,2010,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",2,3,1.9,6.4,2.2,2.8,2.4,5.9,54,0.00170082168585445,25597,0.806220975792898,14922,0.469993725857781
