"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Koochiching",0,4948,0,0,2008,2009
"Koochiching",1005,49,1,5,2008,2009
"Koochiching",1023,42,1,23,2008,2009
"Koochiching",1028,10,1,28,2008,2009
"Koochiching",1036,26,1,36,2008,2009
"Koochiching",1037,7,1,37,2008,2009
"Koochiching",1043,1,1,43,2008,2009
"Koochiching",1059,2,1,59,2008,2009
"Koochiching",1061,37,1,61,2008,2009
"Koochiching",1111,1,1,111,2008,2009
"Koochiching",1121,4,1,121,2008,2009
"Koochiching",1152,46,1,152,2008,2009
"Koochiching",1176,362,1,176,2008,2009
"Koochiching",1190,27,1,190,2008,2009
"Koochiching",1195,38,1,195,2008,2009
"Koochiching",5005,2094,5,5,2008,2009
"Koochiching",5023,2012,5,23,2008,2009
"Koochiching",5024,1,5,24,2008,2009
"Koochiching",5028,43,5,28,2008,2009
"Koochiching",5036,15,5,36,2008,2009
"Koochiching",5037,14,5,37,2008,2009
"Koochiching",5044,167,5,44,2008,2009
"Koochiching",5059,24,5,59,2008,2009
"Koochiching",5061,1007,5,61,2008,2009
"Koochiching",5111,6,5,111,2008,2009
"Koochiching",5121,13,5,121,2008,2009
"Koochiching",5141,18,5,141,2008,2009
"Koochiching",5142,2,5,142,2008,2009
"Koochiching",5152,19,5,152,2008,2009
"Koochiching",5176,292,5,176,2008,2009
"Koochiching",5190,26,5,190,2008,2009
"Koochiching",5195,305,5,195,2008,2009
"Koochiching",21036,1,21,36,2008,2009
"Koochiching",21176,15,21,176,2008,2009
"Koochiching",21195,11,21,195,2008,2009
"Koochiching",23005,5178,23,5,2008,2009
"Koochiching",23023,414,23,23,2008,2009
"Koochiching",23024,3,23,24,2008,2009
"Koochiching",23028,187,23,28,2008,2009
"Koochiching",23031,3,23,31,2008,2009
"Koochiching",23036,186,23,36,2008,2009
"Koochiching",23037,52,23,37,2008,2009
"Koochiching",23043,5,23,43,2008,2009
"Koochiching",23044,2,23,44,2008,2009
"Koochiching",23058,1,23,58,2008,2009
"Koochiching",23059,624,23,59,2008,2009
"Koochiching",23061,1156,23,61,2008,2009
"Koochiching",23111,26,23,111,2008,2009
"Koochiching",23121,2,23,121,2008,2009
"Koochiching",23131,4,23,131,2008,2009
"Koochiching",23141,285,23,141,2008,2009
"Koochiching",23142,12,23,142,2008,2009
"Koochiching",23152,50,23,152,2008,2009
"Koochiching",23176,1426,23,176,2008,2009
