"xCoords","yCoords","width","colorToUse"
1,6.4,0.0017619752094493,"#ffd300"
1.2,6.4,0.0017619752094493,"#ffd300"
1.4,6.4,0.0017619752094493,"#ffd300"
2,6.4,0.0017619752094493,"#ffd300"
1.8,6.4,0.0017619752094493,"#ffd300"
1.6,6.4,0.0017619752094493,"#ffd300"
1,6.4,7.70864154134067e-05,"#e41a1c"
1.2,5.9,7.70864154134067e-05,"#e41a1c"
1.4,5.9,7.70864154134067e-05,"#e41a1c"
2,1.9,7.70864154134067e-05,"#ffd300"
1.8,2.4,7.70864154134067e-05,"#ffd300"
1.6,2.4,7.70864154134067e-05,"#ffd300"
1,6.4,0.000286320971535511,"#f781bf"
1.2,6.2,0.000286320971535511,"#f781bf"
1.4,6.2,0.000286320971535511,"#f781bf"
2,4.6,0.000286320971535511,"#ffd300"
1.8,4.8,0.000286320971535511,"#ffd300"
1.6,4.8,0.000286320971535511,"#ffd300"
1,6.4,0.00683866628167508,"#AAAAAA"
1.2,5.8,0.00683866628167508,"#AAAAAA"
1.4,5.8,0.00683866628167508,"#AAAAAA"
2,1,0.00683866628167508,"#ffd300"
1.8,1.6,0.00683866628167508,"#ffd300"
1.6,1.6,0.00683866628167508,"#ffd300"
1,6.4,0.000539604907893847,"#4daf4a"
1.2,6.3,0.000539604907893847,"#4daf4a"
1.4,6.3,0.000539604907893847,"#4daf4a"
2,5.5,0.000539604907893847,"#ffd300"
1.8,5.6,0.000539604907893847,"#ffd300"
1.6,5.6,0.000539604907893847,"#ffd300"
1,6.4,0.00046251849248044,"#a65628"
1.2,6.1,0.00046251849248044,"#a65628"
1.4,6.1,0.00046251849248044,"#a65628"
2,3.7,0.00046251849248044,"#ffd300"
1.8,4,0.00046251849248044,"#ffd300"
1.6,4,0.00046251849248044,"#ffd300"
1,1.9,0.000143160485767755,"#AAAAAA"
1.2,1.8,0.000143160485767755,"#AAAAAA"
1.4,1.8,0.000143160485767755,"#AAAAAA"
2,1,0.000143160485767755,"#e41a1c"
1.8,1.1,0.000143160485767755,"#e41a1c"
1.6,1.1,0.000143160485767755,"#e41a1c"
1,1.9,9.9111105531523e-05,"#4daf4a"
1.2,2.3,9.9111105531523e-05,"#4daf4a"
1.4,2.3,9.9111105531523e-05,"#4daf4a"
2,5.5,9.9111105531523e-05,"#e41a1c"
1.8,5.1,9.9111105531523e-05,"#e41a1c"
1.6,5.1,9.9111105531523e-05,"#e41a1c"
1,1.9,6.60740703543486e-05,"#a65628"
1.2,2.1,6.60740703543486e-05,"#a65628"
1.4,2.1,6.60740703543486e-05,"#a65628"
2,3.7,6.60740703543486e-05,"#e41a1c"
1.8,3.5,6.60740703543486e-05,"#e41a1c"
1.6,3.5,6.60740703543486e-05,"#e41a1c"
1,4.6,0.000528592562834789,"#ffd300"
1.2,4.8,0.000528592562834789,"#ffd300"
1.4,4.8,0.000528592562834789,"#ffd300"
2,6.4,0.000528592562834789,"#f781bf"
1.8,6.2,0.000528592562834789,"#f781bf"
1.6,6.2,0.000528592562834789,"#f781bf"
1,4.6,2.20246901181162e-05,"#e41a1c"
1.2,4.3,2.20246901181162e-05,"#e41a1c"
1.4,4.3,2.20246901181162e-05,"#e41a1c"
2,1.9,2.20246901181162e-05,"#f781bf"
1.8,2.2,2.20246901181162e-05,"#f781bf"
1.6,2.2,2.20246901181162e-05,"#f781bf"
1,4.6,0.159161423138567,"#f781bf"
1.2,4.6,0.159161423138567,"#f781bf"
1.4,4.6,0.159161423138567,"#f781bf"
2,4.6,0.159161423138567,"#f781bf"
1.8,4.6,0.159161423138567,"#f781bf"
1.6,4.6,0.159161423138567,"#f781bf"
1,4.6,0.113955746671133,"#AAAAAA"
1.2,4.2,0.113955746671133,"#AAAAAA"
1.4,4.2,0.113955746671133,"#AAAAAA"
2,1,0.113955746671133,"#f781bf"
1.8,1.4,0.113955746671133,"#f781bf"
1.6,1.4,0.113955746671133,"#f781bf"
1,4.6,0.00138755547744132,"#4daf4a"
1.2,4.7,0.00138755547744132,"#4daf4a"
1.4,4.7,0.00138755547744132,"#4daf4a"
2,5.5,0.00138755547744132,"#f781bf"
1.8,5.4,0.00138755547744132,"#f781bf"
1.6,5.4,0.00138755547744132,"#f781bf"
1,4.6,0.00133249375214603,"#a65628"
1.2,4.5,0.00133249375214603,"#a65628"
1.4,4.5,0.00133249375214603,"#a65628"
2,3.7,0.00133249375214603,"#f781bf"
1.8,3.8,0.00133249375214603,"#f781bf"
1.6,3.8,0.00133249375214603,"#f781bf"
1,1,0.0144261720273661,"#ffd300"
1.2,1.6,0.0144261720273661,"#ffd300"
1.4,1.6,0.0144261720273661,"#ffd300"
2,6.4,0.0144261720273661,"#AAAAAA"
1.8,5.8,0.0144261720273661,"#AAAAAA"
1.6,5.8,0.0144261720273661,"#AAAAAA"
1,1,0.000429481457303266,"#e41a1c"
1.2,1.1,0.000429481457303266,"#e41a1c"
1.4,1.1,0.000429481457303266,"#e41a1c"
2,1.9,0.000429481457303266,"#AAAAAA"
1.8,1.8,0.000429481457303266,"#AAAAAA"
1.6,1.8,0.000429481457303266,"#AAAAAA"
1,1,0.0563391573221413,"#f781bf"
1.2,1.4,0.0563391573221413,"#f781bf"
