"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,160,0.0017619752094493,905,0.00996617227844759,1749,0.0192605915082926
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,7,7.70864154134067e-05,905,0.00996617227844759,64,0.000704790083779719
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,26,0.000286320971535511,905,0.00996617227844759,19796,0.218000382789114
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,621,0.00683866628167508,905,0.00996617227844759,9041084,99.5635367159293
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,49,0.000539604907893847,905,0.00996617227844759,12716,0.140032979770983
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,42,0.00046251849248044,905,0.00996617227844759,5291,0.0582663177074764
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,13,0.000143160485767755,28,0.000308345661653627,9041084,99.5635367159293
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,9,9.9111105531523e-05,28,0.000308345661653627,12716,0.140032979770983
2008,2009,"dryBeans_springWheat","dryBeans","springWheat","#e41a1c","#a65628",1,2,1.9,3.7,1.2,1.8,2.1,3.5,6,6.60740703543486e-05,28,0.000308345661653627,5291,0.0582663177074764
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,48,0.000528592562834789,25098,0.27638783629224,1749,0.0192605915082926
2008,2009,"hay_dryBeans","hay","dryBeans","#f781bf","#e41a1c",1,2,4.6,1.9,1.2,1.8,4.3,2.2,2,2.20246901181162e-05,25098,0.27638783629224,64,0.000704790083779719
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,14453,0.159161423138567,25098,0.27638783629224,19796,0.218000382789114
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,10348,0.113955746671133,25098,0.27638783629224,9041084,99.5635367159293
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,126,0.00138755547744132,25098,0.27638783629224,12716,0.140032979770983
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,121,0.00133249375214603,25098,0.27638783629224,5291,0.0582663177074764
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,1310,0.0144261720273661,9036466,99.5126817064466,1749,0.0192605915082926
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,39,0.000429481457303266,9036466,99.5126817064466,64,0.000704790083779719
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,5116,0.0563391573221413,9036466,99.5126817064466,19796,0.218000382789114
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,9022027,99.3536744561388,9036466,99.5126817064466,9041084,99.5635367159293
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,5260,0.0579249350106456,9036466,99.5126817064466,12716,0.140032979770983
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,2696,0.0296892822792207,9036466,99.5126817064466,5291,0.0582663177074764
2008,2009,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",1,2,1,2.8,1.2,1.8,1.2,2.6,18,0.000198222211063046,9036466,99.5126817064466,18,0.000198222211063046
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,3,3.30370351771743e-05,6088,0.0670431567195457,1749,0.0192605915082926
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,15,0.000165185175885872,6088,0.0670431567195457,19796,0.218000382789114
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,1964,0.0216282456959901,6088,0.0670431567195457,9041084,99.5635367159293
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,2094,0.0230598505536677,6088,0.0670431567195457,12716,0.140032979770983
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,2012,0.0221568382588249,6088,0.0670431567195457,5291,0.0582663177074764
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,228,0.00251081467346525,12133,0.133612782601552,1749,0.0192605915082926
2008,2009,"springWheat_dryBeans","springWheat","dryBeans","#a65628","#e41a1c",1,2,3.7,1.9,1.2,1.8,3.5,2.1,16,0.00017619752094493,12133,0.133612782601552,64,0.000704790083779719
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,186,0.00204829618098481,12133,0.133612782601552,19796,0.218000382789114
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,6111,0.0672964406559041,12133,0.133612782601552,9041084,99.5635367159293
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,5178,0.0570219227158029,12133,0.133612782601552,12716,0.140032979770983
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,414,0.00455911085445006,12133,0.133612782601552,5291,0.0582663177074764
2009,2010,"corn_corn","corn","corn","#ffd300","#ffd300",2,3,6.4,6.4,2.2,2.8,6.4,6.4,34,0.000374419732007976,1749,0.0192605915082926,263,0.00289624675053228
2009,2010,"corn_hay","corn","hay","#ffd300","#f781bf",2,3,6.4,4.6,2.2,2.8,6.2,4.8,53,0.00058365428813008,1749,0.0192605915082926,16930,0.186439001849854
2009,2010,"corn_other","corn","other","#ffd300","#AAAAAA",2,3,6.4,1,2.2,2.8,5.8,1.6,1627,0.0179170854110875,1749,0.0192605915082926,9052184,99.6857737460848
2009,2010,"corn_soy","corn","soy","#ffd300","#4daf4a",2,3,6.4,5.5,2.2,2.8,6.3,5.6,16,0.00017619752094493,1749,0.0192605915082926,6735,0.0741681439727563
2009,2010,"corn_springWheat","corn","springWheat","#ffd300","#a65628",2,3,6.4,3.7,2.2,2.8,6.1,4,19,0.000209234556122104,1749,0.0192605915082926,4571,0.0503374292649546
2009,2010,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",2,3,1.9,6.4,2.2,2.8,2.4,5.9,1,1.10123450590581e-05,66,0.000726814773897835,263,0.00289624675053228
2009,2010,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",2,3,1.9,4.6,2.2,2.8,2.2,4.3,1,1.10123450590581e-05,66,0.000726814773897835,16930,0.186439001849854
2009,2010,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",2,3,1.9,1,2.2,2.8,1.8,1.1,59,0.000649728358484428,66,0.000726814773897835,9052184,99.6857737460848
2009,2010,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",2,3,1.9,5.5,2.2,2.8,2.3,5.1,4,4.40493802362324e-05,66,0.000726814773897835,6735,0.0741681439727563
2009,2010,"dryBeans_springWheat","dryBeans","springWheat","#e41a1c","#a65628",2,3,1.9,3.7,2.2,2.8,2.1,3.5,1,1.10123450590581e-05,66,0.000726814773897835,4571,0.0503374292649546
2009,2010,"hay_corn","hay","corn","#f781bf","#ffd300",2,3,4.6,6.4,2.2,2.8,4.8,6.2,10,0.000110123450590581,23055,0.253889615336585,263,0.00289624675053228
2009,2010,"hay_hay","hay","hay","#f781bf","#f781bf",2,3,4.6,4.6,2.2,2.8,4.6,4.6,14515,0.159844188532228,23055,0.253889615336585,16930,0.186439001849854
2009,2010,"hay_other","hay","other","#f781bf","#AAAAAA",2,3,4.6,1,2.2,2.8,4.2,1.4,8333,0.0917658713771312,23055,0.253889615336585,9052184,99.6857737460848
2009,2010,"hay_soy","hay","soy","#f781bf","#4daf4a",2,3,4.6,5.5,2.2,2.8,4.7,5.4,115,0.00126641968179168,23055,0.253889615336585,6735,0.0741681439727563
2009,2010,"hay_springWheat","hay","springWheat","#f781bf","#a65628",2,3,4.6,3.7,2.2,2.8,4.5,3.8,82,0.000903012294842765,23055,0.253889615336585,4571,0.0503374292649546
2009,2010,"other_corn","other","corn","#AAAAAA","#ffd300",2,3,1,6.4,2.2,2.8,1.6,5.8,186,0.00204829618098481,9037823,99.5276254586917,263,0.00289624675053228
2009,2010,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",2,3,1,1.9,2.2,2.8,1.1,1.8,26,0.000286320971535511,9037823,99.5276254586917,35,0.000385432077067034
2009,2010,"other_hay","other","hay","#AAAAAA","#f781bf",2,3,1,4.6,2.2,2.8,1.4,4.2,2242,0.0246896776224083,9037823,99.5276254586917,16930,0.186439001849854
2009,2010,"other_other","other","other","#AAAAAA","#AAAAAA",2,3,1,1,2.2,2.8,1,1,9030032,99.4418282783366,9037823,99.5276254586917,9052184,99.6857737460848
2009,2010,"other_soy","other","soy","#AAAAAA","#4daf4a",2,3,1,5.5,2.2,2.8,1.5,5,3462,0.0381247385944592,9037823,99.5276254586917,6735,0.0741681439727563
2009,2010,"other_springWheat","other","springWheat","#AAAAAA","#a65628",2,3,1,3.7,2.2,2.8,1.3,3.4,1875,0.0206481469857339,9037823,99.5276254586917,4571,0.0503374292649546
2009,2010,"soy_corn","soy","corn","#4daf4a","#ffd300",2,3,5.5,6.4,2.2,2.8,5.6,6.3,20,0.000220246901181162,12716,0.140032979770983,263,0.00289624675053228
2009,2010,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",2,3,5.5,1.9,2.2,2.8,5.1,2.3,7,7.70864154134067e-05,12716,0.140032979770983,35,0.000385432077067034
