"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Lac Qui Parle",0,288,0,0,2008,2009
"Lac Qui Parle",1005,617773,1,5,2008,2009
"Lac Qui Parle",1023,7677,1,23,2008,2009
"Lac Qui Parle",1028,705,1,28,2008,2009
"Lac Qui Parle",1036,999,1,36,2008,2009
"Lac Qui Parle",1037,42,1,37,2008,2009
"Lac Qui Parle",1061,38,1,61,2008,2009
"Lac Qui Parle",1111,310,1,111,2008,2009
"Lac Qui Parle",1121,418,1,121,2008,2009
"Lac Qui Parle",1176,8382,1,176,2008,2009
"Lac Qui Parle",1190,7,1,190,2008,2009
"Lac Qui Parle",1195,13164,1,195,2008,2009
"Lac Qui Parle",5005,69381,5,5,2008,2009
"Lac Qui Parle",5023,30628,5,23,2008,2009
"Lac Qui Parle",5024,2497,5,24,2008,2009
"Lac Qui Parle",5028,166,5,28,2008,2009
"Lac Qui Parle",5031,1,5,31,2008,2009
"Lac Qui Parle",5036,1618,5,36,2008,2009
"Lac Qui Parle",5037,114,5,37,2008,2009
"Lac Qui Parle",5043,2,5,43,2008,2009
"Lac Qui Parle",5059,16,5,59,2008,2009
"Lac Qui Parle",5061,26,5,61,2008,2009
"Lac Qui Parle",5111,306,5,111,2008,2009
"Lac Qui Parle",5121,487,5,121,2008,2009
"Lac Qui Parle",5141,20,5,141,2008,2009
"Lac Qui Parle",5152,3,5,152,2008,2009
"Lac Qui Parle",5176,13557,5,176,2008,2009
"Lac Qui Parle",5190,15,5,190,2008,2009
"Lac Qui Parle",5195,13131,5,195,2008,2009
"Lac Qui Parle",6005,357,6,5,2008,2009
"Lac Qui Parle",6023,7,6,23,2008,2009
"Lac Qui Parle",6176,24,6,176,2008,2009
"Lac Qui Parle",6195,9,6,195,2008,2009
"Lac Qui Parle",21005,9,21,5,2008,2009
"Lac Qui Parle",21023,4,21,23,2008,2009
"Lac Qui Parle",21036,2,21,36,2008,2009
"Lac Qui Parle",21176,4,21,176,2008,2009
"Lac Qui Parle",21195,7,21,195,2008,2009
"Lac Qui Parle",23005,22474,23,5,2008,2009
"Lac Qui Parle",23023,2028,23,23,2008,2009
"Lac Qui Parle",23024,384,23,24,2008,2009
"Lac Qui Parle",23028,68,23,28,2008,2009
"Lac Qui Parle",23031,1,23,31,2008,2009
"Lac Qui Parle",23036,1103,23,36,2008,2009
"Lac Qui Parle",23037,109,23,37,2008,2009
"Lac Qui Parle",23043,2,23,43,2008,2009
"Lac Qui Parle",23059,1,23,59,2008,2009
"Lac Qui Parle",23061,6,23,61,2008,2009
"Lac Qui Parle",23111,30,23,111,2008,2009
"Lac Qui Parle",23121,3,23,121,2008,2009
"Lac Qui Parle",23131,25,23,131,2008,2009
"Lac Qui Parle",23141,1,23,141,2008,2009
"Lac Qui Parle",23176,2529,23,176,2008,2009
"Lac Qui Parle",23190,2,23,190,2008,2009
"Lac Qui Parle",23195,1173,23,195,2008,2009
"Lac Qui Parle",24005,91,24,5,2008,2009
"Lac Qui Parle",24023,9,24,23,2008,2009
"Lac Qui Parle",24028,3,24,28,2008,2009
"Lac Qui Parle",24176,23,24,176,2008,2009
"Lac Qui Parle",24195,9,24,195,2008,2009
"Lac Qui Parle",27176,5,27,176,2008,2009
"Lac Qui Parle",28005,94,28,5,2008,2009
"Lac Qui Parle",28023,75,28,23,2008,2009
"Lac Qui Parle",28028,21,28,28,2008,2009
"Lac Qui Parle",28036,67,28,36,2008,2009
"Lac Qui Parle",28037,2,28,37,2008,2009
"Lac Qui Parle",28176,38,28,176,2008,2009
"Lac Qui Parle",28195,63,28,195,2008,2009
"Lac Qui Parle",31005,42,31,5,2008,2009
"Lac Qui Parle",31061,1,31,61,2008,2009
"Lac Qui Parle",31111,1,31,111,2008,2009
"Lac Qui Parle",31176,14,31,176,2008,2009
"Lac Qui Parle",31195,6,31,195,2008,2009
"Lac Qui Parle",36005,919,36,5,2008,2009
"Lac Qui Parle",36006,3,36,6,2008,2009
"Lac Qui Parle",36023,1044,36,23,2008,2009
"Lac Qui Parle",36028,2,36,28,2008,2009
"Lac Qui Parle",36036,12576,36,36,2008,2009
"Lac Qui Parle",36037,43,36,37,2008,2009
"Lac Qui Parle",36061,1,36,61,2008,2009
"Lac Qui Parle",36131,13,36,131,2008,2009
"Lac Qui Parle",36141,4,36,141,2008,2009
"Lac Qui Parle",36152,1,36,152,2008,2009
"Lac Qui Parle",36176,2748,36,176,2008,2009
"Lac Qui Parle",36190,8,36,190,2008,2009
"Lac Qui Parle",36195,1272,36,195,2008,2009
"Lac Qui Parle",37005,208,37,5,2008,2009
"Lac Qui Parle",37023,32,37,23,2008,2009
"Lac Qui Parle",37024,12,37,24,2008,2009
"Lac Qui Parle",37036,226,37,36,2008,2009
"Lac Qui Parle",37037,246,37,37,2008,2009
"Lac Qui Parle",37111,1,37,111,2008,2009
"Lac Qui Parle",37176,1309,37,176,2008,2009
"Lac Qui Parle",37195,1017,37,195,2008,2009
"Lac Qui Parle",39005,35,39,5,2008,2009
"Lac Qui Parle",41005,1409,41,5,2008,2009
"Lac Qui Parle",41023,2,41,23,2008,2009
"Lac Qui Parle",41195,54,41,195,2008,2009
"Lac Qui Parle",42005,373,42,5,2008,2009
"Lac Qui Parle",42023,27,42,23,2008,2009
"Lac Qui Parle",42141,3,42,141,2008,2009
"Lac Qui Parle",42176,109,42,176,2008,2009
"Lac Qui Parle",42190,2,42,190,2008,2009
"Lac Qui Parle",42195,55,42,195,2008,2009
"Lac Qui Parle",43176,9,43,176,2008,2009
"Lac Qui Parle",43195,6,43,195,2008,2009
"Lac Qui Parle",44111,1,44,111,2008,2009
"Lac Qui Parle",44141,2,44,141,2008,2009
"Lac Qui Parle",44190,9,44,190,2008,2009
"Lac Qui Parle",44195,19,44,195,2008,2009
"Lac Qui Parle",58005,1,58,5,2008,2009
"Lac Qui Parle",58176,4,58,176,2008,2009
"Lac Qui Parle",58195,1,58,195,2008,2009
"Lac Qui Parle",61005,2270,61,5,2008,2009
"Lac Qui Parle",61023,216,61,23,2008,2009
"Lac Qui Parle",61024,12,61,24,2008,2009
"Lac Qui Parle",61028,2,61,28,2008,2009
"Lac Qui Parle",61036,230,61,36,2008,2009
"Lac Qui Parle",61037,3,61,37,2008,2009
"Lac Qui Parle",61061,8,61,61,2008,2009
"Lac Qui Parle",61111,66,61,111,2008,2009
"Lac Qui Parle",61141,6,61,141,2008,2009
"Lac Qui Parle",61176,370,61,176,2008,2009
"Lac Qui Parle",61190,2,61,190,2008,2009
"Lac Qui Parle",61195,339,61,195,2008,2009
"Lac Qui Parle",111005,155,111,5,2008,2009
"Lac Qui Parle",111023,63,111,23,2008,2009
"Lac Qui Parle",111037,1,111,37,2008,2009
"Lac Qui Parle",111044,8,111,44,2008,2009
"Lac Qui Parle",111061,131,111,61,2008,2009
"Lac Qui Parle",111111,45719,111,111,2008,2009
"Lac Qui Parle",111176,158,111,176,2008,2009
"Lac Qui Parle",111190,6,111,190,2008,2009
"Lac Qui Parle",111195,3286,111,195,2008,2009
"Lac Qui Parle",121005,1131,121,5,2008,2009
"Lac Qui Parle",121023,3,121,23,2008,2009
"Lac Qui Parle",121036,7,121,36,2008,2009
"Lac Qui Parle",121061,3,121,61,2008,2009
"Lac Qui Parle",121121,96252,121,121,2008,2009
"Lac Qui Parle",121122,1056,121,122,2008,2009
"Lac Qui Parle",121123,25,121,123,2008,2009
"Lac Qui Parle",121176,22,121,176,2008,2009
"Lac Qui Parle",121195,2,121,195,2008,2009
"Lac Qui Parle",122121,935,122,121,2008,2009
"Lac Qui Parle",122122,5301,122,122,2008,2009
"Lac Qui Parle",122123,304,122,123,2008,2009
"Lac Qui Parle",122176,25,122,176,2008,2009
"Lac Qui Parle",123005,4,123,5,2008,2009
"Lac Qui Parle",123061,5,123,61,2008,2009
"Lac Qui Parle",123121,37,123,121,2008,2009
"Lac Qui Parle",123122,394,123,122,2008,2009
"Lac Qui Parle",123123,1542,123,123,2008,2009
"Lac Qui Parle",123124,50,123,124,2008,2009
"Lac Qui Parle",123176,1,123,176,2008,2009
"Lac Qui Parle",124122,8,124,122,2008,2009
"Lac Qui Parle",124123,71,124,123,2008,2009
"Lac Qui Parle",124124,336,124,124,2008,2009
"Lac Qui Parle",131005,28,131,5,2008,2009
"Lac Qui Parle",131023,1,131,23,2008,2009
"Lac Qui Parle",131059,1,131,59,2008,2009
"Lac Qui Parle",131176,138,131,176,2008,2009
"Lac Qui Parle",131195,20,131,195,2008,2009
"Lac Qui Parle",141005,281,141,5,2008,2009
"Lac Qui Parle",141023,1,141,23,2008,2009
"Lac Qui Parle",141043,1,141,43,2008,2009
"Lac Qui Parle",141111,6,141,111,2008,2009
"Lac Qui Parle",141131,10,141,131,2008,2009
"Lac Qui Parle",141141,20974,141,141,2008,2009
"Lac Qui Parle",141142,2,141,142,2008,2009
"Lac Qui Parle",141176,60,141,176,2008,2009
"Lac Qui Parle",141190,3326,141,190,2008,2009
"Lac Qui Parle",141195,31,141,195,2008,2009
"Lac Qui Parle",142141,2,142,141,2008,2009
"Lac Qui Parle",142190,5,142,190,2008,2009
"Lac Qui Parle",142195,1,142,195,2008,2009
"Lac Qui Parle",152005,1,152,5,2008,2009
"Lac Qui Parle",152023,1,152,23,2008,2009
"Lac Qui Parle",152176,3,152,176,2008,2009
"Lac Qui Parle",152195,5,152,195,2008,2009
"Lac Qui Parle",176001,9272,176,1,2008,2009
"Lac Qui Parle",176005,16506,176,5,2008,2009
"Lac Qui Parle",176006,8,176,6,2008,2009
"Lac Qui Parle",176021,31,176,21,2008,2009
"Lac Qui Parle",176023,2457,176,23,2008,2009
