"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Lake",0,2741,0,0,2008,2009
"Lake",1121,3,1,121,2008,2009
"Lake",23111,1,23,111,2008,2009
"Lake",23141,1,23,141,2008,2009
"Lake",23152,6,23,152,2008,2009
"Lake",23176,1,23,176,2008,2009
"Lake",23190,1,23,190,2008,2009
"Lake",23195,2,23,195,2008,2009
"Lake",28176,1,28,176,2008,2009
"Lake",36141,1,36,141,2008,2009
"Lake",36176,2,36,176,2008,2009
"Lake",36190,1,36,190,2008,2009
"Lake",36195,2,36,195,2008,2009
"Lake",37176,3,37,176,2008,2009
"Lake",44111,1,44,111,2008,2009
"Lake",61111,1,61,111,2008,2009
"Lake",61176,1,61,176,2008,2009
"Lake",61195,2,61,195,2008,2009
"Lake",111111,532219,111,111,2008,2009
"Lake",111141,244,111,141,2008,2009
"Lake",111142,3803,111,142,2008,2009
"Lake",111152,365,111,152,2008,2009
"Lake",111176,134,111,176,2008,2009
"Lake",111190,16895,111,190,2008,2009
"Lake",111195,570,111,195,2008,2009
"Lake",121121,92289,121,121,2008,2009
"Lake",121122,1881,121,122,2008,2009
"Lake",121123,45,121,123,2008,2009
"Lake",121176,19,121,176,2008,2009
"Lake",121195,3,121,195,2008,2009
"Lake",122121,976,122,121,2008,2009
"Lake",122122,9020,122,122,2008,2009
"Lake",122123,335,122,123,2008,2009
"Lake",123121,52,123,121,2008,2009
"Lake",123122,881,123,122,2008,2009
"Lake",123123,4126,123,123,2008,2009
"Lake",123124,5,123,124,2008,2009
"Lake",123176,33,123,176,2008,2009
"Lake",123195,4,123,195,2008,2009
"Lake",124122,2,124,122,2008,2009
"Lake",124123,87,124,123,2008,2009
"Lake",124124,1389,124,124,2008,2009
"Lake",131111,331,131,111,2008,2009
"Lake",131141,128,131,141,2008,2009
"Lake",131142,49,131,142,2008,2009
"Lake",131176,334,131,176,2008,2009
"Lake",131190,458,131,190,2008,2009
"Lake",131195,65,131,195,2008,2009
"Lake",141028,4,141,28,2008,2009
"Lake",141036,1,141,36,2008,2009
"Lake",141037,3,141,37,2008,2009
"Lake",141111,211,141,111,2008,2009
"Lake",141121,35,141,121,2008,2009
"Lake",141131,37,141,131,2008,2009
"Lake",141141,772807,141,141,2008,2009
"Lake",141142,10080,141,142,2008,2009
"Lake",141152,55516,141,152,2008,2009
"Lake",141176,4430,141,176,2008,2009
"Lake",141190,156593,141,190,2008,2009
"Lake",141195,2339,141,195,2008,2009
"Lake",142131,14,142,131,2008,2009
"Lake",142141,11239,142,141,2008,2009
"Lake",142142,704855,142,142,2008,2009
"Lake",142152,3999,142,152,2008,2009
"Lake",142176,1065,142,176,2008,2009
"Lake",142190,337396,142,190,2008,2009
"Lake",142195,163,142,195,2008,2009
"Lake",143037,1,143,37,2008,2009
"Lake",143190,239119,143,190,2008,2009
"Lake",152037,7,152,37,2008,2009
"Lake",152141,52881,152,141,2008,2009
"Lake",152142,4483,152,142,2008,2009
"Lake",152152,41403,152,152,2008,2009
"Lake",152176,4935,152,176,2008,2009
"Lake",152190,42173,152,190,2008,2009
"Lake",152195,3307,152,195,2008,2009
"Lake",176005,2,176,5,2008,2009
"Lake",176023,2,176,23,2008,2009
"Lake",176036,12,176,36,2008,2009
"Lake",176037,11,176,37,2008,2009
"Lake",176111,100,176,111,2008,2009
"Lake",176121,56,176,121,2008,2009
"Lake",176131,46,176,131,2008,2009
"Lake",176141,4351,176,141,2008,2009
"Lake",176142,318,176,142,2008,2009
"Lake",176152,4338,176,152,2008,2009
"Lake",176176,18896,176,176,2008,2009
"Lake",176190,8941,176,190,2008,2009
"Lake",176195,1176,176,195,2008,2009
"Lake",190023,2,190,23,2008,2009
"Lake",190028,1,190,28,2008,2009
"Lake",190037,28,190,37,2008,2009
"Lake",190111,15382,190,111,2008,2009
"Lake",190131,206,190,131,2008,2009
"Lake",190141,189273,190,141,2008,2009
"Lake",190142,345085,190,142,2008,2009
"Lake",190143,266987,190,143,2008,2009
"Lake",190152,44129,190,152,2008,2009
"Lake",190176,7536,190,176,2008,2009
"Lake",190190,1451923,190,190,2008,2009
"Lake",190195,12319,190,195,2008,2009
"Lake",195001,1,195,1,2008,2009
"Lake",195037,3,195,37,2008,2009
"Lake",195111,837,195,111,2008,2009
"Lake",195131,36,195,131,2008,2009
"Lake",195141,2211,195,141,2008,2009
"Lake",195142,233,195,142,2008,2009
"Lake",195152,3964,195,152,2008,2009
"Lake",195176,2267,195,176,2008,2009
"Lake",195190,14333,195,190,2008,2009
"Lake",195195,5895,195,195,2008,2009
"Lake",111143,592,111,143,2008,2009
"Lake",122124,3,122,124,2008,2009
"Lake",131036,2,131,36,2008,2009
"Lake",141143,118782,141,143,2008,2009
"Lake",142111,5246,142,111,2008,2009
"Lake",142143,141592,142,143,2008,2009
"Lake",143141,156098,143,141,2008,2009
"Lake",143142,149044,143,142,2008,2009
"Lake",152001,1,152,1,2008,2009
"Lake",152111,304,152,111,2008,2009
"Lake",190001,2,190,1,2008,2009
"Lake",5131,1,5,131,2008,2009
"Lake",121111,1,121,111,2008,2009
"Lake",124121,4,124,121,2008,2009
"Lake",143195,338,143,195,2008,2009
"Lake",152028,30,152,28,2008,2009
"Lake",195121,6,195,121,2008,2009
"Lake",195122,1,195,122,2008,2009
"Lake",44152,1,44,152,2008,2009
"Lake",111131,382,111,131,2008,2009
"Lake",121124,15,121,124,2008,2009
"Lake",121141,4,121,141,2008,2009
"Lake",121190,5,121,190,2008,2009
"Lake",122037,2,122,37,2008,2009
"Lake",122190,4,122,190,2008,2009
"Lake",122195,3,122,195,2008,2009
"Lake",131121,2,131,121,2008,2009
"Lake",131122,31,131,122,2008,2009
"Lake",131131,3024,131,131,2008,2009
"Lake",131143,21,131,143,2008,2009
"Lake",131152,101,131,152,2008,2009
"Lake",141122,2,141,122,2008,2009
"Lake",141123,1,141,123,2008,2009
"Lake",143111,851,143,111,2008,2009
"Lake",143143,457155,143,143,2008,2009
"Lake",143152,13675,143,152,2008,2009
"Lake",143176,906,143,176,2008,2009
"Lake",152121,19,152,121,2008,2009
"Lake",152123,22,152,123,2008,2009
"Lake",152131,96,152,131,2008,2009
"Lake",152143,15538,152,143,2008,2009
"Lake",176122,2,176,122,2008,2009
"Lake",176123,1,176,123,2008,2009
"Lake",176143,553,176,143,2008,2009
"Lake",190121,36,190,121,2008,2009
"Lake",190122,17,190,122,2008,2009
