"xCoords","yCoords","width","colorToUse"
1,6.4,6.07497060473599e-05,"#AAAAAA"
1.2,5.8,6.07497060473599e-05,"#AAAAAA"
1.4,5.8,6.07497060473599e-05,"#AAAAAA"
2,1,6.07497060473599e-05,"#ffd300"
1.8,1.6,6.07497060473599e-05,"#ffd300"
1.6,1.6,6.07497060473599e-05,"#ffd300"
1,4.6,4.55622795355199e-05,"#f781bf"
1.2,4.6,4.55622795355199e-05,"#f781bf"
1.4,4.6,4.55622795355199e-05,"#f781bf"
2,4.6,4.55622795355199e-05,"#f781bf"
1.8,4.6,4.55622795355199e-05,"#f781bf"
1.6,4.6,4.55622795355199e-05,"#f781bf"
1,4.6,9.11245590710398e-05,"#AAAAAA"
1.2,4.2,9.11245590710398e-05,"#AAAAAA"
1.4,4.2,9.11245590710398e-05,"#AAAAAA"
2,1,9.11245590710398e-05,"#f781bf"
1.8,1.4,9.11245590710398e-05,"#f781bf"
1.6,1.4,9.11245590710398e-05,"#f781bf"
1,1,6.07497060473599e-05,"#ffd300"
1.2,1.6,6.07497060473599e-05,"#ffd300"
1.4,1.6,6.07497060473599e-05,"#ffd300"
2,6.4,6.07497060473599e-05,"#AAAAAA"
1.8,5.8,6.07497060473599e-05,"#AAAAAA"
1.6,5.8,6.07497060473599e-05,"#AAAAAA"
1,1,0.0002278113976776,"#f781bf"
1.2,1.4,0.0002278113976776,"#f781bf"
1.4,1.4,0.0002278113976776,"#f781bf"
2,4.6,0.0002278113976776,"#AAAAAA"
1.8,4.2,0.0002278113976776,"#AAAAAA"
1.6,4.2,0.0002278113976776,"#AAAAAA"
1,1,99.9992254412479,"#AAAAAA"
1.2,1,99.9992254412479,"#AAAAAA"
1.4,1,99.9992254412479,"#AAAAAA"
2,1,99.9992254412479,"#AAAAAA"
1.8,1,99.9992254412479,"#AAAAAA"
1.6,1,99.9992254412479,"#AAAAAA"
1,1,3.03748530236799e-05,"#4daf4a"
1.2,1.5,3.03748530236799e-05,"#4daf4a"
1.4,1.5,3.03748530236799e-05,"#4daf4a"
2,5.5,3.03748530236799e-05,"#AAAAAA"
1.8,5,3.03748530236799e-05,"#AAAAAA"
1.6,5,3.03748530236799e-05,"#AAAAAA"
1,1,6.07497060473599e-05,"#a65628"
1.2,1.3,6.07497060473599e-05,"#a65628"
1.4,1.3,6.07497060473599e-05,"#a65628"
2,3.7,6.07497060473599e-05,"#AAAAAA"
1.8,3.4,6.07497060473599e-05,"#AAAAAA"
1.6,3.4,6.07497060473599e-05,"#AAAAAA"
1,5.5,1.518742651184e-05,"#AAAAAA"
1.2,5,1.518742651184e-05,"#AAAAAA"
1.4,5,1.518742651184e-05,"#AAAAAA"
2,1,1.518742651184e-05,"#4daf4a"
1.8,1.5,1.518742651184e-05,"#4daf4a"
1.6,1.5,1.518742651184e-05,"#4daf4a"
1,3.7,0.00018224911814208,"#AAAAAA"
1.2,3.4,0.00018224911814208,"#AAAAAA"
1.4,3.4,0.00018224911814208,"#AAAAAA"
2,1,0.00018224911814208,"#a65628"
1.8,1.3,0.00018224911814208,"#a65628"
