"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,4,6.07497060473599e-05,4,6.07497060473599e-05,6584366,99.9995747520577
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,3,4.55622795355199e-05,9,0.00013668683860656,18,0.000273373677213119
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,6,9.11245590710398e-05,9,0.00013668683860656,6584366,99.9995747520577
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,4,6.07497060473599e-05,6584368,99.9996051269107,4,6.07497060473599e-05
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,15,0.0002278113976776,6584368,99.9996051269107,18,0.000273373677213119
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,6584343,99.9992254412479,6584368,99.9996051269107,6584366,99.9995747520577
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,2,3.03748530236799e-05,6584368,99.9996051269107,2,3.03748530236799e-05
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,4,6.07497060473599e-05,6584368,99.9996051269107,4,6.07497060473599e-05
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,1,1.518742651184e-05,1,1.518742651184e-05,6584366,99.9995747520577
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,12,0.00018224911814208,12,0.00018224911814208,6584366,99.9995747520577
2009,2010,"corn_other","corn","other","#ffd300","#AAAAAA",2,3,6.4,1,2.2,2.8,5.8,1.6,4,6.07497060473599e-05,4,6.07497060473599e-05,6584314,99.9987850058791
2009,2010,"hay_hay","hay","hay","#f781bf","#f781bf",2,3,4.6,4.6,2.2,2.8,4.6,4.6,55,0.000835308458151198,70,0.0010631198558288,64,0.000971995296757758
2009,2010,"hay_other","hay","other","#f781bf","#AAAAAA",2,3,4.6,1,2.2,2.8,4.2,1.4,15,0.0002278113976776,70,0.0010631198558288,6584314,99.9987850058791
2009,2010,"other_corn","other","corn","#AAAAAA","#ffd300",2,3,1,6.4,2.2,2.8,1.6,5.8,15,0.0002278113976776,6584314,99.9987850058791,15,0.0002278113976776
2009,2010,"other_hay","other","hay","#AAAAAA","#f781bf",2,3,1,4.6,2.2,2.8,1.4,4.2,9,0.00013668683860656,6584314,99.9987850058791,64,0.000971995296757758
2009,2010,"other_other","other","other","#AAAAAA","#AAAAAA",2,3,1,1,2.2,2.8,1,1,6584289,99.9984053202162,6584314,99.9987850058791,6584314,99.9987850058791
2009,2010,"other_springWheat","other","springWheat","#AAAAAA","#a65628",2,3,1,3.7,2.2,2.8,1.3,3.4,1,1.518742651184e-05,6584314,99.9987850058791,1,1.518742651184e-05
2009,2010,"soy_other","soy","other","#4daf4a","#AAAAAA",2,3,5.5,1,2.2,2.8,5,1.5,2,3.03748530236799e-05,2,3.03748530236799e-05,6584314,99.9987850058791
2009,2010,"springWheat_other","springWheat","other","#a65628","#AAAAAA",2,3,3.7,1,2.2,2.8,3.4,1.3,4,6.07497060473599e-05,4,6.07497060473599e-05,6584314,99.9987850058791
