"xCoords","yCoords","width","colorToUse"
1,6.4,0.00119101916877015,"#f781bf"
1.2,6.2,0.00119101916877015,"#f781bf"
1.4,6.2,0.00119101916877015,"#f781bf"
2,4.6,0.00119101916877015,"#ffd300"
1.8,4.8,0.00119101916877015,"#ffd300"
1.6,4.8,0.00119101916877015,"#ffd300"
1,6.4,0.00738041386549371,"#AAAAAA"
1.2,5.8,0.00738041386549371,"#AAAAAA"
1.4,5.8,0.00738041386549371,"#AAAAAA"
2,1,0.00738041386549371,"#ffd300"
1.8,1.6,0.00738041386549371,"#ffd300"
1.6,1.6,0.00738041386549371,"#ffd300"
1,6.4,0.00152294254367331,"#4daf4a"
1.2,6.3,0.00152294254367331,"#4daf4a"
1.4,6.3,0.00152294254367331,"#4daf4a"
2,5.5,0.00152294254367331,"#ffd300"
1.8,5.6,0.00152294254367331,"#ffd300"
1.6,5.6,0.00152294254367331,"#ffd300"
1,6.4,0.00497885062354735,"#a65628"
1.2,6.1,0.00497885062354735,"#a65628"
1.4,6.1,0.00497885062354735,"#a65628"
2,3.7,0.00497885062354735,"#ffd300"
1.8,4,0.00497885062354735,"#ffd300"
1.6,4,0.00497885062354735,"#ffd300"
1,1.9,0.00242108814635244,"#AAAAAA"
1.2,1.8,0.00242108814635244,"#AAAAAA"
1.4,1.8,0.00242108814635244,"#AAAAAA"
2,1,0.00242108814635244,"#e41a1c"
1.8,1.1,0.00242108814635244,"#e41a1c"
1.6,1.1,0.00242108814635244,"#e41a1c"
1,1.9,0.000702896558618449,"#4daf4a"
1.2,2.3,0.000702896558618449,"#4daf4a"
1.4,2.3,0.000702896558618449,"#4daf4a"
2,5.5,0.000702896558618449,"#e41a1c"
1.8,5.1,0.000702896558618449,"#e41a1c"
1.6,5.1,0.000702896558618449,"#e41a1c"
1,1.9,0.00529124909404444,"#a65628"
1.2,2.1,0.00529124909404444,"#a65628"
1.4,2.1,0.00529124909404444,"#a65628"
2,3.7,0.00529124909404444,"#e41a1c"
1.8,3.5,0.00529124909404444,"#e41a1c"
1.6,3.5,0.00529124909404444,"#e41a1c"
1,4.6,0.70199841301577,"#f781bf"
1.2,4.6,0.70199841301577,"#f781bf"
1.4,4.6,0.70199841301577,"#f781bf"
2,4.6,0.70199841301577,"#f781bf"
1.8,4.6,0.70199841301577,"#f781bf"
1.6,4.6,0.70199841301577,"#f781bf"
1,4.6,0.113888767400595,"#AAAAAA"
1.2,4.2,0.113888767400595,"#AAAAAA"
1.4,4.2,0.113888767400595,"#AAAAAA"
2,1,0.113888767400595,"#f781bf"
1.8,1.4,0.113888767400595,"#f781bf"
1.6,1.4,0.113888767400595,"#f781bf"
1,4.6,0.012339739584635,"#4daf4a"
1.2,4.7,0.012339739584635,"#4daf4a"
1.4,4.7,0.012339739584635,"#4daf4a"
2,5.5,0.012339739584635,"#f781bf"
1.8,5.4,0.012339739584635,"#f781bf"
1.6,5.4,0.012339739584635,"#f781bf"
1,4.6,0.00821998475495464,"#a65628"
1.2,4.5,0.00821998475495464,"#a65628"
1.4,4.5,0.00821998475495464,"#a65628"
2,3.7,0.00821998475495464,"#f781bf"
1.8,3.8,0.00821998475495464,"#f781bf"
1.6,3.8,0.00821998475495464,"#f781bf"
1,1,0.00019524904406068,"#ffd300"
1.2,1.6,0.00019524904406068,"#ffd300"
1.4,1.6,0.00019524904406068,"#ffd300"
2,6.4,0.00019524904406068,"#AAAAAA"
1.8,5.8,0.00019524904406068,"#AAAAAA"
1.6,5.8,0.00019524904406068,"#AAAAAA"
1,1,1.9524904406068e-05,"#e41a1c"
1.2,1.1,1.9524904406068e-05,"#e41a1c"
1.4,1.1,1.9524904406068e-05,"#e41a1c"
2,1.9,1.9524904406068e-05,"#AAAAAA"
1.8,1.8,1.9524904406068e-05,"#AAAAAA"
1.6,1.8,1.9524904406068e-05,"#AAAAAA"
1,1,0.0755223302426711,"#f781bf"
1.2,1.4,0.0755223302426711,"#f781bf"
1.4,1.4,0.0755223302426711,"#f781bf"
2,4.6,0.0755223302426711,"#AAAAAA"
1.8,4.2,0.0755223302426711,"#AAAAAA"
1.6,4.2,0.0755223302426711,"#AAAAAA"
1,1,96.2682635955814,"#AAAAAA"
1.2,1,96.2682635955814,"#AAAAAA"
1.4,1,96.2682635955814,"#AAAAAA"
2,1,96.2682635955814,"#AAAAAA"
1.8,1,96.2682635955814,"#AAAAAA"
1.6,1,96.2682635955814,"#AAAAAA"
1,1,0.272997213405643,"#4daf4a"
1.2,1.5,0.272997213405643,"#4daf4a"
1.4,1.5,0.272997213405643,"#4daf4a"
2,5.5,0.272997213405643,"#AAAAAA"
1.8,5,0.272997213405643,"#AAAAAA"
1.6,5,0.272997213405643,"#AAAAAA"
1,1,0.220611894884163,"#a65628"
1.2,1.3,0.220611894884163,"#a65628"
1.4,1.3,0.220611894884163,"#a65628"
2,3.7,0.220611894884163,"#AAAAAA"
1.8,3.4,0.220611894884163,"#AAAAAA"
1.6,3.4,0.220611894884163,"#AAAAAA"
1,1,3.90498088121361e-05,"#377eb8"
1.2,1.2,3.90498088121361e-05,"#377eb8"
1.4,1.2,3.90498088121361e-05,"#377eb8"
2,2.8,3.90498088121361e-05,"#AAAAAA"
1.8,2.6,3.90498088121361e-05,"#AAAAAA"
1.6,2.6,3.90498088121361e-05,"#AAAAAA"
1,5.5,0.00411975482968035,"#f781bf"
1.2,5.4,0.00411975482968035,"#f781bf"
1.4,5.4,0.00411975482968035,"#f781bf"
2,4.6,0.00411975482968035,"#4daf4a"
1.8,4.7,0.00411975482968035,"#4daf4a"
1.6,4.7,0.00411975482968035,"#4daf4a"
1,5.5,0.406469459925524,"#AAAAAA"
1.2,5,0.406469459925524,"#AAAAAA"
1.4,5,0.406469459925524,"#AAAAAA"
2,1,0.406469459925524,"#4daf4a"
1.8,1.5,0.406469459925524,"#4daf4a"
1.6,1.5,0.406469459925524,"#4daf4a"
1,5.5,0.45803473246195,"#4daf4a"
1.2,5.5,0.45803473246195,"#4daf4a"
1.4,5.5,0.45803473246195,"#4daf4a"
2,5.5,0.45803473246195,"#4daf4a"
1.8,5.5,0.45803473246195,"#4daf4a"
1.6,5.5,0.45803473246195,"#4daf4a"
1,5.5,0.367868723914728,"#a65628"
1.2,5.3,0.367868723914728,"#a65628"
1.4,5.3,0.367868723914728,"#a65628"
2,3.7,0.367868723914728,"#4daf4a"
1.8,3.9,0.367868723914728,"#4daf4a"
1.6,3.9,0.367868723914728,"#4daf4a"
1,3.7,0.00646274335840852,"#f781bf"
1.2,3.8,0.00646274335840852,"#f781bf"
1.4,3.8,0.00646274335840852,"#f781bf"
2,4.6,0.00646274335840852,"#a65628"
1.8,4.5,0.00646274335840852,"#a65628"
1.6,4.5,0.00646274335840852,"#a65628"
1,3.7,0.588714917651763,"#AAAAAA"
1.2,3.4,0.588714917651763,"#AAAAAA"
1.4,3.4,0.588714917651763,"#AAAAAA"
2,1,0.588714917651763,"#a65628"
1.8,1.3,0.588714917651763,"#a65628"
1.6,1.3,0.588714917651763,"#a65628"
1,3.7,0.295177504810936,"#4daf4a"
1.2,3.9,0.295177504810936,"#4daf4a"
1.4,3.9,0.295177504810936,"#4daf4a"
2,5.5,0.295177504810936,"#a65628"
1.8,5.3,0.295177504810936,"#a65628"
1.6,5.3,0.295177504810936,"#a65628"
1,3.7,0.171291986354435,"#a65628"
1.2,3.7,0.171291986354435,"#a65628"
1.4,3.7,0.171291986354435,"#a65628"
2,3.7,0.171291986354435,"#a65628"
1.8,3.7,0.171291986354435,"#a65628"
1.6,3.7,0.171291986354435,"#a65628"
1,2.8,7.80996176242721e-05,"#AAAAAA"
1.2,2.6,7.80996176242721e-05,"#AAAAAA"
1.4,2.6,7.80996176242721e-05,"#AAAAAA"
2,1,7.80996176242721e-05,"#377eb8"
1.8,1.2,7.80996176242721e-05,"#377eb8"
1.6,1.2,7.80996176242721e-05,"#377eb8"
1,2.8,5.85747132182041e-05,"#4daf4a"
1.2,3.1,5.85747132182041e-05,"#4daf4a"
1.4,3.1,5.85747132182041e-05,"#4daf4a"
2,5.5,5.85747132182041e-05,"#377eb8"
1.8,5.2,5.85747132182041e-05,"#377eb8"
1.6,5.2,5.85747132182041e-05,"#377eb8"
1,2.8,0.00413927973408642,"#a65628"
1.2,2.9,0.00413927973408642,"#a65628"
1.4,2.9,0.00413927973408642,"#a65628"
2,3.7,0.00413927973408642,"#377eb8"
1.8,3.6,0.00413927973408642,"#377eb8"
1.6,3.6,0.00413927973408642,"#377eb8"
2,6.4,0.00019524904406068,"#AAAAAA"
2.2,5.8,0.00019524904406068,"#AAAAAA"
2.4,5.8,0.00019524904406068,"#AAAAAA"
3,1,0.00019524904406068,"#ffd300"
2.8,1.6,0.00019524904406068,"#ffd300"
2.6,1.6,0.00019524904406068,"#ffd300"
2,1.9,1.9524904406068e-05,"#AAAAAA"
2.2,1.8,1.9524904406068e-05,"#AAAAAA"
2.4,1.8,1.9524904406068e-05,"#AAAAAA"
3,1,1.9524904406068e-05,"#e41a1c"
2.8,1.1,1.9524904406068e-05,"#e41a1c"
