"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Le Sueur",1005,282826,1,5,2008,2009
"Le Sueur",1023,2025,1,23,2008,2009
"Le Sueur",1028,669,1,28,2008,2009
"Le Sueur",1036,351,1,36,2008,2009
"Le Sueur",1037,39,1,37,2008,2009
"Le Sueur",1059,3,1,59,2008,2009
"Le Sueur",1111,331,1,111,2008,2009
"Le Sueur",1121,444,1,121,2008,2009
"Le Sueur",1152,7,1,152,2008,2009
"Le Sueur",1176,15784,1,176,2008,2009
"Le Sueur",1190,2,1,190,2008,2009
"Le Sueur",1195,2195,1,195,2008,2009
"Le Sueur",5005,46250,5,5,2008,2009
"Le Sueur",5023,3024,5,23,2008,2009
"Le Sueur",5024,1019,5,24,2008,2009
"Le Sueur",5028,566,5,28,2008,2009
"Le Sueur",5036,169,5,36,2008,2009
"Le Sueur",5037,27,5,37,2008,2009
"Le Sueur",5059,1,5,59,2008,2009
"Le Sueur",5061,6,5,61,2008,2009
"Le Sueur",5111,66,5,111,2008,2009
"Le Sueur",5121,311,5,121,2008,2009
"Le Sueur",5141,290,5,141,2008,2009
"Le Sueur",5152,2,5,152,2008,2009
"Le Sueur",5176,13360,5,176,2008,2009
"Le Sueur",5190,1,5,190,2008,2009
"Le Sueur",5195,710,5,195,2008,2009
"Le Sueur",21176,3,21,176,2008,2009
"Le Sueur",23005,1903,23,5,2008,2009
"Le Sueur",23023,124,23,23,2008,2009
"Le Sueur",23024,4,23,24,2008,2009
"Le Sueur",23028,24,23,28,2008,2009
"Le Sueur",23036,137,23,36,2008,2009
"Le Sueur",23037,2,23,37,2008,2009
"Le Sueur",23111,1,23,111,2008,2009
"Le Sueur",23131,30,23,131,2008,2009
"Le Sueur",23176,847,23,176,2008,2009
"Le Sueur",23195,20,23,195,2008,2009
"Le Sueur",24005,355,24,5,2008,2009
"Le Sueur",24023,24,24,23,2008,2009
"Le Sueur",24028,1,24,28,2008,2009
"Le Sueur",24036,29,24,36,2008,2009
"Le Sueur",24176,161,24,176,2008,2009
"Le Sueur",24195,2,24,195,2008,2009
"Le Sueur",27176,9,27,176,2008,2009
"Le Sueur",27195,1,27,195,2008,2009
"Le Sueur",28005,57,28,5,2008,2009
"Le Sueur",28023,2,28,23,2008,2009
"Le Sueur",28036,161,28,36,2008,2009
"Le Sueur",28037,1,28,37,2008,2009
"Le Sueur",28141,6,28,141,2008,2009
"Le Sueur",28176,158,28,176,2008,2009
"Le Sueur",28195,8,28,195,2008,2009
"Le Sueur",36005,209,36,5,2008,2009
