"xCoords","yCoords","width","colorToUse"
1,6.4,5.83322517893138,"#ffd300"
1.2,6.4,5.83322517893138,"#ffd300"
1.4,6.4,5.83322517893138,"#ffd300"
2,6.4,5.83322517893138,"#ffd300"
1.8,6.4,5.83322517893138,"#ffd300"
1.6,6.4,5.83322517893138,"#ffd300"
1,6.4,0.0257370814149675,"#f781bf"
1.2,6.2,0.0257370814149675,"#f781bf"
1.4,6.2,0.0257370814149675,"#f781bf"
2,4.6,0.0257370814149675,"#ffd300"
1.8,4.8,0.0257370814149675,"#ffd300"
1.6,4.8,0.0257370814149675,"#ffd300"
1,6.4,1.60031852387939,"#AAAAAA"
1.2,5.8,1.60031852387939,"#AAAAAA"
1.4,5.8,1.60031852387939,"#AAAAAA"
2,1,1.60031852387939,"#ffd300"
1.8,1.6,1.60031852387939,"#ffd300"
1.6,1.6,1.60031852387939,"#ffd300"
1,6.4,20.7382216190017,"#4daf4a"
1.2,6.3,20.7382216190017,"#4daf4a"
1.4,6.3,20.7382216190017,"#4daf4a"
2,5.5,20.7382216190017,"#ffd300"
1.8,5.6,20.7382216190017,"#ffd300"
1.6,5.6,20.7382216190017,"#ffd300"
1,6.4,0.148483162009428,"#a65628"
1.2,6.1,0.148483162009428,"#a65628"
1.4,6.1,0.148483162009428,"#a65628"
2,3.7,0.148483162009428,"#ffd300"
1.8,4,0.148483162009428,"#ffd300"
1.6,4,0.148483162009428,"#ffd300"
1,6.4,7.33250182762608e-05,"#377eb8"
1.2,6,7.33250182762608e-05,"#377eb8"
1.4,6,7.33250182762608e-05,"#377eb8"
2,2.8,7.33250182762608e-05,"#ffd300"
1.8,3.2,7.33250182762608e-05,"#ffd300"
1.6,3.2,7.33250182762608e-05,"#ffd300"
1,1.9,0.000366625091381304,"#AAAAAA"
1.2,1.8,0.000366625091381304,"#AAAAAA"
1.4,1.8,0.000366625091381304,"#AAAAAA"
2,1,0.000366625091381304,"#e41a1c"
1.8,1.1,0.000366625091381304,"#e41a1c"
1.6,1.1,0.000366625091381304,"#e41a1c"
1,4.6,0.0656258913572534,"#ffd300"
1.2,4.8,0.0656258913572534,"#ffd300"
1.4,4.8,0.0656258913572534,"#ffd300"
2,6.4,0.0656258913572534,"#f781bf"
1.8,6.2,0.0656258913572534,"#f781bf"
1.6,6.2,0.0656258913572534,"#f781bf"
1,4.6,0.249011762066182,"#f781bf"
1.2,4.6,0.249011762066182,"#f781bf"
1.4,4.6,0.249011762066182,"#f781bf"
2,4.6,0.249011762066182,"#f781bf"
1.8,4.6,0.249011762066182,"#f781bf"
1.6,4.6,0.249011762066182,"#f781bf"
1,4.6,0.175613418771645,"#AAAAAA"
1.2,4.2,0.175613418771645,"#AAAAAA"
1.4,4.2,0.175613418771645,"#AAAAAA"
2,1,0.175613418771645,"#f781bf"
1.8,1.4,0.175613418771645,"#f781bf"
1.6,1.4,0.175613418771645,"#f781bf"
1,4.6,0.0363692090650254,"#4daf4a"
1.2,4.7,0.0363692090650254,"#4daf4a"
1.4,4.7,0.0363692090650254,"#4daf4a"
2,5.5,0.0363692090650254,"#f781bf"
1.8,5.4,0.0363692090650254,"#f781bf"
1.6,5.4,0.0363692090650254,"#f781bf"
1,4.6,0.000219975054828782,"#a65628"
1.2,4.5,0.000219975054828782,"#a65628"
1.4,4.5,0.000219975054828782,"#a65628"
2,3.7,0.000219975054828782,"#f781bf"
1.8,3.8,0.000219975054828782,"#f781bf"
1.6,3.8,0.000219975054828782,"#f781bf"
1,1,1.24307903483745,"#ffd300"
1.2,1.6,1.24307903483745,"#ffd300"
1.4,1.6,1.24307903483745,"#ffd300"
2,6.4,1.24307903483745,"#AAAAAA"
1.8,5.8,1.24307903483745,"#AAAAAA"
1.6,5.8,1.24307903483745,"#AAAAAA"
1,1,0.000293300073105043,"#e41a1c"
1.2,1.1,0.000293300073105043,"#e41a1c"
1.4,1.1,0.000293300073105043,"#e41a1c"
2,1.9,0.000293300073105043,"#AAAAAA"
1.8,1.8,0.000293300073105043,"#AAAAAA"
1.6,1.8,0.000293300073105043,"#AAAAAA"
1,1,0.341034660002889,"#f781bf"
1.2,1.4,0.341034660002889,"#f781bf"
1.4,1.4,0.341034660002889,"#f781bf"
2,4.6,0.341034660002889,"#AAAAAA"
1.8,4.2,0.341034660002889,"#AAAAAA"
1.6,4.2,0.341034660002889,"#AAAAAA"
1,1,41.7568381078919,"#AAAAAA"
1.2,1,41.7568381078919,"#AAAAAA"
1.4,1,41.7568381078919,"#AAAAAA"
2,1,41.7568381078919,"#AAAAAA"
1.8,1,41.7568381078919,"#AAAAAA"
1.6,1,41.7568381078919,"#AAAAAA"
1,1,1.31383767747404,"#4daf4a"
1.2,1.5,1.31383767747404,"#4daf4a"
1.4,1.5,1.31383767747404,"#4daf4a"
2,5.5,1.31383767747404,"#AAAAAA"
1.8,5,1.31383767747404,"#AAAAAA"
1.6,5,1.31383767747404,"#AAAAAA"
1,1,0.0416486103809161,"#a65628"
1.2,1.3,0.0416486103809161,"#a65628"
1.4,1.3,0.0416486103809161,"#a65628"
2,3.7,0.0416486103809161,"#AAAAAA"
1.8,3.4,0.0416486103809161,"#AAAAAA"
1.6,3.4,0.0416486103809161,"#AAAAAA"
1,1,0.000439950109657565,"#377eb8"
1.2,1.2,0.000439950109657565,"#377eb8"
1.4,1.2,0.000439950109657565,"#377eb8"
2,2.8,0.000439950109657565,"#AAAAAA"
1.8,2.6,0.000439950109657565,"#AAAAAA"
1.6,2.6,0.000439950109657565,"#AAAAAA"
1,5.5,20.9590765740498,"#ffd300"
1.2,5.6,20.9590765740498,"#ffd300"
1.4,5.6,20.9590765740498,"#ffd300"
2,6.4,20.9590765740498,"#4daf4a"
1.8,6.3,20.9590765740498,"#4daf4a"
1.6,6.3,20.9590765740498,"#4daf4a"
1,5.5,0.0123919280886881,"#f781bf"
1.2,5.4,0.0123919280886881,"#f781bf"
1.4,5.4,0.0123919280886881,"#f781bf"
2,4.6,0.0123919280886881,"#4daf4a"
1.8,4.7,0.0123919280886881,"#4daf4a"
1.6,4.7,0.0123919280886881,"#4daf4a"
1,5.5,1.426098280455,"#AAAAAA"
1.2,5,1.426098280455,"#AAAAAA"
1.4,5,1.426098280455,"#AAAAAA"
2,1,1.426098280455,"#4daf4a"
1.8,1.5,1.426098280455,"#4daf4a"
1.6,1.5,1.426098280455,"#4daf4a"
1,5.5,3.39128209527706,"#4daf4a"
1.2,5.5,3.39128209527706,"#4daf4a"
