"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,79553,5.83322517893138,386581,28.3460588902552,385850,28.2924583018952
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,351,0.0257370814149675,386581,28.3460588902552,8704,0.638220959076574
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,21825,1.60031852387939,386581,28.3460588902552,614088,45.0280138232324
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,282826,20.7382216190017,386581,28.3460588902552,349393,25.6192481105976
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,2025,0.148483162009428,386581,28.3460588902552,5744,0.421178904978842
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,1,7.33250182762608e-05,386581,28.3460588902552,8,0.000586600146210086
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,5,0.000366625091381304,5,0.000366625091381304,614088,45.0280138232324
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,895,0.0656258913572534,7185,0.526840256314934,385850,28.2924583018952
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,3396,0.249011762066182,7185,0.526840256314934,8704,0.638220959076574
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,2395,0.175613418771645,7185,0.526840256314934,614088,45.0280138232324
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,496,0.0363692090650254,7185,0.526840256314934,349393,25.6192481105976
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,3,0.000219975054828782,7185,0.526840256314934,5744,0.421178904978842
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,16953,1.24307903483745,609576,44.69717134077,385850,28.2924583018952
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,4,0.000293300073105043,609576,44.69717134077,4,0.000293300073105043
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,4651,0.341034660002889,609576,44.69717134077,8704,0.638220959076574
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,569476,41.7568381078919,609576,44.69717134077,614088,45.0280138232324
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,17918,1.31383767747404,609576,44.69717134077,349393,25.6192481105976
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,568,0.0416486103809161,609576,44.69717134077,5744,0.421178904978842
