"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Lincoln",0,595,0,0,2008,2009
"Lincoln",1005,348478,1,5,2008,2009
"Lincoln",1023,12255,1,23,2008,2009
"Lincoln",1028,489,1,28,2008,2009
"Lincoln",1036,1593,1,36,2008,2009
"Lincoln",1037,113,1,37,2008,2009
"Lincoln",1043,5,1,43,2008,2009
"Lincoln",1061,6,1,61,2008,2009
"Lincoln",1111,184,1,111,2008,2009
"Lincoln",1121,291,1,121,2008,2009
"Lincoln",1176,26462,1,176,2008,2009
"Lincoln",1195,3826,1,195,2008,2009
"Lincoln",5005,26263,5,5,2008,2009
"Lincoln",5023,42063,5,23,2008,2009
"Lincoln",5024,442,5,24,2008,2009
"Lincoln",5028,314,5,28,2008,2009
"Lincoln",5036,3332,5,36,2008,2009
"Lincoln",5037,86,5,37,2008,2009
"Lincoln",5058,2,5,58,2008,2009
"Lincoln",5059,1,5,59,2008,2009
"Lincoln",5061,3,5,61,2008,2009
"Lincoln",5111,32,5,111,2008,2009
"Lincoln",5121,310,5,121,2008,2009
"Lincoln",5176,24803,5,176,2008,2009
"Lincoln",5190,1,5,190,2008,2009
"Lincoln",5195,1301,5,195,2008,2009
"Lincoln",6005,296,6,5,2008,2009
"Lincoln",6023,418,6,23,2008,2009
"Lincoln",6131,1,6,131,2008,2009
"Lincoln",6176,146,6,176,2008,2009
"Lincoln",6195,9,6,195,2008,2009
"Lincoln",21005,6,21,5,2008,2009
"Lincoln",21023,1,21,23,2008,2009
"Lincoln",21036,4,21,36,2008,2009
"Lincoln",21176,8,21,176,2008,2009
"Lincoln",21195,14,21,195,2008,2009
"Lincoln",23005,20553,23,5,2008,2009
"Lincoln",23023,2023,23,23,2008,2009
"Lincoln",23024,41,23,24,2008,2009
"Lincoln",23028,71,23,28,2008,2009
"Lincoln",23036,1488,23,36,2008,2009
"Lincoln",23037,45,23,37,2008,2009
"Lincoln",23043,1,23,43,2008,2009
"Lincoln",23111,13,23,111,2008,2009
"Lincoln",23121,1,23,121,2008,2009
"Lincoln",23131,4,23,131,2008,2009
"Lincoln",23152,1,23,152,2008,2009
"Lincoln",23176,4783,23,176,2008,2009
"Lincoln",23190,1,23,190,2008,2009
"Lincoln",23195,246,23,195,2008,2009
"Lincoln",24005,644,24,5,2008,2009
"Lincoln",24023,1,24,23,2008,2009
"Lincoln",24036,6,24,36,2008,2009
"Lincoln",24037,1,24,37,2008,2009
"Lincoln",24131,1,24,131,2008,2009
"Lincoln",24176,54,24,176,2008,2009
"Lincoln",24195,3,24,195,2008,2009
"Lincoln",28005,81,28,5,2008,2009
"Lincoln",28023,8,28,23,2008,2009
"Lincoln",28028,3,28,28,2008,2009
"Lincoln",28036,49,28,36,2008,2009
"Lincoln",28037,2,28,37,2008,2009
"Lincoln",28176,148,28,176,2008,2009
"Lincoln",28195,16,28,195,2008,2009
"Lincoln",29005,3,29,5,2008,2009
"Lincoln",31005,2,31,5,2008,2009
"Lincoln",31176,7,31,176,2008,2009
"Lincoln",31195,1,31,195,2008,2009
"Lincoln",36005,379,36,5,2008,2009
"Lincoln",36006,1,36,6,2008,2009
"Lincoln",36023,883,36,23,2008,2009
"Lincoln",36028,6,36,28,2008,2009
"Lincoln",36036,17538,36,36,2008,2009
"Lincoln",36037,120,36,37,2008,2009
"Lincoln",36152,3,36,152,2008,2009
"Lincoln",36176,4951,36,176,2008,2009
"Lincoln",36190,2,36,190,2008,2009
"Lincoln",36195,118,36,195,2008,2009
"Lincoln",37005,55,37,5,2008,2009
"Lincoln",37023,8,37,23,2008,2009
"Lincoln",37028,1,37,28,2008,2009
"Lincoln",37036,117,37,36,2008,2009
"Lincoln",37037,9,37,37,2008,2009
"Lincoln",37111,5,37,111,2008,2009
"Lincoln",37176,1236,37,176,2008,2009
"Lincoln",37195,62,37,195,2008,2009
"Lincoln",41005,36,41,5,2008,2009
"Lincoln",41195,16,41,195,2008,2009
"Lincoln",42005,36,42,5,2008,2009
"Lincoln",42023,2,42,23,2008,2009
"Lincoln",42176,34,42,176,2008,2009
"Lincoln",42195,1,42,195,2008,2009
"Lincoln",43176,3,43,176,2008,2009
"Lincoln",44111,7,44,111,2008,2009
"Lincoln",58176,1,58,176,2008,2009
"Lincoln",59005,1,59,5,2008,2009
"Lincoln",61005,23,61,5,2008,2009
"Lincoln",61023,2,61,23,2008,2009
"Lincoln",61111,6,61,111,2008,2009
"Lincoln",61141,1,61,141,2008,2009
"Lincoln",61176,23,61,176,2008,2009
"Lincoln",61195,5,61,195,2008,2009
"Lincoln",111005,46,111,5,2008,2009
"Lincoln",111023,30,111,23,2008,2009
"Lincoln",111028,1,111,28,2008,2009
"Lincoln",111037,2,111,37,2008,2009
"Lincoln",111044,3,111,44,2008,2009
"Lincoln",111111,40517,111,111,2008,2009
"Lincoln",111141,1,111,141,2008,2009
"Lincoln",111176,289,111,176,2008,2009
"Lincoln",111195,1319,111,195,2008,2009
"Lincoln",121005,449,121,5,2008,2009
"Lincoln",121023,6,121,23,2008,2009
"Lincoln",121036,11,121,36,2008,2009
"Lincoln",121061,1,121,61,2008,2009
"Lincoln",121121,71536,121,121,2008,2009
"Lincoln",121122,454,121,122,2008,2009
"Lincoln",121123,75,121,123,2008,2009
"Lincoln",121176,5,121,176,2008,2009
"Lincoln",122121,987,122,121,2008,2009
"Lincoln",122122,3757,122,122,2008,2009
"Lincoln",122123,234,122,123,2008,2009
"Lincoln",122176,6,122,176,2008,2009
"Lincoln",123001,1,123,1,2008,2009
"Lincoln",123005,1,123,5,2008,2009
"Lincoln",123061,2,123,61,2008,2009
"Lincoln",123121,28,123,121,2008,2009
"Lincoln",123122,110,123,122,2008,2009
"Lincoln",123123,1009,123,123,2008,2009
"Lincoln",123124,9,123,124,2008,2009
"Lincoln",123176,10,123,176,2008,2009
"Lincoln",124122,22,124,122,2008,2009
"Lincoln",124123,49,124,123,2008,2009
"Lincoln",124124,149,124,124,2008,2009
"Lincoln",124176,1,124,176,2008,2009
"Lincoln",131023,2,131,23,2008,2009
"Lincoln",131176,91,131,176,2008,2009
"Lincoln",141005,76,141,5,2008,2009
"Lincoln",141111,125,141,111,2008,2009
"Lincoln",141131,7,141,131,2008,2009
"Lincoln",141141,13416,141,141,2008,2009
"Lincoln",141142,5,141,142,2008,2009
"Lincoln",141152,1,141,152,2008,2009
"Lincoln",141176,269,141,176,2008,2009
"Lincoln",141190,435,141,190,2008,2009
"Lincoln",141195,10,141,195,2008,2009
"Lincoln",142141,2,142,141,2008,2009
"Lincoln",142190,1,142,190,2008,2009
"Lincoln",152195,1,152,195,2008,2009
"Lincoln",176001,17951,176,1,2008,2009
"Lincoln",176005,24175,176,5,2008,2009
"Lincoln",176006,7,176,6,2008,2009
"Lincoln",176021,40,176,21,2008,2009
"Lincoln",176023,4013,176,23,2008,2009
"Lincoln",176024,342,176,24,2008,2009
"Lincoln",176027,31,176,27,2008,2009
"Lincoln",176028,112,176,28,2008,2009
"Lincoln",176036,7655,176,36,2008,2009
"Lincoln",176037,772,176,37,2008,2009
"Lincoln",176053,10,176,53,2008,2009
"Lincoln",176059,6,176,59,2008,2009
"Lincoln",176061,8,176,61,2008,2009
"Lincoln",176111,502,176,111,2008,2009
"Lincoln",176121,24,176,121,2008,2009
"Lincoln",176131,259,176,131,2008,2009
"Lincoln",176141,351,176,141,2008,2009
"Lincoln",176152,2,176,152,2008,2009
"Lincoln",176176,328943,176,176,2008,2009
"Lincoln",176190,20,176,190,2008,2009
"Lincoln",176195,12387,176,195,2008,2009
"Lincoln",190005,2,190,5,2008,2009
"Lincoln",190111,5,190,111,2008,2009
"Lincoln",190141,495,190,141,2008,2009
"Lincoln",190176,13,190,176,2008,2009
"Lincoln",190190,201,190,190,2008,2009
"Lincoln",190195,2,190,195,2008,2009
"Lincoln",195001,1234,195,1,2008,2009
"Lincoln",195005,1168,195,5,2008,2009
"Lincoln",195006,2,195,6,2008,2009
"Lincoln",195021,1,195,21,2008,2009
"Lincoln",195023,156,195,23,2008,2009
"Lincoln",195024,4,195,24,2008,2009
"Lincoln",195028,4,195,28,2008,2009
"Lincoln",195036,321,195,36,2008,2009
"Lincoln",195037,35,195,37,2008,2009
"Lincoln",195044,4,195,44,2008,2009
"Lincoln",195059,2,195,59,2008,2009
"Lincoln",195061,4,195,61,2008,2009
"Lincoln",195111,1984,195,111,2008,2009
"Lincoln",195131,2,195,131,2008,2009
"Lincoln",195141,7,195,141,2008,2009
"Lincoln",195152,1,195,152,2008,2009
"Lincoln",195176,15939,195,176,2008,2009
"Lincoln",195190,4,195,190,2008,2009
"Lincoln",195195,12751,195,195,2008,2009
"Lincoln",1001,89054,1,1,2008,2009
"Lincoln",1006,2277,1,6,2008,2009
"Lincoln",1021,44,1,21,2008,2009
"Lincoln",1024,69,1,24,2008,2009
