"xCoords","yCoords","width","colorToUse"
1,6.4,5.64213551414304,"#ffd300"
1.2,6.4,5.64213551414304,"#ffd300"
1.4,6.4,5.64213551414304,"#ffd300"
2,6.4,5.64213551414304,"#ffd300"
1.8,6.4,5.64213551414304,"#ffd300"
1.6,6.4,5.64213551414304,"#ffd300"
1,6.4,0.00101370144211701,"#e41a1c"
1.2,5.9,0.00101370144211701,"#e41a1c"
1.4,5.9,0.00101370144211701,"#e41a1c"
2,1.9,0.00101370144211701,"#ffd300"
1.8,2.4,0.00101370144211701,"#ffd300"
1.6,2.4,0.00101370144211701,"#ffd300"
1,6.4,0.100926649830775,"#f781bf"
1.2,6.2,0.100926649830775,"#f781bf"
1.4,6.2,0.100926649830775,"#f781bf"
2,4.6,0.100926649830775,"#ffd300"
1.8,4.8,0.100926649830775,"#ffd300"
1.6,4.8,0.100926649830775,"#ffd300"
1,6.4,2.15303850671641,"#AAAAAA"
1.2,5.8,2.15303850671641,"#AAAAAA"
1.4,5.8,2.15303850671641,"#AAAAAA"
2,1,2.15303850671641,"#ffd300"
1.8,1.6,2.15303850671641,"#ffd300"
1.6,1.6,2.15303850671641,"#ffd300"
1,6.4,22.0782906966283,"#4daf4a"
1.2,6.3,22.0782906966283,"#4daf4a"
1.4,6.3,22.0782906966283,"#4daf4a"
2,5.5,22.0782906966283,"#ffd300"
1.8,5.6,22.0782906966283,"#ffd300"
1.6,5.6,22.0782906966283,"#ffd300"
1,6.4,0.776431948321501,"#a65628"
1.2,6.1,0.776431948321501,"#a65628"
1.4,6.1,0.776431948321501,"#a65628"
2,3.7,0.776431948321501,"#ffd300"
1.8,4,0.776431948321501,"#ffd300"
1.6,4,0.776431948321501,"#ffd300"
1,6.4,0.00145719582304321,"#377eb8"
1.2,6,0.00145719582304321,"#377eb8"
1.4,6,0.00145719582304321,"#377eb8"
2,2.8,0.00145719582304321,"#ffd300"
1.8,3.2,0.00145719582304321,"#ffd300"
1.6,3.2,0.00145719582304321,"#ffd300"
1,1.9,0.000760276081587761,"#ffd300"
1.2,2.4,0.000760276081587761,"#ffd300"
1.4,2.4,0.000760276081587761,"#ffd300"
2,6.4,0.000760276081587761,"#e41a1c"
1.8,5.9,0.000760276081587761,"#e41a1c"
1.6,5.9,0.000760276081587761,"#e41a1c"
1,1.9,0.000126712680264627,"#f781bf"
1.2,2.2,0.000126712680264627,"#f781bf"
1.4,2.2,0.000126712680264627,"#f781bf"
2,4.6,0.000126712680264627,"#e41a1c"
1.8,4.3,0.000126712680264627,"#e41a1c"
1.6,4.3,0.000126712680264627,"#e41a1c"
1,1.9,0.00266096628555716,"#AAAAAA"
1.2,1.8,0.00266096628555716,"#AAAAAA"
1.4,1.8,0.00266096628555716,"#AAAAAA"
2,1,0.00266096628555716,"#e41a1c"
1.8,1.1,0.00266096628555716,"#e41a1c"
1.6,1.1,0.00266096628555716,"#e41a1c"
1,1.9,0.00228082824476328,"#4daf4a"
1.2,2.3,0.00228082824476328,"#4daf4a"
1.4,2.3,0.00228082824476328,"#4daf4a"
2,5.5,0.00228082824476328,"#e41a1c"
1.8,5.1,0.00228082824476328,"#e41a1c"
1.6,5.1,0.00228082824476328,"#e41a1c"
1,1.9,0.000126712680264627,"#a65628"
1.2,2.1,0.000126712680264627,"#a65628"
1.4,2.1,0.000126712680264627,"#a65628"
2,3.7,0.000126712680264627,"#e41a1c"
1.8,3.5,0.000126712680264627,"#e41a1c"
1.6,3.5,0.000126712680264627,"#e41a1c"
1,4.6,0.255135981712826,"#ffd300"
1.2,4.8,0.255135981712826,"#ffd300"
1.4,4.8,0.255135981712826,"#ffd300"
2,6.4,0.255135981712826,"#f781bf"
1.8,6.2,0.255135981712826,"#f781bf"
1.6,6.2,0.255135981712826,"#f781bf"
1,4.6,1.20180641596985,"#f781bf"
1.2,4.6,1.20180641596985,"#f781bf"
1.4,4.6,1.20180641596985,"#f781bf"
2,4.6,1.20180641596985,"#f781bf"
1.8,4.6,1.20180641596985,"#f781bf"
1.6,4.6,1.20180641596985,"#f781bf"
1,4.6,0.34617904248296,"#AAAAAA"
1.2,4.2,0.34617904248296,"#AAAAAA"
1.4,4.2,0.34617904248296,"#AAAAAA"
2,1,0.34617904248296,"#f781bf"
1.8,1.4,0.34617904248296,"#f781bf"
1.6,1.4,0.34617904248296,"#f781bf"
1,4.6,0.027496651617424,"#4daf4a"
1.2,4.7,0.027496651617424,"#4daf4a"
1.4,4.7,0.027496651617424,"#4daf4a"
2,5.5,0.027496651617424,"#f781bf"
1.8,5.4,0.027496651617424,"#f781bf"
