"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Lyon",1005,624921,1,5,2008,2009
"Lyon",1023,6774,1,23,2008,2009
"Lyon",1028,280,1,28,2008,2009
"Lyon",1036,1818,1,36,2008,2009
"Lyon",1037,237,1,37,2008,2009
"Lyon",1043,29,1,43,2008,2009
"Lyon",1044,1,1,44,2008,2009
"Lyon",1059,5,1,59,2008,2009
"Lyon",1061,1,1,61,2008,2009
"Lyon",1111,399,1,111,2008,2009
"Lyon",1121,729,1,121,2008,2009
"Lyon",1152,4,1,152,2008,2009
"Lyon",1176,22201,1,176,2008,2009
"Lyon",1190,1,1,190,2008,2009
"Lyon",1195,9562,1,195,2008,2009
"Lyon",5005,34394,5,5,2008,2009
"Lyon",5023,15799,5,23,2008,2009
"Lyon",5024,70,5,24,2008,2009
"Lyon",5028,222,5,28,2008,2009
"Lyon",5036,4079,5,36,2008,2009
"Lyon",5037,102,5,37,2008,2009
"Lyon",5043,19,5,43,2008,2009
"Lyon",5058,2,5,58,2008,2009
"Lyon",5059,2,5,59,2008,2009
"Lyon",5061,10,5,61,2008,2009
"Lyon",5111,44,5,111,2008,2009
"Lyon",5121,559,5,121,2008,2009
"Lyon",5141,2,5,141,2008,2009
"Lyon",5152,3,5,152,2008,2009
"Lyon",5176,21153,5,176,2008,2009
"Lyon",5190,1,5,190,2008,2009
"Lyon",5195,4152,5,195,2008,2009
"Lyon",6005,33,6,5,2008,2009
"Lyon",6023,2,6,23,2008,2009
"Lyon",6176,9,6,176,2008,2009
"Lyon",6195,9,6,195,2008,2009
"Lyon",21005,8,21,5,2008,2009
"Lyon",21023,1,21,23,2008,2009
"Lyon",21036,8,21,36,2008,2009
"Lyon",21176,9,21,176,2008,2009
"Lyon",21195,1,21,195,2008,2009
"Lyon",23005,9094,23,5,2008,2009
"Lyon",23023,300,23,23,2008,2009
"Lyon",23024,33,23,24,2008,2009
"Lyon",23028,30,23,28,2008,2009
"Lyon",23036,827,23,36,2008,2009
"Lyon",23037,18,23,37,2008,2009
"Lyon",23043,1,23,43,2008,2009
"Lyon",23058,2,23,58,2008,2009
"Lyon",23059,1,23,59,2008,2009
"Lyon",23111,15,23,111,2008,2009
"Lyon",23121,9,23,121,2008,2009
"Lyon",23131,22,23,131,2008,2009
"Lyon",23141,1,23,141,2008,2009
"Lyon",23176,1518,23,176,2008,2009
"Lyon",23195,144,23,195,2008,2009
"Lyon",24005,256,24,5,2008,2009
"Lyon",24023,3,24,23,2008,2009
"Lyon",24036,9,24,36,2008,2009
"Lyon",24131,2,24,131,2008,2009
"Lyon",24176,72,24,176,2008,2009
"Lyon",24195,26,24,195,2008,2009
"Lyon",27176,4,27,176,2008,2009
"Lyon",27195,1,27,195,2008,2009
"Lyon",28005,336,28,5,2008,2009
"Lyon",28023,55,28,23,2008,2009
"Lyon",28036,207,28,36,2008,2009
"Lyon",28176,162,28,176,2008,2009
"Lyon",28195,15,28,195,2008,2009
"Lyon",31176,6,31,176,2008,2009
"Lyon",36005,1142,36,5,2008,2009
"Lyon",36023,160,36,23,2008,2009
"Lyon",36028,10,36,28,2008,2009
"Lyon",36036,13601,36,36,2008,2009
"Lyon",36037,89,36,37,2008,2009
"Lyon",36131,9,36,131,2008,2009
"Lyon",36141,8,36,141,2008,2009
"Lyon",36152,2,36,152,2008,2009
"Lyon",36176,4007,36,176,2008,2009
"Lyon",36190,2,36,190,2008,2009
"Lyon",36195,354,36,195,2008,2009
"Lyon",37005,121,37,5,2008,2009
"Lyon",37023,14,37,23,2008,2009
"Lyon",37024,1,37,24,2008,2009
"Lyon",37036,83,37,36,2008,2009
"Lyon",37037,20,37,37,2008,2009
"Lyon",37176,1197,37,176,2008,2009
"Lyon",37195,62,37,195,2008,2009
"Lyon",41005,321,41,5,2008,2009
