"xCoords","yCoords","width","colorToUse"
1,6.4,6.37899924761979,"#ffd300"
1.2,6.4,6.37899924761979,"#ffd300"
1.4,6.4,6.37899924761979,"#ffd300"
2,6.4,6.37899924761979,"#ffd300"
1.8,6.4,6.37899924761979,"#ffd300"
1.6,6.4,6.37899924761979,"#ffd300"
1,6.4,0.00616547162486188,"#e41a1c"
1.2,5.9,0.00616547162486188,"#e41a1c"
1.4,5.9,0.00616547162486188,"#e41a1c"
2,1.9,0.00616547162486188,"#ffd300"
1.8,2.4,0.00616547162486188,"#ffd300"
1.6,2.4,0.00616547162486188,"#ffd300"
1,6.4,0.0875689641718664,"#f781bf"
1.2,6.2,0.0875689641718664,"#f781bf"
1.4,6.2,0.0875689641718664,"#f781bf"
2,4.6,0.0875689641718664,"#ffd300"
1.8,4.8,0.0875689641718664,"#ffd300"
1.6,4.8,0.0875689641718664,"#ffd300"
1,6.4,1.62648031528681,"#AAAAAA"
1.2,5.8,1.62648031528681,"#AAAAAA"
1.4,5.8,1.62648031528681,"#AAAAAA"
2,1,1.62648031528681,"#ffd300"
1.8,1.6,1.62648031528681,"#ffd300"
1.6,1.6,1.62648031528681,"#ffd300"
1,6.4,30.1010366662524,"#4daf4a"
1.2,6.3,30.1010366662524,"#4daf4a"
1.4,6.3,30.1010366662524,"#4daf4a"
2,5.5,30.1010366662524,"#ffd300"
1.8,5.6,30.1010366662524,"#ffd300"
1.6,5.6,30.1010366662524,"#ffd300"
1,6.4,0.326288318646987,"#a65628"
1.2,6.1,0.326288318646987,"#a65628"
1.4,6.1,0.326288318646987,"#a65628"
2,3.7,0.326288318646987,"#ffd300"
1.8,4,0.326288318646987,"#ffd300"
1.6,4,0.326288318646987,"#ffd300"
1,6.4,0.0353069586017481,"#377eb8"
1.2,6,0.0353069586017481,"#377eb8"
1.4,6,0.0353069586017481,"#377eb8"
2,2.8,0.0353069586017481,"#ffd300"
1.8,3.2,0.0353069586017481,"#ffd300"
1.6,3.2,0.0353069586017481,"#ffd300"
1,1.9,0.00168587114742317,"#ffd300"
1.2,2.4,0.00168587114742317,"#ffd300"
1.4,2.4,0.00168587114742317,"#ffd300"
2,6.4,0.00168587114742317,"#e41a1c"
1.8,5.9,0.00168587114742317,"#e41a1c"
1.6,5.9,0.00168587114742317,"#e41a1c"
1,1.9,9.63354941384669e-05,"#e41a1c"
1.2,1.9,9.63354941384669e-05,"#e41a1c"
1.4,1.9,9.63354941384669e-05,"#e41a1c"
2,1.9,9.63354941384669e-05,"#e41a1c"
1.8,1.9,9.63354941384669e-05,"#e41a1c"
1.6,1.9,9.63354941384669e-05,"#e41a1c"
1,1.9,0.000192670988276934,"#f781bf"
1.2,2.2,0.000192670988276934,"#f781bf"
1.4,2.2,0.000192670988276934,"#f781bf"
2,4.6,0.000192670988276934,"#e41a1c"
1.8,4.3,0.000192670988276934,"#e41a1c"
1.6,4.3,0.000192670988276934,"#e41a1c"
1,1.9,0.00621363937193111,"#AAAAAA"
1.2,1.8,0.00621363937193111,"#AAAAAA"
1.4,1.8,0.00621363937193111,"#AAAAAA"
2,1,0.00621363937193111,"#e41a1c"
1.8,1.1,0.00621363937193111,"#e41a1c"
1.6,1.1,0.00621363937193111,"#e41a1c"
1,1.9,0.00260105834173861,"#4daf4a"
1.2,2.3,0.00260105834173861,"#4daf4a"
1.4,2.3,0.00260105834173861,"#4daf4a"
2,5.5,0.00260105834173861,"#e41a1c"
1.8,5.1,0.00260105834173861,"#e41a1c"
1.6,5.1,0.00260105834173861,"#e41a1c"
1,1.9,0.000240838735346167,"#a65628"
1.2,2.1,0.000240838735346167,"#a65628"
1.4,2.1,0.000240838735346167,"#a65628"
2,3.7,0.000240838735346167,"#e41a1c"
1.8,3.5,0.000240838735346167,"#e41a1c"
1.6,3.5,0.000240838735346167,"#e41a1c"
1,4.6,0.241079574081513,"#ffd300"
1.2,4.8,0.241079574081513,"#ffd300"
1.4,4.8,0.241079574081513,"#ffd300"
2,6.4,0.241079574081513,"#f781bf"
1.8,6.2,0.241079574081513,"#f781bf"
1.6,6.2,0.241079574081513,"#f781bf"
1,4.6,9.63354941384669e-05,"#e41a1c"
1.2,4.3,9.63354941384669e-05,"#e41a1c"
1.4,4.3,9.63354941384669e-05,"#e41a1c"
2,1.9,9.63354941384669e-05,"#f781bf"
1.8,2.2,9.63354941384669e-05,"#f781bf"
1.6,2.2,9.63354941384669e-05,"#f781bf"
1,4.6,0.72136018010884,"#f781bf"
1.2,4.6,0.72136018010884,"#f781bf"
1.4,4.6,0.72136018010884,"#f781bf"
2,4.6,0.72136018010884,"#f781bf"
1.8,4.6,0.72136018010884,"#f781bf"
1.6,4.6,0.72136018010884,"#f781bf"
1,4.6,0.220174771853466,"#AAAAAA"
1.2,4.2,0.220174771853466,"#AAAAAA"
1.4,4.2,0.220174771853466,"#AAAAAA"
2,1,0.220174771853466,"#f781bf"
1.8,1.4,0.220174771853466,"#f781bf"
1.6,1.4,0.220174771853466,"#f781bf"
1,4.6,0.0608358645484418,"#4daf4a"
1.2,4.7,0.0608358645484418,"#4daf4a"
1.4,4.7,0.0608358645484418,"#4daf4a"
2,5.5,0.0608358645484418,"#f781bf"
