"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Mahnomen",1005,84654,1,5,2008,2009
"Mahnomen",1023,2525,1,23,2008,2009
"Mahnomen",1028,59,1,28,2008,2009
"Mahnomen",1036,779,1,36,2008,2009
"Mahnomen",1037,20,1,37,2008,2009
"Mahnomen",1043,3,1,43,2008,2009
"Mahnomen",1059,4,1,59,2008,2009
"Mahnomen",1061,44401,1,61,2008,2009
"Mahnomen",1111,25,1,111,2008,2009
"Mahnomen",1121,102,1,121,2008,2009
"Mahnomen",1152,8,1,152,2008,2009
"Mahnomen",1176,3515,1,176,2008,2009
"Mahnomen",1190,25,1,190,2008,2009
"Mahnomen",1195,2979,1,195,2008,2009
"Mahnomen",5005,112593,5,5,2008,2009
"Mahnomen",5023,73381,5,23,2008,2009
"Mahnomen",5024,32,5,24,2008,2009
"Mahnomen",5028,213,5,28,2008,2009
"Mahnomen",5036,1686,5,36,2008,2009
"Mahnomen",5037,13,5,37,2008,2009
"Mahnomen",5043,8,5,43,2008,2009
"Mahnomen",5044,1,5,44,2008,2009
"Mahnomen",5059,14,5,59,2008,2009
"Mahnomen",5061,4024,5,61,2008,2009
"Mahnomen",5111,33,5,111,2008,2009
"Mahnomen",5121,193,5,121,2008,2009
"Mahnomen",5141,1076,5,141,2008,2009
"Mahnomen",5142,40,5,142,2008,2009
"Mahnomen",5152,1,5,152,2008,2009
"Mahnomen",5176,6804,5,176,2008,2009
"Mahnomen",5190,14,5,190,2008,2009
"Mahnomen",5195,3572,5,195,2008,2009
"Mahnomen",6005,2138,6,5,2008,2009
"Mahnomen",6023,2342,6,23,2008,2009
"Mahnomen",6059,1,6,59,2008,2009
"Mahnomen",6061,70,6,61,2008,2009
"Mahnomen",6176,54,6,176,2008,2009
"Mahnomen",6195,22,6,195,2008,2009
"Mahnomen",21005,13,21,5,2008,2009
"Mahnomen",21036,1,21,36,2008,2009
"Mahnomen",21141,5,21,141,2008,2009
"Mahnomen",23005,93611,23,5,2008,2009
"Mahnomen",23023,3398,23,23,2008,2009
"Mahnomen",23024,14,23,24,2008,2009
"Mahnomen",23028,25,23,28,2008,2009
"Mahnomen",23036,877,23,36,2008,2009
"Mahnomen",23037,9,23,37,2008,2009
"Mahnomen",23043,8,23,43,2008,2009
"Mahnomen",23061,1202,23,61,2008,2009
"Mahnomen",23111,47,23,111,2008,2009
"Mahnomen",23121,152,23,121,2008,2009
"Mahnomen",23131,5,23,131,2008,2009
"Mahnomen",23141,631,23,141,2008,2009
"Mahnomen",23142,21,23,142,2008,2009
"Mahnomen",23152,2,23,152,2008,2009
"Mahnomen",23176,2651,23,176,2008,2009
"Mahnomen",23190,4,23,190,2008,2009
"Mahnomen",23195,1250,23,195,2008,2009
"Mahnomen",24005,4720,24,5,2008,2009
"Mahnomen",24023,15,24,23,2008,2009
"Mahnomen",24036,18,24,36,2008,2009
"Mahnomen",24061,158,24,61,2008,2009
"Mahnomen",24111,4,24,111,2008,2009
