"xCoords","yCoords","width","colorToUse"
1,6.4,0.783344721120344,"#ffd300"
1.2,6.4,0.783344721120344,"#ffd300"
1.4,6.4,0.783344721120344,"#ffd300"
2,6.4,0.783344721120344,"#ffd300"
1.8,6.4,0.783344721120344,"#ffd300"
1.6,6.4,0.783344721120344,"#ffd300"
1,6.4,0.107523743089142,"#e41a1c"
1.2,5.9,0.107523743089142,"#e41a1c"
1.4,5.9,0.107523743089142,"#e41a1c"
2,1.9,0.107523743089142,"#ffd300"
1.8,2.4,0.107523743089142,"#ffd300"
1.6,2.4,0.107523743089142,"#ffd300"
1,6.4,0.0464049838595246,"#f781bf"
1.2,6.2,0.0464049838595246,"#f781bf"
1.4,6.2,0.0464049838595246,"#f781bf"
2,4.6,0.0464049838595246,"#ffd300"
1.8,4.8,0.0464049838595246,"#ffd300"
1.6,4.8,0.0464049838595246,"#ffd300"
1,6.4,3.07881281873641,"#AAAAAA"
1.2,5.8,3.07881281873641,"#AAAAAA"
1.4,5.8,3.07881281873641,"#AAAAAA"
2,1,3.07881281873641,"#ffd300"
1.8,1.6,3.07881281873641,"#ffd300"
1.6,1.6,3.07881281873641,"#ffd300"
1,6.4,5.04283376591039,"#4daf4a"
1.2,6.3,5.04283376591039,"#4daf4a"
1.4,6.3,5.04283376591039,"#4daf4a"
2,5.5,5.04283376591039,"#ffd300"
1.8,5.6,5.04283376591039,"#ffd300"
1.6,5.6,5.04283376591039,"#ffd300"
1,6.4,0.15041410044326,"#a65628"
1.2,6.1,0.15041410044326,"#a65628"
1.4,6.1,0.15041410044326,"#a65628"
2,3.7,0.15041410044326,"#ffd300"
1.8,4,0.15041410044326,"#ffd300"
1.6,4,0.15041410044326,"#ffd300"
1,6.4,0.0144159256662451,"#377eb8"
1.2,6,0.0144159256662451,"#377eb8"
1.4,6,0.0144159256662451,"#377eb8"
2,2.8,0.0144159256662451,"#ffd300"
1.8,3.2,0.0144159256662451,"#ffd300"
1.6,3.2,0.0144159256662451,"#ffd300"
1,1.9,0.326860265002838,"#ffd300"
1.2,2.4,0.326860265002838,"#ffd300"
1.4,2.4,0.326860265002838,"#ffd300"
2,6.4,0.326860265002838,"#e41a1c"
1.8,5.9,0.326860265002838,"#e41a1c"
1.6,5.9,0.326860265002838,"#e41a1c"
1,1.9,0.000595699407696079,"#e41a1c"
1.2,1.9,0.000595699407696079,"#e41a1c"
1.4,1.9,0.000595699407696079,"#e41a1c"
2,1.9,0.000595699407696079,"#e41a1c"
1.8,1.9,0.000595699407696079,"#e41a1c"
1.6,1.9,0.000595699407696079,"#e41a1c"
1,1.9,0.00101268899308333,"#f781bf"
1.2,2.2,0.00101268899308333,"#f781bf"
1.4,2.2,0.00101268899308333,"#f781bf"
2,4.6,0.00101268899308333,"#e41a1c"
1.8,4.3,0.00101268899308333,"#e41a1c"
1.6,4.3,0.00101268899308333,"#e41a1c"
1,1.9,0.0133436667323922,"#AAAAAA"
1.2,1.8,0.0133436667323922,"#AAAAAA"
1.4,1.8,0.0133436667323922,"#AAAAAA"
2,1,0.0133436667323922,"#e41a1c"
1.8,1.1,0.0133436667323922,"#e41a1c"
1.6,1.1,0.0133436667323922,"#e41a1c"
1,1.9,0.0537916565149559,"#4daf4a"
1.2,2.3,0.0537916565149559,"#4daf4a"
1.4,2.3,0.0537916565149559,"#4daf4a"
2,5.5,0.0537916565149559,"#e41a1c"
1.8,5.1,0.0537916565149559,"#e41a1c"
1.6,5.1,0.0537916565149559,"#e41a1c"
1,1.9,0.0608209095257697,"#a65628"
1.2,2.1,0.0608209095257697,"#a65628"
1.4,2.1,0.0608209095257697,"#a65628"
2,3.7,0.0608209095257697,"#e41a1c"
1.8,3.5,0.0608209095257697,"#e41a1c"
1.6,3.5,0.0608209095257697,"#e41a1c"
1,1.9,0.057127573198054,"#377eb8"
1.2,2,0.057127573198054,"#377eb8"
1.4,2,0.057127573198054,"#377eb8"
2,2.8,0.057127573198054,"#e41a1c"
1.8,2.7,0.057127573198054,"#e41a1c"
1.6,2.7,0.057127573198054,"#e41a1c"
1,4.6,0.15643066446099,"#ffd300"
1.2,4.8,0.15643066446099,"#ffd300"
1.4,4.8,0.15643066446099,"#ffd300"
2,6.4,0.15643066446099,"#f781bf"
1.8,6.2,0.15643066446099,"#f781bf"
1.6,6.2,0.15643066446099,"#f781bf"
1,4.6,5.95699407696079e-05,"#e41a1c"
1.2,4.3,5.95699407696079e-05,"#e41a1c"
1.4,4.3,5.95699407696079e-05,"#e41a1c"
2,1.9,5.95699407696079e-05,"#f781bf"
1.8,2.2,5.95699407696079e-05,"#f781bf"
1.6,2.2,5.95699407696079e-05,"#f781bf"
1,4.6,0.803419791159702,"#f781bf"
1.2,4.6,0.803419791159702,"#f781bf"
1.4,4.6,0.803419791159702,"#f781bf"
2,4.6,0.803419791159702,"#f781bf"
1.8,4.6,0.803419791159702,"#f781bf"
1.6,4.6,0.803419791159702,"#f781bf"
1,4.6,0.404360757944098,"#AAAAAA"
1.2,4.2,0.404360757944098,"#AAAAAA"
1.4,4.2,0.404360757944098,"#AAAAAA"
2,1,0.404360757944098,"#f781bf"
1.8,1.4,0.404360757944098,"#f781bf"
1.6,1.4,0.404360757944098,"#f781bf"
1,4.6,0.0698755405227501,"#4daf4a"
1.2,4.7,0.0698755405227501,"#4daf4a"
1.4,4.7,0.0698755405227501,"#4daf4a"
2,5.5,0.0698755405227501,"#f781bf"
1.8,5.4,0.0698755405227501,"#f781bf"
1.6,5.4,0.0698755405227501,"#f781bf"
1,4.6,0.0508131594764755,"#a65628"
1.2,4.5,0.0508131594764755,"#a65628"
1.4,4.5,0.0508131594764755,"#a65628"
2,3.7,0.0508131594764755,"#f781bf"
1.8,3.8,0.0508131594764755,"#f781bf"
1.6,3.8,0.0508131594764755,"#f781bf"
1,4.6,0.000178709822308824,"#377eb8"
1.2,4.4,0.000178709822308824,"#377eb8"
1.4,4.4,0.000178709822308824,"#377eb8"
2,2.8,0.000178709822308824,"#f781bf"
1.8,3,0.000178709822308824,"#f781bf"
1.6,3,0.000178709822308824,"#f781bf"
1,1,0.576458316827496,"#ffd300"
1.2,1.6,0.576458316827496,"#ffd300"
1.4,1.6,0.576458316827496,"#ffd300"
2,6.4,0.576458316827496,"#AAAAAA"
1.8,5.8,0.576458316827496,"#AAAAAA"
1.6,5.8,0.576458316827496,"#AAAAAA"
1,1,0.0116161384500735,"#e41a1c"
1.2,1.1,0.0116161384500735,"#e41a1c"
1.4,1.1,0.0116161384500735,"#e41a1c"
2,1.9,0.0116161384500735,"#AAAAAA"
1.8,1.8,0.0116161384500735,"#AAAAAA"
1.6,1.8,0.0116161384500735,"#AAAAAA"
1,1,0.451718860855937,"#f781bf"
1.2,1.4,0.451718860855937,"#f781bf"
1.4,1.4,0.451718860855937,"#f781bf"
2,4.6,0.451718860855937,"#AAAAAA"
1.8,4.2,0.451718860855937,"#AAAAAA"
1.6,4.2,0.451718860855937,"#AAAAAA"
1,1,61.0779538201905,"#AAAAAA"
1.2,1,61.0779538201905,"#AAAAAA"
1.4,1,61.0779538201905,"#AAAAAA"
2,1,61.0779538201905,"#AAAAAA"
1.8,1,61.0779538201905,"#AAAAAA"
1.6,1,61.0779538201905,"#AAAAAA"
1,1,1.40257425542042,"#4daf4a"
1.2,1.5,1.40257425542042,"#4daf4a"
1.4,1.5,1.40257425542042,"#4daf4a"
2,5.5,1.40257425542042,"#AAAAAA"
1.8,5,1.40257425542042,"#AAAAAA"
1.6,5,1.40257425542042,"#AAAAAA"
1,1,0.348960713028363,"#a65628"
1.2,1.3,0.348960713028363,"#a65628"
1.4,1.3,0.348960713028363,"#a65628"
2,3.7,0.348960713028363,"#AAAAAA"
1.8,3.4,0.348960713028363,"#AAAAAA"
1.6,3.4,0.348960713028363,"#AAAAAA"
1,1,0.0458688543925981,"#377eb8"
1.2,1.2,0.0458688543925981,"#377eb8"
