"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Marshall",0,486,0,0,2008,2009
"Marshall",1005,17493,1,5,2008,2009
"Marshall",1023,5253,1,23,2008,2009
"Marshall",1036,241,1,36,2008,2009
"Marshall",1037,107,1,37,2008,2009
"Marshall",1043,2,1,43,2008,2009
"Marshall",1059,65,1,59,2008,2009
"Marshall",1061,16880,1,61,2008,2009
"Marshall",1111,360,1,111,2008,2009
"Marshall",1121,35,1,121,2008,2009
"Marshall",1152,1,1,152,2008,2009
"Marshall",1176,324,1,176,2008,2009
"Marshall",1190,4,1,190,2008,2009
"Marshall",1195,1364,1,195,2008,2009
"Marshall",5005,144213,5,5,2008,2009
"Marshall",5023,567527,5,23,2008,2009
"Marshall",5024,495,5,24,2008,2009
"Marshall",5028,72,5,28,2008,2009
"Marshall",5031,1291,5,31,2008,2009
"Marshall",5036,4578,5,36,2008,2009
"Marshall",5037,3409,5,37,2008,2009
"Marshall",5043,109,5,43,2008,2009
"Marshall",5044,15,5,44,2008,2009
"Marshall",5059,625,5,59,2008,2009
"Marshall",5061,40981,5,61,2008,2009
"Marshall",5111,5438,5,111,2008,2009
"Marshall",5121,637,5,121,2008,2009
"Marshall",5141,415,5,141,2008,2009
"Marshall",5142,14,5,142,2008,2009
"Marshall",5152,12,5,152,2008,2009
"Marshall",5176,9381,5,176,2008,2009
"Marshall",5190,447,5,190,2008,2009
"Marshall",5195,20727,5,195,2008,2009
"Marshall",6005,12498,6,5,2008,2009
"Marshall",6023,56490,6,23,2008,2009
"Marshall",6044,1,6,44,2008,2009
"Marshall",6059,35,6,59,2008,2009
"Marshall",6061,5471,6,61,2008,2009
"Marshall",6176,454,6,176,2008,2009
"Marshall",6190,14,6,190,2008,2009
"Marshall",6195,939,6,195,2008,2009
"Marshall",21005,31301,21,5,2008,2009
"Marshall",21023,8824,21,23,2008,2009
"Marshall",21028,63,21,28,2008,2009
"Marshall",21036,495,21,36,2008,2009
"Marshall",21037,61,21,37,2008,2009
"Marshall",21061,1764,21,61,2008,2009
"Marshall",21141,11,21,141,2008,2009
