"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Martin",0,702,0,0,2008,2009
"Martin",1005,693427,1,5,2008,2009
"Martin",1023,292,1,23,2008,2009
"Martin",1028,183,1,28,2008,2009
"Martin",1036,490,1,36,2008,2009
"Martin",1037,61,1,37,2008,2009
"Martin",1111,699,1,111,2008,2009
"Martin",1121,3836,1,121,2008,2009
"Martin",1152,5,1,152,2008,2009
"Martin",1176,8455,1,176,2008,2009
"Martin",1190,18,1,190,2008,2009
"Martin",1195,4472,1,195,2008,2009
"Martin",5005,36827,5,5,2008,2009
"Martin",5023,663,5,23,2008,2009
"Martin",5024,7,5,24,2008,2009
"Martin",5028,99,5,28,2008,2009
"Martin",5036,230,5,36,2008,2009
"Martin",5037,27,5,37,2008,2009
"Martin",5059,1,5,59,2008,2009
"Martin",5061,1,5,61,2008,2009
"Martin",5111,62,5,111,2008,2009
"Martin",5121,1532,5,121,2008,2009
"Martin",5141,113,5,141,2008,2009
"Martin",5152,7,5,152,2008,2009
"Martin",5176,6845,5,176,2008,2009
"Martin",5190,22,5,190,2008,2009
"Martin",5195,1850,5,195,2008,2009
"Martin",6005,3,6,5,2008,2009
"Martin",21005,7,21,5,2008,2009
"Martin",21023,1,21,23,2008,2009
"Martin",21036,2,21,36,2008,2009
"Martin",21176,8,21,176,2008,2009
"Martin",21195,5,21,195,2008,2009
"Martin",23005,284,23,5,2008,2009
"Martin",23023,1,23,23,2008,2009
"Martin",23036,96,23,36,2008,2009
"Martin",23037,1,23,37,2008,2009
"Martin",23121,39,23,121,2008,2009
"Martin",23131,1,23,131,2008,2009
"Martin",23176,99,23,176,2008,2009
"Martin",23195,25,23,195,2008,2009
"Martin",24005,22,24,5,2008,2009
"Martin",24036,28,24,36,2008,2009
"Martin",24037,1,24,37,2008,2009
"Martin",24111,2,24,111,2008,2009
"Martin",24176,144,24,176,2008,2009
"Martin",24195,25,24,195,2008,2009
"Martin",27176,3,27,176,2008,2009
"Martin",28005,111,28,5,2008,2009
"Martin",28023,6,28,23,2008,2009
"Martin",28028,2,28,28,2008,2009
"Martin",28036,88,28,36,2008,2009
"Martin",28141,1,28,141,2008,2009
"Martin",28176,80,28,176,2008,2009
"Martin",28195,23,28,195,2008,2009
"Martin",32005,3,32,5,2008,2009
"Martin",36005,439,36,5,2008,2009
"Martin",36023,21,36,23,2008,2009
"Martin",36028,4,36,28,2008,2009
"Martin",36036,1383,36,36,2008,2009
"Martin",36037,30,36,37,2008,2009
"Martin",36059,1,36,59,2008,2009
"Martin",36061,3,36,61,2008,2009
"Martin",36131,6,36,131,2008,2009
"Martin",36141,46,36,141,2008,2009
"Martin",36152,3,36,152,2008,2009
"Martin",36176,1936,36,176,2008,2009
"Martin",36190,4,36,190,2008,2009
"Martin",36195,628,36,195,2008,2009
"Martin",37005,63,37,5,2008,2009
"Martin",37028,1,37,28,2008,2009
"Martin",37036,57,37,36,2008,2009
"Martin",37037,37,37,37,2008,2009
"Martin",37111,2,37,111,2008,2009
"Martin",37141,24,37,141,2008,2009
"Martin",37142,3,37,142,2008,2009
"Martin",37176,290,37,176,2008,2009
"Martin",37190,14,37,190,2008,2009
"Martin",37195,117,37,195,2008,2009
"Martin",41005,59,41,5,2008,2009
"Martin",41023,1,41,23,2008,2009
"Martin",41195,5,41,195,2008,2009
"Martin",42005,94,42,5,2008,2009
"Martin",42176,82,42,176,2008,2009
"Martin",42195,6,42,195,2008,2009
"Martin",43176,7,43,176,2008,2009
"Martin",43195,6,43,195,2008,2009
"Martin",44005,1,44,5,2008,2009
"Martin",44111,3,44,111,2008,2009
"Martin",59005,3,59,5,2008,2009
"Martin",59036,1,59,36,2008,2009
"Martin",59176,4,59,176,2008,2009
"Martin",59195,1,59,195,2008,2009
"Martin",61005,14,61,5,2008,2009
"Martin",61111,10,61,111,2008,2009
"Martin",61176,27,61,176,2008,2009
"Martin",61195,4,61,195,2008,2009
"Martin",111005,55,111,5,2008,2009
"Martin",111023,34,111,23,2008,2009
"Martin",111028,2,111,28,2008,2009
"Martin",111037,2,111,37,2008,2009
"Martin",111111,57913,111,111,2008,2009
"Martin",111141,61,111,141,2008,2009
"Martin",111176,397,111,176,2008,2009
"Martin",111190,34,111,190,2008,2009
"Martin",111195,1484,111,195,2008,2009
"Martin",121005,1803,121,5,2008,2009
"Martin",121036,4,121,36,2008,2009
"Martin",121041,1,121,41,2008,2009
"Martin",121061,1,121,61,2008,2009
"Martin",121121,99861,121,121,2008,2009
"Martin",121122,1761,121,122,2008,2009
"Martin",121123,153,121,123,2008,2009
"Martin",121176,13,121,176,2008,2009
"Martin",121195,2,121,195,2008,2009
"Martin",122121,1175,122,121,2008,2009
"Martin",122122,18756,122,122,2008,2009
"Martin",122123,729,122,123,2008,2009
"Martin",122176,10,122,176,2008,2009
"Martin",123001,3,123,1,2008,2009
"Martin",123005,17,123,5,2008,2009
"Martin",123121,311,123,121,2008,2009
"Martin",123122,581,123,122,2008,2009
"Martin",123123,4575,123,123,2008,2009
"Martin",123124,86,123,124,2008,2009
"Martin",123176,21,123,176,2008,2009
"Martin",123195,2,123,195,2008,2009
"Martin",124061,1,124,61,2008,2009
"Martin",124122,21,124,122,2008,2009
"Martin",124123,100,124,123,2008,2009
"Martin",124124,1475,124,124,2008,2009
"Martin",124176,1,124,176,2008,2009
"Martin",131005,121,131,5,2008,2009
"Martin",131023,1,131,23,2008,2009
"Martin",131028,5,131,28,2008,2009
"Martin",131061,3,131,61,2008,2009
"Martin",131176,171,131,176,2008,2009
"Martin",131195,12,131,195,2008,2009
"Martin",141005,325,141,5,2008,2009
"Martin",141111,257,141,111,2008,2009
"Martin",141141,9392,141,141,2008,2009
"Martin",141142,26,141,142,2008,2009
"Martin",141152,8,141,152,2008,2009
"Martin",141176,910,141,176,2008,2009
"Martin",141190,3696,141,190,2008,2009
"Martin",141195,274,141,195,2008,2009
"Martin",142141,9,142,141,2008,2009
"Martin",142176,1,142,176,2008,2009
"Martin",142190,1,142,190,2008,2009
"Martin",143190,478,143,190,2008,2009
"Martin",152005,1,152,5,2008,2009
"Martin",152141,3,152,141,2008,2009
"Martin",152152,2,152,152,2008,2009
"Martin",152176,12,152,176,2008,2009
"Martin",152190,4,152,190,2008,2009
"Martin",152195,10,152,195,2008,2009
"Martin",176001,9963,176,1,2008,2009
"Martin",176005,12549,176,5,2008,2009
"Martin",176021,2,176,21,2008,2009
"Martin",176023,57,176,23,2008,2009
"Martin",176024,12,176,24,2008,2009
"Martin",176027,12,176,27,2008,2009
"Martin",176028,61,176,28,2008,2009
"Martin",176036,1592,176,36,2008,2009
"Martin",176037,302,176,37,2008,2009
"Martin",176053,119,176,53,2008,2009
"Martin",176059,1,176,59,2008,2009
"Martin",176061,4,176,61,2008,2009
"Martin",176111,427,176,111,2008,2009
"Martin",176121,14,176,121,2008,2009
"Martin",176131,296,176,131,2008,2009
"Martin",176141,2691,176,141,2008,2009
"Martin",176142,19,176,142,2008,2009
