"xCoords","yCoords","width","colorToUse"
1,6.4,11.8590042766385,"#ffd300"
1.2,6.4,11.8590042766385,"#ffd300"
1.4,6.4,11.8590042766385,"#ffd300"
2,6.4,11.8590042766385,"#ffd300"
1.8,6.4,11.8590042766385,"#ffd300"
1.6,6.4,11.8590042766385,"#ffd300"
1,6.4,0.00033336825762699,"#e41a1c"
1.2,5.9,0.00033336825762699,"#e41a1c"
1.4,5.9,0.00033336825762699,"#e41a1c"
2,1.9,0.00033336825762699,"#ffd300"
1.8,2.4,0.00033336825762699,"#ffd300"
1.6,2.4,0.00033336825762699,"#ffd300"
1,6.4,0.0233357780338893,"#f781bf"
1.2,6.2,0.0233357780338893,"#f781bf"
1.4,6.2,0.0233357780338893,"#f781bf"
2,4.6,0.0233357780338893,"#ffd300"
1.8,4.8,0.0233357780338893,"#ffd300"
1.6,4.8,0.0233357780338893,"#ffd300"
1,6.4,1.11764089571288,"#AAAAAA"
1.2,5.8,1.11764089571288,"#AAAAAA"
1.4,5.8,1.11764089571288,"#AAAAAA"
2,1,1.11764089571288,"#ffd300"
1.8,1.6,1.11764089571288,"#ffd300"
1.6,1.6,1.11764089571288,"#ffd300"
1,6.4,33.0237929687872,"#4daf4a"
1.2,6.3,33.0237929687872,"#4daf4a"
1.4,6.3,33.0237929687872,"#4daf4a"
2,5.5,33.0237929687872,"#ffd300"
1.8,5.6,33.0237929687872,"#ffd300"
1.6,5.6,33.0237929687872,"#ffd300"
1,6.4,0.0139062187467258,"#a65628"
1.2,6.1,0.0139062187467258,"#a65628"
1.4,6.1,0.0139062187467258,"#a65628"
2,3.7,0.0139062187467258,"#ffd300"
1.8,4,0.0139062187467258,"#ffd300"
1.6,4,0.0139062187467258,"#ffd300"
1,6.4,0.00357180276028917,"#377eb8"
1.2,6,0.00357180276028917,"#377eb8"
1.4,6,0.00357180276028917,"#377eb8"
2,2.8,0.00357180276028917,"#ffd300"
1.8,3.2,0.00357180276028917,"#ffd300"
1.6,3.2,0.00357180276028917,"#ffd300"
1,1.9,0.00161921725133109,"#ffd300"
1.2,2.4,0.00161921725133109,"#ffd300"
1.4,2.4,0.00161921725133109,"#ffd300"
2,6.4,0.00161921725133109,"#e41a1c"
1.8,5.9,0.00161921725133109,"#e41a1c"
1.6,5.9,0.00161921725133109,"#e41a1c"
1,1.9,4.76240368038556e-05,"#f781bf"
1.2,2.2,4.76240368038556e-05,"#f781bf"
1.4,2.2,4.76240368038556e-05,"#f781bf"
2,4.6,4.76240368038556e-05,"#e41a1c"
1.8,4.3,4.76240368038556e-05,"#e41a1c"
1.6,4.3,4.76240368038556e-05,"#e41a1c"
1,1.9,0.00476240368038556,"#AAAAAA"
1.2,1.8,0.00476240368038556,"#AAAAAA"
1.4,1.8,0.00476240368038556,"#AAAAAA"
2,1,0.00476240368038556,"#e41a1c"
1.8,1.1,0.00476240368038556,"#e41a1c"
1.6,1.1,0.00476240368038556,"#e41a1c"
1,1.9,0.00447665945956243,"#4daf4a"
1.2,2.3,0.00447665945956243,"#4daf4a"
1.4,2.3,0.00447665945956243,"#4daf4a"
2,5.5,0.00447665945956243,"#e41a1c"
1.8,5.1,0.00447665945956243,"#e41a1c"
1.6,5.1,0.00447665945956243,"#e41a1c"
1,1.9,4.76240368038556e-05,"#377eb8"
1.2,2,4.76240368038556e-05,"#377eb8"
1.4,2,4.76240368038556e-05,"#377eb8"
2,2.8,4.76240368038556e-05,"#e41a1c"
1.8,2.7,4.76240368038556e-05,"#e41a1c"
1.6,2.7,4.76240368038556e-05,"#e41a1c"
1,4.6,0.0698644619912562,"#ffd300"
1.2,4.8,0.0698644619912562,"#ffd300"
1.4,4.8,0.0698644619912562,"#ffd300"
2,6.4,0.0698644619912562,"#f781bf"
1.8,6.2,0.0698644619912562,"#f781bf"
1.6,6.2,0.0698644619912562,"#f781bf"
1,4.6,0.0955338178285344,"#f781bf"
1.2,4.6,0.0955338178285344,"#f781bf"
1.4,4.6,0.0955338178285344,"#f781bf"
2,4.6,0.0955338178285344,"#f781bf"
1.8,4.6,0.0955338178285344,"#f781bf"
1.6,4.6,0.0955338178285344,"#f781bf"
1,4.6,0.128632523407214,"#AAAAAA"
1.2,4.2,0.128632523407214,"#AAAAAA"
1.4,4.2,0.128632523407214,"#AAAAAA"
2,1,0.128632523407214,"#f781bf"
1.8,1.4,0.128632523407214,"#f781bf"
1.6,1.4,0.128632523407214,"#f781bf"
1,4.6,0.0239072664755355,"#4daf4a"
1.2,4.7,0.0239072664755355,"#4daf4a"
1.4,4.7,0.0239072664755355,"#4daf4a"
2,5.5,0.0239072664755355,"#f781bf"
1.8,5.4,0.0239072664755355,"#f781bf"
1.6,5.4,0.0239072664755355,"#f781bf"
1,4.6,0.00100010477288097,"#a65628"
1.2,4.5,0.00100010477288097,"#a65628"
1.4,4.5,0.00100010477288097,"#a65628"
2,3.7,0.00100010477288097,"#f781bf"
1.8,3.8,0.00100010477288097,"#f781bf"
1.6,3.8,0.00100010477288097,"#f781bf"
1,1,1.26327520025907,"#ffd300"
1.2,1.6,1.26327520025907,"#ffd300"
1.4,1.6,1.26327520025907,"#ffd300"
2,6.4,1.26327520025907,"#AAAAAA"
1.8,5.8,1.26327520025907,"#AAAAAA"
1.6,5.8,1.26327520025907,"#AAAAAA"
1,1,0.000428616331234701,"#e41a1c"
1.2,1.1,0.000428616331234701,"#e41a1c"
1.4,1.1,0.000428616331234701,"#e41a1c"
2,1.9,0.000428616331234701,"#AAAAAA"
1.8,1.8,0.000428616331234701,"#AAAAAA"
1.6,1.8,0.000428616331234701,"#AAAAAA"
1,1,0.112535598967511,"#f781bf"
1.2,1.4,0.112535598967511,"#f781bf"
1.4,1.4,0.112535598967511,"#f781bf"
2,4.6,0.112535598967511,"#AAAAAA"
1.8,4.2,0.112535598967511,"#AAAAAA"
1.6,4.2,0.112535598967511,"#AAAAAA"
1,1,16.5192543980798,"#AAAAAA"
1.2,1,16.5192543980798,"#AAAAAA"
1.4,1,16.5192543980798,"#AAAAAA"
2,1,16.5192543980798,"#AAAAAA"
1.8,1,16.5192543980798,"#AAAAAA"
1.6,1,16.5192543980798,"#AAAAAA"
1,1,0.938812637514406,"#4daf4a"
1.2,1.5,0.938812637514406,"#4daf4a"
1.4,1.5,0.938812637514406,"#4daf4a"
2,5.5,0.938812637514406,"#AAAAAA"
1.8,5,0.938812637514406,"#AAAAAA"
1.6,5,0.938812637514406,"#AAAAAA"
1,1,0.00766746992542076,"#a65628"
1.2,1.3,0.00766746992542076,"#a65628"
1.4,1.3,0.00766746992542076,"#a65628"
2,3.7,0.00766746992542076,"#AAAAAA"
1.8,3.4,0.00766746992542076,"#AAAAAA"
1.6,3.4,0.00766746992542076,"#AAAAAA"
1,1,0.00904856699273257,"#377eb8"
1.2,1.2,0.00904856699273257,"#377eb8"
1.4,1.2,0.00904856699273257,"#377eb8"
2,2.8,0.00904856699273257,"#AAAAAA"
1.8,2.6,0.00904856699273257,"#AAAAAA"
1.6,2.6,0.00904856699273257,"#AAAAAA"
1,5.5,32.2564744878035,"#ffd300"
1.2,5.6,32.2564744878035,"#ffd300"
1.4,5.6,32.2564744878035,"#ffd300"
2,6.4,32.2564744878035,"#4daf4a"
1.8,6.3,32.2564744878035,"#4daf4a"
1.6,6.3,32.2564744878035,"#4daf4a"
1,5.5,0.000142872110411567,"#e41a1c"
1.2,5.1,0.000142872110411567,"#e41a1c"
1.4,5.1,0.000142872110411567,"#e41a1c"
2,1.9,0.000142872110411567,"#4daf4a"
1.8,2.3,0.000142872110411567,"#4daf4a"
1.6,2.3,0.000142872110411567,"#4daf4a"
1,5.5,0.0109535284648868,"#f781bf"
1.2,5.4,0.0109535284648868,"#f781bf"
1.4,5.4,0.0109535284648868,"#f781bf"
2,4.6,0.0109535284648868,"#4daf4a"
1.8,4.7,0.0109535284648868,"#4daf4a"
1.6,4.7,0.0109535284648868,"#4daf4a"
1,5.5,0.655782986789092,"#AAAAAA"
1.2,5,0.655782986789092,"#AAAAAA"
1.4,5,0.655782986789092,"#AAAAAA"
2,1,0.655782986789092,"#4daf4a"
1.8,1.5,0.655782986789092,"#4daf4a"
1.6,1.5,0.655782986789092,"#4daf4a"
1,5.5,1.75385040337559,"#4daf4a"
1.2,5.5,1.75385040337559,"#4daf4a"
1.4,5.5,1.75385040337559,"#4daf4a"
2,5.5,1.75385040337559,"#4daf4a"
1.8,5.5,1.75385040337559,"#4daf4a"
1.6,5.5,1.75385040337559,"#4daf4a"
1,5.5,0.0315747364009563,"#a65628"
1.2,5.3,0.0315747364009563,"#a65628"
1.4,5.3,0.0315747364009563,"#a65628"
2,3.7,0.0315747364009563,"#4daf4a"
1.8,3.9,0.0315747364009563,"#4daf4a"
1.6,3.9,0.0315747364009563,"#4daf4a"
1,5.5,0.00476240368038556,"#377eb8"
1.2,5.2,0.00476240368038556,"#377eb8"
1.4,5.2,0.00476240368038556,"#377eb8"
2,2.8,0.00476240368038556,"#4daf4a"
1.8,3.1,0.00476240368038556,"#4daf4a"
1.6,3.1,0.00476240368038556,"#4daf4a"
1,3.7,0.0288125422663327,"#ffd300"
1.2,4,0.0288125422663327,"#ffd300"
1.4,4,0.0288125422663327,"#ffd300"
2,6.4,0.0288125422663327,"#a65628"
1.8,6.1,0.0288125422663327,"#a65628"
1.6,6.1,0.0288125422663327,"#a65628"
1,3.7,0.00457190753317014,"#f781bf"
1.2,3.8,0.00457190753317014,"#f781bf"
1.4,3.8,0.00457190753317014,"#f781bf"
2,4.6,0.00457190753317014,"#a65628"
1.8,4.5,0.00457190753317014,"#a65628"
1.6,4.5,0.00457190753317014,"#a65628"
1,3.7,0.00828658240387088,"#AAAAAA"
1.2,3.4,0.00828658240387088,"#AAAAAA"
1.4,3.4,0.00828658240387088,"#AAAAAA"
2,1,0.00828658240387088,"#a65628"
1.8,1.3,0.00828658240387088,"#a65628"
1.6,1.3,0.00828658240387088,"#a65628"
1,3.7,0.013525226452295,"#4daf4a"
1.2,3.9,0.013525226452295,"#4daf4a"
1.4,3.9,0.013525226452295,"#4daf4a"
2,5.5,0.013525226452295,"#a65628"
1.8,5.3,0.013525226452295,"#a65628"
1.6,5.3,0.013525226452295,"#a65628"
1,3.7,4.76240368038556e-05,"#a65628"
1.2,3.7,4.76240368038556e-05,"#a65628"
1.4,3.7,4.76240368038556e-05,"#a65628"
2,3.7,4.76240368038556e-05,"#a65628"
1.8,3.7,4.76240368038556e-05,"#a65628"
1.6,3.7,4.76240368038556e-05,"#a65628"
1,3.7,0.000142872110411567,"#377eb8"
1.2,3.6,0.000142872110411567,"#377eb8"
1.4,3.6,0.000142872110411567,"#377eb8"
2,2.8,0.000142872110411567,"#a65628"
