"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"McLeod",1005,330137,1,5,2008,2009
"McLeod",1023,5599,1,23,2008,2009
"McLeod",1028,384,1,28,2008,2009
"McLeod",1036,2049,1,36,2008,2009
"McLeod",1037,74,1,37,2008,2009
"McLeod",1043,2,1,43,2008,2009
"McLeod",1059,6,1,59,2008,2009
"McLeod",1061,13,1,61,2008,2009
"McLeod",1111,272,1,111,2008,2009
"McLeod",1121,571,1,121,2008,2009
"McLeod",1152,72,1,152,2008,2009
"McLeod",1176,18388,1,176,2008,2009
"McLeod",1190,11,1,190,2008,2009
"McLeod",1195,4706,1,195,2008,2009
"McLeod",5005,32973,5,5,2008,2009
"McLeod",5023,9240,5,23,2008,2009
"McLeod",5024,419,5,24,2008,2009
"McLeod",5028,395,5,28,2008,2009
"McLeod",5036,1545,5,36,2008,2009
"McLeod",5037,99,5,37,2008,2009
"McLeod",5043,5,5,43,2008,2009
"McLeod",5059,14,5,59,2008,2009
"McLeod",5061,63,5,61,2008,2009
"McLeod",5111,165,5,111,2008,2009
"McLeod",5121,438,5,121,2008,2009
"McLeod",5141,675,5,141,2008,2009
"McLeod",5142,6,5,142,2008,2009
"McLeod",5152,44,5,152,2008,2009
"McLeod",5176,15654,5,176,2008,2009
"McLeod",5190,18,5,190,2008,2009
"McLeod",5195,1603,5,195,2008,2009
"McLeod",6005,6,6,5,2008,2009
"McLeod",6176,2,6,176,2008,2009
"McLeod",21005,31,21,5,2008,2009
"McLeod",21023,5,21,23,2008,2009
"McLeod",21036,5,21,36,2008,2009
"McLeod",21176,31,21,176,2008,2009
"McLeod",23005,5293,23,5,2008,2009
"McLeod",23023,401,23,23,2008,2009
"McLeod",23024,113,23,24,2008,2009
"McLeod",23028,24,23,28,2008,2009
"McLeod",23036,433,23,36,2008,2009
"McLeod",23037,5,23,37,2008,2009
"McLeod",23043,1,23,43,2008,2009
"McLeod",23061,8,23,61,2008,2009
"McLeod",23111,40,23,111,2008,2009
"McLeod",23121,10,23,121,2008,2009
"McLeod",23131,11,23,131,2008,2009
"McLeod",23152,1,23,152,2008,2009
"McLeod",23176,1336,23,176,2008,2009
"McLeod",23195,114,23,195,2008,2009
"McLeod",24005,366,24,5,2008,2009
"McLeod",24023,27,24,23,2008,2009
"McLeod",24028,2,24,28,2008,2009
"McLeod",24036,25,24,36,2008,2009
"McLeod",24061,3,24,61,2008,2009
"McLeod",24111,3,24,111,2008,2009
"McLeod",24176,115,24,176,2008,2009
"McLeod",24195,3,24,195,2008,2009
"McLeod",27176,54,27,176,2008,2009
"McLeod",27195,2,27,195,2008,2009
"McLeod",28005,155,28,5,2008,2009
"McLeod",28023,5,28,23,2008,2009
"McLeod",28036,297,28,36,2008,2009
"McLeod",28061,1,28,61,2008,2009
"McLeod",28141,1,28,141,2008,2009
"McLeod",28176,186,28,176,2008,2009
"McLeod",28195,4,28,195,2008,2009
"McLeod",36005,997,36,5,2008,2009
"McLeod",36023,28,36,23,2008,2009
"McLeod",36028,6,36,28,2008,2009
"McLeod",36036,11266,36,36,2008,2009
"McLeod",36037,69,36,37,2008,2009
"McLeod",36059,1,36,59,2008,2009
"McLeod",36061,2,36,61,2008,2009
