"xCoords","yCoords","width","colorToUse"
1,6.4,9.79961302309219,"#ffd300"
1.2,6.4,9.79961302309219,"#ffd300"
1.4,6.4,9.79961302309219,"#ffd300"
2,6.4,9.79961302309219,"#ffd300"
1.8,6.4,9.79961302309219,"#ffd300"
1.6,6.4,9.79961302309219,"#ffd300"
1,6.4,0.0230866905229135,"#e41a1c"
1.2,5.9,0.0230866905229135,"#e41a1c"
1.4,5.9,0.0230866905229135,"#e41a1c"
2,1.9,0.0230866905229135,"#ffd300"
1.8,2.4,0.0230866905229135,"#ffd300"
1.6,2.4,0.0230866905229135,"#ffd300"
1,6.4,0.140787585956696,"#f781bf"
1.2,6.2,0.140787585956696,"#f781bf"
1.4,6.2,0.140787585956696,"#f781bf"
2,4.6,0.140787585956696,"#ffd300"
1.8,4.8,0.140787585956696,"#ffd300"
1.6,4.8,0.140787585956696,"#ffd300"
1,6.4,2.36020184363714,"#AAAAAA"
1.2,5.8,2.36020184363714,"#AAAAAA"
1.4,5.8,2.36020184363714,"#AAAAAA"
2,1,2.36020184363714,"#ffd300"
1.8,1.6,2.36020184363714,"#ffd300"
1.6,1.6,2.36020184363714,"#ffd300"
1,6.4,22.6838415153664,"#4daf4a"
1.2,6.3,22.6838415153664,"#4daf4a"
1.4,6.3,22.6838415153664,"#4daf4a"
2,5.5,22.6838415153664,"#ffd300"
1.8,5.6,22.6838415153664,"#ffd300"
1.6,5.6,22.6838415153664,"#ffd300"
1,6.4,0.384709464993431,"#a65628"
1.2,6.1,0.384709464993431,"#a65628"
1.4,6.1,0.384709464993431,"#a65628"
2,3.7,0.384709464993431,"#ffd300"
1.8,4,0.384709464993431,"#ffd300"
1.6,4,0.384709464993431,"#ffd300"
1,6.4,0.488805703511925,"#377eb8"
1.2,6,0.488805703511925,"#377eb8"
1.4,6,0.488805703511925,"#377eb8"
2,2.8,0.488805703511925,"#ffd300"
1.8,3.2,0.488805703511925,"#ffd300"
1.6,3.2,0.488805703511925,"#ffd300"
1,1.9,0.103477845022345,"#ffd300"
1.2,2.4,0.103477845022345,"#ffd300"
1.4,2.4,0.103477845022345,"#ffd300"
2,6.4,0.103477845022345,"#e41a1c"
1.8,5.9,0.103477845022345,"#e41a1c"
1.6,5.9,0.103477845022345,"#e41a1c"
1,1.9,0.000137420776922104,"#f781bf"
1.2,2.2,0.000137420776922104,"#f781bf"
1.4,2.2,0.000137420776922104,"#f781bf"
2,4.6,0.000137420776922104,"#e41a1c"
1.8,4.3,0.000137420776922104,"#e41a1c"
1.6,4.3,0.000137420776922104,"#e41a1c"
1,1.9,0.0133985257499052,"#AAAAAA"
1.2,1.8,0.0133985257499052,"#AAAAAA"
1.4,1.8,0.0133985257499052,"#AAAAAA"
2,1,0.0133985257499052,"#e41a1c"
1.8,1.1,0.0133985257499052,"#e41a1c"
1.6,1.1,0.0133985257499052,"#e41a1c"
1,1.9,0.00426004408458524,"#4daf4a"
1.2,2.3,0.00426004408458524,"#4daf4a"
1.4,2.3,0.00426004408458524,"#4daf4a"
2,5.5,0.00426004408458524,"#e41a1c"
1.8,5.1,0.00426004408458524,"#e41a1c"
1.6,5.1,0.00426004408458524,"#e41a1c"
1,1.9,0.00213002204229262,"#a65628"
1.2,2.1,0.00213002204229262,"#a65628"
1.4,2.1,0.00213002204229262,"#a65628"
2,3.7,0.00213002204229262,"#e41a1c"
1.8,3.5,0.00213002204229262,"#e41a1c"
1.6,3.5,0.00213002204229262,"#e41a1c"
1,1.9,0.000824524661532626,"#377eb8"
1.2,2,0.000824524661532626,"#377eb8"
1.4,2,0.000824524661532626,"#377eb8"
2,2.8,0.000824524661532626,"#e41a1c"
1.8,2.7,0.000824524661532626,"#e41a1c"
1.6,2.7,0.000824524661532626,"#e41a1c"
1,4.6,0.430264452543109,"#ffd300"
1.2,4.8,0.430264452543109,"#ffd300"
1.4,4.8,0.430264452543109,"#ffd300"
2,6.4,0.430264452543109,"#f781bf"
1.8,6.2,0.430264452543109,"#f781bf"
1.6,6.2,0.430264452543109,"#f781bf"
1,4.6,0.000274841553844209,"#e41a1c"
