"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Meeker",1005,374806,1,5,2008,2009
"Meeker",1023,5637,1,23,2008,2009
"Meeker",1028,763,1,28,2008,2009
"Meeker",1036,2451,1,36,2008,2009
"Meeker",1037,183,1,37,2008,2009
"Meeker",1043,11,1,43,2008,2009
"Meeker",1059,18,1,59,2008,2009
"Meeker",1061,15,1,61,2008,2009
"Meeker",1111,282,1,111,2008,2009
"Meeker",1121,319,1,121,2008,2009
"Meeker",1152,82,1,152,2008,2009
"Meeker",1176,31188,1,176,2008,2009
"Meeker",1190,14,1,190,2008,2009
"Meeker",1195,5688,1,195,2008,2009
"Meeker",5005,36984,5,5,2008,2009
"Meeker",5023,20868,5,23,2008,2009
"Meeker",5024,243,5,24,2008,2009
"Meeker",5028,1175,5,28,2008,2009
"Meeker",5036,1996,5,36,2008,2009
"Meeker",5037,125,5,37,2008,2009
"Meeker",5043,19,5,43,2008,2009
"Meeker",5058,1,5,58,2008,2009
"Meeker",5059,16,5,59,2008,2009
"Meeker",5061,79,5,61,2008,2009
"Meeker",5111,94,5,111,2008,2009
"Meeker",5121,222,5,121,2008,2009
"Meeker",5141,562,5,141,2008,2009
"Meeker",5142,2,5,142,2008,2009
"Meeker",5152,34,5,152,2008,2009
"Meeker",5176,22362,5,176,2008,2009
"Meeker",5190,14,5,190,2008,2009
"Meeker",5195,1359,5,195,2008,2009
"Meeker",6005,7,6,5,2008,2009
"Meeker",6176,3,6,176,2008,2009
"Meeker",21005,246,21,5,2008,2009
"Meeker",21023,85,21,23,2008,2009
"Meeker",21028,11,21,28,2008,2009
"Meeker",21036,370,21,36,2008,2009
"Meeker",21037,15,21,37,2008,2009
"Meeker",21176,306,21,176,2008,2009
"Meeker",21195,4,21,195,2008,2009
"Meeker",23005,12128,23,5,2008,2009
"Meeker",23023,2121,23,23,2008,2009
"Meeker",23024,9,23,24,2008,2009
"Meeker",23028,214,23,28,2008,2009
"Meeker",23036,767,23,36,2008,2009
"Meeker",23037,12,23,37,2008,2009
"Meeker",23043,3,23,43,2008,2009
"Meeker",23059,2,23,59,2008,2009
"Meeker",23061,12,23,61,2008,2009
"Meeker",23111,1,23,111,2008,2009
"Meeker",23121,16,23,121,2008,2009
"Meeker",23131,48,23,131,2008,2009
"Meeker",23141,1,23,141,2008,2009
"Meeker",23152,1,23,152,2008,2009
"Meeker",23176,3531,23,176,2008,2009
"Meeker",23190,4,23,190,2008,2009
"Meeker",23195,86,23,195,2008,2009
"Meeker",24005,370,24,5,2008,2009
"Meeker",24023,34,24,23,2008,2009
"Meeker",24028,7,24,28,2008,2009
"Meeker",24036,6,24,36,2008,2009
"Meeker",24131,2,24,131,2008,2009
"Meeker",24176,105,24,176,2008,2009
"Meeker",24195,2,24,195,2008,2009
"Meeker",27176,100,27,176,2008,2009
"Meeker",28005,597,28,5,2008,2009
"Meeker",28023,75,28,23,2008,2009
"Meeker",28028,15,28,28,2008,2009
"Meeker",28036,403,28,36,2008,2009
"Meeker",28037,4,28,37,2008,2009
"Meeker",28061,1,28,61,2008,2009
"Meeker",28141,5,28,141,2008,2009
"Meeker",28176,807,28,176,2008,2009
"Meeker",28195,11,28,195,2008,2009
"Meeker",32005,1,32,5,2008,2009
"Meeker",36005,1265,36,5,2008,2009
"Meeker",36023,126,36,23,2008,2009
"Meeker",36028,23,36,28,2008,2009
"Meeker",36036,12568,36,36,2008,2009
"Meeker",36037,148,36,37,2008,2009
"Meeker",36058,1,36,58,2008,2009
"Meeker",36061,1,36,61,2008,2009
"Meeker",36131,4,36,131,2008,2009
"Meeker",36141,173,36,141,2008,2009
"Meeker",36142,3,36,142,2008,2009
"Meeker",36152,20,36,152,2008,2009
"Meeker",36176,9352,36,176,2008,2009
"Meeker",36190,6,36,190,2008,2009
"Meeker",36195,128,36,195,2008,2009
"Meeker",37005,81,37,5,2008,2009
"Meeker",37023,33,37,23,2008,2009
"Meeker",37024,2,37,24,2008,2009
"Meeker",37028,10,37,28,2008,2009
"Meeker",37036,94,37,36,2008,2009
"Meeker",37037,64,37,37,2008,2009
"Meeker",37111,7,37,111,2008,2009
"Meeker",37141,49,37,141,2008,2009
"Meeker",37152,2,37,152,2008,2009
"Meeker",37176,859,37,176,2008,2009
"Meeker",37190,3,37,190,2008,2009
"Meeker",37195,53,37,195,2008,2009
"Meeker",41005,3324,41,5,2008,2009
"Meeker",41023,6,41,23,2008,2009
"Meeker",41195,16,41,195,2008,2009
"Meeker",42005,153,42,5,2008,2009
"Meeker",42023,23,42,23,2008,2009
"Meeker",42061,3,42,61,2008,2009
"Meeker",42176,125,42,176,2008,2009
"Meeker",42195,1,42,195,2008,2009
"Meeker",43023,5,43,23,2008,2009
"Meeker",43176,116,43,176,2008,2009
"Meeker",43195,10,43,195,2008,2009
"Meeker",44111,1,44,111,2008,2009
"Meeker",44195,1,44,195,2008,2009
"Meeker",59036,1,59,36,2008,2009
"Meeker",59141,1,59,141,2008,2009
"Meeker",59176,2,59,176,2008,2009
"Meeker",61005,35,61,5,2008,2009
"Meeker",61023,14,61,23,2008,2009
"Meeker",61028,3,61,28,2008,2009
"Meeker",61036,5,61,36,2008,2009
"Meeker",61061,4,61,61,2008,2009
"Meeker",61111,7,61,111,2008,2009
"Meeker",61176,82,61,176,2008,2009
"Meeker",61195,4,61,195,2008,2009
"Meeker",111005,29,111,5,2008,2009
"Meeker",111023,26,111,23,2008,2009
"Meeker",111037,1,111,37,2008,2009
"Meeker",111111,103453,111,111,2008,2009
"Meeker",111141,492,111,141,2008,2009
"Meeker",111142,5,111,142,2008,2009
"Meeker",111152,9,111,152,2008,2009
"Meeker",111176,497,111,176,2008,2009
"Meeker",111190,27,111,190,2008,2009
"Meeker",111195,2274,111,195,2008,2009
"Meeker",121005,219,121,5,2008,2009
"Meeker",121023,3,121,23,2008,2009
"Meeker",121036,3,121,36,2008,2009
"Meeker",121041,9,121,41,2008,2009
"Meeker",121061,2,121,61,2008,2009
