"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Mille Lacs",1005,39429,1,5,2008,2009
"Mille Lacs",1023,1003,1,23,2008,2009
"Mille Lacs",1028,279,1,28,2008,2009
"Mille Lacs",1036,1066,1,36,2008,2009
"Mille Lacs",1037,91,1,37,2008,2009
"Mille Lacs",1043,35,1,43,2008,2009
"Mille Lacs",1061,23,1,61,2008,2009
"Mille Lacs",1111,5,1,111,2008,2009
"Mille Lacs",1121,55,1,121,2008,2009
"Mille Lacs",1152,11,1,152,2008,2009
"Mille Lacs",1176,10689,1,176,2008,2009
"Mille Lacs",1190,12,1,190,2008,2009
"Mille Lacs",1195,2272,1,195,2008,2009
"Mille Lacs",5005,18027,5,5,2008,2009
"Mille Lacs",5023,3616,5,23,2008,2009
"Mille Lacs",5024,52,5,24,2008,2009
"Mille Lacs",5028,501,5,28,2008,2009
"Mille Lacs",5036,1106,5,36,2008,2009
"Mille Lacs",5037,88,5,37,2008,2009
"Mille Lacs",5043,11,5,43,2008,2009
"Mille Lacs",5058,2,5,58,2008,2009
"Mille Lacs",5061,40,5,61,2008,2009
"Mille Lacs",5111,6,5,111,2008,2009
"Mille Lacs",5121,124,5,121,2008,2009
"Mille Lacs",5141,42,5,141,2008,2009
"Mille Lacs",5142,5,5,142,2008,2009
"Mille Lacs",5152,6,5,152,2008,2009
"Mille Lacs",5176,8775,5,176,2008,2009
"Mille Lacs",5190,8,5,190,2008,2009
"Mille Lacs",5195,1092,5,195,2008,2009
"Mille Lacs",6176,3,6,176,2008,2009
"Mille Lacs",6195,1,6,195,2008,2009
"Mille Lacs",21005,10,21,5,2008,2009
"Mille Lacs",21023,1,21,23,2008,2009
"Mille Lacs",21036,3,21,36,2008,2009
"Mille Lacs",21037,2,21,37,2008,2009
"Mille Lacs",21176,9,21,176,2008,2009
"Mille Lacs",21195,3,21,195,2008,2009
"Mille Lacs",23005,1184,23,5,2008,2009
"Mille Lacs",23023,123,23,23,2008,2009
"Mille Lacs",23024,7,23,24,2008,2009
"Mille Lacs",23028,28,23,28,2008,2009
"Mille Lacs",23036,184,23,36,2008,2009
"Mille Lacs",23037,8,23,37,2008,2009
"Mille Lacs",23061,7,23,61,2008,2009
"Mille Lacs",23111,2,23,111,2008,2009
"Mille Lacs",23121,10,23,121,2008,2009
"Mille Lacs",23131,8,23,131,2008,2009
"Mille Lacs",23141,8,23,141,2008,2009
"Mille Lacs",23142,6,23,142,2008,2009
"Mille Lacs",23152,1,23,152,2008,2009
"Mille Lacs",23176,644,23,176,2008,2009
"Mille Lacs",23190,1,23,190,2008,2009
"Mille Lacs",23195,26,23,195,2008,2009
"Mille Lacs",24005,90,24,5,2008,2009
"Mille Lacs",24023,7,24,23,2008,2009
"Mille Lacs",24036,21,24,36,2008,2009
"Mille Lacs",24037,9,24,37,2008,2009
"Mille Lacs",24131,1,24,131,2008,2009
"Mille Lacs",24176,94,24,176,2008,2009
"Mille Lacs",24195,3,24,195,2008,2009
"Mille Lacs",27176,209,27,176,2008,2009
"Mille Lacs",27190,4,27,190,2008,2009
"Mille Lacs",27195,2,27,195,2008,2009
"Mille Lacs",28005,588,28,5,2008,2009
"Mille Lacs",28023,65,28,23,2008,2009
"Mille Lacs",28028,18,28,28,2008,2009
"Mille Lacs",28036,161,28,36,2008,2009
"Mille Lacs",28037,14,28,37,2008,2009
"Mille Lacs",28058,1,28,58,2008,2009
"Mille Lacs",28061,3,28,61,2008,2009
"Mille Lacs",28141,2,28,141,2008,2009
"Mille Lacs",28176,446,28,176,2008,2009
"Mille Lacs",28190,1,28,190,2008,2009
"Mille Lacs",28195,21,28,195,2008,2009
"Mille Lacs",36005,993,36,5,2008,2009
"Mille Lacs",36023,81,36,23,2008,2009
"Mille Lacs",36028,8,36,28,2008,2009
"Mille Lacs",36036,14044,36,36,2008,2009
"Mille Lacs",36037,1746,36,37,2008,2009
"Mille Lacs",36058,3,36,58,2008,2009
"Mille Lacs",36059,16,36,59,2008,2009
"Mille Lacs",36061,1,36,61,2008,2009
"Mille Lacs",36131,3,36,131,2008,2009
"Mille Lacs",36141,33,36,141,2008,2009
"Mille Lacs",36142,4,36,142,2008,2009
"Mille Lacs",36152,4,36,152,2008,2009
"Mille Lacs",36176,16158,36,176,2008,2009
"Mille Lacs",36190,5,36,190,2008,2009
"Mille Lacs",36195,161,36,195,2008,2009
"Mille Lacs",37005,461,37,5,2008,2009
"Mille Lacs",37023,31,37,23,2008,2009
"Mille Lacs",37024,2,37,24,2008,2009
"Mille Lacs",37028,2,37,28,2008,2009
"Mille Lacs",37036,1372,37,36,2008,2009
