"xCoords","yCoords","width","colorToUse"
1,6.4,1.37837450700427,"#ffd300"
1.2,6.4,1.37837450700427,"#ffd300"
1.4,6.4,1.37837450700427,"#ffd300"
2,6.4,1.37837450700427,"#ffd300"
1.8,6.4,1.37837450700427,"#ffd300"
1.6,6.4,1.37837450700427,"#ffd300"
1,6.4,0.000662680051444362,"#e41a1c"
1.2,5.9,0.000662680051444362,"#e41a1c"
1.4,5.9,0.000662680051444362,"#e41a1c"
2,1.9,0.000662680051444362,"#ffd300"
1.8,2.4,0.000662680051444362,"#ffd300"
1.6,2.4,0.000662680051444362,"#ffd300"
1,6.4,0.0543397642184377,"#f781bf"
1.2,6.2,0.0543397642184377,"#f781bf"
1.4,6.2,0.0543397642184377,"#f781bf"
2,4.6,0.0543397642184377,"#ffd300"
1.8,4.8,0.0543397642184377,"#ffd300"
1.6,4.8,0.0543397642184377,"#ffd300"
1,6.4,0.69561015246229,"#AAAAAA"
1.2,5.8,0.69561015246229,"#AAAAAA"
1.4,5.8,0.69561015246229,"#AAAAAA"
2,1,0.69561015246229,"#ffd300"
1.8,1.6,0.69561015246229,"#ffd300"
1.6,1.6,0.69561015246229,"#ffd300"
1,6.4,2.00990859603075,"#4daf4a"
1.2,6.3,2.00990859603075,"#4daf4a"
1.4,6.3,2.00990859603075,"#4daf4a"
2,5.5,2.00990859603075,"#ffd300"
1.8,5.6,2.00990859603075,"#ffd300"
1.6,5.6,2.00990859603075,"#ffd300"
1,6.4,0.0511283147383612,"#a65628"
1.2,6.1,0.0511283147383612,"#a65628"
1.4,6.1,0.0511283147383612,"#a65628"
2,3.7,0.0511283147383612,"#ffd300"
1.8,4,0.0511283147383612,"#ffd300"
1.6,4,0.0511283147383612,"#ffd300"
1,6.4,0.000101950777145286,"#377eb8"
1.2,6,0.000101950777145286,"#377eb8"
1.4,6,0.000101950777145286,"#377eb8"
2,2.8,0.000101950777145286,"#ffd300"
1.8,3.2,0.000101950777145286,"#ffd300"
1.6,3.2,0.000101950777145286,"#ffd300"
1,1.9,0.000917556994307578,"#ffd300"
1.2,2.4,0.000917556994307578,"#ffd300"
1.4,2.4,0.000917556994307578,"#ffd300"
2,6.4,0.000917556994307578,"#e41a1c"
1.8,5.9,0.000917556994307578,"#e41a1c"
1.6,5.9,0.000917556994307578,"#e41a1c"
1,1.9,0.000305852331435859,"#f781bf"
1.2,2.2,0.000305852331435859,"#f781bf"
1.4,2.2,0.000305852331435859,"#f781bf"
2,4.6,0.000305852331435859,"#e41a1c"
1.8,4.3,0.000305852331435859,"#e41a1c"
1.6,4.3,0.000305852331435859,"#e41a1c"
1,1.9,0.00392510492009353,"#AAAAAA"
1.2,1.8,0.00392510492009353,"#AAAAAA"
1.4,1.8,0.00392510492009353,"#AAAAAA"
2,1,0.00392510492009353,"#e41a1c"
1.8,1.1,0.00392510492009353,"#e41a1c"
1.6,1.1,0.00392510492009353,"#e41a1c"
1,1.9,0.00214096632005102,"#4daf4a"
1.2,2.3,0.00214096632005102,"#4daf4a"
1.4,2.3,0.00214096632005102,"#4daf4a"
2,5.5,0.00214096632005102,"#e41a1c"
1.8,5.1,0.00214096632005102,"#e41a1c"
1.6,5.1,0.00214096632005102,"#e41a1c"
1,1.9,0.000662680051444362,"#a65628"
1.2,2.1,0.000662680051444362,"#a65628"
1.4,2.1,0.000662680051444362,"#a65628"
2,3.7,0.000662680051444362,"#e41a1c"
1.8,3.5,0.000662680051444362,"#e41a1c"
1.6,3.5,0.000662680051444362,"#e41a1c"
1,4.6,0.131006748631693,"#ffd300"
1.2,4.8,0.131006748631693,"#ffd300"
1.4,4.8,0.131006748631693,"#ffd300"
2,6.4,0.131006748631693,"#f781bf"
1.8,6.2,0.131006748631693,"#f781bf"
1.6,6.2,0.131006748631693,"#f781bf"
1,4.6,5.09753885726432e-05,"#e41a1c"
1.2,4.3,5.09753885726432e-05,"#e41a1c"
1.4,4.3,5.09753885726432e-05,"#e41a1c"
2,1.9,5.09753885726432e-05,"#f781bf"
1.8,2.2,5.09753885726432e-05,"#f781bf"
1.6,2.2,5.09753885726432e-05,"#f781bf"
1,4.6,1.45957830100049,"#f781bf"
1.2,4.6,1.45957830100049,"#f781bf"
1.4,4.6,1.45957830100049,"#f781bf"
2,4.6,1.45957830100049,"#f781bf"
1.8,4.6,1.45957830100049,"#f781bf"
1.6,4.6,1.45957830100049,"#f781bf"
1,4.6,0.929128407513568,"#AAAAAA"
1.2,4.2,0.929128407513568,"#AAAAAA"
1.4,4.2,0.929128407513568,"#AAAAAA"
2,1,0.929128407513568,"#f781bf"
1.8,1.4,0.929128407513568,"#f781bf"
1.6,1.4,0.929128407513568,"#f781bf"
1,4.6,0.0741182149846233,"#4daf4a"
1.2,4.7,0.0741182149846233,"#4daf4a"
1.4,4.7,0.0741182149846233,"#4daf4a"
2,5.5,0.0741182149846233,"#f781bf"
1.8,5.4,0.0741182149846233,"#f781bf"
1.6,5.4,0.0741182149846233,"#f781bf"
1,4.6,0.00570924352013604,"#a65628"
1.2,4.5,0.00570924352013604,"#a65628"
1.4,4.5,0.00570924352013604,"#a65628"
2,3.7,0.00570924352013604,"#f781bf"
1.8,3.8,0.00570924352013604,"#f781bf"
1.6,3.8,0.00570924352013604,"#f781bf"
1,1,0.721964428354346,"#ffd300"
1.2,1.6,0.721964428354346,"#ffd300"
1.4,1.6,0.721964428354346,"#ffd300"
2,6.4,0.721964428354346,"#AAAAAA"
1.8,5.8,0.721964428354346,"#AAAAAA"
1.6,5.8,0.721964428354346,"#AAAAAA"
1,1,0.000662680051444362,"#e41a1c"
1.2,1.1,0.000662680051444362,"#e41a1c"
1.4,1.1,0.000662680051444362,"#e41a1c"
2,1.9,0.000662680051444362,"#AAAAAA"
1.8,1.8,0.000662680051444362,"#AAAAAA"
1.6,1.8,0.000662680051444362,"#AAAAAA"
1,1,0.920207714513356,"#f781bf"
1.2,1.4,0.920207714513356,"#f781bf"
1.4,1.4,0.920207714513356,"#f781bf"
2,4.6,0.920207714513356,"#AAAAAA"
1.8,4.2,0.920207714513356,"#AAAAAA"
1.6,4.2,0.920207714513356,"#AAAAAA"
1,1,87.1259107390361,"#AAAAAA"
1.2,1,87.1259107390361,"#AAAAAA"
