"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Morrison",1005,63943,1,5,2008,2009
"Morrison",1023,5394,1,23,2008,2009
"Morrison",1028,8120,1,28,2008,2009
"Morrison",1036,4190,1,36,2008,2009
"Morrison",1037,607,1,37,2008,2009
"Morrison",1043,2920,1,43,2008,2009
"Morrison",1044,4,1,44,2008,2009
"Morrison",1061,70,1,61,2008,2009
"Morrison",1111,57,1,111,2008,2009
"Morrison",1121,105,1,121,2008,2009
"Morrison",1152,69,1,152,2008,2009
"Morrison",1176,55695,1,176,2008,2009
"Morrison",1190,75,1,190,2008,2009
"Morrison",1195,4260,1,195,2008,2009
"Morrison",5005,9183,5,5,2008,2009
"Morrison",5023,5580,5,23,2008,2009
"Morrison",5024,234,5,24,2008,2009
"Morrison",5028,2263,5,28,2008,2009
"Morrison",5036,2185,5,36,2008,2009
"Morrison",5037,645,5,37,2008,2009
"Morrison",5043,2540,5,43,2008,2009
"Morrison",5044,14,5,44,2008,2009
"Morrison",5058,8,5,58,2008,2009
"Morrison",5059,6,5,59,2008,2009
"Morrison",5061,44,5,61,2008,2009
"Morrison",5111,44,5,111,2008,2009
"Morrison",5121,64,5,121,2008,2009
"Morrison",5141,232,5,141,2008,2009
"Morrison",5142,41,5,142,2008,2009
"Morrison",5152,25,5,152,2008,2009
"Morrison",5176,21463,5,176,2008,2009
"Morrison",5190,65,5,190,2008,2009
"Morrison",5195,2136,5,195,2008,2009
"Morrison",6005,18,6,5,2008,2009
"Morrison",6023,13,6,23,2008,2009
"Morrison",6176,10,6,176,2008,2009
"Morrison",6195,3,6,195,2008,2009
"Morrison",21005,60,21,5,2008,2009
"Morrison",21023,10,21,23,2008,2009
"Morrison",21028,5,21,28,2008,2009
"Morrison",21036,48,21,36,2008,2009
"Morrison",21037,14,21,37,2008,2009
"Morrison",21061,1,21,61,2008,2009
"Morrison",21176,148,21,176,2008,2009
"Morrison",21195,1,21,195,2008,2009
"Morrison",23005,2845,23,5,2008,2009
"Morrison",23023,725,23,23,2008,2009
"Morrison",23024,166,23,24,2008,2009
"Morrison",23028,500,23,28,2008,2009
"Morrison",23036,892,23,36,2008,2009
"Morrison",23037,313,23,37,2008,2009
"Morrison",23043,27,23,43,2008,2009
"Morrison",23058,1,23,58,2008,2009
"Morrison",23061,3,23,61,2008,2009
"Morrison",23111,2,23,111,2008,2009
"Morrison",23121,3,23,121,2008,2009
"Morrison",23131,58,23,131,2008,2009
"Morrison",23141,34,23,141,2008,2009
"Morrison",23142,11,23,142,2008,2009
"Morrison",23152,3,23,152,2008,2009
"Morrison",23176,4738,23,176,2008,2009
"Morrison",23190,23,23,190,2008,2009
"Morrison",23195,91,23,195,2008,2009
"Morrison",24005,714,24,5,2008,2009
"Morrison",24023,54,24,23,2008,2009
"Morrison",24028,10,24,28,2008,2009
"Morrison",24036,107,24,36,2008,2009
"Morrison",24037,22,24,37,2008,2009
"Morrison",24131,6,24,131,2008,2009
"Morrison",24152,1,24,152,2008,2009
"Morrison",24176,583,24,176,2008,2009
"Morrison",24195,5,24,195,2008,2009
"Morrison",27176,2158,27,176,2008,2009
"Morrison",27190,1,27,190,2008,2009
"Morrison",27195,18,27,195,2008,2009
"Morrison",28005,860,28,5,2008,2009
"Morrison",28023,254,28,23,2008,2009
"Morrison",28028,306,28,28,2008,2009
"Morrison",28036,1401,28,36,2008,2009
"Morrison",28037,220,28,37,2008,2009
"Morrison",28058,2,28,58,2008,2009
"Morrison",28141,26,28,141,2008,2009
