"xCoords","yCoords","width","colorToUse"
1,6.4,5.82955927127196,"#ffd300"
1.2,6.4,5.82955927127196,"#ffd300"
1.4,6.4,5.82955927127196,"#ffd300"
2,6.4,5.82955927127196,"#ffd300"
1.8,6.4,5.82955927127196,"#ffd300"
1.6,6.4,5.82955927127196,"#ffd300"
1,6.4,0.371236993829683,"#e41a1c"
1.2,5.9,0.371236993829683,"#e41a1c"
1.4,5.9,0.371236993829683,"#e41a1c"
2,1.9,0.371236993829683,"#ffd300"
1.8,2.4,0.371236993829683,"#ffd300"
1.6,2.4,0.371236993829683,"#ffd300"
1,6.4,0.126195278609961,"#f781bf"
1.2,6.2,0.126195278609961,"#f781bf"
1.4,6.2,0.126195278609961,"#f781bf"
2,4.6,0.126195278609961,"#ffd300"
1.8,4.8,0.126195278609961,"#ffd300"
1.6,4.8,0.126195278609961,"#ffd300"
1,6.4,2.23302394909301,"#AAAAAA"
1.2,5.8,2.23302394909301,"#AAAAAA"
1.4,5.8,2.23302394909301,"#AAAAAA"
2,1,2.23302394909301,"#ffd300"
1.8,1.6,2.23302394909301,"#ffd300"
1.6,1.6,2.23302394909301,"#ffd300"
1,6.4,1.92584837712571,"#4daf4a"
1.2,6.3,1.92584837712571,"#4daf4a"
1.4,6.3,1.92584837712571,"#4daf4a"
2,5.5,1.92584837712571,"#ffd300"
1.8,5.6,1.92584837712571,"#ffd300"
1.6,5.6,1.92584837712571,"#ffd300"
1,6.4,0.16245759733225,"#a65628"
1.2,6.1,0.16245759733225,"#a65628"
1.4,6.1,0.16245759733225,"#a65628"
2,3.7,0.16245759733225,"#ffd300"
1.8,4,0.16245759733225,"#ffd300"
1.6,4,0.16245759733225,"#ffd300"
1,6.4,0.00108425537707842,"#377eb8"
1.2,6,0.00108425537707842,"#377eb8"
1.4,6,0.00108425537707842,"#377eb8"
2,2.8,0.00108425537707842,"#ffd300"
1.8,3.2,0.00108425537707842,"#ffd300"
1.6,3.2,0.00108425537707842,"#ffd300"
1,1.9,0.195226204283953,"#ffd300"
1.2,2.4,0.195226204283953,"#ffd300"
1.4,2.4,0.195226204283953,"#ffd300"
2,6.4,0.195226204283953,"#e41a1c"
1.8,5.9,0.195226204283953,"#e41a1c"
1.6,5.9,0.195226204283953,"#e41a1c"
1,1.9,0.00283111126237143,"#e41a1c"
1.2,1.9,0.00283111126237143,"#e41a1c"
1.4,1.9,0.00283111126237143,"#e41a1c"
2,1.9,0.00283111126237143,"#e41a1c"
1.8,1.9,0.00283111126237143,"#e41a1c"
1.6,1.9,0.00283111126237143,"#e41a1c"
1,1.9,0.00153602845086109,"#f781bf"
1.2,2.2,0.00153602845086109,"#f781bf"
1.4,2.2,0.00153602845086109,"#f781bf"
2,4.6,0.00153602845086109,"#e41a1c"
1.8,4.3,0.00153602845086109,"#e41a1c"
1.6,4.3,0.00153602845086109,"#e41a1c"
1,1.9,0.122099202740998,"#AAAAAA"
1.2,1.8,0.122099202740998,"#AAAAAA"
1.4,1.8,0.122099202740998,"#AAAAAA"
2,1,0.122099202740998,"#e41a1c"
1.8,1.1,0.122099202740998,"#e41a1c"
1.6,1.1,0.122099202740998,"#e41a1c"
1,1.9,0.00530080406571672,"#4daf4a"
1.2,2.3,0.00530080406571672,"#4daf4a"
1.4,2.3,0.00530080406571672,"#4daf4a"
2,5.5,0.00530080406571672,"#e41a1c"
1.8,5.1,0.00530080406571672,"#e41a1c"
1.6,5.1,0.00530080406571672,"#e41a1c"
1,1.9,0.00108425537707842,"#a65628"
1.2,2.1,0.00108425537707842,"#a65628"
1.4,2.1,0.00108425537707842,"#a65628"
2,3.7,0.00108425537707842,"#e41a1c"
1.8,3.5,0.00108425537707842,"#e41a1c"
1.6,3.5,0.00108425537707842,"#e41a1c"
1,1.9,0.00012047281967538,"#377eb8"
1.2,2,0.00012047281967538,"#377eb8"
1.4,2,0.00012047281967538,"#377eb8"
2,2.8,0.00012047281967538,"#e41a1c"
1.8,2.7,0.00012047281967538,"#e41a1c"
1.6,2.7,0.00012047281967538,"#e41a1c"
1,4.6,0.401776853617392,"#ffd300"
1.2,4.8,0.401776853617392,"#ffd300"
1.4,4.8,0.401776853617392,"#ffd300"
2,6.4,0.401776853617392,"#f781bf"
1.8,6.2,0.401776853617392,"#f781bf"
1.6,6.2,0.401776853617392,"#f781bf"
1,4.6,0.00186732870496839,"#e41a1c"
1.2,4.3,0.00186732870496839,"#e41a1c"
1.4,4.3,0.00186732870496839,"#e41a1c"
2,1.9,0.00186732870496839,"#f781bf"
1.8,2.2,0.00186732870496839,"#f781bf"
1.6,2.2,0.00186732870496839,"#f781bf"
1,4.6,2.8652653067494,"#f781bf"
1.2,4.6,2.8652653067494,"#f781bf"
1.4,4.6,2.8652653067494,"#f781bf"
2,4.6,2.8652653067494,"#f781bf"
1.8,4.6,2.8652653067494,"#f781bf"
1.6,4.6,2.8652653067494,"#f781bf"
1,4.6,1.61267928237956,"#AAAAAA"
1.2,4.2,1.61267928237956,"#AAAAAA"
1.4,4.2,1.61267928237956,"#AAAAAA"
2,1,1.61267928237956,"#f781bf"
1.8,1.4,1.61267928237956,"#f781bf"
1.6,1.4,1.61267928237956,"#f781bf"
1,4.6,0.0511105937472799,"#4daf4a"
1.2,4.7,0.0511105937472799,"#4daf4a"
1.4,4.7,0.0511105937472799,"#4daf4a"
2,5.5,0.0511105937472799,"#f781bf"
1.8,5.4,0.0511105937472799,"#f781bf"
1.6,5.4,0.0511105937472799,"#f781bf"
1,4.6,0.00755966943463009,"#a65628"
1.2,4.5,0.00755966943463009,"#a65628"
1.4,4.5,0.00755966943463009,"#a65628"
2,3.7,0.00755966943463009,"#f781bf"
1.8,3.8,0.00755966943463009,"#f781bf"
1.6,3.8,0.00755966943463009,"#f781bf"
1,4.6,9.0354614756535e-05,"#377eb8"
1.2,4.4,9.0354614756535e-05,"#377eb8"
1.4,4.4,9.0354614756535e-05,"#377eb8"
2,2.8,9.0354614756535e-05,"#f781bf"
1.8,3,9.0354614756535e-05,"#f781bf"
1.6,3,9.0354614756535e-05,"#f781bf"
1,1,2.34066641347296,"#ffd300"
1.2,1.6,2.34066641347296,"#ffd300"
1.4,1.6,2.34066641347296,"#ffd300"
2,6.4,2.34066641347296,"#AAAAAA"
1.8,5.8,2.34066641347296,"#AAAAAA"
1.6,5.8,2.34066641347296,"#AAAAAA"
1,1,0.029335131590955,"#e41a1c"
1.2,1.1,0.029335131590955,"#e41a1c"
1.4,1.1,0.029335131590955,"#e41a1c"
2,1.9,0.029335131590955,"#AAAAAA"
1.8,1.8,0.029335131590955,"#AAAAAA"
1.6,1.8,0.029335131590955,"#AAAAAA"
1,1,1.1505455461048,"#f781bf"
1.2,1.4,1.1505455461048,"#f781bf"
1.4,1.4,1.1505455461048,"#f781bf"
2,4.6,1.1505455461048,"#AAAAAA"
1.8,4.2,1.1505455461048,"#AAAAAA"
1.6,4.2,1.1505455461048,"#AAAAAA"
1,1,75.8408023971682,"#AAAAAA"
1.2,1,75.8408023971682,"#AAAAAA"
1.4,1,75.8408023971682,"#AAAAAA"
2,1,75.8408023971682,"#AAAAAA"
1.8,1,75.8408023971682,"#AAAAAA"
1.6,1,75.8408023971682,"#AAAAAA"
1,1,0.6065204106557,"#4daf4a"
1.2,1.5,0.6065204106557,"#4daf4a"
1.4,1.5,0.6065204106557,"#4daf4a"
2,5.5,0.6065204106557,"#AAAAAA"
1.8,5,0.6065204106557,"#AAAAAA"
1.6,5,0.6065204106557,"#AAAAAA"
1,1,0.125984451175529,"#a65628"
1.2,1.3,0.125984451175529,"#a65628"
1.4,1.3,0.125984451175529,"#a65628"
2,3.7,0.125984451175529,"#AAAAAA"
1.8,3.4,0.125984451175529,"#AAAAAA"
1.6,3.4,0.125984451175529,"#AAAAAA"
1,1,0.00219862895907568,"#377eb8"
1.2,1.2,0.00219862895907568,"#377eb8"
1.4,1.2,0.00219862895907568,"#377eb8"
2,2.8,0.00219862895907568,"#AAAAAA"
1.8,2.6,0.00219862895907568,"#AAAAAA"
1.6,2.6,0.00219862895907568,"#AAAAAA"
1,5.5,2.0401168465878,"#ffd300"
1.2,5.6,2.0401168465878,"#ffd300"
1.4,5.6,2.0401168465878,"#ffd300"
2,6.4,2.0401168465878,"#4daf4a"
1.8,6.3,2.0401168465878,"#4daf4a"
1.6,6.3,2.0401168465878,"#4daf4a"
1,5.5,0.0217754621563249,"#e41a1c"
1.2,5.1,0.0217754621563249,"#e41a1c"
1.4,5.1,0.0217754621563249,"#e41a1c"
2,1.9,0.0217754621563249,"#4daf4a"
1.8,2.3,0.0217754621563249,"#4daf4a"
1.6,2.3,0.0217754621563249,"#4daf4a"
1,5.5,0.0658082777476763,"#f781bf"
1.2,5.4,0.0658082777476763,"#f781bf"
1.4,5.4,0.0658082777476763,"#f781bf"
2,4.6,0.0658082777476763,"#4daf4a"
1.8,4.7,0.0658082777476763,"#4daf4a"
1.6,4.7,0.0658082777476763,"#4daf4a"
1,5.5,0.923333808197031,"#AAAAAA"
1.2,5,0.923333808197031,"#AAAAAA"
1.4,5,0.923333808197031,"#AAAAAA"
2,1,0.923333808197031,"#4daf4a"
1.8,1.5,0.923333808197031,"#4daf4a"
1.6,1.5,0.923333808197031,"#4daf4a"
1,5.5,0.276575475769754,"#4daf4a"
1.2,5.5,0.276575475769754,"#4daf4a"
1.4,5.5,0.276575475769754,"#4daf4a"
2,5.5,0.276575475769754,"#4daf4a"
1.8,5.5,0.276575475769754,"#4daf4a"
1.6,5.5,0.276575475769754,"#4daf4a"
1,5.5,0.168059583447155,"#a65628"
1.2,5.3,0.168059583447155,"#a65628"
1.4,5.3,0.168059583447155,"#a65628"
2,3.7,0.168059583447155,"#4daf4a"
1.8,3.9,0.168059583447155,"#4daf4a"
1.6,3.9,0.168059583447155,"#4daf4a"
1,5.5,0.000632482303295745,"#377eb8"
1.2,5.2,0.000632482303295745,"#377eb8"
1.4,5.2,0.000632482303295745,"#377eb8"
2,2.8,0.000632482303295745,"#4daf4a"
1.8,3.1,0.000632482303295745,"#4daf4a"
1.6,3.1,0.000632482303295745,"#4daf4a"
1,3.7,0.131014191396976,"#ffd300"
1.2,4,0.131014191396976,"#ffd300"
1.4,4,0.131014191396976,"#ffd300"
2,6.4,0.131014191396976,"#a65628"
1.8,6.1,0.131014191396976,"#a65628"
1.6,6.1,0.131014191396976,"#a65628"
1,3.7,0.00153602845086109,"#e41a1c"
1.2,3.5,0.00153602845086109,"#e41a1c"
1.4,3.5,0.00153602845086109,"#e41a1c"
2,1.9,0.00153602845086109,"#a65628"
1.8,2.1,0.00153602845086109,"#a65628"
1.6,2.1,0.00153602845086109,"#a65628"
1,3.7,0.0268654387876097,"#f781bf"
1.2,3.8,0.0268654387876097,"#f781bf"
1.4,3.8,0.0268654387876097,"#f781bf"
2,4.6,0.0268654387876097,"#a65628"
1.8,4.5,0.0268654387876097,"#a65628"
1.6,4.5,0.0268654387876097,"#a65628"
1,3.7,0.216820957210765,"#AAAAAA"
1.2,3.4,0.216820957210765,"#AAAAAA"
1.4,3.4,0.216820957210765,"#AAAAAA"
2,1,0.216820957210765,"#a65628"
1.8,1.3,0.216820957210765,"#a65628"
1.6,1.3,0.216820957210765,"#a65628"
1,3.7,0.085686292994114,"#4daf4a"
