"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,193556,5.82955927127196,353587,10.6494057226396,363314,10.9423655018852
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,12326,0.371236993829683,353587,10.6494057226396,14230,0.428582055995164
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,4190,0.126195278609961,353587,10.6494057226396,140663,4.23651705849949
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,74142,2.23302394909301,353587,10.6494057226396,2687745,80.950054679601
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,63943,1.92584837712571,353587,10.6494057226396,97991,2.95131301820254
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,5394,0.16245759733225,353587,10.6494057226396,16169,0.486981255332805
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,36,0.00108425537707842,353587,10.6494057226396,139,0.00418643048371945
2008,2009,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",1,2,1.9,6.4,1.2,1.8,2.4,5.9,6482,0.195226204283953,10897,0.328198079000654,363314,10.9423655018852
2008,2009,"dryBeans_dryBeans","dryBeans","dryBeans","#e41a1c","#e41a1c",1,2,1.9,1.9,1.2,1.8,1.9,1.9,94,0.00283111126237143,10897,0.328198079000654,14230,0.428582055995164
2008,2009,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",1,2,1.9,4.6,1.2,1.8,2.2,4.3,51,0.00153602845086109,10897,0.328198079000654,140663,4.23651705849949
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,4054,0.122099202740998,10897,0.328198079000654,2687745,80.950054679601
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,176,0.00530080406571672,10897,0.328198079000654,97991,2.95131301820254
2008,2009,"dryBeans_springWheat","dryBeans","springWheat","#e41a1c","#a65628",1,2,1.9,3.7,1.2,1.8,2.1,3.5,36,0.00108425537707842,10897,0.328198079000654,16169,0.486981255332805
2008,2009,"dryBeans_sugarbeets","dryBeans","sugarbeets","#e41a1c","#377eb8",1,2,1.9,2.8,1.2,1.8,2,2.7,4,0.00012047281967538,10897,0.328198079000654,139,0.00418643048371945
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,13340,0.401776853617392,164032,4.94034938924798,363314,10.9423655018852
2008,2009,"hay_dryBeans","hay","dryBeans","#f781bf","#e41a1c",1,2,4.6,1.9,1.2,1.8,4.3,2.2,62,0.00186732870496839,164032,4.94034938924798,14230,0.428582055995164
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,95134,2.8652653067494,164032,4.94034938924798,140663,4.23651705849949
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,53545,1.61267928237956,164032,4.94034938924798,2687745,80.950054679601
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,1697,0.0511105937472799,164032,4.94034938924798,97991,2.95131301820254
