"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Mower",0,93,0,0,2008,2009
"Mower",1005,645528,1,5,2008,2009
"Mower",1023,1036,1,23,2008,2009
"Mower",1028,548,1,28,2008,2009
"Mower",1036,2305,1,36,2008,2009
"Mower",1037,88,1,37,2008,2009
"Mower",1043,5,1,43,2008,2009
"Mower",1059,4,1,59,2008,2009
"Mower",1061,2,1,61,2008,2009
"Mower",1111,192,1,111,2008,2009
"Mower",1121,2562,1,121,2008,2009
"Mower",1152,7,1,152,2008,2009
"Mower",1176,20715,1,176,2008,2009
"Mower",1190,24,1,190,2008,2009
"Mower",1195,412,1,195,2008,2009
"Mower",5005,66700,5,5,2008,2009
"Mower",5023,883,5,23,2008,2009
"Mower",5024,149,5,24,2008,2009
"Mower",5028,688,5,28,2008,2009
"Mower",5036,1663,5,36,2008,2009
"Mower",5037,61,5,37,2008,2009
"Mower",5111,59,5,111,2008,2009
"Mower",5121,1117,5,121,2008,2009
"Mower",5141,245,5,141,2008,2009
"Mower",5142,1,5,142,2008,2009
"Mower",5152,1,5,152,2008,2009
"Mower",5176,17493,5,176,2008,2009
"Mower",5190,60,5,190,2008,2009
"Mower",5195,139,5,195,2008,2009
"Mower",21005,17,21,5,2008,2009
"Mower",21036,50,21,36,2008,2009
"Mower",21176,32,21,176,2008,2009
"Mower",23005,304,23,5,2008,2009
"Mower",23028,10,23,28,2008,2009
"Mower",23036,122,23,36,2008,2009
"Mower",23037,6,23,37,2008,2009
"Mower",23176,166,23,176,2008,2009
"Mower",23195,1,23,195,2008,2009
"Mower",24005,31,24,5,2008,2009
"Mower",24036,3,24,36,2008,2009
"Mower",24037,2,24,37,2008,2009
"Mower",24176,13,24,176,2008,2009
"Mower",27176,1,27,176,2008,2009
"Mower",28005,152,28,5,2008,2009
"Mower",28023,2,28,23,2008,2009
"Mower",28028,2,28,28,2008,2009
"Mower",28036,348,28,36,2008,2009
"Mower",28037,2,28,37,2008,2009
"Mower",28176,253,28,176,2008,2009
"Mower",28195,1,28,195,2008,2009
"Mower",36005,2086,36,5,2008,2009
"Mower",36023,35,36,23,2008,2009
"Mower",36028,8,36,28,2008,2009
"Mower",36036,7529,36,36,2008,2009
"Mower",36037,202,36,37,2008,2009
"Mower",36059,2,36,59,2008,2009
"Mower",36131,21,36,131,2008,2009
"Mower",36141,27,36,141,2008,2009
"Mower",36152,2,36,152,2008,2009
"Mower",36176,8847,36,176,2008,2009
"Mower",36190,4,36,190,2008,2009
"Mower",36195,218,36,195,2008,2009
"Mower",37005,66,37,5,2008,2009
"Mower",37036,52,37,36,2008,2009
"Mower",37141,2,37,141,2008,2009
"Mower",37176,265,37,176,2008,2009
"Mower",42005,289,42,5,2008,2009
"Mower",42176,56,42,176,2008,2009
"Mower",59005,12,59,5,2008,2009
"Mower",59036,9,59,36,2008,2009
"Mower",59037,3,59,37,2008,2009
"Mower",59176,132,59,176,2008,2009
"Mower",59195,3,59,195,2008,2009
"Mower",61005,5,61,5,2008,2009
"Mower",61176,5,61,176,2008,2009
"Mower",111005,19,111,5,2008,2009
"Mower",111023,4,111,23,2008,2009
"Mower",111028,2,111,28,2008,2009
"Mower",111037,1,111,37,2008,2009
"Mower",111044,1,111,44,2008,2009
"Mower",111111,946,111,111,2008,2009
"Mower",111141,191,111,141,2008,2009
"Mower",111152,1,111,152,2008,2009
"Mower",111176,224,111,176,2008,2009
"Mower",111190,121,111,190,2008,2009
"Mower",111195,146,111,195,2008,2009
"Mower",121005,1081,121,5,2008,2009
"Mower",121023,15,121,23,2008,2009
"Mower",121036,62,121,36,2008,2009
"Mower",121121,111013,121,121,2008,2009
"Mower",121122,3899,121,122,2008,2009
"Mower",121123,115,121,123,2008,2009
"Mower",121176,184,121,176,2008,2009
"Mower",121195,7,121,195,2008,2009
"Mower",122121,2972,122,121,2008,2009
"Mower",122122,30461,122,122,2008,2009
"Mower",122123,954,122,123,2008,2009
"Mower",122176,8,122,176,2008,2009
"Mower",123001,3,123,1,2008,2009
"Mower",123005,23,123,5,2008,2009
"Mower",123121,304,123,121,2008,2009
"Mower",123122,1543,123,122,2008,2009
"Mower",123123,6169,123,123,2008,2009
"Mower",123124,112,123,124,2008,2009
"Mower",123176,58,123,176,2008,2009
"Mower",124023,2,124,23,2008,2009
"Mower",124122,64,124,122,2008,2009
"Mower",124123,254,124,123,2008,2009
"Mower",124124,1774,124,124,2008,2009
"Mower",124176,1,124,176,2008,2009
"Mower",131005,54,131,5,2008,2009
"Mower",131028,1,131,28,2008,2009
"Mower",131141,1,131,141,2008,2009
"Mower",131176,112,131,176,2008,2009
"Mower",141005,301,141,5,2008,2009
"Mower",141036,2,141,36,2008,2009
"Mower",141037,1,141,37,2008,2009
"Mower",141111,110,141,111,2008,2009
"Mower",141121,19,141,121,2008,2009
"Mower",141131,2,141,131,2008,2009
"Mower",141141,32784,141,141,2008,2009
"Mower",141142,10,141,142,2008,2009
"Mower",141176,7492,141,176,2008,2009
"Mower",141190,5034,141,190,2008,2009
"Mower",141195,239,141,195,2008,2009
"Mower",142141,5,142,141,2008,2009
"Mower",142142,1,142,142,2008,2009
"Mower",142176,10,142,176,2008,2009
"Mower",142190,35,142,190,2008,2009
"Mower",152005,4,152,5,2008,2009
"Mower",152141,1,152,141,2008,2009
"Mower",152152,1,152,152,2008,2009
"Mower",152176,15,152,176,2008,2009
"Mower",176001,22337,176,1,2008,2009
"Mower",176005,19527,176,5,2008,2009
"Mower",176021,14,176,21,2008,2009
"Mower",176023,165,176,23,2008,2009
"Mower",176024,3,176,24,2008,2009
"Mower",176028,107,176,28,2008,2009
"Mower",176036,7199,176,36,2008,2009
"Mower",176037,347,176,37,2008,2009
"Mower",176044,1,176,44,2008,2009
"Mower",176053,333,176,53,2008,2009
"Mower",176059,7,176,59,2008,2009
"Mower",176061,15,176,61,2008,2009
"Mower",176111,220,176,111,2008,2009
"Mower",176121,93,176,121,2008,2009
"Mower",176131,74,176,131,2008,2009
"Mower",176141,6493,176,141,2008,2009
"Mower",176142,3,176,142,2008,2009
"Mower",176152,25,176,152,2008,2009
"Mower",176176,120936,176,176,2008,2009
"Mower",176190,796,176,190,2008,2009
"Mower",176195,1533,176,195,2008,2009
"Mower",190005,13,190,5,2008,2009
"Mower",190036,3,190,36,2008,2009
"Mower",190111,92,190,111,2008,2009
"Mower",190141,7276,190,141,2008,2009
"Mower",190142,5,190,142,2008,2009
"Mower",190176,940,190,176,2008,2009
"Mower",190190,4434,190,190,2008,2009
"Mower",190195,307,190,195,2008,2009
"Mower",195001,186,195,1,2008,2009
"Mower",195005,85,195,5,2008,2009
"Mower",195023,4,195,23,2008,2009
"Mower",195028,1,195,28,2008,2009
"Mower",195036,49,195,36,2008,2009
"Mower",195037,3,195,37,2008,2009
"Mower",195111,107,195,111,2008,2009
"Mower",195131,14,195,131,2008,2009
"Mower",195141,218,195,141,2008,2009
"Mower",195142,1,195,142,2008,2009
"Mower",195152,1,195,152,2008,2009
"Mower",195176,801,195,176,2008,2009
"Mower",195190,82,195,190,2008,2009
"Mower",195195,215,195,195,2008,2009
"Mower",1001,149457,1,1,2008,2009
"Mower",1021,60,1,21,2008,2009
"Mower",1024,56,1,24,2008,2009
"Mower",1042,173,1,42,2008,2009
"Mower",1141,188,1,141,2008,2009
"Mower",5001,618422,5,1,2008,2009
"Mower",5021,64,5,21,2008,2009
"Mower",5042,254,5,42,2008,2009
"Mower",5123,11,5,123,2008,2009
"Mower",21001,133,21,1,2008,2009
"Mower",23001,1731,23,1,2008,2009
"Mower",24001,21,24,1,2008,2009
"Mower",27005,2,27,5,2008,2009
"Mower",28001,323,28,1,2008,2009
"Mower",28024,3,28,24,2008,2009
"Mower",28111,4,28,111,2008,2009
"Mower",36001,5850,36,1,2008,2009
"Mower",36024,2,36,24,2008,2009
"Mower",36111,6,36,111,2008,2009
"Mower",36121,17,36,121,2008,2009
"Mower",37001,388,37,1,2008,2009
"Mower",42001,406,42,1,2008,2009
"Mower",42036,6,42,36,2008,2009
"Mower",59001,21,59,1,2008,2009
"Mower",59121,1,59,121,2008,2009
"Mower",61001,2,61,1,2008,2009
"Mower",111001,157,111,1,2008,2009
"Mower",111024,2,111,24,2008,2009
"Mower",111036,3,111,36,2008,2009
"Mower",122124,20,122,124,2008,2009
"Mower",131036,1,131,36,2008,2009
"Mower",152001,3,152,1,2008,2009
"Mower",176042,8,176,42,2008,2009
"Mower",190001,43,190,1,2008,2009
"Mower",1122,60,1,122,2008,2009
"Mower",5027,1,5,27,2008,2009
"Mower",5131,120,5,131,2008,2009
"Mower",27001,1,27,1,2008,2009
"Mower",42131,12,42,131,2008,2009
"Mower",121111,1,121,111,2008,2009
"Mower",122005,218,122,5,2008,2009
"Mower",123111,1,123,111,2008,2009
"Mower",123131,8,123,131,2008,2009
"Mower",124121,4,124,121,2008,2009
"Mower",141001,506,141,1,2008,2009
"Mower",142001,1,142,1,2008,2009
"Mower",1123,7,1,123,2008,2009
"Mower",5122,26,5,122,2008,2009
"Mower",28131,5,28,131,2008,2009
"Mower",36053,101,36,53,2008,2009
"Mower",37131,4,37,131,2008,2009
"Mower",121001,1813,121,1,2008,2009
"Mower",121037,9,121,37,2008,2009
"Mower",121124,8,121,124,2008,2009
"Mower",121141,42,121,141,2008,2009
"Mower",121190,15,121,190,2008,2009
"Mower",122001,10,122,1,2008,2009
"Mower",131121,1,131,121,2008,2009
"Mower",131122,6,131,122,2008,2009
"Mower",131123,2,131,123,2008,2009
"Mower",131131,49,131,131,2008,2009
"Mower",141122,1,141,122,2008,2009
"Mower",176122,76,176,122,2008,2009
"Mower",176123,10,176,123,2008,2009
"Mower",190121,11,190,121,2008,2009
"Mower",195053,6,195,53,2008,2009
"Mower",1131,3,1,131,2008,2009
"Mower",12111,7,12,111,2008,2009
"Mower",12121,32,12,121,2008,2009
"Mower",12131,18,12,131,2008,2009
"Mower",12152,1,12,152,2008,2009
"Mower",12176,1252,12,176,2008,2009
"Mower",53121,1,53,121,2008,2009
"Mower",111012,15,111,12,2008,2009
"Mower",121012,2,121,12,2008,2009
"Mower",121142,1,121,142,2008,2009
"Mower",122131,1,122,131,2008,2009
"Mower",122141,1,122,141,2008,2009
"Mower",123012,1,123,12,2008,2009
"Mower",123141,9,123,141,2008,2009
"Mower",123190,2,123,190,2008,2009
"Mower",124131,2,124,131,2008,2009
"Mower",131001,9,131,1,2008,2009
"Mower",176012,823,176,12,2008,2009
"Mower",12122,1,12,122,2008,2009
"Mower",53005,2388,53,5,2008,2009
"Mower",53023,37,53,23,2008,2009
"Mower",53176,796,53,176,2008,2009
"Mower",53195,11,53,195,2008,2009
"Mower",1012,2758,1,12,2008,2009
"Mower",1027,1,1,27,2008,2009
"Mower",5012,13044,5,12,2008,2009
"Mower",5053,12338,5,53,2008,2009
"Mower",28053,9,28,53,2008,2009
"Mower",36123,1,36,123,2008,2009
"Mower",37122,1,37,122,2008,2009
"Mower",37123,2,37,123,2008,2009
"Mower",42122,1,42,122,2008,2009
"Mower",43001,1,43,1,2008,2009
"Mower",53027,2,53,27,2008,2009
"Mower",53123,1,53,123,2008,2009
"Mower",53131,21,53,131,2008,2009
"Mower",195012,10,195,12,2008,2009
"Mower",23053,2,23,53,2008,2009
"Mower",42053,14,42,53,2008,2009
"Mower",43111,1,43,111,2008,2009
"Mower",53036,221,53,36,2008,2009
"Mower",53141,1,53,141,2008,2009
"Mower",53028,17,53,28,2008,2009
"Mower",124005,1,124,5,2008,2009
"Mower",23012,1,23,12,2008,2009
"Mower",1053,5195,1,53,2008,2009
"Mower",37012,7,37,12,2008,2009
"Mower",53001,9201,53,1,2008,2009
"Mower",53037,4,53,37,2008,2009
"Mower",131053,6,131,53,2008,2009
"Mower",36012,262,36,12,2008,2009
"Mower",42012,205,42,12,2008,2009
"Mower",53122,2,53,122,2008,2009
"Mower",111053,8,111,53,2008,2009
"Mower",121053,1,121,53,2008,2009
"Mower",12001,6357,12,1,2008,2009
"Mower",12005,11968,12,5,2008,2009
"Mower",12023,77,12,23,2008,2009
"Mower",12042,875,12,42,2008,2009
"Mower",28012,16,28,12,2008,2009
"Mower",24012,7,24,12,2008,2009
"Mower",12053,3450,12,53,2008,2009
"Mower",123053,1,123,53,2008,2009
"Mower",12028,74,12,28,2008,2009
"Mower",12195,8,12,195,2008,2009
"Mower",241005,1,241,5,2008,2009
"Mower",12037,3,12,37,2008,2009
"Mower",12036,298,12,36,2008,2009
"Mower",53042,3,53,42,2008,2009
"Mower",53053,100,53,53,2008,2009
"Mower",12024,3,12,24,2008,2009
"Mower",24053,1,24,53,2008,2009
"Mower",12012,2722,12,12,2008,2009
"Mower",53111,13,53,111,2008,2009
"Mower",12021,23,12,21,2008,2009
"Mower",53012,3060,53,12,2008,2009
"Mower",12123,1,12,123,2008,2009
"Mower",131012,4,131,12,2008,2009
"Mower",5205,1,5,205,2008,2009
"Mower",71176,80,71,176,2008,2009
"Mower",1054,13,1,54,2008,2009
"Mower",59012,1,59,12,2008,2009
"Mower",176206,1,176,206,2008,2009
"Mower",206001,8,206,1,2008,2009
"Mower",206012,3,206,12,2008,2009
"Mower",206176,1,206,176,2008,2009
"Mower",71001,4,71,1,2008,2009
"Mower",71036,3,71,36,2008,2009
"Mower",12190,1,12,190,2008,2009
"Mower",206023,1,206,23,2008,2009
"Mower",0,93,0,0,2009,2010
"Mower",1176,22775,1,176,2009,2010
"Mower",1195,584,1,195,2009,2010
"Mower",5001,643182,5,1,2009,2010
"Mower",5005,51137,5,5,2009,2010
"Mower",5021,168,5,21,2009,2010
"Mower",5023,783,5,23,2009,2010
"Mower",5028,300,5,28,2009,2010
"Mower",5036,1288,5,36,2009,2010
"Mower",5037,215,5,37,2009,2010
"Mower",5042,128,5,42,2009,2010
"Mower",5044,1,5,44,2009,2010
"Mower",5059,14,5,59,2009,2010
"Mower",5061,25,5,61,2009,2010
"Mower",5063,24,5,63,2009,2010
"Mower",5111,25,5,111,2009,2010
"Mower",5121,7138,5,121,2009,2010
"Mower",5131,146,5,131,2009,2010
"Mower",5141,200,5,141,2009,2010
"Mower",5152,1,5,152,2009,2010
"Mower",5176,20979,5,176,2009,2010
"Mower",5190,23,5,190,2009,2010
"Mower",5195,234,5,195,2009,2010
"Mower",23001,1710,23,1,2009,2010
"Mower",23005,58,23,5,2009,2010
"Mower",23023,6,23,23,2009,2010
"Mower",23028,5,23,28,2009,2010
"Mower",23036,154,23,36,2009,2010
"Mower",23037,3,23,37,2009,2010
"Mower",23111,7,23,111,2009,2010
"Mower",23121,40,23,121,2009,2010
"Mower",23131,2,23,131,2009,2010
"Mower",23176,231,23,176,2009,2010
"Mower",23195,5,23,195,2009,2010
"Mower",24005,7,24,5,2009,2010
"Mower",24176,3,24,176,2009,2010
"Mower",28005,128,28,5,2009,2010
"Mower",28028,7,28,28,2009,2010
"Mower",28036,430,28,36,2009,2010
"Mower",28037,10,28,37,2009,2010
"Mower",28111,2,28,111,2009,2010
"Mower",28176,329,28,176,2009,2010
"Mower",28195,4,28,195,2009,2010
"Mower",36005,581,36,5,2009,2010
"Mower",36021,10,36,21,2009,2010
"Mower",36023,12,36,23,2009,2010
"Mower",36028,45,36,28,2009,2010
"Mower",36036,8972,36,36,2009,2010
"Mower",36037,297,36,37,2009,2010
"Mower",36042,5,36,42,2009,2010
"Mower",36059,10,36,59,2009,2010
"Mower",36063,3,36,63,2009,2010
"Mower",36121,575,36,121,2009,2010
"Mower",36141,5,36,141,2009,2010
"Mower",36176,4784,36,176,2009,2010
"Mower",36190,1,36,190,2009,2010
"Mower",36195,66,36,195,2009,2010
"Mower",37001,102,37,1,2009,2010
"Mower",37005,26,37,5,2009,2010
"Mower",37036,171,37,36,2009,2010
"Mower",37037,73,37,37,2009,2010
"Mower",37063,1,37,63,2009,2010
"Mower",37111,1,37,111,2009,2010
"Mower",37121,41,37,121,2009,2010
"Mower",37141,5,37,141,2009,2010
"Mower",37176,296,37,176,2009,2010
"Mower",37195,4,37,195,2009,2010
"Mower",44036,1,44,36,2009,2010
"Mower",44176,1,44,176,2009,2010
"Mower",53195,11,53,195,2009,2010
"Mower",59036,2,59,36,2009,2010
"Mower",59121,2,59,121,2009,2010
"Mower",59141,1,59,141,2009,2010
"Mower",59176,4,59,176,2009,2010
"Mower",61121,5,61,121,2009,2010
"Mower",61141,3,61,141,2009,2010
"Mower",61176,9,61,176,2009,2010
"Mower",111005,21,111,5,2009,2010
"Mower",111037,1,111,37,2009,2010
"Mower",111111,975,111,111,2009,2010
"Mower",111121,15,111,121,2009,2010
"Mower",111141,62,111,141,2009,2010
"Mower",111142,2,111,142,2009,2010
"Mower",111176,218,111,176,2009,2010
"Mower",111190,129,111,190,2009,2010
"Mower",111195,153,111,195,2009,2010
"Mower",121005,6602,121,5,2009,2010
"Mower",121021,7,121,21,2009,2010
"Mower",121023,16,121,23,2009,2010
"Mower",121028,26,121,28,2009,2010
"Mower",121036,563,121,36,2009,2010
"Mower",121037,64,121,37,2009,2010
"Mower",121042,22,121,42,2009,2010
"Mower",121059,4,121,59,2009,2010
"Mower",121061,8,121,61,2009,2010
"Mower",121063,5,121,63,2009,2010
"Mower",121111,36,121,111,2009,2010
"Mower",121121,84483,121,121,2009,2010
"Mower",121122,2385,121,122,2009,2010
"Mower",121123,32,121,123,2009,2010
"Mower",121141,1703,121,141,2009,2010
"Mower",121142,22,121,142,2009,2010
"Mower",121152,5,121,152,2009,2010
"Mower",121176,13329,121,176,2009,2010
"Mower",121190,382,121,190,2009,2010
"Mower",121195,306,121,195,2009,2010
"Mower",122005,690,122,5,2009,2010
"Mower",122021,3,122,21,2009,2010
"Mower",122023,4,122,23,2009,2010
"Mower",122037,7,122,37,2009,2010
"Mower",122121,5521,122,121,2009,2010
"Mower",122122,25787,122,122,2009,2010
"Mower",122123,603,122,123,2009,2010
"Mower",122141,54,122,141,2009,2010
"Mower",122142,1,122,142,2009,2010
"Mower",122176,2545,122,176,2009,2010
"Mower",122190,12,122,190,2009,2010
"Mower",122195,34,122,195,2009,2010
"Mower",123021,3,123,21,2009,2010
"Mower",123037,3,123,37,2009,2010
"Mower",123059,1,123,59,2009,2010
"Mower",123111,15,123,111,2009,2010
"Mower",123121,528,123,121,2009,2010
"Mower",123122,1231,123,122,2009,2010
"Mower",123123,4579,123,123,2009,2010
"Mower",123124,203,123,124,2009,2010
"Mower",123141,6,123,141,2009,2010
"Mower",123176,601,123,176,2009,2010
"Mower",123195,9,123,195,2009,2010
"Mower",124121,47,124,121,2009,2010
"Mower",124122,16,124,122,2009,2010
"Mower",124123,202,124,123,2009,2010
"Mower",124124,1575,124,124,2009,2010
"Mower",124176,45,124,176,2009,2010
"Mower",124195,1,124,195,2009,2010
"Mower",131195,1,131,195,2009,2010
"Mower",141005,344,141,5,2009,2010
"Mower",141028,1,141,28,2009,2010
"Mower",141036,22,141,36,2009,2010
"Mower",141037,3,141,37,2009,2010
"Mower",141063,5,141,63,2009,2010
"Mower",141111,84,141,111,2009,2010
"Mower",141121,1263,141,121,2009,2010
"Mower",141141,28991,141,141,2009,2010
"Mower",141142,63,141,142,2009,2010
"Mower",141152,1,141,152,2009,2010
"Mower",141176,4711,141,176,2009,2010
"Mower",141190,10913,141,190,2009,2010
"Mower",141195,661,141,195,2009,2010
"Mower",142121,1,142,121,2009,2010
"Mower",142141,11,142,141,2009,2010
"Mower",142176,3,142,176,2009,2010
"Mower",142190,5,142,190,2009,2010
"Mower",142195,2,142,195,2009,2010
"Mower",152001,1,152,1,2009,2010
"Mower",152036,5,152,36,2009,2010
"Mower",152176,27,152,176,2009,2010
"Mower",152195,6,152,195,2009,2010
"Mower",176001,17262,176,1,2009,2010
"Mower",176005,11185,176,5,2009,2010
"Mower",176021,44,176,21,2009,2010
"Mower",176023,74,176,23,2009,2010
"Mower",176028,180,176,28,2009,2010
"Mower",176036,10607,176,36,2009,2010
"Mower",176037,1147,176,37,2009,2010
"Mower",176042,33,176,42,2009,2010
"Mower",176059,25,176,59,2009,2010
"Mower",176061,23,176,61,2009,2010
