"xCoords","yCoords","width","colorToUse"
1,6.4,7.3008492915406,"#ffd300"
1.2,6.4,7.3008492915406,"#ffd300"
1.4,6.4,7.3008492915406,"#ffd300"
2,6.4,7.3008492915406,"#ffd300"
1.8,6.4,7.3008492915406,"#ffd300"
1.6,6.4,7.3008492915406,"#ffd300"
1,6.4,0.00845090512613342,"#e41a1c"
1.2,5.9,0.00845090512613342,"#e41a1c"
1.4,5.9,0.00845090512613342,"#e41a1c"
2,1.9,0.00845090512613342,"#ffd300"
1.8,2.4,0.00845090512613342,"#ffd300"
1.6,2.4,0.00845090512613342,"#ffd300"
1,6.4,0.112597319744148,"#f781bf"
1.2,6.2,0.112597319744148,"#f781bf"
1.4,6.2,0.112597319744148,"#f781bf"
2,4.6,0.112597319744148,"#ffd300"
1.8,4.8,0.112597319744148,"#ffd300"
1.6,4.8,0.112597319744148,"#ffd300"
1,6.4,1.60713744884271,"#AAAAAA"
1.2,5.8,1.60713744884271,"#AAAAAA"
1.4,5.8,1.60713744884271,"#AAAAAA"
2,1,1.60713744884271,"#ffd300"
1.8,1.6,1.60713744884271,"#ffd300"
1.6,1.6,1.60713744884271,"#ffd300"
1,6.4,31.5335022211714,"#4daf4a"
1.2,6.3,31.5335022211714,"#4daf4a"
1.4,6.3,31.5335022211714,"#4daf4a"
2,5.5,31.5335022211714,"#ffd300"
1.8,5.6,31.5335022211714,"#ffd300"
1.6,5.6,31.5335022211714,"#ffd300"
1,6.4,0.0506077324316429,"#a65628"
1.2,6.1,0.0506077324316429,"#a65628"
1.4,6.1,0.0506077324316429,"#a65628"
2,3.7,0.0506077324316429,"#ffd300"
1.8,4,0.0506077324316429,"#ffd300"
1.6,4,0.0506077324316429,"#ffd300"
1,1.9,0.0198327600069952,"#ffd300"
1.2,2.4,0.0198327600069952,"#ffd300"
1.4,2.4,0.0198327600069952,"#ffd300"
2,6.4,0.0198327600069952,"#e41a1c"
1.8,5.9,0.0198327600069952,"#e41a1c"
1.6,5.9,0.0198327600069952,"#e41a1c"
1,1.9,0.000293094975472835,"#f781bf"
1.2,2.2,0.000293094975472835,"#f781bf"
1.4,2.2,0.000293094975472835,"#f781bf"
2,4.6,0.000293094975472835,"#e41a1c"
1.8,4.3,0.000293094975472835,"#e41a1c"
1.6,4.3,0.000293094975472835,"#e41a1c"
1,1.9,0.0140685588226961,"#AAAAAA"
1.2,1.8,0.0140685588226961,"#AAAAAA"
1.4,1.8,0.0140685588226961,"#AAAAAA"
2,1,0.0140685588226961,"#e41a1c"
1.8,1.1,0.0140685588226961,"#e41a1c"
1.6,1.1,0.0140685588226961,"#e41a1c"
1,1.9,0.0141174079852749,"#4daf4a"
1.2,2.3,0.0141174079852749,"#4daf4a"
1.4,2.3,0.0141174079852749,"#4daf4a"
2,5.5,0.0141174079852749,"#e41a1c"
1.8,5.1,0.0141174079852749,"#e41a1c"
1.6,5.1,0.0141174079852749,"#e41a1c"
1,4.6,0.304721076166591,"#ffd300"
1.2,4.8,0.304721076166591,"#ffd300"
1.4,4.8,0.304721076166591,"#ffd300"
2,6.4,0.304721076166591,"#f781bf"
1.8,6.2,0.304721076166591,"#f781bf"
1.6,6.2,0.304721076166591,"#f781bf"
1,4.6,0.384052116194572,"#f781bf"
1.2,4.6,0.384052116194572,"#f781bf"
1.4,4.6,0.384052116194572,"#f781bf"
2,4.6,0.384052116194572,"#f781bf"
1.8,4.6,0.384052116194572,"#f781bf"
1.6,4.6,0.384052116194572,"#f781bf"
1,4.6,0.474813860265993,"#AAAAAA"
1.2,4.2,0.474813860265993,"#AAAAAA"
1.4,4.2,0.474813860265993,"#AAAAAA"
2,1,0.474813860265993,"#f781bf"
1.8,1.4,0.474813860265993,"#f781bf"
1.6,1.4,0.474813860265993,"#f781bf"
1,4.6,0.10512339786959,"#4daf4a"
1.2,4.7,0.10512339786959,"#4daf4a"
1.4,4.7,0.10512339786959,"#4daf4a"
2,5.5,0.10512339786959,"#f781bf"
1.8,5.4,0.10512339786959,"#f781bf"
1.6,5.4,0.10512339786959,"#f781bf"
1,4.6,0.00170972069025821,"#a65628"
1.2,4.5,0.00170972069025821,"#a65628"
1.4,4.5,0.00170972069025821,"#a65628"
2,3.7,0.00170972069025821,"#f781bf"
1.8,3.8,0.00170972069025821,"#f781bf"
1.6,3.8,0.00170972069025821,"#f781bf"
1,1,2.00965454849208,"#ffd300"
1.2,1.6,2.00965454849208,"#ffd300"
1.4,1.6,2.00965454849208,"#ffd300"
2,6.4,2.00965454849208,"#AAAAAA"
1.8,5.8,2.00965454849208,"#AAAAAA"
1.6,5.8,2.00965454849208,"#AAAAAA"
1,1,0.043280358044822,"#e41a1c"
1.2,1.1,0.043280358044822,"#e41a1c"
1.4,1.1,0.043280358044822,"#e41a1c"
2,1.9,0.043280358044822,"#AAAAAA"
1.8,1.8,0.043280358044822,"#AAAAAA"
1.6,1.8,0.043280358044822,"#AAAAAA"
1,1,0.403054440437728,"#f781bf"
1.2,1.4,0.403054440437728,"#f781bf"
1.4,1.4,0.403054440437728,"#f781bf"
2,4.6,0.403054440437728,"#AAAAAA"
1.8,4.2,0.403054440437728,"#AAAAAA"
1.6,4.2,0.403054440437728,"#AAAAAA"
1,1,17.8960861073959,"#AAAAAA"
1.2,1,17.8960861073959,"#AAAAAA"
1.4,1,17.8960861073959,"#AAAAAA"
2,1,17.8960861073959,"#AAAAAA"
1.8,1,17.8960861073959,"#AAAAAA"
1.6,1,17.8960861073959,"#AAAAAA"
1,1,1.75378263490429,"#4daf4a"
1.2,1.5,1.75378263490429,"#4daf4a"
1.4,1.5,1.75378263490429,"#4daf4a"
2,5.5,1.75378263490429,"#AAAAAA"
1.8,5,1.75378263490429,"#AAAAAA"
1.6,5,1.75378263490429,"#AAAAAA"
1,1,0.0149966929116934,"#a65628"
1.2,1.3,0.0149966929116934,"#a65628"
1.4,1.3,0.0149966929116934,"#a65628"
2,3.7,0.0149966929116934,"#AAAAAA"
1.8,3.4,0.0149966929116934,"#AAAAAA"
1.6,3.4,0.0149966929116934,"#AAAAAA"
1,5.5,30.2093968203103,"#ffd300"
1.2,5.6,30.2093968203103,"#ffd300"
1.4,5.6,30.2093968203103,"#ffd300"
2,6.4,30.2093968203103,"#4daf4a"
1.8,6.3,30.2093968203103,"#4daf4a"
1.6,6.3,30.2093968203103,"#4daf4a"
1,5.5,0.0124076872950167,"#e41a1c"
1.2,5.1,0.0124076872950167,"#e41a1c"
1.4,5.1,0.0124076872950167,"#e41a1c"
2,1.9,0.0124076872950167,"#4daf4a"
1.8,2.3,0.0124076872950167,"#4daf4a"
1.6,2.3,0.0124076872950167,"#4daf4a"
1,5.5,0.0812361573685542,"#f781bf"
1.2,5.4,0.0812361573685542,"#f781bf"
1.4,5.4,0.0812361573685542,"#f781bf"
2,4.6,0.0812361573685542,"#4daf4a"
1.8,4.7,0.0812361573685542,"#4daf4a"
1.6,4.7,0.0812361573685542,"#4daf4a"
1,5.5,2.22840109851997,"#AAAAAA"
1.2,5,2.22840109851997,"#AAAAAA"
1.4,5,2.22840109851997,"#AAAAAA"
2,1,2.22840109851997,"#4daf4a"
1.8,1.5,2.22840109851997,"#4daf4a"
1.6,1.5,2.22840109851997,"#4daf4a"
1,5.5,3.25823914400635,"#4daf4a"
1.2,5.5,3.25823914400635,"#4daf4a"
1.4,5.5,3.25823914400635,"#4daf4a"
2,5.5,3.25823914400635,"#4daf4a"
1.8,5.5,3.25823914400635,"#4daf4a"
1.6,5.5,3.25823914400635,"#4daf4a"
1,5.5,0.0431338105570856,"#a65628"
1.2,5.3,0.0431338105570856,"#a65628"
1.4,5.3,0.0431338105570856,"#a65628"
2,3.7,0.0431338105570856,"#4daf4a"
1.8,3.9,0.0431338105570856,"#4daf4a"
1.6,3.9,0.0431338105570856,"#4daf4a"
1,3.7,0.084557900423913,"#ffd300"
1.2,4,0.084557900423913,"#ffd300"
1.4,4,0.084557900423913,"#ffd300"
2,6.4,0.084557900423913,"#a65628"
1.8,6.1,0.084557900423913,"#a65628"
1.6,6.1,0.084557900423913,"#a65628"
1,3.7,0.00595959783461432,"#f781bf"
1.2,3.8,0.00595959783461432,"#f781bf"
1.4,3.8,0.00595959783461432,"#f781bf"
2,4.6,0.00595959783461432,"#a65628"
1.8,4.5,0.00595959783461432,"#a65628"
1.6,4.5,0.00595959783461432,"#a65628"
1,3.7,0.0090859442396579,"#AAAAAA"
1.2,3.4,0.0090859442396579,"#AAAAAA"
1.4,3.4,0.0090859442396579,"#AAAAAA"
2,1,0.0090859442396579,"#a65628"
1.8,1.3,0.0090859442396579,"#a65628"
1.6,1.3,0.0090859442396579,"#a65628"
1,3.7,0.014850145423957,"#4daf4a"
1.2,3.9,0.014850145423957,"#4daf4a"
1.4,3.9,0.014850145423957,"#4daf4a"
2,5.5,0.014850145423957,"#a65628"
1.8,5.3,0.014850145423957,"#a65628"
1.6,5.3,0.014850145423957,"#a65628"
2,6.4,7.65339369787184,"#ffd300"
2.2,6.4,7.65339369787184,"#ffd300"
2.4,6.4,7.65339369787184,"#ffd300"
3,6.4,7.65339369787184,"#ffd300"
2.8,6.4,7.65339369787184,"#ffd300"
2.6,6.4,7.65339369787184,"#ffd300"
2,6.4,0.0167552627645304,"#e41a1c"
2.2,5.9,0.0167552627645304,"#e41a1c"
2.4,5.9,0.0167552627645304,"#e41a1c"
3,1.9,0.0167552627645304,"#ffd300"
2.8,2.4,0.0167552627645304,"#ffd300"
2.6,2.4,0.0167552627645304,"#ffd300"
2,6.4,0.0992126491975548,"#f781bf"
2.2,6.2,0.0992126491975548,"#f781bf"
2.4,6.2,0.0992126491975548,"#f781bf"
3,4.6,0.0992126491975548,"#ffd300"
2.8,4.8,0.0992126491975548,"#ffd300"
2.6,4.8,0.0992126491975548,"#ffd300"
2,6.4,1.92465700560495,"#AAAAAA"
2.2,5.8,1.92465700560495,"#AAAAAA"
2.4,5.8,1.92465700560495,"#AAAAAA"
3,1,1.92465700560495,"#ffd300"
2.8,1.6,1.92465700560495,"#ffd300"
2.6,1.6,1.92465700560495,"#ffd300"
2,6.4,30.2231722841575,"#4daf4a"
2.2,6.3,30.2231722841575,"#4daf4a"
2.4,6.3,30.2231722841575,"#4daf4a"
3,5.5,30.2231722841575,"#ffd300"
2.8,5.6,30.2231722841575,"#ffd300"
2.6,5.6,30.2231722841575,"#ffd300"
2,6.4,0.011821497344071,"#a65628"
2.2,6.1,0.011821497344071,"#a65628"
2.4,6.1,0.011821497344071,"#a65628"
3,3.7,0.011821497344071,"#ffd300"
2.8,4,0.011821497344071,"#ffd300"
2.6,4,0.011821497344071,"#ffd300"
2,1.9,0.0357087378451071,"#ffd300"
2.2,2.4,0.0357087378451071,"#ffd300"
2.4,2.4,0.0357087378451071,"#ffd300"
3,6.4,0.0357087378451071,"#e41a1c"
2.8,5.9,0.0357087378451071,"#e41a1c"
2.6,5.9,0.0357087378451071,"#e41a1c"
2,1.9,0.000195396650315224,"#e41a1c"
2.2,1.9,0.000195396650315224,"#e41a1c"
2.4,1.9,0.000195396650315224,"#e41a1c"
3,1.9,0.000195396650315224,"#e41a1c"
2.8,1.9,0.000195396650315224,"#e41a1c"
2.6,1.9,0.000195396650315224,"#e41a1c"
2,1.9,0.000537340788366865,"#f781bf"
2.2,2.2,0.000537340788366865,"#f781bf"
2.4,2.2,0.000537340788366865,"#f781bf"
3,4.6,0.000537340788366865,"#e41a1c"
2.8,4.3,0.000537340788366865,"#e41a1c"
2.6,4.3,0.000537340788366865,"#e41a1c"
2,1.9,0.0231056538997752,"#AAAAAA"
2.2,1.8,0.0231056538997752,"#AAAAAA"
2.4,1.8,0.0231056538997752,"#AAAAAA"
3,1,0.0231056538997752,"#e41a1c"
2.8,1.1,0.0231056538997752,"#e41a1c"
2.6,1.1,0.0231056538997752,"#e41a1c"
2,1.9,0.00459182128240776,"#4daf4a"
2.2,2.3,0.00459182128240776,"#4daf4a"
2.4,2.3,0.00459182128240776,"#4daf4a"
3,5.5,0.00459182128240776,"#e41a1c"
2.8,5.1,0.00459182128240776,"#e41a1c"
2.6,5.1,0.00459182128240776,"#e41a1c"
2,4.6,0.215327108647376,"#ffd300"
2.2,4.8,0.215327108647376,"#ffd300"
2.4,4.8,0.215327108647376,"#ffd300"
3,6.4,0.215327108647376,"#f781bf"
2.8,6.2,0.215327108647376,"#f781bf"
2.6,6.2,0.215327108647376,"#f781bf"
2,4.6,0.00024424581289403,"#e41a1c"
2.2,4.3,0.00024424581289403,"#e41a1c"
2.4,4.3,0.00024424581289403,"#e41a1c"
3,1.9,0.00024424581289403,"#f781bf"
2.8,2.2,0.00024424581289403,"#f781bf"
2.6,2.2,0.00024424581289403,"#f781bf"
2,4.6,0.467779580854645,"#f781bf"
2.2,4.6,0.467779580854645,"#f781bf"
2.4,4.6,0.467779580854645,"#f781bf"
3,4.6,0.467779580854645,"#f781bf"
2.8,4.6,0.467779580854645,"#f781bf"
2.6,4.6,0.467779580854645,"#f781bf"
2,4.6,0.295635131926933,"#AAAAAA"
2.2,4.2,0.295635131926933,"#AAAAAA"
2.4,4.2,0.295635131926933,"#AAAAAA"
3,1,0.295635131926933,"#f781bf"
2.8,1.4,0.295635131926933,"#f781bf"
2.6,1.4,0.295635131926933,"#f781bf"
2,4.6,0.0296514416853352,"#4daf4a"
2.2,4.7,0.0296514416853352,"#4daf4a"
2.4,4.7,0.0296514416853352,"#4daf4a"
3,5.5,0.0296514416853352,"#f781bf"
2.8,5.4,0.0296514416853352,"#f781bf"
2.6,5.4,0.0296514416853352,"#f781bf"
2,4.6,0.000586189950945671,"#a65628"
2.2,4.5,0.000586189950945671,"#a65628"
2.4,4.5,0.000586189950945671,"#a65628"
3,3.7,0.000586189950945671,"#f781bf"
2.8,3.8,0.000586189950945671,"#f781bf"
2.6,3.8,0.000586189950945671,"#f781bf"
2,1,2.37924731256332,"#ffd300"
2.2,1.6,2.37924731256332,"#ffd300"
2.4,1.6,2.37924731256332,"#ffd300"
3,6.4,2.37924731256332,"#AAAAAA"
2.8,5.8,2.37924731256332,"#AAAAAA"
2.6,5.8,2.37924731256332,"#AAAAAA"
2,1,0.00884169842676387,"#e41a1c"
2.2,1.1,0.00884169842676387,"#e41a1c"
2.4,1.1,0.00884169842676387,"#e41a1c"
3,1.9,0.00884169842676387,"#AAAAAA"
2.8,1.8,0.00884169842676387,"#AAAAAA"
2.6,1.8,0.00884169842676387,"#AAAAAA"
2,1,0.600747001394155,"#f781bf"
2.2,1.4,0.600747001394155,"#f781bf"
2.4,1.4,0.600747001394155,"#f781bf"
3,4.6,0.600747001394155,"#AAAAAA"
2.8,4.2,0.600747001394155,"#AAAAAA"
2.6,4.2,0.600747001394155,"#AAAAAA"
2,1,17.7313178820175,"#AAAAAA"
2.2,1,17.7313178820175,"#AAAAAA"
2.4,1,17.7313178820175,"#AAAAAA"
3,1,17.7313178820175,"#AAAAAA"
2.8,1,17.7313178820175,"#AAAAAA"
2.6,1,17.7313178820175,"#AAAAAA"
2,1,1.48096006190166,"#4daf4a"
2.2,1.5,1.48096006190166,"#4daf4a"
2.4,1.5,1.48096006190166,"#4daf4a"
3,5.5,1.48096006190166,"#AAAAAA"
2.8,5,1.48096006190166,"#AAAAAA"
2.6,5,1.48096006190166,"#AAAAAA"
2,1,0.00644808946040238,"#a65628"
2.2,1.3,0.00644808946040238,"#a65628"
2.4,1.3,0.00644808946040238,"#a65628"
3,3.7,0.00644808946040238,"#AAAAAA"
2.8,3.4,0.00644808946040238,"#AAAAAA"
2.6,3.4,0.00644808946040238,"#AAAAAA"
2,5.5,31.4189020857615,"#ffd300"
2.2,5.6,31.4189020857615,"#ffd300"
2.4,5.6,31.4189020857615,"#ffd300"
3,6.4,31.4189020857615,"#4daf4a"
2.8,6.3,31.4189020857615,"#4daf4a"
2.6,6.3,31.4189020857615,"#4daf4a"
2,5.5,0.00625269281008716,"#e41a1c"
2.2,5.1,0.00625269281008716,"#e41a1c"
2.4,5.1,0.00625269281008716,"#e41a1c"
3,1.9,0.00625269281008716,"#4daf4a"
2.8,2.3,0.00625269281008716,"#4daf4a"
2.6,2.3,0.00625269281008716,"#4daf4a"
2,5.5,0.062917721401502,"#f781bf"
2.2,5.4,0.062917721401502,"#f781bf"
2.4,5.4,0.062917721401502,"#f781bf"
3,4.6,0.062917721401502,"#4daf4a"
