"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Murray",1005,665437,1,5,2008,2009
"Murray",1023,1988,1,23,2008,2009
"Murray",1028,1830,1,28,2008,2009
"Murray",1036,2753,1,36,2008,2009
"Murray",1037,59,1,37,2008,2009
"Murray",1043,15,1,43,2008,2009
"Murray",1044,5,1,44,2008,2009
"Murray",1059,6,1,59,2008,2009
"Murray",1061,4,1,61,2008,2009
"Murray",1111,285,1,111,2008,2009
"Murray",1121,505,1,121,2008,2009
"Murray",1152,9,1,152,2008,2009
"Murray",1176,25230,1,176,2008,2009
"Murray",1190,3,1,190,2008,2009
"Murray",1195,5500,1,195,2008,2009
"Murray",5005,35481,5,5,2008,2009
"Murray",5023,3972,5,23,2008,2009
"Murray",5024,7,5,24,2008,2009
"Murray",5028,891,5,28,2008,2009
"Murray",5036,3287,5,36,2008,2009
"Murray",5037,87,5,37,2008,2009
"Murray",5043,6,5,43,2008,2009
"Murray",5044,2,5,44,2008,2009
"Murray",5058,2,5,58,2008,2009
"Murray",5059,4,5,59,2008,2009
"Murray",5111,61,5,111,2008,2009
"Murray",5121,378,5,121,2008,2009
"Murray",5141,91,5,141,2008,2009
"Murray",5152,10,5,152,2008,2009
"Murray",5176,19528,5,176,2008,2009
"Murray",5190,6,5,190,2008,2009
"Murray",5195,2657,5,195,2008,2009
"Murray",6005,2,6,5,2008,2009
"Murray",6023,1,6,23,2008,2009
"Murray",6176,6,6,176,2008,2009
"Murray",6195,3,6,195,2008,2009
"Murray",21005,3,21,5,2008,2009
"Murray",21036,7,21,36,2008,2009
"Murray",21176,25,21,176,2008,2009
"Murray",21195,1,21,195,2008,2009
"Murray",23005,2895,23,5,2008,2009
"Murray",23023,139,23,23,2008,2009
"Murray",23024,2,23,24,2008,2009
"Murray",23028,8,23,28,2008,2009
"Murray",23036,602,23,36,2008,2009
"Murray",23037,5,23,37,2008,2009
"Murray",23111,17,23,111,2008,2009
"Murray",23121,2,23,121,2008,2009
"Murray",23141,1,23,141,2008,2009
"Murray",23152,1,23,152,2008,2009
"Murray",23176,827,23,176,2008,2009
"Murray",23195,76,23,195,2008,2009
"Murray",24005,171,24,5,2008,2009
"Murray",24036,37,24,36,2008,2009
"Murray",24176,31,24,176,2008,2009
"Murray",24195,2,24,195,2008,2009
"Murray",27176,3,27,176,2008,2009
"Murray",28005,160,28,5,2008,2009
"Murray",28023,6,28,23,2008,2009
"Murray",28028,5,28,28,2008,2009
"Murray",28036,302,28,36,2008,2009
"Murray",28037,1,28,37,2008,2009
"Murray",28176,151,28,176,2008,2009
"Murray",28195,13,28,195,2008,2009
"Murray",31176,6,31,176,2008,2009
"Murray",36005,1709,36,5,2008,2009
"Murray",36006,3,36,6,2008,2009
"Murray",36023,87,36,23,2008,2009
"Murray",36028,57,36,28,2008,2009
"Murray",36036,17979,36,36,2008,2009
"Murray",36037,54,36,37,2008,2009
"Murray",36059,1,36,59,2008,2009
"Murray",36141,14,36,141,2008,2009
"Murray",36152,3,36,152,2008,2009
"Murray",36176,6098,36,176,2008,2009
"Murray",36190,2,36,190,2008,2009
"Murray",36195,386,36,195,2008,2009
"Murray",37005,15,37,5,2008,2009
"Murray",37023,5,37,23,2008,2009
"Murray",37024,1,37,24,2008,2009
"Murray",37036,29,37,36,2008,2009
"Murray",37037,9,37,37,2008,2009
"Murray",37111,3,37,111,2008,2009
"Murray",37141,39,37,141,2008,2009
"Murray",37176,297,37,176,2008,2009
"Murray",37190,2,37,190,2008,2009
"Murray",37195,28,37,195,2008,2009
"Murray",41005,18,41,5,2008,2009
"Murray",41195,23,41,195,2008,2009
"Murray",42005,34,42,5,2008,2009
"Murray",42023,8,42,23,2008,2009
"Murray",42176,86,42,176,2008,2009
"Murray",42195,13,42,195,2008,2009
"Murray",43023,1,43,23,2008,2009
"Murray",43176,8,43,176,2008,2009
"Murray",61005,3,61,5,2008,2009
"Murray",61111,1,61,111,2008,2009
"Murray",61176,17,61,176,2008,2009
"Murray",61195,4,61,195,2008,2009
"Murray",111005,29,111,5,2008,2009
"Murray",111023,52,111,23,2008,2009
"Murray",111028,3,111,28,2008,2009
"Murray",111037,3,111,37,2008,2009
"Murray",111044,1,111,44,2008,2009
"Murray",111061,2,111,61,2008,2009
"Murray",111111,46938,111,111,2008,2009
"Murray",111141,14,111,141,2008,2009
"Murray",111176,511,111,176,2008,2009
"Murray",111190,2,111,190,2008,2009
"Murray",111195,2807,111,195,2008,2009
"Murray",121005,1144,121,5,2008,2009
"Murray",121036,26,121,36,2008,2009
"Murray",121059,1,121,59,2008,2009
"Murray",121121,88152,121,121,2008,2009
"Murray",121122,1401,121,122,2008,2009
"Murray",121123,53,121,123,2008,2009
"Murray",121176,95,121,176,2008,2009
"Murray",121195,1,121,195,2008,2009
"Murray",122121,806,122,121,2008,2009
"Murray",122122,7669,122,122,2008,2009
"Murray",122123,397,122,123,2008,2009
"Murray",123001,1,123,1,2008,2009
"Murray",123023,1,123,23,2008,2009
"Murray",123061,4,123,61,2008,2009
"Murray",123121,50,123,121,2008,2009
"Murray",123122,163,123,122,2008,2009
"Murray",123123,1996,123,123,2008,2009
"Murray",123124,17,123,124,2008,2009
"Murray",123176,12,123,176,2008,2009
"Murray",123195,1,123,195,2008,2009
"Murray",124122,8,124,122,2008,2009
"Murray",124123,56,124,123,2008,2009
"Murray",124124,224,124,124,2008,2009
"Murray",131005,19,131,5,2008,2009
"Murray",131023,14,131,23,2008,2009
"Murray",131028,2,131,28,2008,2009
"Murray",131111,2,131,111,2008,2009
"Murray",131176,288,131,176,2008,2009
"Murray",131195,18,131,195,2008,2009
"Murray",141005,50,141,5,2008,2009
"Murray",141111,9,141,111,2008,2009
"Murray",141141,10257,141,141,2008,2009
"Murray",141142,44,141,142,2008,2009
"Murray",141152,5,141,152,2008,2009
"Murray",141176,115,141,176,2008,2009
"Murray",141190,354,141,190,2008,2009
"Murray",141195,5,141,195,2008,2009
"Murray",142141,8,142,141,2008,2009
"Murray",143190,38,143,190,2008,2009
"Murray",152005,1,152,5,2008,2009
"Murray",152176,4,152,176,2008,2009
"Murray",152195,1,152,195,2008,2009
"Murray",176001,15828,176,1,2008,2009
"Murray",176005,14346,176,5,2008,2009
"Murray",176006,12,176,6,2008,2009
"Murray",176021,36,176,21,2008,2009
"Murray",176023,477,176,23,2008,2009
"Murray",176024,29,176,24,2008,2009
"Murray",176027,10,176,27,2008,2009
"Murray",176028,180,176,28,2008,2009
"Murray",176032,1,176,32,2008,2009
"Murray",176036,5616,176,36,2008,2009
"Murray",176037,279,176,37,2008,2009
"Murray",176044,4,176,44,2008,2009
"Murray",176053,16,176,53,2008,2009
"Murray",176059,4,176,59,2008,2009
