"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,89176,4.30706843947979,793139,38.3074364741697,796855,38.4869137586533
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,35,0.00169044805084095,793139,38.3074364741697,122,0.00589241892007417
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,2753,0.132965813827575,793139,38.3074364741697,31931,1.54221990604007
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,33736,1.62939872694772,793139,38.3074364741697,509942,24.6294417126267
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,665437,32.1396194173557,793139,38.3074364741697,724668,35.0003888030517
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,1988,0.0960174492877659,793139,38.3074364741697,6821,0.329444175851032
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,14,0.00067617922033638,793139,38.3074364741697,118,0.00569922485712092
2008,2009,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",1,2,1.9,6.4,1.2,1.8,2.4,5.9,22,0.00106256734624288,188,0.00908012095880282,796855,38.4869137586533
2008,2009,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",1,2,1.9,4.6,1.2,1.8,2.2,4.3,2,9.65970314766257e-05,188,0.00908012095880282,31931,1.54221990604007
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,117,0.0056509263413826,188,0.00908012095880282,509942,24.6294417126267
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,34,0.00164214953510264,188,0.00908012095880282,724668,35.0003888030517
2008,2009,"dryBeans_springWheat","dryBeans","springWheat","#e41a1c","#a65628",1,2,1.9,3.7,1.2,1.8,2.1,3.5,8,0.000386388125906503,188,0.00908012095880282,6821,0.329444175851032
2008,2009,"dryBeans_sugarbeets","dryBeans","sugarbeets","#e41a1c","#377eb8",1,2,1.9,2.8,1.2,1.8,2,2.7,5,0.000241492578691564,188,0.00908012095880282,118,0.00569922485712092
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,6527,0.315244412223968,33447,1.61544045589935,796855,38.4869137586533
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,18414,0.889368868805293,33447,1.61544045589935,31931,1.54221990604007
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,6689,0.323068771773575,33447,1.61544045589935,509942,24.6294417126267
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,1724,0.0832666411328513,33447,1.61544045589935,724668,35.0003888030517
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,92,0.00444346344792478,33447,1.61544045589935,6821,0.329444175851032
2008,2009,"hay_sugarbeets","hay","sugarbeets","#f781bf","#377eb8",1,2,4.6,2.8,1.2,1.8,4.4,3,1,4.82985157383128e-05,33447,1.61544045589935,118,0.00569922485712092
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,23267,1.12376156568333,494364,23.8770474344553,796855,38.4869137586533
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,43,0.00207683617674745,494364,23.8770474344553,122,0.00589241892007417
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,6869,0.331762504606471,494364,23.8770474344553,31931,1.54221990604007
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,444418,21.4647297673895,494364,23.8770474344553,509942,24.6294417126267
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,19079,0.921487381771271,494364,23.8770474344553,724668,35.0003888030517
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,622,0.0300416767892306,494364,23.8770474344553,6821,0.329444175851032
2008,2009,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",1,2,1,2.8,1.2,1.8,1.2,2.6,66,0.00318770203872865,494364,23.8770474344553,118,0.00569922485712092
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,673677,32.5375991870394,740435,35.7619115006977,796855,38.4869137586533
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,42,0.00202853766100914,740435,35.7619115006977,122,0.00589241892007417
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,3287,0.158757221231834,740435,35.7619115006977,31931,1.54221990604007
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,23949,1.15670115341685,740435,35.7619115006977,509942,24.6294417126267
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,35481,1.71367963691108,740435,35.7619115006977,724668,35.0003888030517
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,3972,0.191841704512579,740435,35.7619115006977,6821,0.329444175851032
2008,2009,"soy_sugarbeets","soy","sugarbeets","#4daf4a","#377eb8",1,2,5.5,2.8,1.2,1.8,5.2,3.1,27,0.00130405992493445,740435,35.7619115006977,118,0.00569922485712092
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,4155,0.20068033289269,8744,0.422322221615808,796855,38.4869137586533
2008,2009,"springWheat_dryBeans","springWheat","dryBeans","#a65628","#e41a1c",1,2,3.7,1.9,1.2,1.8,3.5,2.1,1,4.82985157383128e-05,8744,0.422322221615808,122,0.00589241892007417
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,602,0.0290757064744643,8744,0.422322221615808,31931,1.54221990604007
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,951,0.0459318884671355,8744,0.422322221615808,509942,24.6294417126267
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,2895,0.139824203062416,8744,0.422322221615808,724668,35.0003888030517
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,139,0.00671349368762549,8744,0.422322221615808,6821,0.329444175851032
2008,2009,"springWheat_sugarbeets","springWheat","sugarbeets","#a65628","#377eb8",1,2,3.7,2.8,1.2,1.8,3.6,2.9,1,4.82985157383128e-05,8744,0.422322221615808,118,0.00569922485712092
2008,2009,"sugarbeets_corn","sugarbeets","corn","#377eb8","#ffd300",1,2,2.8,6.4,1.2,1.8,3.2,6,31,0.0014972539878877,140,0.0067617922033638,796855,38.4869137586533
2008,2009,"sugarbeets_dryBeans","sugarbeets","dryBeans","#377eb8","#e41a1c",1,2,2.8,1.9,1.2,1.8,2.7,2,1,4.82985157383128e-05,140,0.0067617922033638,122,0.00589241892007417
2008,2009,"sugarbeets_hay","sugarbeets","hay","#377eb8","#f781bf",1,2,2.8,4.6,1.2,1.8,3,4.4,4,0.000193194062953251,140,0.0067617922033638,31931,1.54221990604007
2008,2009,"sugarbeets_other","sugarbeets","other","#377eb8","#AAAAAA",1,2,2.8,1,1.2,1.8,2.6,1.2,82,0.00396047829054165,140,0.0067617922033638,509942,24.6294417126267
2008,2009,"sugarbeets_soy","sugarbeets","soy","#377eb8","#4daf4a",1,2,2.8,5.5,1.2,1.8,3.1,5.2,18,0.000869373283289631,140,0.0067617922033638,724668,35.0003888030517
2008,2009,"sugarbeets_sugarbeets","sugarbeets","sugarbeets","#377eb8","#377eb8",1,2,2.8,2.8,1.2,1.8,2.8,2.8,4,0.000193194062953251,140,0.0067617922033638,118,0.00569922485712092
2009,2010,"corn_corn","corn","corn","#ffd300","#ffd300",2,3,6.4,6.4,2.2,2.8,6.4,6.4,71658,3.46097504077602,796855,38.4869137586533,782062,37.7724338153364
2009,2010,"corn_hay","corn","hay","#ffd300","#f781bf",2,3,6.4,4.6,2.2,2.8,6.2,4.8,2615,0.126300618655688,796855,38.4869137586533,28702,1.38626399872106
2009,2010,"corn_other","corn","other","#ffd300","#AAAAAA",2,3,6.4,1,2.2,2.8,5.8,1.6,21060,1.01716674144887,796855,38.4869137586533,482293,23.2940360509781
2009,2010,"corn_soy","corn","soy","#ffd300","#4daf4a",2,3,6.4,5.5,2.2,2.8,6.3,5.6,700079,33.8127765995623,796855,38.4869137586533,772902,37.3300194111735
2009,2010,"corn_springWheat","corn","springWheat","#ffd300","#a65628",2,3,6.4,3.7,2.2,2.8,6.1,4,1443,0.0696947582103854,796855,38.4869137586533,4495,0.217101828243716
2009,2010,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",2,3,1.9,6.4,2.2,2.8,2.4,5.9,24,0.00115916437771951,122,0.00589241892007417,782062,37.7724338153364
2009,2010,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",2,3,1.9,4.6,2.2,2.8,2.2,4.3,1,4.82985157383128e-05,122,0.00589241892007417,28702,1.38626399872106
2009,2010,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",2,3,1.9,1,2.2,2.8,1.8,1.1,68,0.00328429907020527,122,0.00589241892007417,482293,23.2940360509781
2009,2010,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",2,3,1.9,5.5,2.2,2.8,2.3,5.1,29,0.00140065695641107,122,0.00589241892007417,772902,37.3300194111735
2009,2010,"hay_corn","hay","corn","#f781bf","#ffd300",2,3,4.6,6.4,2.2,2.8,4.8,6.2,6043,0.291867930606625,32083,1.54956128043229,782062,37.7724338153364
