"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Nicollet",1005,348613,1,5,2008,2009
"Nicollet",1023,2531,1,23,2008,2009
"Nicollet",1028,253,1,28,2008,2009
"Nicollet",1036,1218,1,36,2008,2009
"Nicollet",1037,47,1,37,2008,2009
"Nicollet",1059,2,1,59,2008,2009
"Nicollet",1061,10,1,61,2008,2009
"Nicollet",1111,274,1,111,2008,2009
"Nicollet",1121,1605,1,121,2008,2009
"Nicollet",1152,7,1,152,2008,2009
"Nicollet",1176,10480,1,176,2008,2009
"Nicollet",1190,18,1,190,2008,2009
"Nicollet",1195,7355,1,195,2008,2009
"Nicollet",5005,22361,5,5,2008,2009
"Nicollet",5023,3058,5,23,2008,2009
"Nicollet",5024,78,5,24,2008,2009
"Nicollet",5028,94,5,28,2008,2009
"Nicollet",5036,803,5,36,2008,2009
"Nicollet",5037,18,5,37,2008,2009
"Nicollet",5059,5,5,59,2008,2009
"Nicollet",5061,23,5,61,2008,2009
"Nicollet",5111,66,5,111,2008,2009
"Nicollet",5121,613,5,121,2008,2009
"Nicollet",5141,79,5,141,2008,2009
"Nicollet",5152,5,5,152,2008,2009
"Nicollet",5176,5592,5,176,2008,2009
"Nicollet",5190,3,5,190,2008,2009
"Nicollet",5195,2721,5,195,2008,2009
"Nicollet",21005,6,21,5,2008,2009
"Nicollet",21036,28,21,36,2008,2009
"Nicollet",21176,6,21,176,2008,2009
"Nicollet",21195,5,21,195,2008,2009
"Nicollet",23005,1382,23,5,2008,2009
"Nicollet",23023,15,23,23,2008,2009
"Nicollet",23024,2,23,24,2008,2009
"Nicollet",23028,3,23,28,2008,2009
"Nicollet",23036,349,23,36,2008,2009
"Nicollet",23111,14,23,111,2008,2009
"Nicollet",23121,5,23,121,2008,2009
"Nicollet",23131,25,23,131,2008,2009
"Nicollet",23176,296,23,176,2008,2009
"Nicollet",23195,205,23,195,2008,2009
"Nicollet",24005,52,24,5,2008,2009
"Nicollet",24023,2,24,23,2008,2009
"Nicollet",24036,20,24,36,2008,2009
"Nicollet",24111,3,24,111,2008,2009
"Nicollet",24131,4,24,131,2008,2009
"Nicollet",24176,45,24,176,2008,2009
"Nicollet",24195,24,24,195,2008,2009
"Nicollet",27176,6,27,176,2008,2009
"Nicollet",28005,66,28,5,2008,2009
"Nicollet",28023,7,28,23,2008,2009
"Nicollet",28036,96,28,36,2008,2009
"Nicollet",28176,71,28,176,2008,2009
"Nicollet",28195,30,28,195,2008,2009
"Nicollet",36005,589,36,5,2008,2009
"Nicollet",36023,24,36,23,2008,2009
"Nicollet",36036,6382,36,36,2008,2009
"Nicollet",36037,13,36,37,2008,2009
"Nicollet",36061,1,36,61,2008,2009
"Nicollet",36131,24,36,131,2008,2009
"Nicollet",36141,27,36,141,2008,2009
"Nicollet",36152,1,36,152,2008,2009
"Nicollet",36176,2696,36,176,2008,2009
"Nicollet",36190,8,36,190,2008,2009
"Nicollet",36195,905,36,195,2008,2009
"Nicollet",37005,16,37,5,2008,2009
"Nicollet",37023,4,37,23,2008,2009
"Nicollet",37024,2,37,24,2008,2009
"Nicollet",37036,37,37,36,2008,2009
"Nicollet",37037,1,37,37,2008,2009
"Nicollet",37111,1,37,111,2008,2009
"Nicollet",37141,2,37,141,2008,2009
"Nicollet",37176,145,37,176,2008,2009
"Nicollet",37195,77,37,195,2008,2009
"Nicollet",41005,101,41,5,2008,2009
"Nicollet",41195,23,41,195,2008,2009
"Nicollet",42005,35,42,5,2008,2009
"Nicollet",42023,1,42,23,2008,2009
"Nicollet",42061,1,42,61,2008,2009
"Nicollet",42176,22,42,176,2008,2009
"Nicollet",42195,4,42,195,2008,2009
"Nicollet",43176,6,43,176,2008,2009
"Nicollet",43195,2,43,195,2008,2009
"Nicollet",59005,1,59,5,2008,2009
