"xCoords","yCoords","width","colorToUse"
1,6.4,15.0757246395725,"#ffd300"
1.2,6.4,15.0757246395725,"#ffd300"
1.4,6.4,15.0757246395725,"#ffd300"
2,6.4,15.0757246395725,"#ffd300"
1.8,6.4,15.0757246395725,"#ffd300"
1.6,6.4,15.0757246395725,"#ffd300"
1,6.4,0.00216260234142718,"#e41a1c"
1.2,5.9,0.00216260234142718,"#e41a1c"
1.4,5.9,0.00216260234142718,"#e41a1c"
2,1.9,0.00216260234142718,"#ffd300"
1.8,2.4,0.00216260234142718,"#ffd300"
1.6,2.4,0.00216260234142718,"#ffd300"
1,6.4,0.0908292983399417,"#f781bf"
1.2,6.2,0.0908292983399417,"#f781bf"
1.4,6.2,0.0908292983399417,"#f781bf"
2,4.6,0.0908292983399417,"#ffd300"
1.8,4.8,0.0908292983399417,"#ffd300"
1.6,4.8,0.0908292983399417,"#ffd300"
1,6.4,1.74082031235435,"#AAAAAA"
1.2,5.8,1.74082031235435,"#AAAAAA"
1.4,5.8,1.74082031235435,"#AAAAAA"
2,1,1.74082031235435,"#ffd300"
1.8,1.6,1.74082031235435,"#ffd300"
1.6,1.6,1.74082031235435,"#ffd300"
1,6.4,25.9969410362743,"#4daf4a"
1.2,6.3,25.9969410362743,"#4daf4a"
1.4,6.3,25.9969410362743,"#4daf4a"
2,5.5,25.9969410362743,"#ffd300"
1.8,5.6,25.9969410362743,"#ffd300"
1.6,5.6,25.9969410362743,"#ffd300"
1,6.4,0.188742983660421,"#a65628"
1.2,6.1,0.188742983660421,"#a65628"
1.4,6.1,0.188742983660421,"#a65628"
2,3.7,0.188742983660421,"#ffd300"
1.8,4,0.188742983660421,"#ffd300"
1.6,4,0.188742983660421,"#ffd300"
1,6.4,0.0102910042454121,"#377eb8"
1.2,6,0.0102910042454121,"#377eb8"
1.4,6,0.0102910042454121,"#377eb8"
2,2.8,0.0102910042454121,"#ffd300"
1.8,3.2,0.0102910042454121,"#ffd300"
1.6,3.2,0.0102910042454121,"#ffd300"
1,1.9,0.0018643123632993,"#ffd300"
1.2,2.4,0.0018643123632993,"#ffd300"
1.4,2.4,0.0018643123632993,"#ffd300"
