"xCoords","yCoords","width","colorToUse"
1,6.4,7.73955130039215,"#ffd300"
1.2,6.4,7.73955130039215,"#ffd300"
1.4,6.4,7.73955130039215,"#ffd300"
2,6.4,7.73955130039215,"#ffd300"
1.8,6.4,7.73955130039215,"#ffd300"
1.6,6.4,7.73955130039215,"#ffd300"
1,6.4,0.00120217449322334,"#e41a1c"
1.2,5.9,0.00120217449322334,"#e41a1c"
1.4,5.9,0.00120217449322334,"#e41a1c"
2,1.9,0.00120217449322334,"#ffd300"
1.8,2.4,0.00120217449322334,"#ffd300"
1.6,2.4,0.00120217449322334,"#ffd300"
1,6.4,0.100501787633471,"#f781bf"
1.2,6.2,0.100501787633471,"#f781bf"
1.4,6.2,0.100501787633471,"#f781bf"
2,4.6,0.100501787633471,"#ffd300"
1.8,4.8,0.100501787633471,"#ffd300"
1.6,4.8,0.100501787633471,"#ffd300"
1,6.4,1.03579354336123,"#AAAAAA"
1.2,5.8,1.03579354336123,"#AAAAAA"
1.4,5.8,1.03579354336123,"#AAAAAA"
2,1,1.03579354336123,"#ffd300"
1.8,1.6,1.03579354336123,"#ffd300"
1.6,1.6,1.03579354336123,"#ffd300"
1,6.4,33.8786717414459,"#4daf4a"
1.2,6.3,33.8786717414459,"#4daf4a"
1.4,6.3,33.8786717414459,"#4daf4a"
2,5.5,33.8786717414459,"#ffd300"
1.8,5.6,33.8786717414459,"#ffd300"
1.6,5.6,33.8786717414459,"#ffd300"
1,6.4,0.0278904482427815,"#a65628"
1.2,6.1,0.0278904482427815,"#a65628"
1.4,6.1,0.0278904482427815,"#a65628"
2,3.7,0.0278904482427815,"#ffd300"
1.8,4,0.0278904482427815,"#ffd300"
1.6,4,0.0278904482427815,"#ffd300"
1,6.4,0.000480869797289337,"#377eb8"
1.2,6,0.000480869797289337,"#377eb8"
1.4,6,0.000480869797289337,"#377eb8"
2,2.8,0.000480869797289337,"#ffd300"
1.8,3.2,0.000480869797289337,"#ffd300"
1.6,3.2,0.000480869797289337,"#ffd300"
1,1.9,0.00129834845268121,"#ffd300"
1.2,2.4,0.00129834845268121,"#ffd300"
1.4,2.4,0.00129834845268121,"#ffd300"
2,6.4,0.00129834845268121,"#e41a1c"
1.8,5.9,0.00129834845268121,"#e41a1c"
1.6,5.9,0.00129834845268121,"#e41a1c"
1,1.9,0.000144260939186801,"#e41a1c"
1.2,1.9,0.000144260939186801,"#e41a1c"
1.4,1.9,0.000144260939186801,"#e41a1c"
