"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Norman",0,522,0,0,2008,2009
"Norman",1005,227430,1,5,2008,2009
"Norman",1023,5387,1,23,2008,2009
"Norman",1036,635,1,36,2008,2009
"Norman",1037,88,1,37,2008,2009
"Norman",1043,51,1,43,2008,2009
"Norman",1044,9,1,44,2008,2009
"Norman",1059,118,1,59,2008,2009
"Norman",1061,25748,1,61,2008,2009
"Norman",1111,791,1,111,2008,2009
"Norman",1121,158,1,121,2008,2009
"Norman",1176,1638,1,176,2008,2009
"Norman",1190,25,1,190,2008,2009
"Norman",1195,1753,1,195,2008,2009
"Norman",5005,210383,5,5,2008,2009
"Norman",5023,295309,5,23,2008,2009
"Norman",5024,716,5,24,2008,2009
"Norman",5028,6,5,28,2008,2009
"Norman",5031,3,5,31,2008,2009
"Norman",5036,3334,5,36,2008,2009
"Norman",5037,292,5,37,2008,2009
"Norman",5043,14,5,43,2008,2009
"Norman",5044,1,5,44,2008,2009
"Norman",5059,197,5,59,2008,2009
"Norman",5061,4307,5,61,2008,2009
"Norman",5111,718,5,111,2008,2009
"Norman",5121,735,5,121,2008,2009
"Norman",5141,437,5,141,2008,2009
"Norman",5142,6,5,142,2008,2009
"Norman",5176,6678,5,176,2008,2009
"Norman",5190,214,5,190,2008,2009
"Norman",5195,3504,5,195,2008,2009
"Norman",6005,16700,6,5,2008,2009
"Norman",6023,15327,6,23,2008,2009
"Norman",6059,17,6,59,2008,2009
"Norman",6061,283,6,61,2008,2009
"Norman",6176,328,6,176,2008,2009
"Norman",6190,3,6,190,2008,2009
"Norman",6195,238,6,195,2008,2009
"Norman",21005,6279,21,5,2008,2009
"Norman",21023,6507,21,23,2008,2009
"Norman",21036,30,21,36,2008,2009
"Norman",21037,5,21,37,2008,2009
"Norman",21061,50,21,61,2008,2009
"Norman",21141,2,21,141,2008,2009
"Norman",21176,147,21,176,2008,2009
"Norman",21195,32,21,195,2008,2009
"Norman",23005,304201,23,5,2008,2009
"Norman",23023,50795,23,23,2008,2009
"Norman",23024,130,23,24,2008,2009
"Norman",23028,3,23,28,2008,2009
"Norman",23031,26,23,31,2008,2009
"Norman",23036,3034,23,36,2008,2009
"Norman",23037,164,23,37,2008,2009
"Norman",23043,52,23,43,2008,2009
"Norman",23059,223,23,59,2008,2009
"Norman",23061,3069,23,61,2008,2009
"Norman",23111,1249,23,111,2008,2009
"Norman",23121,659,23,121,2008,2009
"Norman",23131,28,23,131,2008,2009
"Norman",23141,208,23,141,2008,2009
"Norman",23142,3,23,142,2008,2009
"Norman",23152,3,23,152,2008,2009
