"xCoords","yCoords","width","colorToUse"
1,6.4,0.757567649736742,"#ffd300"
1.2,6.4,0.757567649736742,"#ffd300"
1.4,6.4,0.757567649736742,"#ffd300"
2,6.4,0.757567649736742,"#ffd300"
1.8,6.4,0.757567649736742,"#ffd300"
1.6,6.4,0.757567649736742,"#ffd300"
1,6.4,0.393172536507887,"#e41a1c"
1.2,5.9,0.393172536507887,"#e41a1c"
1.4,5.9,0.393172536507887,"#e41a1c"
2,1.9,0.393172536507887,"#ffd300"
1.8,2.4,0.393172536507887,"#ffd300"
1.6,2.4,0.393172536507887,"#ffd300"
1,6.4,0.0251703357881347,"#f781bf"
1.2,6.2,0.0251703357881347,"#f781bf"
1.4,6.2,0.0251703357881347,"#f781bf"
2,4.6,0.0251703357881347,"#ffd300"
1.8,4.8,0.0251703357881347,"#ffd300"
1.6,4.8,0.0251703357881347,"#ffd300"
1,6.4,1.29454802599164,"#AAAAAA"
1.2,5.8,1.29454802599164,"#AAAAAA"
1.4,5.8,1.29454802599164,"#AAAAAA"
2,1,1.29454802599164,"#ffd300"
1.8,1.6,1.29454802599164,"#ffd300"
1.6,1.6,1.29454802599164,"#ffd300"
1,6.4,9.01494404455982,"#4daf4a"
1.2,6.3,9.01494404455982,"#4daf4a"
1.4,6.3,9.01494404455982,"#4daf4a"
2,5.5,9.01494404455982,"#ffd300"
1.8,5.6,9.01494404455982,"#ffd300"
1.6,5.6,9.01494404455982,"#ffd300"
1,6.4,0.213531651796349,"#a65628"
1.2,6.1,0.213531651796349,"#a65628"
1.4,6.1,0.213531651796349,"#a65628"
2,3.7,0.213531651796349,"#ffd300"
1.8,4,0.213531651796349,"#ffd300"
1.6,4,0.213531651796349,"#ffd300"
1,6.4,0.105755048634242,"#377eb8"
1.2,6,0.105755048634242,"#377eb8"
1.4,6,0.105755048634242,"#377eb8"
2,2.8,0.105755048634242,"#ffd300"
1.8,3.2,0.105755048634242,"#ffd300"
1.6,3.2,0.105755048634242,"#ffd300"
1,1.9,0.267558687511669,"#ffd300"
1.2,2.4,0.267558687511669,"#ffd300"
1.4,2.4,0.267558687511669,"#ffd300"
2,6.4,0.267558687511669,"#e41a1c"
1.8,5.9,0.267558687511669,"#e41a1c"
1.6,5.9,0.267558687511669,"#e41a1c"
1,1.9,0.00118914972227408,"#e41a1c"
1.2,1.9,0.00118914972227408,"#e41a1c"
1.4,1.9,0.00118914972227408,"#e41a1c"
2,1.9,0.00118914972227408,"#e41a1c"
1.8,1.9,0.00118914972227408,"#e41a1c"
1.6,1.9,0.00118914972227408,"#e41a1c"
1,1.9,0.00408274737980768,"#f781bf"
1.2,2.2,0.00408274737980768,"#f781bf"
1.4,2.2,0.00408274737980768,"#f781bf"
2,4.6,0.00408274737980768,"#e41a1c"
1.8,4.3,0.00408274737980768,"#e41a1c"
1.6,4.3,0.00408274737980768,"#e41a1c"
1,1.9,0.00939428280596525,"#AAAAAA"
1.2,1.8,0.00939428280596525,"#AAAAAA"
1.4,1.8,0.00939428280596525,"#AAAAAA"
2,1,0.00939428280596525,"#e41a1c"
1.8,1.1,0.00939428280596525,"#e41a1c"
1.6,1.1,0.00939428280596525,"#e41a1c"
1,1.9,0.12985514967233,"#4daf4a"
1.2,2.3,0.12985514967233,"#4daf4a"
1.4,2.3,0.12985514967233,"#4daf4a"
2,5.5,0.12985514967233,"#e41a1c"
1.8,5.1,0.12985514967233,"#e41a1c"
1.6,5.1,0.12985514967233,"#e41a1c"
1,1.9,0.137901729459718,"#a65628"
1.2,2.1,0.137901729459718,"#a65628"
1.4,2.1,0.137901729459718,"#a65628"
2,3.7,0.137901729459718,"#e41a1c"
1.8,3.5,0.137901729459718,"#e41a1c"
1.6,3.5,0.137901729459718,"#e41a1c"
1,1.9,0.218763910574355,"#377eb8"
1.2,2,0.218763910574355,"#377eb8"
1.4,2,0.218763910574355,"#377eb8"
2,2.8,0.218763910574355,"#e41a1c"
1.8,2.7,0.218763910574355,"#e41a1c"
1.6,2.7,0.218763910574355,"#e41a1c"
1,4.6,0.0843107153092324,"#ffd300"
1.2,4.8,0.0843107153092324,"#ffd300"
1.4,4.8,0.0843107153092324,"#ffd300"
2,6.4,0.0843107153092324,"#f781bf"
1.8,6.2,0.0843107153092324,"#f781bf"
1.6,6.2,0.0843107153092324,"#f781bf"
1,4.6,0.00122878804634989,"#e41a1c"
1.2,4.3,0.00122878804634989,"#e41a1c"
1.4,4.3,0.00122878804634989,"#e41a1c"
2,1.9,0.00122878804634989,"#f781bf"
1.8,2.2,0.00122878804634989,"#f781bf"
1.6,2.2,0.00122878804634989,"#f781bf"
1,4.6,1.14372420288321,"#f781bf"
1.2,4.6,1.14372420288321,"#f781bf"
1.4,4.6,1.14372420288321,"#f781bf"
2,4.6,1.14372420288321,"#f781bf"
1.8,4.6,1.14372420288321,"#f781bf"
1.6,4.6,1.14372420288321,"#f781bf"
1,4.6,1.04308249805475,"#AAAAAA"
1.2,4.2,1.04308249805475,"#AAAAAA"
1.4,4.2,1.04308249805475,"#AAAAAA"
2,1,1.04308249805475,"#f781bf"
1.8,1.4,1.04308249805475,"#f781bf"
1.6,1.4,1.04308249805475,"#f781bf"
1,4.6,0.288012062734783,"#4daf4a"
1.2,4.7,0.288012062734783,"#4daf4a"
1.4,4.7,0.288012062734783,"#4daf4a"
2,5.5,0.288012062734783,"#f781bf"
1.8,5.4,0.288012062734783,"#f781bf"
1.6,5.4,0.288012062734783,"#f781bf"
1,4.6,0.162873873627473,"#a65628"
1.2,4.5,0.162873873627473,"#a65628"
1.4,4.5,0.162873873627473,"#a65628"
2,3.7,0.162873873627473,"#f781bf"
1.8,3.8,0.162873873627473,"#f781bf"
1.6,3.8,0.162873873627473,"#f781bf"
1,4.6,0.0128428170005601,"#377eb8"
1.2,4.4,0.0128428170005601,"#377eb8"
1.4,4.4,0.0128428170005601,"#377eb8"
2,2.8,0.0128428170005601,"#f781bf"
1.8,3,0.0128428170005601,"#f781bf"
1.6,3,0.0128428170005601,"#f781bf"
1,1,0.477245421872665,"#ffd300"
1.2,1.6,0.477245421872665,"#ffd300"
1.4,1.6,0.477245421872665,"#ffd300"
2,6.4,0.477245421872665,"#AAAAAA"
1.8,5.8,0.477245421872665,"#AAAAAA"
1.6,5.8,0.477245421872665,"#AAAAAA"
1,1,0.0338907670848113,"#e41a1c"
1.2,1.1,0.0338907670848113,"#e41a1c"
1.4,1.1,0.0338907670848113,"#e41a1c"
2,1.9,0.0338907670848113,"#AAAAAA"
1.8,1.8,0.0338907670848113,"#AAAAAA"
1.6,1.8,0.0338907670848113,"#AAAAAA"
1,1,0.459170346094099,"#f781bf"
1.2,1.4,0.459170346094099,"#f781bf"
1.4,1.4,0.459170346094099,"#f781bf"
2,4.6,0.459170346094099,"#AAAAAA"
1.8,4.2,0.459170346094099,"#AAAAAA"
1.6,4.2,0.459170346094099,"#AAAAAA"
1,1,24.0048105070098,"#AAAAAA"
1.2,1,24.0048105070098,"#AAAAAA"
1.4,1,24.0048105070098,"#AAAAAA"
2,1,24.0048105070098,"#AAAAAA"
1.8,1,24.0048105070098,"#AAAAAA"
1.6,1,24.0048105070098,"#AAAAAA"
1,1,2.07316362581264,"#4daf4a"
1.2,1.5,2.07316362581264,"#4daf4a"
1.4,1.5,2.07316362581264,"#4daf4a"
2,5.5,2.07316362581264,"#AAAAAA"
1.8,5,2.07316362581264,"#AAAAAA"
1.6,5,2.07316362581264,"#AAAAAA"
1,1,1.23489234825756,"#a65628"
1.2,1.3,1.23489234825756,"#a65628"
1.4,1.3,1.23489234825756,"#a65628"
2,3.7,1.23489234825756,"#AAAAAA"
1.8,3.4,1.23489234825756,"#AAAAAA"
1.6,3.4,1.23489234825756,"#AAAAAA"
1,1,0.129696596376027,"#377eb8"
1.2,1.2,0.129696596376027,"#377eb8"
1.4,1.2,0.129696596376027,"#377eb8"
2,2.8,0.129696596376027,"#AAAAAA"
1.8,2.6,0.129696596376027,"#AAAAAA"
1.6,2.6,0.129696596376027,"#AAAAAA"
1,5.5,5.49141414081356,"#ffd300"
1.2,5.6,5.49141414081356,"#ffd300"
1.4,5.6,5.49141414081356,"#ffd300"
2,6.4,5.49141414081356,"#4daf4a"
1.8,6.3,5.49141414081356,"#4daf4a"
1.6,6.3,5.49141414081356,"#4daf4a"
1,5.5,0.0222767381306011,"#e41a1c"
1.2,5.1,0.0222767381306011,"#e41a1c"
1.4,5.1,0.0222767381306011,"#e41a1c"
2,1.9,0.0222767381306011,"#4daf4a"
1.8,2.3,0.0222767381306011,"#4daf4a"
