"xCoords","yCoords","width","colorToUse"
1,6.4,7.6773317635329,"#ffd300"
1.2,6.4,7.6773317635329,"#ffd300"
1.4,6.4,7.6773317635329,"#ffd300"
2,6.4,7.6773317635329,"#ffd300"
1.8,6.4,7.6773317635329,"#ffd300"
1.6,6.4,7.6773317635329,"#ffd300"
1,6.4,0.0481016551848493,"#e41a1c"
1.2,5.9,0.0481016551848493,"#e41a1c"
1.4,5.9,0.0481016551848493,"#e41a1c"
2,1.9,0.0481016551848493,"#ffd300"
1.8,2.4,0.0481016551848493,"#ffd300"
1.6,2.4,0.0481016551848493,"#ffd300"
1,6.4,0.263365843051777,"#f781bf"
1.2,6.2,0.263365843051777,"#f781bf"
1.4,6.2,0.263365843051777,"#f781bf"
2,4.6,0.263365843051777,"#ffd300"
1.8,4.8,0.263365843051777,"#ffd300"
1.6,4.8,0.263365843051777,"#ffd300"
1,6.4,3.03284383137373,"#AAAAAA"
1.2,5.8,3.03284383137373,"#AAAAAA"
1.4,5.8,3.03284383137373,"#AAAAAA"
2,1,3.03284383137373,"#ffd300"
1.8,1.6,3.03284383137373,"#ffd300"
1.6,1.6,3.03284383137373,"#ffd300"
1,6.4,13.469205924936,"#4daf4a"
1.2,6.3,13.469205924936,"#4daf4a"
1.4,6.3,13.469205924936,"#4daf4a"
2,5.5,13.469205924936,"#ffd300"
1.8,5.6,13.469205924936,"#ffd300"
1.6,5.6,13.469205924936,"#ffd300"
1,6.4,0.00275775751886677,"#a65628"
1.2,6.1,0.00275775751886677,"#a65628"
1.4,6.1,0.00275775751886677,"#a65628"
2,3.7,0.00275775751886677,"#ffd300"
1.8,4,0.00275775751886677,"#ffd300"
1.6,4,0.00275775751886677,"#ffd300"
1,1.9,0.0199407082133444,"#ffd300"
1.2,2.4,0.0199407082133444,"#ffd300"
1.4,2.4,0.0199407082133444,"#ffd300"
2,6.4,0.0199407082133444,"#e41a1c"
1.8,5.9,0.0199407082133444,"#e41a1c"
1.6,5.9,0.0199407082133444,"#e41a1c"
1,1.9,0.000424270387517965,"#e41a1c"
1.2,1.9,0.000424270387517965,"#e41a1c"
1.4,1.9,0.000424270387517965,"#e41a1c"
2,1.9,0.000424270387517965,"#e41a1c"
1.8,1.9,0.000424270387517965,"#e41a1c"
1.6,1.9,0.000424270387517965,"#e41a1c"
1,1.9,0.00037123658907822,"#f781bf"
1.2,2.2,0.00037123658907822,"#f781bf"
1.4,2.2,0.00037123658907822,"#f781bf"
2,4.6,0.00037123658907822,"#e41a1c"
1.8,4.3,0.00037123658907822,"#e41a1c"
1.6,4.3,0.00037123658907822,"#e41a1c"
1,1.9,0.00859147534723879,"#AAAAAA"
1.2,1.8,0.00859147534723879,"#AAAAAA"
1.4,1.8,0.00859147534723879,"#AAAAAA"
2,1,0.00859147534723879,"#e41a1c"
1.8,1.1,0.00859147534723879,"#e41a1c"
1.6,1.1,0.00859147534723879,"#e41a1c"
1,1.9,0.00461394046425787,"#4daf4a"
1.2,2.3,0.00461394046425787,"#4daf4a"
1.4,2.3,0.00461394046425787,"#4daf4a"
2,5.5,0.00461394046425787,"#e41a1c"
1.8,5.1,0.00461394046425787,"#e41a1c"
1.6,5.1,0.00461394046425787,"#e41a1c"
1,4.6,0.450256948753441,"#ffd300"
1.2,4.8,0.450256948753441,"#ffd300"
1.4,4.8,0.450256948753441,"#ffd300"
2,6.4,0.450256948753441,"#f781bf"
1.8,6.2,0.450256948753441,"#f781bf"
1.6,6.2,0.450256948753441,"#f781bf"
1,4.6,5.30337984397457e-05,"#e41a1c"
1.2,4.3,5.30337984397457e-05,"#e41a1c"
1.4,4.3,5.30337984397457e-05,"#e41a1c"
2,1.9,5.30337984397457e-05,"#f781bf"
1.8,2.2,5.30337984397457e-05,"#f781bf"
1.6,2.2,5.30337984397457e-05,"#f781bf"
1,4.6,1.18233550241569,"#f781bf"
1.2,4.6,1.18233550241569,"#f781bf"
1.4,4.6,1.18233550241569,"#f781bf"
2,4.6,1.18233550241569,"#f781bf"
1.8,4.6,1.18233550241569,"#f781bf"
1.6,4.6,1.18233550241569,"#f781bf"
1,4.6,0.964949962611172,"#AAAAAA"
1.2,4.2,0.964949962611172,"#AAAAAA"
1.4,4.2,0.964949962611172,"#AAAAAA"
2,1,0.964949962611172,"#f781bf"
1.8,1.4,0.964949962611172,"#f781bf"
1.6,1.4,0.964949962611172,"#f781bf"
1,4.6,0.0859677872708277,"#4daf4a"
1.2,4.7,0.0859677872708277,"#4daf4a"
1.4,4.7,0.0859677872708277,"#4daf4a"
2,5.5,0.0859677872708277,"#f781bf"
1.8,5.4,0.0859677872708277,"#f781bf"
1.6,5.4,0.0859677872708277,"#f781bf"
1,4.6,0.000159101395319237,"#a65628"
1.2,4.5,0.000159101395319237,"#a65628"
1.4,4.5,0.000159101395319237,"#a65628"
2,3.7,0.000159101395319237,"#f781bf"
1.8,3.8,0.000159101395319237,"#f781bf"
1.6,3.8,0.000159101395319237,"#f781bf"
1,1,3.653127137925,"#ffd300"
1.2,1.6,3.653127137925,"#ffd300"
1.4,1.6,3.653127137925,"#ffd300"
2,6.4,3.653127137925,"#AAAAAA"
1.8,5.8,3.653127137925,"#AAAAAA"
1.6,5.8,3.653127137925,"#AAAAAA"
1,1,0.00503821085177584,"#e41a1c"
1.2,1.1,0.00503821085177584,"#e41a1c"
1.4,1.1,0.00503821085177584,"#e41a1c"
2,1.9,0.00503821085177584,"#AAAAAA"
1.8,1.8,0.00503821085177584,"#AAAAAA"
1.6,1.8,0.00503821085177584,"#AAAAAA"
1,1,1.15820512412561,"#f781bf"
1.2,1.4,1.15820512412561,"#f781bf"
1.4,1.4,1.15820512412561,"#f781bf"
2,4.6,1.15820512412561,"#AAAAAA"
1.8,4.2,1.15820512412561,"#AAAAAA"
