"xCoords","yCoords","width","colorToUse"
1,6.4,2.53417448082564,"#ffd300"
1.2,6.4,2.53417448082564,"#ffd300"
1.4,6.4,2.53417448082564,"#ffd300"
2,6.4,2.53417448082564,"#ffd300"
1.8,6.4,2.53417448082564,"#ffd300"
1.6,6.4,2.53417448082564,"#ffd300"
1,6.4,0.449635033759729,"#e41a1c"
1.2,5.9,0.449635033759729,"#e41a1c"
1.4,5.9,0.449635033759729,"#e41a1c"
2,1.9,0.449635033759729,"#ffd300"
1.8,2.4,0.449635033759729,"#ffd300"
1.6,2.4,0.449635033759729,"#ffd300"
1,6.4,0.090183200149217,"#f781bf"
1.2,6.2,0.090183200149217,"#f781bf"
1.4,6.2,0.090183200149217,"#f781bf"
2,4.6,0.090183200149217,"#ffd300"
1.8,4.8,0.090183200149217,"#ffd300"
1.6,4.8,0.090183200149217,"#ffd300"
1,6.4,1.19689181171535,"#AAAAAA"
1.2,5.8,1.19689181171535,"#AAAAAA"
1.4,5.8,1.19689181171535,"#AAAAAA"
2,1,1.19689181171535,"#ffd300"
1.8,1.6,1.19689181171535,"#ffd300"
1.6,1.6,1.19689181171535,"#ffd300"
1,6.4,4.974322860543,"#4daf4a"
1.2,6.3,4.974322860543,"#4daf4a"
1.4,6.3,4.974322860543,"#4daf4a"
2,5.5,4.974322860543,"#ffd300"
1.8,5.6,4.974322860543,"#ffd300"
1.6,5.6,4.974322860543,"#ffd300"
1,6.4,0.511730689500788,"#a65628"
1.2,6.1,0.511730689500788,"#a65628"
1.4,6.1,0.511730689500788,"#a65628"
2,3.7,0.511730689500788,"#ffd300"
1.8,4,0.511730689500788,"#ffd300"
1.6,4,0.511730689500788,"#ffd300"
1,6.4,0.0408972142717218,"#377eb8"
1.2,6,0.0408972142717218,"#377eb8"
1.4,6,0.0408972142717218,"#377eb8"
2,2.8,0.0408972142717218,"#ffd300"
1.8,3.2,0.0408972142717218,"#ffd300"
1.6,3.2,0.0408972142717218,"#ffd300"
1,1.9,0.203626886184834,"#ffd300"
1.2,2.4,0.203626886184834,"#ffd300"
1.4,2.4,0.203626886184834,"#ffd300"
2,6.4,0.203626886184834,"#e41a1c"
1.8,5.9,0.203626886184834,"#e41a1c"
1.6,5.9,0.203626886184834,"#e41a1c"
1,1.9,0.0040459810910527,"#e41a1c"
1.2,1.9,0.0040459810910527,"#e41a1c"
1.4,1.9,0.0040459810910527,"#e41a1c"
2,1.9,0.0040459810910527,"#e41a1c"
1.8,1.9,0.0040459810910527,"#e41a1c"
1.6,1.9,0.0040459810910527,"#e41a1c"
1,1.9,0.00726402010555793,"#f781bf"
1.2,2.2,0.00726402010555793,"#f781bf"
1.4,2.2,0.00726402010555793,"#f781bf"
2,4.6,0.00726402010555793,"#e41a1c"
1.8,4.3,0.00726402010555793,"#e41a1c"
1.6,4.3,0.00726402010555793,"#e41a1c"
1,1.9,0.163916909607784,"#AAAAAA"
1.2,1.8,0.163916909607784,"#AAAAAA"
1.4,1.8,0.163916909607784,"#AAAAAA"
2,1,0.163916909607784,"#e41a1c"
1.8,1.1,0.163916909607784,"#e41a1c"
1.6,1.1,0.163916909607784,"#e41a1c"
1,1.9,0.0426624492651155,"#4daf4a"
1.2,2.3,0.0426624492651155,"#4daf4a"
1.4,2.3,0.0426624492651155,"#4daf4a"
2,5.5,0.0426624492651155,"#e41a1c"
1.8,5.1,0.0426624492651155,"#e41a1c"
1.6,5.1,0.0426624492651155,"#e41a1c"
1,1.9,0.0697502145619702,"#a65628"
1.2,2.1,0.0697502145619702,"#a65628"
1.4,2.1,0.0697502145619702,"#a65628"
2,3.7,0.0697502145619702,"#e41a1c"
1.8,3.5,0.0697502145619702,"#e41a1c"
1.6,3.5,0.0697502145619702,"#e41a1c"
1,1.9,0.000140593937526928,"#377eb8"
1.2,2,0.000140593937526928,"#377eb8"
1.4,2,0.000140593937526928,"#377eb8"
2,2.8,0.000140593937526928,"#e41a1c"
1.8,2.7,0.000140593937526928,"#e41a1c"
1.6,2.7,0.000140593937526928,"#e41a1c"
1,4.6,0.375198354613528,"#ffd300"
1.2,4.8,0.375198354613528,"#ffd300"
1.4,4.8,0.375198354613528,"#ffd300"
2,6.4,0.375198354613528,"#f781bf"
1.8,6.2,0.375198354613528,"#f781bf"
1.6,6.2,0.375198354613528,"#f781bf"
1,4.6,0.0129033991552491,"#e41a1c"
1.2,4.3,0.0129033991552491,"#e41a1c"
1.4,4.3,0.0129033991552491,"#e41a1c"
2,1.9,0.0129033991552491,"#f781bf"
1.8,2.2,0.0129033991552491,"#f781bf"
1.6,2.2,0.0129033991552491,"#f781bf"
1,4.6,1.9699866310787,"#f781bf"
1.2,4.6,1.9699866310787,"#f781bf"
1.4,4.6,1.9699866310787,"#f781bf"
2,4.6,1.9699866310787,"#f781bf"
1.8,4.6,1.9699866310787,"#f781bf"
1.6,4.6,1.9699866310787,"#f781bf"
1,4.6,1.52788118375096,"#AAAAAA"
1.2,4.2,1.52788118375096,"#AAAAAA"
1.4,4.2,1.52788118375096,"#AAAAAA"
2,1,1.52788118375096,"#f781bf"
1.8,1.4,1.52788118375096,"#f781bf"
1.6,1.4,1.52788118375096,"#f781bf"
1,4.6,0.116224321688927,"#4daf4a"
1.2,4.7,0.116224321688927,"#4daf4a"
1.4,4.7,0.116224321688927,"#4daf4a"
2,5.5,0.116224321688927,"#f781bf"
1.8,5.4,0.116224321688927,"#f781bf"
1.6,5.4,0.116224321688927,"#f781bf"
1,4.6,0.0716248003956626,"#a65628"
1.2,4.5,0.0716248003956626,"#a65628"
1.4,4.5,0.0716248003956626,"#a65628"
2,3.7,0.0716248003956626,"#f781bf"
1.8,3.8,0.0716248003956626,"#f781bf"
1.6,3.8,0.0716248003956626,"#f781bf"
1,4.6,9.37292916846184e-05,"#377eb8"
1.2,4.4,9.37292916846184e-05,"#377eb8"
1.4,4.4,9.37292916846184e-05,"#377eb8"
2,2.8,9.37292916846184e-05,"#f781bf"
1.8,3,9.37292916846184e-05,"#f781bf"
1.6,3,9.37292916846184e-05,"#f781bf"
1,1,1.5675755387794,"#ffd300"
1.2,1.6,1.5675755387794,"#ffd300"
1.4,1.6,1.5675755387794,"#ffd300"
2,6.4,1.5675755387794,"#AAAAAA"
1.8,5.8,1.5675755387794,"#AAAAAA"
1.6,5.8,1.5675755387794,"#AAAAAA"
1,1,0.124769308780841,"#e41a1c"
1.2,1.1,0.124769308780841,"#e41a1c"
1.4,1.1,0.124769308780841,"#e41a1c"
2,1.9,0.124769308780841,"#AAAAAA"
1.8,1.8,0.124769308780841,"#AAAAAA"
1.6,1.8,0.124769308780841,"#AAAAAA"
1,1,1.26879779998607,"#f781bf"
1.2,1.4,1.26879779998607,"#f781bf"
1.4,1.4,1.26879779998607,"#f781bf"
2,4.6,1.26879779998607,"#AAAAAA"
1.8,4.2,1.26879779998607,"#AAAAAA"
1.6,4.2,1.26879779998607,"#AAAAAA"
1,1,66.6636777436985,"#AAAAAA"
1.2,1,66.6636777436985,"#AAAAAA"
1.4,1,66.6636777436985,"#AAAAAA"
2,1,66.6636777436985,"#AAAAAA"
1.8,1,66.6636777436985,"#AAAAAA"
1.6,1,66.6636777436985,"#AAAAAA"
1,1,1.01768140601436,"#4daf4a"
1.2,1.5,1.01768140601436,"#4daf4a"
1.4,1.5,1.01768140601436,"#4daf4a"
2,5.5,1.01768140601436,"#AAAAAA"
1.8,5,1.01768140601436,"#AAAAAA"
1.6,5,1.01768140601436,"#AAAAAA"
1,1,0.501326738123796,"#a65628"
1.2,1.3,0.501326738123796,"#a65628"
1.4,1.3,0.501326738123796,"#a65628"
2,3.7,0.501326738123796,"#AAAAAA"
1.8,3.4,0.501326738123796,"#AAAAAA"
1.6,3.4,0.501326738123796,"#AAAAAA"
1,1,0.00390538715352577,"#377eb8"
1.2,1.2,0.00390538715352577,"#377eb8"
1.4,1.2,0.00390538715352577,"#377eb8"
2,2.8,0.00390538715352577,"#AAAAAA"
1.8,2.6,0.00390538715352577,"#AAAAAA"
1.6,2.6,0.00390538715352577,"#AAAAAA"
1,5.5,3.72825441379045,"#ffd300"
1.2,5.6,3.72825441379045,"#ffd300"
1.4,5.6,3.72825441379045,"#ffd300"
2,6.4,3.72825441379045,"#4daf4a"
1.8,6.3,3.72825441379045,"#4daf4a"
1.6,6.3,3.72825441379045,"#4daf4a"
1,5.5,0.0297278070126381,"#e41a1c"
1.2,5.1,0.0297278070126381,"#e41a1c"
1.4,5.1,0.0297278070126381,"#e41a1c"
2,1.9,0.0297278070126381,"#4daf4a"
1.8,2.3,0.0297278070126381,"#4daf4a"
1.6,2.3,0.0297278070126381,"#4daf4a"
1,5.5,0.0815288622170039,"#f781bf"
1.2,5.4,0.0815288622170039,"#f781bf"
1.4,5.4,0.0815288622170039,"#f781bf"
2,4.6,0.0815288622170039,"#4daf4a"
1.8,4.7,0.0815288622170039,"#4daf4a"
1.6,4.7,0.0815288622170039,"#4daf4a"
1,5.5,1.15101132343573,"#AAAAAA"
1.2,5,1.15101132343573,"#AAAAAA"
1.4,5,1.15101132343573,"#AAAAAA"
2,1,1.15101132343573,"#4daf4a"
1.8,1.5,1.15101132343573,"#4daf4a"
1.6,1.5,1.15101132343573,"#4daf4a"
1,5.5,1.5588274715555,"#4daf4a"
1.2,5.5,1.5588274715555,"#4daf4a"
1.4,5.5,1.5588274715555,"#4daf4a"
2,5.5,1.5588274715555,"#4daf4a"
1.8,5.5,1.5588274715555,"#4daf4a"
1.6,5.5,1.5588274715555,"#4daf4a"
1,5.5,2.99730653258796,"#a65628"
1.2,5.3,2.99730653258796,"#a65628"
1.4,5.3,2.99730653258796,"#a65628"
2,3.7,2.99730653258796,"#4daf4a"
1.8,3.9,2.99730653258796,"#4daf4a"
1.6,3.9,2.99730653258796,"#4daf4a"
1,5.5,0.0125128604398966,"#377eb8"
1.2,5.2,0.0125128604398966,"#377eb8"
1.4,5.2,0.0125128604398966,"#377eb8"
2,2.8,0.0125128604398966,"#4daf4a"
1.8,3.1,0.0125128604398966,"#4daf4a"
1.6,3.1,0.0125128604398966,"#4daf4a"
1,3.7,0.993796058183395,"#ffd300"
1.2,4,0.993796058183395,"#ffd300"
1.4,4,0.993796058183395,"#ffd300"
2,6.4,0.993796058183395,"#a65628"
1.8,6.1,0.993796058183395,"#a65628"
1.6,6.1,0.993796058183395,"#a65628"
1,3.7,0.0509106269333619,"#e41a1c"
1.2,3.5,0.0509106269333619,"#e41a1c"
1.4,3.5,0.0509106269333619,"#e41a1c"
2,1.9,0.0509106269333619,"#a65628"
1.8,2.1,0.0509106269333619,"#a65628"
1.6,2.1,0.0509106269333619,"#a65628"
1,3.7,0.15484078986299,"#f781bf"
1.2,3.8,0.15484078986299,"#f781bf"
1.4,3.8,0.15484078986299,"#f781bf"
2,4.6,0.15484078986299,"#a65628"
1.8,4.5,0.15484078986299,"#a65628"
1.6,4.5,0.15484078986299,"#a65628"
1,3.7,0.765299666604909,"#AAAAAA"
1.2,3.4,0.765299666604909,"#AAAAAA"
1.4,3.4,0.765299666604909,"#AAAAAA"
2,1,0.765299666604909,"#a65628"
1.8,1.3,0.765299666604909,"#a65628"
1.6,1.3,0.765299666604909,"#a65628"
1,3.7,2.27452872131064,"#4daf4a"
1.2,3.9,2.27452872131064,"#4daf4a"
1.4,3.9,2.27452872131064,"#4daf4a"
2,5.5,2.27452872131064,"#a65628"
1.8,5.3,2.27452872131064,"#a65628"
1.6,5.3,2.27452872131064,"#a65628"
1,3.7,0.300339893654746,"#a65628"
1.2,3.7,0.300339893654746,"#a65628"
1.4,3.7,0.300339893654746,"#a65628"
