"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Pennington",1005,5426,1,5,2008,2009
"Pennington",1023,2161,1,23,2008,2009
"Pennington",1028,54,1,28,2008,2009
"Pennington",1036,235,1,36,2008,2009
"Pennington",1037,9,1,37,2008,2009
"Pennington",1044,2,1,44,2008,2009
"Pennington",1059,73,1,59,2008,2009
"Pennington",1061,9874,1,61,2008,2009
"Pennington",1111,8,1,111,2008,2009
"Pennington",1121,68,1,121,2008,2009
"Pennington",1152,1,1,152,2008,2009
"Pennington",1176,290,1,176,2008,2009
"Pennington",1190,3,1,190,2008,2009
"Pennington",1195,688,1,195,2008,2009
"Pennington",5005,101183,5,5,2008,2009
"Pennington",5023,230016,5,23,2008,2009
"Pennington",5024,2510,5,24,2008,2009
"Pennington",5028,36,5,28,2008,2009
"Pennington",5031,21,5,31,2008,2009
"Pennington",5036,3035,5,36,2008,2009
"Pennington",5037,108,5,37,2008,2009
"Pennington",5043,133,5,43,2008,2009
"Pennington",5044,128,5,44,2008,2009
"Pennington",5059,439,5,59,2008,2009
"Pennington",5061,18577,5,61,2008,2009
"Pennington",5111,47,5,111,2008,2009
"Pennington",5121,403,5,121,2008,2009
"Pennington",5141,726,5,141,2008,2009
"Pennington",5142,20,5,142,2008,2009
"Pennington",5152,6,5,152,2008,2009
"Pennington",5176,5304,5,176,2008,2009
"Pennington",5190,252,5,190,2008,2009
"Pennington",5195,6951,5,195,2008,2009
"Pennington",6005,7116,6,5,2008,2009
"Pennington",6023,25065,6,23,2008,2009
"Pennington",6059,20,6,59,2008,2009
"Pennington",6061,597,6,61,2008,2009
"Pennington",6176,152,6,176,2008,2009
"Pennington",6190,3,6,190,2008,2009
"Pennington",6195,227,6,195,2008,2009
"Pennington",21005,5558,21,5,2008,2009
"Pennington",21023,3265,21,23,2008,2009
"Pennington",21036,665,21,36,2008,2009
"Pennington",21037,6,21,37,2008,2009
"Pennington",21061,323,21,61,2008,2009
"Pennington",21141,4,21,141,2008,2009
"Pennington",21176,168,21,176,2008,2009
"Pennington",21190,5,21,190,2008,2009
"Pennington",21195,134,21,195,2008,2009
"Pennington",23005,272695,23,5,2008,2009
"Pennington",23023,26749,23,23,2008,2009
"Pennington",23024,4963,23,24,2008,2009
"Pennington",23028,191,23,28,2008,2009
"Pennington",23031,6,23,31,2008,2009
"Pennington",23036,4003,23,36,2008,2009
"Pennington",23037,157,23,37,2008,2009
"Pennington",23043,330,23,43,2008,2009
"Pennington",23044,88,23,44,2008,2009
"Pennington",23059,312,23,59,2008,2009
"Pennington",23061,19932,23,61,2008,2009
"Pennington",23111,82,23,111,2008,2009
"Pennington",23121,644,23,121,2008,2009
"Pennington",23141,778,23,141,2008,2009
"Pennington",23142,1,23,142,2008,2009
"Pennington",23176,4710,23,176,2008,2009
"Pennington",23190,187,23,190,2008,2009
"Pennington",23195,4782,23,195,2008,2009
"Pennington",24005,14339,24,5,2008,2009
"Pennington",24023,1875,24,23,2008,2009
"Pennington",24028,3,24,28,2008,2009
"Pennington",24036,241,24,36,2008,2009
"Pennington",24037,12,24,37,2008,2009
"Pennington",24059,18,24,59,2008,2009
"Pennington",24061,1248,24,61,2008,2009
"Pennington",24111,32,24,111,2008,2009
"Pennington",24141,7,24,141,2008,2009
"Pennington",24176,438,24,176,2008,2009
"Pennington",24190,2,24,190,2008,2009
"Pennington",24195,460,24,195,2008,2009
"Pennington",27176,5,27,176,2008,2009
"Pennington",27190,1,27,190,2008,2009
"Pennington",27195,2,27,195,2008,2009
"Pennington",28005,597,28,5,2008,2009
"Pennington",28023,536,28,23,2008,2009
"Pennington",28028,79,28,28,2008,2009
"Pennington",28036,237,28,36,2008,2009
"Pennington",28037,29,28,37,2008,2009
"Pennington",28059,9,28,59,2008,2009
"Pennington",28061,123,28,61,2008,2009
"Pennington",28141,81,28,141,2008,2009
"Pennington",28176,179,28,176,2008,2009
"Pennington",28190,28,28,190,2008,2009
"Pennington",28195,124,28,195,2008,2009
"Pennington",29005,2,29,5,2008,2009
"Pennington",31005,12,31,5,2008,2009
"Pennington",31023,7,31,23,2008,2009
"Pennington",31037,2,31,37,2008,2009
"Pennington",31061,13,31,61,2008,2009
"Pennington",31111,3,31,111,2008,2009
"Pennington",31176,14,31,176,2008,2009
"Pennington",31190,1,31,190,2008,2009
"Pennington",31195,11,31,195,2008,2009
"Pennington",32005,4,32,5,2008,2009
"Pennington",32061,10,32,61,2008,2009
