"xCoords","yCoords","width","colorToUse"
1,6.4,0.0156214528625469,"#ffd300"
1.2,6.4,0.0156214528625469,"#ffd300"
1.4,6.4,0.0156214528625469,"#ffd300"
2,6.4,0.0156214528625469,"#ffd300"
1.8,6.4,0.0156214528625469,"#ffd300"
1.6,6.4,0.0156214528625469,"#ffd300"
1,6.4,0.000393345935387873,"#e41a1c"
1.2,5.9,0.000393345935387873,"#e41a1c"
1.4,5.9,0.000393345935387873,"#e41a1c"
2,1.9,0.000393345935387873,"#ffd300"
1.8,2.4,0.000393345935387873,"#ffd300"
1.6,2.4,0.000393345935387873,"#ffd300"
1,6.4,0.0132051849737357,"#f781bf"
1.2,6.2,0.0132051849737357,"#f781bf"
1.4,6.2,0.0132051849737357,"#f781bf"
2,4.6,0.0132051849737357,"#ffd300"
1.8,4.8,0.0132051849737357,"#ffd300"
1.6,4.8,0.0132051849737357,"#ffd300"
1,6.4,0.634860339716027,"#AAAAAA"
1.2,5.8,0.634860339716027,"#AAAAAA"
1.4,5.8,0.634860339716027,"#AAAAAA"
2,1,0.634860339716027,"#ffd300"
1.8,1.6,0.634860339716027,"#ffd300"
1.6,1.6,0.634860339716027,"#ffd300"
1,6.4,0.304899292202085,"#4daf4a"
1.2,6.3,0.304899292202085,"#4daf4a"
1.4,6.3,0.304899292202085,"#4daf4a"
2,5.5,0.304899292202085,"#ffd300"
1.8,5.6,0.304899292202085,"#ffd300"
1.6,5.6,0.304899292202085,"#ffd300"
1,6.4,0.121431509481885,"#a65628"
1.2,6.1,0.121431509481885,"#a65628"
1.4,6.1,0.121431509481885,"#a65628"
2,3.7,0.121431509481885,"#ffd300"
1.8,4,0.121431509481885,"#ffd300"
1.6,4,0.121431509481885,"#ffd300"
1,6.4,0.000112384552967964,"#377eb8"
1.2,6,0.000112384552967964,"#377eb8"
1.4,6,0.000112384552967964,"#377eb8"
2,2.8,0.000112384552967964,"#ffd300"
1.8,3.2,0.000112384552967964,"#ffd300"
1.6,3.2,0.000112384552967964,"#ffd300"
1,1.9,0.000112384552967964,"#ffd300"
1.2,2.4,0.000112384552967964,"#ffd300"
1.4,2.4,0.000112384552967964,"#ffd300"
2,6.4,0.000112384552967964,"#e41a1c"
1.8,5.9,0.000112384552967964,"#e41a1c"
1.6,5.9,0.000112384552967964,"#e41a1c"
1,1.9,5.61922764839818e-05,"#e41a1c"
1.2,1.9,5.61922764839818e-05,"#e41a1c"
1.4,1.9,5.61922764839818e-05,"#e41a1c"
2,1.9,5.61922764839818e-05,"#e41a1c"
1.8,1.9,5.61922764839818e-05,"#e41a1c"
1.6,1.9,5.61922764839818e-05,"#e41a1c"
1,1.9,0.000280961382419909,"#f781bf"
1.2,2.2,0.000280961382419909,"#f781bf"
1.4,2.2,0.000280961382419909,"#f781bf"
2,4.6,0.000280961382419909,"#e41a1c"
1.8,4.3,0.000280961382419909,"#e41a1c"
1.6,4.3,0.000280961382419909,"#e41a1c"
1,1.9,0.00781072643127347,"#AAAAAA"
1.2,1.8,0.00781072643127347,"#AAAAAA"
1.4,1.8,0.00781072643127347,"#AAAAAA"
2,1,0.00781072643127347,"#e41a1c"
1.8,1.1,0.00781072643127347,"#e41a1c"
