"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Pine",0,681,0,0,2008,2009
"Pine",1005,22407,1,5,2008,2009
"Pine",1023,1375,1,23,2008,2009
"Pine",1028,188,1,28,2008,2009
"Pine",1036,880,1,36,2008,2009
"Pine",1037,271,1,37,2008,2009
"Pine",1061,73,1,61,2008,2009
"Pine",1111,36,1,111,2008,2009
"Pine",1121,53,1,121,2008,2009
"Pine",1152,169,1,152,2008,2009
"Pine",1176,14127,1,176,2008,2009
"Pine",1190,394,1,190,2008,2009
"Pine",1195,6546,1,195,2008,2009
"Pine",5005,12899,5,5,2008,2009
"Pine",5023,5514,5,23,2008,2009
"Pine",5024,29,5,24,2008,2009
"Pine",5028,77,5,28,2008,2009
"Pine",5031,2,5,31,2008,2009
"Pine",5036,576,5,36,2008,2009
"Pine",5037,430,5,37,2008,2009
"Pine",5058,44,5,58,2008,2009
"Pine",5061,109,5,61,2008,2009
"Pine",5111,37,5,111,2008,2009
"Pine",5121,117,5,121,2008,2009
"Pine",5141,211,5,141,2008,2009
"Pine",5142,5,5,142,2008,2009
"Pine",5152,105,5,152,2008,2009
"Pine",5176,12438,5,176,2008,2009
"Pine",5190,320,5,190,2008,2009
"Pine",5195,3903,5,195,2008,2009
"Pine",6005,1,6,5,2008,2009
"Pine",6176,5,6,176,2008,2009
"Pine",21005,23,21,5,2008,2009
"Pine",21023,7,21,23,2008,2009
"Pine",21036,2,21,36,2008,2009
"Pine",21037,1,21,37,2008,2009
"Pine",21141,1,21,141,2008,2009
"Pine",21176,31,21,176,2008,2009
"Pine",21195,2,21,195,2008,2009
"Pine",23005,4371,23,5,2008,2009
"Pine",23023,417,23,23,2008,2009
"Pine",23024,6,23,24,2008,2009
"Pine",23028,10,23,28,2008,2009
"Pine",23036,584,23,36,2008,2009
"Pine",23037,134,23,37,2008,2009
"Pine",23058,9,23,58,2008,2009
"Pine",23061,1,23,61,2008,2009
"Pine",23111,79,23,111,2008,2009
"Pine",23121,4,23,121,2008,2009
"Pine",23131,8,23,131,2008,2009
"Pine",23141,49,23,141,2008,2009
"Pine",23142,1,23,142,2008,2009
"Pine",23152,6,23,152,2008,2009
"Pine",23176,1842,23,176,2008,2009
"Pine",23190,201,23,190,2008,2009
"Pine",23195,440,23,195,2008,2009
"Pine",24005,21,24,5,2008,2009
"Pine",24023,25,24,23,2008,2009
"Pine",24036,1,24,36,2008,2009
"Pine",24037,3,24,37,2008,2009
"Pine",24111,3,24,111,2008,2009
"Pine",24131,1,24,131,2008,2009
"Pine",24152,2,24,152,2008,2009
"Pine",24176,83,24,176,2008,2009
"Pine",24190,4,24,190,2008,2009
"Pine",24195,8,24,195,2008,2009
"Pine",27176,60,27,176,2008,2009
"Pine",27190,1,27,190,2008,2009
"Pine",27195,5,27,195,2008,2009
"Pine",28005,57,28,5,2008,2009
"Pine",28023,11,28,23,2008,2009
"Pine",28036,169,28,36,2008,2009
"Pine",28037,31,28,37,2008,2009
"Pine",28058,18,28,58,2008,2009
"Pine",28061,4,28,61,2008,2009
"Pine",28141,7,28,141,2008,2009
"Pine",28176,378,28,176,2008,2009
"Pine",28190,2,28,190,2008,2009
"Pine",28195,45,28,195,2008,2009
"Pine",36005,629,36,5,2008,2009
"Pine",36023,30,36,23,2008,2009
"Pine",36028,1,36,28,2008,2009
"Pine",36036,13584,36,36,2008,2009
"Pine",36037,2027,36,37,2008,2009
"Pine",36058,113,36,58,2008,2009
"Pine",36061,5,36,61,2008,2009
"Pine",36131,2,36,131,2008,2009
"Pine",36141,42,36,141,2008,2009
"Pine",36152,17,36,152,2008,2009
"Pine",36176,15090,36,176,2008,2009
"Pine",36190,68,36,190,2008,2009
"Pine",36195,368,36,195,2008,2009
"Pine",37005,785,37,5,2008,2009
"Pine",37023,115,37,23,2008,2009
"Pine",37024,6,37,24,2008,2009
"Pine",37028,24,37,28,2008,2009
"Pine",37036,1917,37,36,2008,2009
"Pine",37037,4914,37,37,2008,2009
"Pine",37058,28,37,58,2008,2009
"Pine",37061,17,37,61,2008,2009
"Pine",37111,23,37,111,2008,2009
"Pine",37141,69,37,141,2008,2009
"Pine",37142,3,37,142,2008,2009
"Pine",37152,92,37,152,2008,2009
"Pine",37176,35657,37,176,2008,2009
"Pine",37190,180,37,190,2008,2009
"Pine",37195,1193,37,195,2008,2009
"Pine",43176,2,43,176,2008,2009
"Pine",43195,2,43,195,2008,2009
"Pine",44005,1,44,5,2008,2009
"Pine",44195,4,44,195,2008,2009
"Pine",58036,8,58,36,2008,2009
"Pine",58037,11,58,37,2008,2009
"Pine",58058,2,58,58,2008,2009
"Pine",58176,45,58,176,2008,2009
"Pine",58195,3,58,195,2008,2009
"Pine",59036,1,59,36,2008,2009
"Pine",59176,2,59,176,2008,2009
"Pine",59195,3,59,195,2008,2009
"Pine",61005,243,61,5,2008,2009
"Pine",61023,41,61,23,2008,2009
"Pine",61024,1,61,24,2008,2009
"Pine",61028,1,61,28,2008,2009
"Pine",61036,76,61,36,2008,2009
"Pine",61037,14,61,37,2008,2009
"Pine",61061,1,61,61,2008,2009
"Pine",61141,3,61,141,2008,2009
"Pine",61142,1,61,142,2008,2009
"Pine",61152,5,61,152,2008,2009
"Pine",61176,408,61,176,2008,2009
"Pine",61190,3,61,190,2008,2009
"Pine",61195,75,61,195,2008,2009
"Pine",111005,58,111,5,2008,2009
"Pine",111023,60,111,23,2008,2009
"Pine",111028,6,111,28,2008,2009
"Pine",111031,3,111,31,2008,2009
"Pine",111037,19,111,37,2008,2009
"Pine",111044,44,111,44,2008,2009
"Pine",111061,1,111,61,2008,2009
"Pine",111111,66702,111,111,2008,2009
"Pine",111141,1224,111,141,2008,2009
"Pine",111142,191,111,142,2008,2009
"Pine",111152,306,111,152,2008,2009
"Pine",111176,546,111,176,2008,2009
"Pine",111190,4776,111,190,2008,2009
"Pine",111195,3320,111,195,2008,2009
"Pine",121005,16,121,5,2008,2009
"Pine",121036,19,121,36,2008,2009
"Pine",121061,2,121,61,2008,2009
"Pine",121121,141218,121,121,2008,2009
"Pine",121122,3276,121,122,2008,2009
"Pine",121123,99,121,123,2008,2009
"Pine",121176,69,121,176,2008,2009
"Pine",121195,8,121,195,2008,2009
"Pine",122023,1,122,23,2008,2009
"Pine",122121,3031,122,121,2008,2009
"Pine",122122,9075,122,122,2008,2009
"Pine",122123,813,122,123,2008,2009
"Pine",122176,15,122,176,2008,2009
"Pine",123001,4,123,1,2008,2009
"Pine",123005,4,123,5,2008,2009
"Pine",123023,90,123,23,2008,2009
"Pine",123028,4,123,28,2008,2009
"Pine",123036,2,123,36,2008,2009
"Pine",123061,1,123,61,2008,2009
"Pine",123121,112,123,121,2008,2009
"Pine",123122,688,123,122,2008,2009
"Pine",123123,2353,123,123,2008,2009
"Pine",123124,85,123,124,2008,2009
"Pine",123176,84,123,176,2008,2009
"Pine",123195,20,123,195,2008,2009
"Pine",124122,13,124,122,2008,2009
"Pine",124123,81,124,123,2008,2009
"Pine",124124,1008,124,124,2008,2009
"Pine",124176,5,124,176,2008,2009
"Pine",124195,2,124,195,2008,2009
"Pine",131005,1,131,5,2008,2009
"Pine",131023,12,131,23,2008,2009
"Pine",131028,1,131,28,2008,2009
"Pine",131061,2,131,61,2008,2009
"Pine",131111,7,131,111,2008,2009
"Pine",131141,4,131,141,2008,2009
"Pine",131176,45,131,176,2008,2009
"Pine",131190,1,131,190,2008,2009
"Pine",131195,23,131,195,2008,2009
"Pine",141005,159,141,5,2008,2009
"Pine",141023,46,141,23,2008,2009
"Pine",141028,7,141,28,2008,2009
"Pine",141036,189,141,36,2008,2009
"Pine",141037,112,141,37,2008,2009
"Pine",141044,2,141,44,2008,2009
"Pine",141061,2,141,61,2008,2009
"Pine",141111,2268,141,111,2008,2009
"Pine",141121,9,141,121,2008,2009
"Pine",141131,19,141,131,2008,2009
"Pine",141141,1419978,141,141,2008,2009
"Pine",141142,4007,141,142,2008,2009
"Pine",141152,14049,141,152,2008,2009
"Pine",141176,17605,141,176,2008,2009
"Pine",141190,185871,141,190,2008,2009
"Pine",141195,58938,141,195,2008,2009
"Pine",142005,2,142,5,2008,2009
"Pine",142036,14,142,36,2008,2009
"Pine",142037,4,142,37,2008,2009
"Pine",142141,3717,142,141,2008,2009
"Pine",142142,25073,142,142,2008,2009
"Pine",142152,707,142,152,2008,2009
"Pine",142176,277,142,176,2008,2009
"Pine",142190,22535,142,190,2008,2009
"Pine",142195,299,142,195,2008,2009
"Pine",143190,3232,143,190,2008,2009
"Pine",152005,39,152,5,2008,2009
"Pine",152023,38,152,23,2008,2009
"Pine",152037,36,152,37,2008,2009
"Pine",152061,2,152,61,2008,2009
"Pine",152141,7889,152,141,2008,2009
"Pine",152142,259,152,142,2008,2009
"Pine",152152,1061,152,152,2008,2009
"Pine",152176,2463,152,176,2008,2009
"Pine",152190,3044,152,190,2008,2009
"Pine",152195,2740,152,195,2008,2009
"Pine",176001,15521,176,1,2008,2009
"Pine",176005,8426,176,5,2008,2009
"Pine",176021,125,176,21,2008,2009
"Pine",176023,2066,176,23,2008,2009
"Pine",176024,87,176,24,2008,2009
"Pine",176027,131,176,27,2008,2009
"Pine",176028,131,176,28,2008,2009
"Pine",176031,5,176,31,2008,2009
"Pine",176036,15458,176,36,2008,2009
"Pine",176037,19657,176,37,2008,2009
"Pine",176044,10,176,44,2008,2009
"Pine",176058,312,176,58,2008,2009
"Pine",176059,1,176,59,2008,2009
"Pine",176061,155,176,61,2008,2009
"Pine",176111,643,176,111,2008,2009
"Pine",176121,44,176,121,2008,2009
"Pine",176131,27,176,131,2008,2009
"Pine",176141,14470,176,141,2008,2009
"Pine",176142,303,176,142,2008,2009
"Pine",176152,4382,176,152,2008,2009
"Pine",176176,484803,176,176,2008,2009
"Pine",176190,12214,176,190,2008,2009
"Pine",176195,80949,176,195,2008,2009
"Pine",190005,169,190,5,2008,2009
"Pine",190023,44,190,23,2008,2009
"Pine",190024,2,190,24,2008,2009
"Pine",190028,3,190,28,2008,2009
"Pine",190036,94,190,36,2008,2009
"Pine",190037,96,190,37,2008,2009
"Pine",190044,8,190,44,2008,2009
"Pine",190058,2,190,58,2008,2009
"Pine",190061,5,190,61,2008,2009
"Pine",190111,4862,190,111,2008,2009
"Pine",190131,1,190,131,2008,2009
"Pine",190141,224172,190,141,2008,2009
"Pine",190142,23846,190,142,2008,2009
"Pine",190143,3425,190,143,2008,2009
