"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Pipestone",0,426,0,0,2008,2009
"Pipestone",1005,357934,1,5,2008,2009
"Pipestone",1023,3573,1,23,2008,2009
"Pipestone",1028,788,1,28,2008,2009
"Pipestone",1036,2377,1,36,2008,2009
"Pipestone",1037,59,1,37,2008,2009
"Pipestone",1043,14,1,43,2008,2009
"Pipestone",1061,2,1,61,2008,2009
"Pipestone",1111,19,1,111,2008,2009
"Pipestone",1121,300,1,121,2008,2009
"Pipestone",1176,12887,1,176,2008,2009
"Pipestone",1190,1,1,190,2008,2009
"Pipestone",1195,817,1,195,2008,2009
"Pipestone",5005,30774,5,5,2008,2009
"Pipestone",5023,9157,5,23,2008,2009
"Pipestone",5024,16,5,24,2008,2009
"Pipestone",5028,853,5,28,2008,2009
"Pipestone",5036,2749,5,36,2008,2009
"Pipestone",5037,98,5,37,2008,2009
"Pipestone",5043,6,5,43,2008,2009
"Pipestone",5059,1,5,59,2008,2009
"Pipestone",5061,5,5,61,2008,2009
"Pipestone",5111,6,5,111,2008,2009
"Pipestone",5121,523,5,121,2008,2009
"Pipestone",5152,33,5,152,2008,2009
"Pipestone",5176,14147,5,176,2008,2009
"Pipestone",5190,1,5,190,2008,2009
"Pipestone",5195,460,5,195,2008,2009
"Pipestone",6005,19,6,5,2008,2009
"Pipestone",6176,18,6,176,2008,2009
"Pipestone",21005,6,21,5,2008,2009
"Pipestone",21023,1,21,23,2008,2009
"Pipestone",21036,558,21,36,2008,2009
"Pipestone",21176,47,21,176,2008,2009
"Pipestone",21195,1,21,195,2008,2009
"Pipestone",23005,3021,23,5,2008,2009
"Pipestone",23023,527,23,23,2008,2009
"Pipestone",23024,5,23,24,2008,2009
"Pipestone",23028,110,23,28,2008,2009
"Pipestone",23036,971,23,36,2008,2009
"Pipestone",23037,53,23,37,2008,2009
"Pipestone",23043,1,23,43,2008,2009
"Pipestone",23111,2,23,111,2008,2009
"Pipestone",23121,2,23,121,2008,2009
"Pipestone",23131,3,23,131,2008,2009
"Pipestone",23152,1,23,152,2008,2009
"Pipestone",23176,1261,23,176,2008,2009
"Pipestone",23195,26,23,195,2008,2009
"Pipestone",24005,43,24,5,2008,2009
"Pipestone",24023,16,24,23,2008,2009
"Pipestone",24028,7,24,28,2008,2009
"Pipestone",24036,50,24,36,2008,2009
"Pipestone",24037,29,24,37,2008,2009
"Pipestone",24176,127,24,176,2008,2009
"Pipestone",24195,3,24,195,2008,2009
"Pipestone",28005,280,28,5,2008,2009
"Pipestone",28023,13,28,23,2008,2009
"Pipestone",28028,5,28,28,2008,2009
"Pipestone",28036,651,28,36,2008,2009
"Pipestone",28176,211,28,176,2008,2009
"Pipestone",28195,3,28,195,2008,2009
"Pipestone",31005,2,31,5,2008,2009
"Pipestone",31176,8,31,176,2008,2009
