"xCoords","yCoords","width","colorToUse"
1,6.4,6.87223219651247,"#ffd300"
1.2,6.4,6.87223219651247,"#ffd300"
1.4,6.4,6.87223219651247,"#ffd300"
2,6.4,6.87223219651247,"#ffd300"
1.8,6.4,6.87223219651247,"#ffd300"
1.6,6.4,6.87223219651247,"#ffd300"
1,6.4,0.00148931749791682,"#e41a1c"
1.2,5.9,0.00148931749791682,"#e41a1c"
1.4,5.9,0.00148931749791682,"#e41a1c"
2,1.9,0.00148931749791682,"#ffd300"
1.8,2.4,0.00148931749791682,"#ffd300"
1.6,2.4,0.00148931749791682,"#ffd300"
1,6.4,0.177005384627414,"#f781bf"
1.2,6.2,0.177005384627414,"#f781bf"
1.4,6.2,0.177005384627414,"#f781bf"
2,4.6,0.177005384627414,"#ffd300"
1.8,4.8,0.177005384627414,"#ffd300"
1.6,4.8,0.177005384627414,"#ffd300"
1,6.4,1.14684893927085,"#AAAAAA"
1.2,5.8,1.14684893927085,"#AAAAAA"
1.4,5.8,1.14684893927085,"#AAAAAA"
2,1,1.14684893927085,"#ffd300"
1.8,1.6,1.14684893927085,"#ffd300"
1.6,1.6,1.14684893927085,"#ffd300"
1,6.4,26.6538684649679,"#4daf4a"
1.2,6.3,26.6538684649679,"#4daf4a"
1.4,6.3,26.6538684649679,"#4daf4a"
2,5.5,26.6538684649679,"#ffd300"
1.8,5.6,26.6538684649679,"#ffd300"
1.6,5.6,26.6538684649679,"#ffd300"
1,6.4,0.266066571002839,"#a65628"
1.2,6.1,0.266066571002839,"#a65628"
1.4,6.1,0.266066571002839,"#a65628"
2,3.7,0.266066571002839,"#ffd300"
1.8,4,0.266066571002839,"#ffd300"
1.6,4,0.266066571002839,"#ffd300"
1,6.4,0.00134038574812514,"#377eb8"
1.2,6,0.00134038574812514,"#377eb8"
1.4,6,0.00134038574812514,"#377eb8"
2,2.8,0.00134038574812514,"#ffd300"
1.8,3.2,0.00134038574812514,"#ffd300"
1.6,3.2,0.00134038574812514,"#ffd300"
1,1.9,0.000372329374479204,"#ffd300"
1.2,2.4,0.000372329374479204,"#ffd300"
1.4,2.4,0.000372329374479204,"#ffd300"
2,6.4,0.000372329374479204,"#e41a1c"
1.8,5.9,0.000372329374479204,"#e41a1c"
1.6,5.9,0.000372329374479204,"#e41a1c"
1,1.9,7.44658748958409e-05,"#e41a1c"
1.2,1.9,7.44658748958409e-05,"#e41a1c"
1.4,1.9,7.44658748958409e-05,"#e41a1c"
2,1.9,7.44658748958409e-05,"#e41a1c"
1.8,1.9,7.44658748958409e-05,"#e41a1c"
1.6,1.9,7.44658748958409e-05,"#e41a1c"
1,1.9,0.000297863499583363,"#f781bf"
1.2,2.2,0.000297863499583363,"#f781bf"
1.4,2.2,0.000297863499583363,"#f781bf"
2,4.6,0.000297863499583363,"#e41a1c"
1.8,4.3,0.000297863499583363,"#e41a1c"
1.6,4.3,0.000297863499583363,"#e41a1c"
1,1.9,0.00282970324604195,"#AAAAAA"
1.2,1.8,0.00282970324604195,"#AAAAAA"
1.4,1.8,0.00282970324604195,"#AAAAAA"
2,1,0.00282970324604195,"#e41a1c"
1.8,1.1,0.00282970324604195,"#e41a1c"
1.6,1.1,0.00282970324604195,"#e41a1c"
1,1.9,0.000968056373645931,"#4daf4a"
