"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Polk",0,808,0,0,2008,2009
"Polk",1005,152031,1,5,2008,2009
"Polk",1023,10194,1,23,2008,2009
"Polk",1028,144,1,28,2008,2009
"Polk",1036,497,1,36,2008,2009
"Polk",1037,288,1,37,2008,2009
"Polk",1043,46,1,43,2008,2009
"Polk",1044,35,1,44,2008,2009
"Polk",1059,414,1,59,2008,2009
"Polk",1061,17737,1,61,2008,2009
"Polk",1111,783,1,111,2008,2009
"Polk",1121,51,1,121,2008,2009
"Polk",1152,1,1,152,2008,2009
"Polk",1176,2712,1,176,2008,2009
"Polk",1190,32,1,190,2008,2009
"Polk",1195,3753,1,195,2008,2009
"Polk",5005,232654,5,5,2008,2009
"Polk",5023,700398,5,23,2008,2009
"Polk",5024,2873,5,24,2008,2009
"Polk",5028,341,5,28,2008,2009
"Polk",5031,5,5,31,2008,2009
"Polk",5036,5615,5,36,2008,2009
"Polk",5037,1585,5,37,2008,2009
"Polk",5043,509,5,43,2008,2009
"Polk",5044,646,5,44,2008,2009
"Polk",5058,2,5,58,2008,2009
"Polk",5059,908,5,59,2008,2009
"Polk",5061,10131,5,61,2008,2009
"Polk",5111,3050,5,111,2008,2009
"Polk",5121,1584,5,121,2008,2009
"Polk",5141,1731,5,141,2008,2009
"Polk",5142,61,5,142,2008,2009
"Polk",5152,4,5,152,2008,2009
"Polk",5176,15769,5,176,2008,2009
"Polk",5190,800,5,190,2008,2009
"Polk",5195,12825,5,195,2008,2009
"Polk",6005,20961,6,5,2008,2009
"Polk",6023,51021,6,23,2008,2009
"Polk",6044,9,6,44,2008,2009
"Polk",6059,44,6,59,2008,2009
"Polk",6061,2465,6,61,2008,2009
"Polk",6176,626,6,176,2008,2009
"Polk",6190,30,6,190,2008,2009
"Polk",6195,874,6,195,2008,2009
"Polk",21005,9277,21,5,2008,2009
"Polk",21023,3419,21,23,2008,2009
"Polk",21036,274,21,36,2008,2009
"Polk",21037,34,21,37,2008,2009
"Polk",21061,146,21,61,2008,2009
"Polk",21141,10,21,141,2008,2009
"Polk",21176,305,21,176,2008,2009
"Polk",21190,14,21,190,2008,2009
"Polk",21195,204,21,195,2008,2009
"Polk",23005,592815,23,5,2008,2009
"Polk",23023,182864,23,23,2008,2009
"Polk",23024,2535,23,24,2008,2009
"Polk",23028,66,23,28,2008,2009
"Polk",23031,69,23,31,2008,2009
"Polk",23036,7410,23,36,2008,2009
"Polk",23037,1782,23,37,2008,2009
"Polk",23043,4998,23,43,2008,2009
"Polk",23044,33,23,44,2008,2009
"Polk",23058,260,23,58,2008,2009
"Polk",23059,783,23,59,2008,2009
"Polk",23061,5879,23,61,2008,2009
