"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Pope",1005,292022,1,5,2008,2009
"Pope",1023,10585,1,23,2008,2009
"Pope",1028,1197,1,28,2008,2009
"Pope",1036,1476,1,36,2008,2009
"Pope",1037,101,1,37,2008,2009
"Pope",1043,1109,1,43,2008,2009
"Pope",1044,1,1,44,2008,2009
"Pope",1061,14,1,61,2008,2009
"Pope",1111,187,1,111,2008,2009
"Pope",1121,292,1,121,2008,2009
"Pope",1152,30,1,152,2008,2009
"Pope",1176,20359,1,176,2008,2009
"Pope",1190,53,1,190,2008,2009
"Pope",1195,4219,1,195,2008,2009
"Pope",5005,26621,5,5,2008,2009
"Pope",5023,39404,5,23,2008,2009
"Pope",5024,51,5,24,2008,2009
"Pope",5028,801,5,28,2008,2009
"Pope",5031,2,5,31,2008,2009
"Pope",5036,1639,5,36,2008,2009
"Pope",5037,177,5,37,2008,2009
"Pope",5043,2887,5,43,2008,2009
"Pope",5059,1,5,59,2008,2009
"Pope",5061,27,5,61,2008,2009
"Pope",5111,47,5,111,2008,2009
"Pope",5121,117,5,121,2008,2009
"Pope",5141,422,5,141,2008,2009
"Pope",5142,15,5,142,2008,2009
"Pope",5152,15,5,152,2008,2009
"Pope",5176,22132,5,176,2008,2009
"Pope",5190,21,5,190,2008,2009
"Pope",5195,1995,5,195,2008,2009
"Pope",6005,9,6,5,2008,2009
"Pope",6023,7,6,23,2008,2009
"Pope",6131,16,6,131,2008,2009
"Pope",6176,49,6,176,2008,2009
"Pope",6195,2,6,195,2008,2009
"Pope",21005,17,21,5,2008,2009
"Pope",21023,26,21,23,2008,2009
"Pope",21036,26,21,36,2008,2009
"Pope",21037,9,21,37,2008,2009
"Pope",21141,1,21,141,2008,2009
"Pope",21176,54,21,176,2008,2009
"Pope",23005,29982,23,5,2008,2009
"Pope",23023,11357,23,23,2008,2009
"Pope",23024,839,23,24,2008,2009
"Pope",23028,314,23,28,2008,2009
"Pope",23031,248,23,31,2008,2009
"Pope",23036,2786,23,36,2008,2009
"Pope",23037,321,23,37,2008,2009
"Pope",23043,84,23,43,2008,2009
"Pope",23044,2,23,44,2008,2009
"Pope",23059,4,23,59,2008,2009
"Pope",23061,36,23,61,2008,2009
"Pope",23111,9,23,111,2008,2009
"Pope",23121,9,23,121,2008,2009
"Pope",23131,81,23,131,2008,2009
"Pope",23141,96,23,141,2008,2009
"Pope",23142,7,23,142,2008,2009
"Pope",23152,5,23,152,2008,2009
"Pope",23176,7848,23,176,2008,2009
"Pope",23190,2,23,190,2008,2009
"Pope",23195,428,23,195,2008,2009
"Pope",24005,669,24,5,2008,2009
"Pope",24023,541,24,23,2008,2009
"Pope",24028,23,24,28,2008,2009
"Pope",24031,1,24,31,2008,2009
"Pope",24036,11,24,36,2008,2009
"Pope",24037,10,24,37,2008,2009
"Pope",24176,254,24,176,2008,2009
"Pope",24195,9,24,195,2008,2009
"Pope",27176,95,27,176,2008,2009
"Pope",27195,10,27,195,2008,2009
"Pope",28005,731,28,5,2008,2009
"Pope",28023,543,28,23,2008,2009
"Pope",28028,28,28,28,2008,2009
"Pope",28036,579,28,36,2008,2009
"Pope",28037,35,28,37,2008,2009
"Pope",28059,49,28,59,2008,2009
"Pope",28061,4,28,61,2008,2009
"Pope",28141,21,28,141,2008,2009
"Pope",28176,1426,28,176,2008,2009
"Pope",28190,1,28,190,2008,2009
"Pope",28195,82,28,195,2008,2009
"Pope",29005,7,29,5,2008,2009
"Pope",31005,87,31,5,2008,2009
"Pope",31023,1023,31,23,2008,2009
"Pope",31028,20,31,28,2008,2009
"Pope",31176,55,31,176,2008,2009
"Pope",31190,1,31,190,2008,2009
