"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Ramsey",1005,4,1,5,2008,2009
"Ramsey",1023,6,1,23,2008,2009
"Ramsey",1111,3,1,111,2008,2009
"Ramsey",1121,5,1,121,2008,2009
"Ramsey",1152,1,1,152,2008,2009
"Ramsey",1176,38,1,176,2008,2009
"Ramsey",1195,40,1,195,2008,2009
"Ramsey",5005,10,5,5,2008,2009
"Ramsey",5023,11,5,23,2008,2009
"Ramsey",5036,1,5,36,2008,2009
"Ramsey",5037,1,5,37,2008,2009
"Ramsey",5059,2,5,59,2008,2009
"Ramsey",5061,2,5,61,2008,2009
"Ramsey",5111,9,5,111,2008,2009
"Ramsey",5121,24,5,121,2008,2009
"Ramsey",5141,1,5,141,2008,2009
"Ramsey",5176,83,5,176,2008,2009
"Ramsey",5195,4,5,195,2008,2009
"Ramsey",23023,23,23,23,2008,2009
"Ramsey",23111,1,23,111,2008,2009
"Ramsey",23176,15,23,176,2008,2009
"Ramsey",24111,2,24,111,2008,2009
"Ramsey",27176,3,27,176,2008,2009
"Ramsey",28023,4,28,23,2008,2009
"Ramsey",28176,6,28,176,2008,2009
"Ramsey",36036,50,36,36,2008,2009
"Ramsey",36037,4,36,37,2008,2009
"Ramsey",36131,1,36,131,2008,2009
"Ramsey",36141,1,36,141,2008,2009
"Ramsey",36176,53,36,176,2008,2009
"Ramsey",37023,1,37,23,2008,2009
"Ramsey",37111,1,37,111,2008,2009
"Ramsey",37176,7,37,176,2008,2009
"Ramsey",37195,1,37,195,2008,2009
"Ramsey",44190,1,44,190,2008,2009
"Ramsey",59176,1,59,176,2008,2009
"Ramsey",61195,2,61,195,2008,2009
"Ramsey",111005,36,111,5,2008,2009
"Ramsey",111023,9,111,23,2008,2009
"Ramsey",111028,2,111,28,2008,2009
"Ramsey",111111,41424,111,111,2008,2009
"Ramsey",111141,509,111,141,2008,2009
"Ramsey",111142,4,111,142,2008,2009
"Ramsey",111152,5,111,152,2008,2009
"Ramsey",111176,266,111,176,2008,2009
"Ramsey",111190,173,111,190,2008,2009
"Ramsey",111195,355,111,195,2008,2009
"Ramsey",121005,17,121,5,2008,2009
"Ramsey",121036,4,121,36,2008,2009
"Ramsey",121121,115678,121,121,2008,2009
"Ramsey",121122,4333,121,122,2008,2009
"Ramsey",121123,577,121,123,2008,2009
"Ramsey",121176,20,121,176,2008,2009
"Ramsey",121195,3,121,195,2008,2009
"Ramsey",122023,2,122,23,2008,2009
"Ramsey",122121,3266,122,121,2008,2009
"Ramsey",122122,122686,122,122,2008,2009
"Ramsey",122123,4672,122,123,2008,2009
"Ramsey",122176,10,122,176,2008,2009
"Ramsey",123001,1,123,1,2008,2009
"Ramsey",123005,3,123,5,2008,2009
"Ramsey",123121,588,123,121,2008,2009
"Ramsey",123122,4287,123,122,2008,2009
"Ramsey",123123,77917,123,123,2008,2009
"Ramsey",123124,2469,123,124,2008,2009
"Ramsey",123176,6,123,176,2008,2009
"Ramsey",123195,2,123,195,2008,2009
"Ramsey",124001,4,124,1,2008,2009
"Ramsey",124037,1,124,37,2008,2009
"Ramsey",124122,525,124,122,2008,2009
"Ramsey",124123,1668,124,123,2008,2009
"Ramsey",124124,38502,124,124,2008,2009
"Ramsey",124176,1,124,176,2008,2009
"Ramsey",131023,2,131,23,2008,2009
"Ramsey",131111,2,131,111,2008,2009
"Ramsey",131176,3,131,176,2008,2009
"Ramsey",131195,1,131,195,2008,2009
"Ramsey",141005,9,141,5,2008,2009
"Ramsey",141024,2,141,24,2008,2009
"Ramsey",141036,1,141,36,2008,2009
"Ramsey",141037,9,141,37,2008,2009
"Ramsey",141111,565,141,111,2008,2009
"Ramsey",141121,78,141,121,2008,2009
"Ramsey",141141,32573,141,141,2008,2009
"Ramsey",141142,438,141,142,2008,2009
"Ramsey",141152,95,141,152,2008,2009
"Ramsey",141176,1310,141,176,2008,2009
"Ramsey",141190,1906,141,190,2008,2009
"Ramsey",141195,1556,141,195,2008,2009
"Ramsey",142141,626,142,141,2008,2009
"Ramsey",142142,347,142,142,2008,2009
"Ramsey",142152,2,142,152,2008,2009
"Ramsey",142176,27,142,176,2008,2009
"Ramsey",142190,71,142,190,2008,2009
"Ramsey",142195,22,142,195,2008,2009
"Ramsey",152037,1,152,37,2008,2009
"Ramsey",152141,39,152,141,2008,2009
"Ramsey",152142,1,152,142,2008,2009
"Ramsey",152152,10,152,152,2008,2009
"Ramsey",152176,60,152,176,2008,2009
"Ramsey",152190,8,152,190,2008,2009
"Ramsey",152195,21,152,195,2008,2009
"Ramsey",176001,88,176,1,2008,2009
"Ramsey",176005,74,176,5,2008,2009
"Ramsey",176023,75,176,23,2008,2009
"Ramsey",176024,6,176,24,2008,2009
"Ramsey",176027,56,176,27,2008,2009
"Ramsey",176028,14,176,28,2008,2009
"Ramsey",176036,80,176,36,2008,2009
"Ramsey",176037,11,176,37,2008,2009
"Ramsey",176059,7,176,59,2008,2009
"Ramsey",176061,4,176,61,2008,2009
"Ramsey",176111,175,176,111,2008,2009
"Ramsey",176121,61,176,121,2008,2009
"Ramsey",176131,23,176,131,2008,2009
"Ramsey",176141,536,176,141,2008,2009
"Ramsey",176142,12,176,142,2008,2009
"Ramsey",176152,58,176,152,2008,2009
"Ramsey",176176,10672,176,176,2008,2009
"Ramsey",176190,11,176,190,2008,2009
"Ramsey",176195,2300,176,195,2008,2009
"Ramsey",190005,1,190,5,2008,2009
"Ramsey",190037,5,190,37,2008,2009
