"xCoords","yCoords","width","colorToUse"
1,6.4,0.000409032250147763,"#ffd300"
1.2,6.4,0.000409032250147763,"#ffd300"
1.4,6.4,0.000409032250147763,"#ffd300"
2,6.4,0.000409032250147763,"#ffd300"
1.8,6.4,0.000409032250147763,"#ffd300"
1.6,6.4,0.000409032250147763,"#ffd300"
1,6.4,0.0182019351315754,"#AAAAAA"
1.2,5.8,0.0182019351315754,"#AAAAAA"
1.4,5.8,0.0182019351315754,"#AAAAAA"
2,1,0.0182019351315754,"#ffd300"
1.8,1.6,0.0182019351315754,"#ffd300"
1.6,1.6,0.0182019351315754,"#ffd300"
1,6.4,0.000818064500295526,"#4daf4a"
1.2,6.3,0.000818064500295526,"#4daf4a"
1.4,6.3,0.000818064500295526,"#4daf4a"
2,5.5,0.000818064500295526,"#ffd300"
1.8,5.6,0.000818064500295526,"#ffd300"
1.6,5.6,0.000818064500295526,"#ffd300"
1,6.4,0.00122709675044329,"#a65628"
1.2,6.1,0.00122709675044329,"#a65628"
1.4,6.1,0.00122709675044329,"#a65628"
2,3.7,0.00122709675044329,"#ffd300"
1.8,4,0.00122709675044329,"#ffd300"
1.6,4,0.00122709675044329,"#ffd300"
1,4.6,0.0124754836295068,"#f781bf"
1.2,4.6,0.0124754836295068,"#f781bf"
1.4,4.6,0.0124754836295068,"#f781bf"
2,4.6,0.0124754836295068,"#f781bf"
1.8,4.6,0.0124754836295068,"#f781bf"
1.6,4.6,0.0124754836295068,"#f781bf"
1,4.6,0.012066451379359,"#AAAAAA"
1.2,4.2,0.012066451379359,"#AAAAAA"
1.4,4.2,0.012066451379359,"#AAAAAA"
2,1,0.012066451379359,"#f781bf"
1.8,1.4,0.012066451379359,"#f781bf"
1.6,1.4,0.012066451379359,"#f781bf"
1,4.6,0.000204516125073881,"#a65628"
1.2,4.5,0.000204516125073881,"#a65628"
1.4,4.5,0.000204516125073881,"#a65628"
2,3.7,0.000204516125073881,"#f781bf"
1.8,3.8,0.000204516125073881,"#f781bf"
1.6,3.8,0.000204516125073881,"#f781bf"
1,1,0.0572645150206868,"#ffd300"
1.2,1.6,0.0572645150206868,"#ffd300"
1.4,1.6,0.0572645150206868,"#ffd300"
2,6.4,0.0572645150206868,"#AAAAAA"
1.8,5.8,0.0572645150206868,"#AAAAAA"
1.6,5.8,0.0572645150206868,"#AAAAAA"
1,1,0.0182019351315754,"#f781bf"
1.2,1.4,0.0182019351315754,"#f781bf"
1.4,1.4,0.0182019351315754,"#f781bf"
2,4.6,0.0182019351315754,"#AAAAAA"
1.8,4.2,0.0182019351315754,"#AAAAAA"
1.6,4.2,0.0182019351315754,"#AAAAAA"
1,1,99.7721690366677,"#AAAAAA"
1.2,1,99.7721690366677,"#AAAAAA"
1.4,1,99.7721690366677,"#AAAAAA"
2,1,99.7721690366677,"#AAAAAA"
1.8,1,99.7721690366677,"#AAAAAA"
1.6,1,99.7721690366677,"#AAAAAA"
1,1,0.0372219347634464,"#4daf4a"
1.2,1.5,0.0372219347634464,"#4daf4a"
1.4,1.5,0.0372219347634464,"#4daf4a"
2,5.5,0.0372219347634464,"#AAAAAA"
1.8,5,0.0372219347634464,"#AAAAAA"
1.6,5,0.0372219347634464,"#AAAAAA"
1,1,0.0288367736354173,"#a65628"
1.2,1.3,0.0288367736354173,"#a65628"
1.4,1.3,0.0288367736354173,"#a65628"
2,3.7,0.0288367736354173,"#AAAAAA"
1.8,3.4,0.0288367736354173,"#AAAAAA"
1.6,3.4,0.0288367736354173,"#AAAAAA"
1,5.5,0.00122709675044329,"#ffd300"
1.2,5.6,0.00122709675044329,"#ffd300"
1.4,5.6,0.00122709675044329,"#ffd300"
2,6.4,0.00122709675044329,"#4daf4a"
1.8,6.3,0.00122709675044329,"#4daf4a"
1.6,6.3,0.00122709675044329,"#4daf4a"
1,5.5,0.000204516125073881,"#f781bf"
1.2,5.4,0.000204516125073881,"#f781bf"
1.4,5.4,0.000204516125073881,"#f781bf"
2,4.6,0.000204516125073881,"#4daf4a"
1.8,4.7,0.000204516125073881,"#4daf4a"
1.6,4.7,0.000204516125073881,"#4daf4a"
1,5.5,0.0272006446348262,"#AAAAAA"
