"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Red Lake",1005,30782,1,5,2008,2009
"Red Lake",1023,2017,1,23,2008,2009
"Red Lake",1028,4,1,28,2008,2009
"Red Lake",1036,235,1,36,2008,2009
"Red Lake",1037,34,1,37,2008,2009
"Red Lake",1043,10,1,43,2008,2009
"Red Lake",1044,8,1,44,2008,2009
"Red Lake",1059,39,1,59,2008,2009
"Red Lake",1061,5066,1,61,2008,2009
"Red Lake",1111,14,1,111,2008,2009
"Red Lake",1121,9,1,121,2008,2009
"Red Lake",1176,416,1,176,2008,2009
"Red Lake",1190,37,1,190,2008,2009
"Red Lake",1195,560,1,195,2008,2009
"Red Lake",5005,43723,5,5,2008,2009
"Red Lake",5023,201807,5,23,2008,2009
"Red Lake",5024,200,5,24,2008,2009
"Red Lake",5028,938,5,28,2008,2009
"Red Lake",5031,48,5,31,2008,2009
"Red Lake",5036,2313,5,36,2008,2009
"Red Lake",5037,158,5,37,2008,2009
"Red Lake",5043,382,5,43,2008,2009
"Red Lake",5044,643,5,44,2008,2009
"Red Lake",5058,1,5,58,2008,2009
"Red Lake",5059,266,5,59,2008,2009
"Red Lake",5061,3973,5,61,2008,2009
"Red Lake",5111,62,5,111,2008,2009
"Red Lake",5121,373,5,121,2008,2009
"Red Lake",5141,243,5,141,2008,2009
"Red Lake",5142,17,5,142,2008,2009
"Red Lake",5176,2896,5,176,2008,2009
"Red Lake",5190,125,5,190,2008,2009
"Red Lake",5195,2450,5,195,2008,2009
"Red Lake",6005,587,6,5,2008,2009
"Red Lake",6023,11267,6,23,2008,2009
"Red Lake",6044,44,6,44,2008,2009
"Red Lake",6059,10,6,59,2008,2009
"Red Lake",6061,384,6,61,2008,2009
"Red Lake",6176,80,6,176,2008,2009
"Red Lake",6190,2,6,190,2008,2009
"Red Lake",6195,113,6,195,2008,2009
"Red Lake",21005,8280,21,5,2008,2009
"Red Lake",21023,1087,21,23,2008,2009
"Red Lake",21036,143,21,36,2008,2009
"Red Lake",21037,3,21,37,2008,2009
"Red Lake",21061,411,21,61,2008,2009
"Red Lake",21141,1,21,141,2008,2009
"Red Lake",21176,258,21,176,2008,2009
"Red Lake",21190,3,21,190,2008,2009
"Red Lake",21195,67,21,195,2008,2009
"Red Lake",23005,201803,23,5,2008,2009
"Red Lake",23023,14493,23,23,2008,2009
"Red Lake",23024,791,23,24,2008,2009
"Red Lake",23028,25,23,28,2008,2009
"Red Lake",23031,467,23,31,2008,2009
"Red Lake",23036,3686,23,36,2008,2009
"Red Lake",23037,70,23,37,2008,2009
"Red Lake",23043,482,23,43,2008,2009
"Red Lake",23044,12,23,44,2008,2009
"Red Lake",23059,796,23,59,2008,2009
"Red Lake",23061,4467,23,61,2008,2009
"Red Lake",23111,65,23,111,2008,2009
"Red Lake",23121,630,23,121,2008,2009
"Red Lake",23131,1,23,131,2008,2009
"Red Lake",23141,421,23,141,2008,2009
"Red Lake",23142,1,23,142,2008,2009
"Red Lake",23176,3273,23,176,2008,2009
"Red Lake",23190,183,23,190,2008,2009
"Red Lake",23195,2376,23,195,2008,2009
"Red Lake",24005,11248,24,5,2008,2009
"Red Lake",24023,2539,24,23,2008,2009
"Red Lake",24028,5,24,28,2008,2009
"Red Lake",24036,134,24,36,2008,2009
"Red Lake",24037,5,24,37,2008,2009
"Red Lake",24059,22,24,59,2008,2009
"Red Lake",24061,569,24,61,2008,2009
"Red Lake",24111,9,24,111,2008,2009
"Red Lake",24131,1,24,131,2008,2009
"Red Lake",24176,369,24,176,2008,2009
"Red Lake",24195,234,24,195,2008,2009
"Red Lake",27176,7,27,176,2008,2009
"Red Lake",27195,3,27,195,2008,2009
"Red Lake",28005,197,28,5,2008,2009
"Red Lake",28023,126,28,23,2008,2009
"Red Lake",28036,186,28,36,2008,2009
"Red Lake",28037,1,28,37,2008,2009
"Red Lake",28061,46,28,61,2008,2009
"Red Lake",28176,41,28,176,2008,2009
"Red Lake",28195,33,28,195,2008,2009
"Red Lake",29005,37,29,5,2008,2009
"Red Lake",31005,49,31,5,2008,2009
"Red Lake",31023,677,31,23,2008,2009
