"xCoords","yCoords","width","colorToUse"
1,6.4,0.413441839061259,"#ffd300"
1.2,6.4,0.413441839061259,"#ffd300"
1.4,6.4,0.413441839061259,"#ffd300"
2,6.4,0.413441839061259,"#ffd300"
1.8,6.4,0.413441839061259,"#ffd300"
1.6,6.4,0.413441839061259,"#ffd300"
1,6.4,0.00248964588401302,"#e41a1c"
1.2,5.9,0.00248964588401302,"#e41a1c"
1.4,5.9,0.00248964588401302,"#e41a1c"
2,1.9,0.00248964588401302,"#ffd300"
1.8,2.4,0.00248964588401302,"#ffd300"
1.6,2.4,0.00248964588401302,"#ffd300"
1,6.4,0.0188731220239697,"#f781bf"
1.2,6.2,0.0188731220239697,"#f781bf"
1.4,6.2,0.0188731220239697,"#f781bf"
2,4.6,0.0188731220239697,"#ffd300"
1.8,4.8,0.0188731220239697,"#ffd300"
1.6,4.8,0.0188731220239697,"#ffd300"
1,6.4,0.508690871914144,"#AAAAAA"
1.2,5.8,0.508690871914144,"#AAAAAA"
1.4,5.8,0.508690871914144,"#AAAAAA"
2,1,0.508690871914144,"#ffd300"
1.8,1.6,0.508690871914144,"#ffd300"
1.6,1.6,0.508690871914144,"#ffd300"
1,6.4,2.47213805166738,"#4daf4a"
1.2,6.3,2.47213805166738,"#4daf4a"
1.4,6.3,2.47213805166738,"#4daf4a"
2,5.5,2.47213805166738,"#ffd300"
1.8,5.6,2.47213805166738,"#ffd300"
1.6,5.6,2.47213805166738,"#ffd300"
1,6.4,0.161987604775944,"#a65628"
1.2,6.1,0.161987604775944,"#a65628"
1.4,6.1,0.161987604775944,"#a65628"
2,3.7,0.161987604775944,"#ffd300"
1.8,4,0.161987604775944,"#ffd300"
1.6,4,0.161987604775944,"#ffd300"
1,6.4,0.00168653430852495,"#377eb8"
1.2,6,0.00168653430852495,"#377eb8"
1.4,6,0.00168653430852495,"#377eb8"
2,2.8,0.00168653430852495,"#ffd300"
1.8,3.2,0.00168653430852495,"#ffd300"
1.6,3.2,0.00168653430852495,"#ffd300"
1,1.9,0.000803111575488071,"#ffd300"
1.2,2.4,0.000803111575488071,"#ffd300"
1.4,2.4,0.000803111575488071,"#ffd300"
2,6.4,0.000803111575488071,"#e41a1c"
1.8,5.9,0.000803111575488071,"#e41a1c"
1.6,5.9,0.000803111575488071,"#e41a1c"
1,1.9,0.00136528967832972,"#f781bf"
1.2,2.2,0.00136528967832972,"#f781bf"
1.4,2.2,0.00136528967832972,"#f781bf"
2,4.6,0.00136528967832972,"#e41a1c"
1.8,4.3,0.00136528967832972,"#e41a1c"
1.6,4.3,0.00136528967832972,"#e41a1c"
1,1.9,0.0195156112843601,"#AAAAAA"
1.2,1.8,0.0195156112843601,"#AAAAAA"
1.4,1.8,0.0195156112843601,"#AAAAAA"
2,1,0.0195156112843601,"#e41a1c"
1.8,1.1,0.0195156112843601,"#e41a1c"
1.6,1.1,0.0195156112843601,"#e41a1c"
