"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Redwood",1005,860954,1,5,2008,2009
"Redwood",1023,4518,1,23,2008,2009
"Redwood",1028,378,1,28,2008,2009
"Redwood",1036,964,1,36,2008,2009
"Redwood",1037,120,1,37,2008,2009
"Redwood",1043,1,1,43,2008,2009
"Redwood",1044,24,1,44,2008,2009
"Redwood",1059,1,1,59,2008,2009
"Redwood",1061,19,1,61,2008,2009
"Redwood",1111,360,1,111,2008,2009
"Redwood",1121,2702,1,121,2008,2009
"Redwood",1152,28,1,152,2008,2009
"Redwood",1176,18649,1,176,2008,2009
"Redwood",1190,7,1,190,2008,2009
"Redwood",1195,14941,1,195,2008,2009
"Redwood",5005,62515,5,5,2008,2009
"Redwood",5023,6880,5,23,2008,2009
"Redwood",5024,55,5,24,2008,2009
"Redwood",5028,222,5,28,2008,2009
"Redwood",5036,1358,5,36,2008,2009
"Redwood",5037,114,5,37,2008,2009
"Redwood",5058,1,5,58,2008,2009
"Redwood",5059,2,5,59,2008,2009
"Redwood",5061,13,5,61,2008,2009
"Redwood",5111,60,5,111,2008,2009
"Redwood",5121,1550,5,121,2008,2009
"Redwood",5141,19,5,141,2008,2009
"Redwood",5152,5,5,152,2008,2009
"Redwood",5176,15467,5,176,2008,2009
"Redwood",5190,1,5,190,2008,2009
"Redwood",5195,7939,5,195,2008,2009
"Redwood",6176,10,6,176,2008,2009
"Redwood",6195,1,6,195,2008,2009
"Redwood",21005,25,21,5,2008,2009
"Redwood",21023,5,21,23,2008,2009
"Redwood",21028,1,21,28,2008,2009
"Redwood",21176,13,21,176,2008,2009
"Redwood",21195,13,21,195,2008,2009
"Redwood",23005,4377,23,5,2008,2009
"Redwood",23023,540,23,23,2008,2009
"Redwood",23024,5,23,24,2008,2009
"Redwood",23028,12,23,28,2008,2009
"Redwood",23036,539,23,36,2008,2009
"Redwood",23037,8,23,37,2008,2009
"Redwood",23043,4,23,43,2008,2009
"Redwood",23044,1,23,44,2008,2009
"Redwood",23061,1,23,61,2008,2009
"Redwood",23111,53,23,111,2008,2009
"Redwood",23121,27,23,121,2008,2009
"Redwood",23131,19,23,131,2008,2009
