"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Renville",1005,723826,1,5,2008,2009
"Renville",1023,8615,1,23,2008,2009
"Renville",1028,433,1,28,2008,2009
"Renville",1036,2510,1,36,2008,2009
"Renville",1037,121,1,37,2008,2009
"Renville",1043,1,1,43,2008,2009
"Renville",1059,1,1,59,2008,2009
"Renville",1061,378,1,61,2008,2009
"Renville",1111,476,1,111,2008,2009
"Renville",1121,2014,1,121,2008,2009
"Renville",1152,14,1,152,2008,2009
"Renville",1176,16415,1,176,2008,2009
"Renville",1190,30,1,190,2008,2009
"Renville",1195,13303,1,195,2008,2009
"Renville",5005,43252,5,5,2008,2009
"Renville",5023,18850,5,23,2008,2009
"Renville",5024,57,5,24,2008,2009
"Renville",5028,429,5,28,2008,2009
"Renville",5036,1412,5,36,2008,2009
"Renville",5037,60,5,37,2008,2009
"Renville",5043,1,5,43,2008,2009
"Renville",5059,1,5,59,2008,2009
"Renville",5061,10,5,61,2008,2009
"Renville",5111,127,5,111,2008,2009
"Renville",5121,860,5,121,2008,2009
"Renville",5141,310,5,141,2008,2009
"Renville",5142,19,5,142,2008,2009
"Renville",5152,5,5,152,2008,2009
"Renville",5176,9693,5,176,2008,2009
"Renville",5190,10,5,190,2008,2009
"Renville",5195,5185,5,195,2008,2009
"Renville",6005,28,6,5,2008,2009
"Renville",6023,2,6,23,2008,2009
"Renville",6176,2,6,176,2008,2009
"Renville",6195,3,6,195,2008,2009
"Renville",21005,9,21,5,2008,2009
"Renville",21023,3,21,23,2008,2009
"Renville",21036,1,21,36,2008,2009
"Renville",21141,1,21,141,2008,2009
"Renville",21176,17,21,176,2008,2009
"Renville",21195,2,21,195,2008,2009
"Renville",23005,11734,23,5,2008,2009
"Renville",23023,601,23,23,2008,2009
"Renville",23024,7,23,24,2008,2009
"Renville",23028,27,23,28,2008,2009
"Renville",23036,1100,23,36,2008,2009
"Renville",23037,77,23,37,2008,2009
"Renville",23059,1,23,59,2008,2009
"Renville",23061,1,23,61,2008,2009
"Renville",23111,94,23,111,2008,2009
"Renville",23121,35,23,121,2008,2009
"Renville",23131,20,23,131,2008,2009
"Renville",23141,2,23,141,2008,2009
"Renville",23152,2,23,152,2008,2009
"Renville",23176,1892,23,176,2008,2009
"Renville",23195,836,23,195,2008,2009
"Renville",24005,126,24,5,2008,2009
"Renville",24023,13,24,23,2008,2009
"Renville",24028,1,24,28,2008,2009
"Renville",24036,3,24,36,2008,2009
"Renville",24037,2,24,37,2008,2009
"Renville",24111,1,24,111,2008,2009
"Renville",24131,1,24,131,2008,2009
"Renville",24176,54,24,176,2008,2009
"Renville",24195,6,24,195,2008,2009
"Renville",27176,8,27,176,2008,2009
"Renville",28005,129,28,5,2008,2009
"Renville",28023,21,28,23,2008,2009
"Renville",28028,2,28,28,2008,2009
"Renville",28036,84,28,36,2008,2009
"Renville",28037,2,28,37,2008,2009
"Renville",28176,102,28,176,2008,2009
"Renville",28195,45,28,195,2008,2009
"Renville",31005,10,31,5,2008,2009
"Renville",31176,1,31,176,2008,2009
"Renville",36005,1013,36,5,2008,2009
"Renville",36023,70,36,23,2008,2009
"Renville",36028,3,36,28,2008,2009
"Renville",36036,6005,36,36,2008,2009
"Renville",36037,203,36,37,2008,2009
"Renville",36058,1,36,58,2008,2009
"Renville",36061,1,36,61,2008,2009
"Renville",36131,5,36,131,2008,2009
"Renville",36141,35,36,141,2008,2009
"Renville",36176,4068,36,176,2008,2009
"Renville",36190,4,36,190,2008,2009
"Renville",36195,862,36,195,2008,2009
"Renville",37005,99,37,5,2008,2009
"Renville",37023,32,37,23,2008,2009
"Renville",37028,2,37,28,2008,2009
"Renville",37036,132,37,36,2008,2009
