"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,238137,8.38257905363735,1164936,41.0065135297248,1133001,39.8823805219272
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,17277,0.60816176532707,1164936,41.0065135297248,24416,0.85945926157468
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,2510,0.0883536511530328,1164936,41.0065135297248,17046,0.600030413368365
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,72106,2.5381786334823,1164936,41.0065135297248,591794,20.831538099784
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,723826,25.4791513543805,1164936,41.0065135297248,874564,30.785228114343
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,8615,0.303253667204533,1164936,41.0065135297248,33630,1.18379812281932
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,102465,3.60683540454004,1164936,41.0065135297248,166405,5.85756546618343
2008,2009,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",1,2,1.9,6.4,1.2,1.8,2.4,5.9,15415,0.542618140447809,25163,0.885754152973611,1133001,39.8823805219272
2008,2009,"dryBeans_dryBeans","dryBeans","dryBeans","#e41a1c","#e41a1c",1,2,1.9,1.9,1.2,1.8,1.9,1.9,112,0.00394247367694807,25163,0.885754152973611,24416,0.85945926157468
2008,2009,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",1,2,1.9,4.6,1.2,1.8,2.2,4.3,14,0.000492809209618509,25163,0.885754152973611,17046,0.600030413368365
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,3873,0.136332147775178,25163,0.885754152973611,591794,20.831538099784
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,1834,0.0645580064600247,25163,0.885754152973611,874564,30.785228114343
2008,2009,"dryBeans_springWheat","dryBeans","springWheat","#e41a1c","#a65628",1,2,1.9,3.7,1.2,1.8,2.1,3.5,1656,0.0582922893663037,25163,0.885754152973611,33630,1.18379812281932
2008,2009,"dryBeans_sugarbeets","dryBeans","sugarbeets","#e41a1c","#377eb8",1,2,1.9,2.8,1.2,1.8,2,2.7,2259,0.0795182860377295,25163,0.885754152973611,166405,5.85756546618343
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,3758,0.13228407212474,17920,0.630795788311692,1133001,39.8823805219272
2008,2009,"hay_dryBeans","hay","dryBeans","#f781bf","#e41a1c",1,2,4.6,1.9,1.2,1.8,4.3,2.2,12,0.000422407893958722,17920,0.630795788311692,24416,0.85945926157468
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,7494,0.263793729777222,17920,0.630795788311692,17046,0.600030413368365
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,5382,0.189449940440487,17920,0.630795788311692,591794,20.831538099784
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,1112,0.0391431315068416,17920,0.630795788311692,874564,30.785228114343
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,102,0.00359046709864914,17920,0.630795788311692,33630,1.18379812281932
2008,2009,"hay_sugarbeets","hay","sugarbeets","#f781bf","#377eb8",1,2,4.6,2.8,1.2,1.8,4.4,3,60,0.00211203946979361,17920,0.630795788311692,166405,5.85756546618343
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,76025,2.67613001151766,595654,20.9674126390074,1133001,39.8823805219272
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,2396,0.0843407761604249,595654,20.9674126390074,24416,0.85945926157468
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,4298,0.151292427352882,595654,20.9674126390074,17046,0.600030413368365
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,426298,15.0059700315679,595654,20.9674126390074,591794,20.831538099784
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,47945,1.68769553965425,595654,20.9674126390074,874564,30.785228114343
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,3018,0.106235585330619,595654,20.9674126390074,33630,1.18379812281932
2008,2009,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",1,2,1,2.8,1.2,1.8,1.2,2.6,35674,1.25574826742362,595654,20.9674126390074,166405,5.85756546618343
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,700563,24.6602784512837,858125,30.2065645002774,1133001,39.8823805219272
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,1964,0.0691340919779109,858125,30.2065645002774,24416,0.85945926157468
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,1412,0.0497033288558097,858125,30.2065645002774,17046,0.600030413368365
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,68363,2.40642257122501,858125,30.2065645002774,591794,20.831538099784
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,43252,1.52249885245855,858125,30.2065645002774,874564,30.785228114343
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,18850,0.663532400093493,858125,30.2065645002774,33630,1.18379812281932
2008,2009,"soy_sugarbeets","soy","sugarbeets","#4daf4a","#377eb8",1,2,5.5,2.8,1.2,1.8,5.2,3.1,23721,0.834994804382904,858125,30.2065645002774,166405,5.85756546618343
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,19932,0.701619511865438,40581,1.42847789539491,1133001,39.8823805219272
2008,2009,"springWheat_dryBeans","springWheat","dryBeans","#a65628","#e41a1c",1,2,3.7,1.9,1.2,1.8,3.5,2.1,112,0.00394247367694807,40581,1.42847789539491,24416,0.85945926157468
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,1100,0.0387207236128829,40581,1.42847789539491,17046,0.600030413368365
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,5430,0.191139572016322,40581,1.42847789539491,591794,20.831538099784
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,11734,0.413044518975971,40581,1.42847789539491,874564,30.785228114343
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,601,0.021155595355766,40581,1.42847789539491,33630,1.18379812281932
2008,2009,"springWheat_sugarbeets","springWheat","sugarbeets","#a65628","#377eb8",1,2,3.7,2.8,1.2,1.8,3.6,2.9,1672,0.058855499891582,40581,1.42847789539491,166405,5.85756546618343
2008,2009,"sugarbeets_corn","sugarbeets","corn","#377eb8","#ffd300",1,2,2.8,6.4,1.2,1.8,3.2,6,79171,2.7868712810505,138477,4.87448149431017,1133001,39.8823805219272
2008,2009,"sugarbeets_dryBeans","sugarbeets","dryBeans","#377eb8","#e41a1c",1,2,2.8,1.9,1.2,1.8,2.7,2,2543,0.0895152728614192,138477,4.87448149431017,24416,0.85945926157468
