"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Rice",1005,239856,1,5,2008,2009
"Rice",1023,581,1,23,2008,2009
"Rice",1028,997,1,28,2008,2009
"Rice",1036,1427,1,36,2008,2009
"Rice",1037,36,1,37,2008,2009
"Rice",1043,3,1,43,2008,2009
"Rice",1044,1,1,44,2008,2009
"Rice",1059,26,1,59,2008,2009
"Rice",1061,4,1,61,2008,2009
"Rice",1111,229,1,111,2008,2009
"Rice",1121,1027,1,121,2008,2009
"Rice",1152,12,1,152,2008,2009
"Rice",1176,18966,1,176,2008,2009
"Rice",1190,11,1,190,2008,2009
"Rice",1195,1082,1,195,2008,2009
"Rice",5005,41679,5,5,2008,2009
"Rice",5023,2234,5,23,2008,2009
"Rice",5024,1603,5,24,2008,2009
"Rice",5028,1246,5,28,2008,2009
"Rice",5036,943,5,36,2008,2009
"Rice",5037,17,5,37,2008,2009
"Rice",5059,7,5,59,2008,2009
"Rice",5111,78,5,111,2008,2009
"Rice",5121,617,5,121,2008,2009
"Rice",5141,372,5,141,2008,2009
"Rice",5142,2,5,142,2008,2009
"Rice",5152,1,5,152,2008,2009
"Rice",5176,15310,5,176,2008,2009
"Rice",5190,4,5,190,2008,2009
"Rice",5195,520,5,195,2008,2009
"Rice",21005,2,21,5,2008,2009
"Rice",21023,1,21,23,2008,2009
"Rice",21028,2,21,28,2008,2009
"Rice",21036,8,21,36,2008,2009
"Rice",21176,13,21,176,2008,2009
"Rice",23005,1450,23,5,2008,2009
"Rice",23023,62,23,23,2008,2009
"Rice",23024,14,23,24,2008,2009
"Rice",23028,44,23,28,2008,2009
"Rice",23036,302,23,36,2008,2009
"Rice",23037,6,23,37,2008,2009
"Rice",23059,2,23,59,2008,2009
"Rice",23111,3,23,111,2008,2009
"Rice",23121,1,23,121,2008,2009
"Rice",23131,6,23,131,2008,2009
"Rice",23141,1,23,141,2008,2009
"Rice",23176,1048,23,176,2008,2009
"Rice",23195,7,23,195,2008,2009
"Rice",24005,129,24,5,2008,2009
"Rice",24036,5,24,36,2008,2009
"Rice",24037,1,24,37,2008,2009
"Rice",24176,94,24,176,2008,2009
"Rice",27176,4,27,176,2008,2009
"Rice",28005,140,28,5,2008,2009
"Rice",28023,48,28,23,2008,2009
"Rice",28028,26,28,28,2008,2009
"Rice",28036,465,28,36,2008,2009
"Rice",28037,3,28,37,2008,2009
"Rice",28059,1,28,59,2008,2009
"Rice",28141,22,28,141,2008,2009
