"xCoords","yCoords","width","colorToUse"
1,6.4,7.07784382763008,"#ffd300"
1.2,6.4,7.07784382763008,"#ffd300"
1.4,6.4,7.07784382763008,"#ffd300"
2,6.4,7.07784382763008,"#ffd300"
1.8,6.4,7.07784382763008,"#ffd300"
1.6,6.4,7.07784382763008,"#ffd300"
1,6.4,0.000201964440794124,"#e41a1c"
1.2,5.9,0.000201964440794124,"#e41a1c"
1.4,5.9,0.000201964440794124,"#e41a1c"
2,1.9,0.000201964440794124,"#ffd300"
1.8,2.4,0.000201964440794124,"#ffd300"
1.6,2.4,0.000201964440794124,"#ffd300"
1,6.4,0.0960677523377384,"#f781bf"
1.2,6.2,0.0960677523377384,"#f781bf"
1.4,6.2,0.0960677523377384,"#f781bf"
2,4.6,0.0960677523377384,"#ffd300"
1.8,4.8,0.0960677523377384,"#ffd300"
1.6,4.8,0.0960677523377384,"#ffd300"
1,6.4,1.61786981372146,"#AAAAAA"
1.2,5.8,1.61786981372146,"#AAAAAA"
1.4,5.8,1.61786981372146,"#AAAAAA"
2,1,1.61786981372146,"#ffd300"
1.8,1.6,1.61786981372146,"#ffd300"
1.6,1.6,1.61786981372146,"#ffd300"
1,6.4,16.1474609703718,"#4daf4a"
1.2,6.3,16.1474609703718,"#4daf4a"
1.4,6.3,16.1474609703718,"#4daf4a"
2,5.5,16.1474609703718,"#ffd300"
1.8,5.6,16.1474609703718,"#ffd300"
1.6,5.6,16.1474609703718,"#ffd300"
1,6.4,0.0391137800337954,"#a65628"
1.2,6.1,0.0391137800337954,"#a65628"
1.4,6.1,0.0391137800337954,"#a65628"
2,3.7,0.0391137800337954,"#ffd300"
1.8,4,0.0391137800337954,"#ffd300"
1.6,4,0.0391137800337954,"#ffd300"
1,1.9,0.000134642960529416,"#AAAAAA"
1.2,1.8,0.000134642960529416,"#AAAAAA"
1.4,1.8,0.000134642960529416,"#AAAAAA"
2,1,0.000134642960529416,"#e41a1c"
1.8,1.1,0.000134642960529416,"#e41a1c"
1.6,1.1,0.000134642960529416,"#e41a1c"
1,1.9,6.73214802647081e-05,"#4daf4a"
1.2,2.3,6.73214802647081e-05,"#4daf4a"
1.4,2.3,6.73214802647081e-05,"#4daf4a"
2,5.5,6.73214802647081e-05,"#e41a1c"
1.8,5.1,6.73214802647081e-05,"#e41a1c"
1.6,5.1,6.73214802647081e-05,"#e41a1c"
1,4.6,0.214890165004948,"#ffd300"
1.2,4.8,0.214890165004948,"#ffd300"
1.4,4.8,0.214890165004948,"#ffd300"
2,6.4,0.214890165004948,"#f781bf"
1.8,6.2,0.214890165004948,"#f781bf"
1.6,6.2,0.214890165004948,"#f781bf"
1,4.6,0.637063167744932,"#f781bf"
1.2,4.6,0.637063167744932,"#f781bf"
1.4,4.6,0.637063167744932,"#f781bf"
2,4.6,0.637063167744932,"#f781bf"
1.8,4.6,0.637063167744932,"#f781bf"
1.6,4.6,0.637063167744932,"#f781bf"
1,4.6,0.511239321130193,"#AAAAAA"
1.2,4.2,0.511239321130193,"#AAAAAA"
1.4,4.2,0.511239321130193,"#AAAAAA"
2,1,0.511239321130193,"#f781bf"
1.8,1.4,0.511239321130193,"#f781bf"
1.6,1.4,0.511239321130193,"#f781bf"
1,4.6,0.0607239751987667,"#4daf4a"
1.2,4.7,0.0607239751987667,"#4daf4a"
1.4,4.7,0.0607239751987667,"#4daf4a"
2,5.5,0.0607239751987667,"#f781bf"
1.8,5.4,0.0607239751987667,"#f781bf"
1.6,5.4,0.0607239751987667,"#f781bf"
1,4.6,0.00161571552635299,"#a65628"
1.2,4.5,0.00161571552635299,"#a65628"
1.4,4.5,0.00161571552635299,"#a65628"
2,3.7,0.00161571552635299,"#f781bf"
1.8,3.8,0.00161571552635299,"#f781bf"
1.6,3.8,0.00161571552635299,"#f781bf"
1,1,1.45831790549411,"#ffd300"
1.2,1.6,1.45831790549411,"#ffd300"
1.4,1.6,1.45831790549411,"#ffd300"
2,6.4,1.45831790549411,"#AAAAAA"
1.8,5.8,1.45831790549411,"#AAAAAA"
1.6,5.8,1.45831790549411,"#AAAAAA"
1,1,0.000673214802647081,"#e41a1c"
1.2,1.1,0.000673214802647081,"#e41a1c"
1.4,1.1,0.000673214802647081,"#e41a1c"
