"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,105135,7.07784382763008,371034,24.9785581085357,366455,24.6702930504036
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,3,0.000201964440794124,371034,24.9785581085357,20,0.00134642960529416
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,1427,0.0960677523377384,371034,24.9785581085357,20486,1.37914784470281
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,24032,1.61786981372146,371034,24.9785581085357,792265,53.3364525619189
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,239856,16.1474609703718,371034,24.9785581085357,302649,20.3747786806336
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,581,0.0391137800337954,371034,24.9785581085357,3535,0.237981432735743
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,2,0.000134642960529416,3,0.000201964440794124,792265,53.3364525619189
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,1,6.73214802647081e-05,3,0.000201964440794124,302649,20.3747786806336
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,3192,0.214890165004948,21175,1.42553234460519,366455,24.6702930504036
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,9463,0.637063167744932,21175,1.42553234460519,20486,1.37914784470281
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,7594,0.511239321130193,21175,1.42553234460519,792265,53.3364525619189
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,902,0.0607239751987667,21175,1.42553234460519,302649,20.3747786806336
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,24,0.00161571552635299,21175,1.42553234460519,3535,0.237981432735743
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,21662,1.45831790549411,787727,53.0309476844777,366455,24.6702930504036
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,10,0.000673214802647081,787727,53.0309476844777,20,0.00134642960529416
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,8351,0.562201681690577,787727,53.0309476844777,20486,1.37914784470281
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,738309,49.7040547727563,787727,53.0309476844777,792265,53.3364525619189
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,18761,1.26301829124619,787727,53.0309476844777,302649,20.3747786806336
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,634,0.0426818184878249,787727,53.0309476844777,3535,0.237981432735743
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,235076,15.8256642947065,301096,20.2702284217825,366455,24.6702930504036
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,7,0.000471250361852956,301096,20.2702284217825,20,0.00134642960529416
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,943,0.0634841558896197,301096,20.2702284217825,20486,1.37914784470281
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,21157,1.42432055796043,301096,20.2702284217825,792265,53.3364525619189
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,41679,2.80589197595277,301096,20.2702284217825,302649,20.3747786806336
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,2234,0.150396186911358,301096,20.2702284217825,3535,0.237981432735743
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,1390,0.0935768575679442,4375,0.294531476158098,366455,24.6702930504036
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,302,0.0203310870399418,4375,0.294531476158098,20486,1.37914784470281
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,1171,0.0788334533899731,4375,0.294531476158098,792265,53.3364525619189
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,1450,0.0976161463838267,4375,0.294531476158098,302649,20.3747786806336
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,62,0.0041739317764119,4375,0.294531476158098,3535,0.237981432735743
2009,2010,"corn_corn","corn","corn","#ffd300","#ffd300",2,3,6.4,6.4,2.2,2.8,6.4,6.4,104065,7.00580984374685,366455,24.6702930504036,369181,24.8538114056052
2009,2010,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",2,3,6.4,1.9,2.2,2.8,5.9,2.4,120,0.00807857763176497,366455,24.6702930504036,150,0.0100982220397062
2009,2010,"corn_hay","corn","hay","#ffd300","#f781bf",2,3,6.4,4.6,2.2,2.8,6.2,4.8,966,0.065032549935708,366455,24.6702930504036,20921,1.40843268861796
2009,2010,"corn_other","corn","other","#ffd300","#AAAAAA",2,3,6.4,1,2.2,2.8,5.8,1.6,27608,1.85861142714806,366455,24.6702930504036,803317,54.0804895618045
2009,2010,"corn_soy","corn","soy","#ffd300","#4daf4a",2,3,6.4,5.5,2.2,2.8,6.3,5.6,233376,15.7112177782565,366455,24.6702930504036,290080,19.5286149951865
2009,2010,"corn_springWheat","corn","springWheat","#ffd300","#a65628",2,3,6.4,3.7,2.2,2.8,6.1,4,320,0.0215428736847066,366455,24.6702930504036,1761,0.118553126746151
2009,2010,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",2,3,1.9,6.4,2.2,2.8,2.4,5.9,2,0.000134642960529416,20,0.00134642960529416,369181,24.8538114056052
2009,2010,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",2,3,1.9,1,2.2,2.8,1.8,1.1,16,0.00107714368423533,20,0.00134642960529416,803317,54.0804895618045
2009,2010,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",2,3,1.9,5.5,2.2,2.8,2.3,5.1,2,0.000134642960529416,20,0.00134642960529416,290080,19.5286149951865
2009,2010,"hay_corn","hay","corn","#f781bf","#ffd300",2,3,4.6,6.4,2.2,2.8,4.8,6.2,3159,0.212668556156213,20058,1.35033425114951,369181,24.8538114056052
