"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Rock",0,99,0,0,2008,2009
"Rock",1005,432916,1,5,2008,2009
"Rock",1023,1432,1,23,2008,2009
"Rock",1028,412,1,28,2008,2009
"Rock",1036,1748,1,36,2008,2009
"Rock",1037,42,1,37,2008,2009
"Rock",1043,9,1,43,2008,2009
"Rock",1061,13,1,61,2008,2009
"Rock",1111,14,1,111,2008,2009
"Rock",1121,234,1,121,2008,2009
"Rock",1152,2,1,152,2008,2009
"Rock",1176,9561,1,176,2008,2009
"Rock",1195,647,1,195,2008,2009
"Rock",5005,36256,5,5,2008,2009
"Rock",5023,675,5,23,2008,2009
"Rock",5024,43,5,24,2008,2009
"Rock",5028,286,5,28,2008,2009
"Rock",5036,1549,5,36,2008,2009
"Rock",5037,23,5,37,2008,2009
"Rock",5043,5,5,43,2008,2009
"Rock",5061,10,5,61,2008,2009
"Rock",5111,10,5,111,2008,2009
"Rock",5121,519,5,121,2008,2009
"Rock",5141,46,5,141,2008,2009
"Rock",5176,9699,5,176,2008,2009
"Rock",5195,328,5,195,2008,2009
"Rock",6005,45,6,5,2008,2009
"Rock",6131,1,6,131,2008,2009
"Rock",6176,16,6,176,2008,2009
"Rock",21005,2,21,5,2008,2009
"Rock",21036,37,21,36,2008,2009
"Rock",21176,12,21,176,2008,2009
"Rock",23005,152,23,5,2008,2009
"Rock",23023,9,23,23,2008,2009
"Rock",23036,75,23,36,2008,2009
"Rock",23043,1,23,43,2008,2009
"Rock",23061,1,23,61,2008,2009
"Rock",23111,4,23,111,2008,2009
"Rock",23121,1,23,121,2008,2009
"Rock",23131,2,23,131,2008,2009
"Rock",23176,119,23,176,2008,2009
"Rock",23195,5,23,195,2008,2009
"Rock",24005,5,24,5,2008,2009
"Rock",24028,2,24,28,2008,2009
"Rock",24036,1,24,36,2008,2009
"Rock",24131,3,24,131,2008,2009
"Rock",24176,20,24,176,2008,2009
"Rock",24195,1,24,195,2008,2009
"Rock",28005,22,28,5,2008,2009
"Rock",28023,1,28,23,2008,2009
"Rock",28028,1,28,28,2008,2009
"Rock",28036,47,28,36,2008,2009
"Rock",28061,1,28,61,2008,2009
"Rock",28176,37,28,176,2008,2009
"Rock",28195,3,28,195,2008,2009
"Rock",31023,1,31,23,2008,2009
"Rock",31176,11,31,176,2008,2009
"Rock",36005,1171,36,5,2008,2009
"Rock",36006,1,36,6,2008,2009
"Rock",36023,1,36,23,2008,2009
"Rock",36028,5,36,28,2008,2009
"Rock",36036,7014,36,36,2008,2009
"Rock",36037,66,36,37,2008,2009
"Rock",36131,1,36,131,2008,2009
"Rock",36141,24,36,141,2008,2009
"Rock",36152,4,36,152,2008,2009
"Rock",36176,4545,36,176,2008,2009
"Rock",36190,1,36,190,2008,2009
"Rock",36195,44,36,195,2008,2009
"Rock",37005,23,37,5,2008,2009
"Rock",37023,2,37,23,2008,2009
"Rock",37028,4,37,28,2008,2009
"Rock",37036,45,37,36,2008,2009
"Rock",37037,29,37,37,2008,2009
"Rock",37141,86,37,141,2008,2009
"Rock",37176,1202,37,176,2008,2009
"Rock",37190,2,37,190,2008,2009
"Rock",37195,4,37,195,2008,2009
"Rock",41005,43,41,5,2008,2009
"Rock",41195,2,41,195,2008,2009
"Rock",42005,26,42,5,2008,2009
"Rock",42176,25,42,176,2008,2009
"Rock",42195,1,42,195,2008,2009
"Rock",43176,4,43,176,2008,2009
"Rock",61005,6,61,5,2008,2009
"Rock",61028,1,61,28,2008,2009
"Rock",61036,1,61,36,2008,2009
"Rock",61111,1,61,111,2008,2009
"Rock",61176,5,61,176,2008,2009
