"yearFrom","yearTo","cropRotate","cropFrom","cropTo","plottingColorFrom","plottingColorTo","plotXAxisFrom","plotXAxisTo","plotYAxisFrom","plotYAxisTo","xEndFrom","xEndTo","yEndFrom_streamlined","yEndTo_streamlined","totalNumPixels_cropTransition","totalPercPixelsWiArea_cropTransition","totalNumPixels_cropYearFrom","totalPercPixelsWiArea_cropYearFrom","totalNumPixels_cropYearTo","totalPercPixelsWiArea_cropYearTo"
2008,2009,"corn_corn","corn","corn","#ffd300","#ffd300",1,2,6.4,6.4,1.2,1.8,6.4,6.4,129699,9.3408694637637,576902,41.5482484474376,587034,42.277950984904
2008,2009,"corn_dryBeans","corn","dryBeans","#ffd300","#e41a1c",1,2,6.4,1.9,1.2,1.8,5.9,2.4,8,0.00057615676073146,576902,41.5482484474376,47,0.00338492096929733
2008,2009,"corn_hay","corn","hay","#ffd300","#f781bf",1,2,6.4,4.6,1.2,1.8,6.2,4.8,1748,0.125890252219824,576902,41.5482484474376,16607,1.19602941568342
2008,2009,"corn_other","corn","other","#ffd300","#AAAAAA",1,2,6.4,1,1.2,1.8,5.8,1.6,11085,0.798337211588529,576902,41.5482484474376,296075,21.3232016166959
2008,2009,"corn_soy","corn","soy","#ffd300","#4daf4a",1,2,6.4,5.5,1.2,1.8,6.3,5.6,432916,31.1784350286026,576902,41.5482484474376,486349,35.0266580531231
2008,2009,"corn_springWheat","corn","springWheat","#ffd300","#a65628",1,2,6.4,3.7,1.2,1.8,6.1,4,1432,0.103132060170931,576902,41.5482484474376,2353,0.169462107250141
2008,2009,"corn_sugarbeets","corn","sugarbeets","#ffd300","#377eb8",1,2,6.4,2.8,1.2,1.8,6,3.2,14,0.00100827433128005,576902,41.5482484474376,46,0.00331290137420589
2008,2009,"dryBeans_corn","dryBeans","corn","#e41a1c","#ffd300",1,2,1.9,6.4,1.2,1.8,2.4,5.9,10,0.000720195950914325,64,0.00460925408585168,587034,42.277950984904
2008,2009,"dryBeans_dryBeans","dryBeans","dryBeans","#e41a1c","#e41a1c",1,2,1.9,1.9,1.2,1.8,1.9,1.9,1,7.20195950914325e-05,64,0.00460925408585168,47,0.00338492096929733
2008,2009,"dryBeans_hay","dryBeans","hay","#e41a1c","#f781bf",1,2,1.9,4.6,1.2,1.8,2.2,4.3,1,7.20195950914325e-05,64,0.00460925408585168,16607,1.19602941568342
2008,2009,"dryBeans_other","dryBeans","other","#e41a1c","#AAAAAA",1,2,1.9,1,1.2,1.8,1.8,1.1,26,0.00187250947237724,64,0.00460925408585168,296075,21.3232016166959
2008,2009,"dryBeans_soy","dryBeans","soy","#e41a1c","#4daf4a",1,2,1.9,5.5,1.2,1.8,2.3,5.1,26,0.00187250947237724,64,0.00460925408585168,486349,35.0266580531231
2008,2009,"hay_corn","hay","corn","#f781bf","#ffd300",1,2,4.6,6.4,1.2,1.8,4.8,6.2,3568,0.256965915286231,17874,1.28727824266426,587034,42.277950984904
2008,2009,"hay_dryBeans","hay","dryBeans","#f781bf","#e41a1c",1,2,4.6,1.9,1.2,1.8,4.3,2.2,1,7.20195950914325e-05,17874,1.28727824266426,47,0.00338492096929733
2008,2009,"hay_hay","hay","hay","#f781bf","#f781bf",1,2,4.6,4.6,1.2,1.8,4.6,4.6,8393,0.604460461602393,17874,1.28727824266426,16607,1.19602941568342
2008,2009,"hay_other","hay","other","#f781bf","#AAAAAA",1,2,4.6,1,1.2,1.8,4.2,1.4,4715,0.339572390856104,17874,1.28727824266426,296075,21.3232016166959
2008,2009,"hay_soy","hay","soy","#f781bf","#4daf4a",1,2,4.6,5.5,1.2,1.8,4.7,5.4,1194,0.0859913965391704,17874,1.28727824266426,486349,35.0266580531231
2008,2009,"hay_springWheat","hay","springWheat","#f781bf","#a65628",1,2,4.6,3.7,1.2,1.8,4.5,3.8,3,0.000216058785274297,17874,1.28727824266426,2353,0.169462107250141
2008,2009,"other_corn","other","corn","#AAAAAA","#ffd300",1,2,1,6.4,1.2,1.8,1.6,5.8,19764,1.42339527738707,309687,22.3035323450804,587034,42.277950984904
2008,2009,"other_dryBeans","other","dryBeans","#AAAAAA","#e41a1c",1,2,1,1.9,1.2,1.8,1.1,1.8,16,0.00115231352146292,309687,22.3035323450804,47,0.00338492096929733
2008,2009,"other_hay","other","hay","#AAAAAA","#f781bf",1,2,1,4.6,1.2,1.8,1.4,4.2,4839,0.348502820647442,309687,22.3035323450804,16607,1.19602941568342
2008,2009,"other_other","other","other","#AAAAAA","#AAAAAA",1,2,1,1,1.2,1.8,1,1,269049,19.3768000397548,309687,22.3035323450804,296075,21.3232016166959
2008,2009,"other_soy","other","soy","#AAAAAA","#4daf4a",1,2,1,5.5,1.2,1.8,1.5,5,15762,1.13517285783116,309687,22.3035323450804,486349,35.0266580531231
2008,2009,"other_springWheat","other","springWheat","#AAAAAA","#a65628",1,2,1,3.7,1.2,1.8,1.3,3.4,234,0.0168525852513952,309687,22.3035323450804,2353,0.169462107250141
2008,2009,"other_sugarbeets","other","sugarbeets","#AAAAAA","#377eb8",1,2,1,2.8,1.2,1.8,1.2,2.6,23,0.00165645068710295,309687,22.3035323450804,46,0.00331290137420589
2008,2009,"soy_corn","soy","corn","#4daf4a","#ffd300",1,2,5.5,6.4,1.2,1.8,5.6,6.3,432320,31.1355113499281,481858,34.7032180515675,587034,42.277950984904
2008,2009,"soy_dryBeans","soy","dryBeans","#4daf4a","#e41a1c",1,2,5.5,1.9,1.2,1.8,5.1,2.3,21,0.00151241149692008,481858,34.7032180515675,47,0.00338492096929733
2008,2009,"soy_hay","soy","hay","#4daf4a","#f781bf",1,2,5.5,4.6,1.2,1.8,5.4,4.7,1549,0.111558352796629,481858,34.7032180515675,16607,1.19602941568342
2008,2009,"soy_other","soy","other","#4daf4a","#AAAAAA",1,2,5.5,1,1.2,1.8,5,1.5,11028,0.794232094668317,481858,34.7032180515675,296075,21.3232016166959
2008,2009,"soy_soy","soy","soy","#4daf4a","#4daf4a",1,2,5.5,5.5,1.2,1.8,5.5,5.5,36256,2.61114243963498,481858,34.7032180515675,486349,35.0266580531231
2008,2009,"soy_springWheat","soy","springWheat","#4daf4a","#a65628",1,2,5.5,3.7,1.2,1.8,5.3,3.9,675,0.0486132266867169,481858,34.7032180515675,2353,0.169462107250141
2008,2009,"soy_sugarbeets","soy","sugarbeets","#4daf4a","#377eb8",1,2,5.5,2.8,1.2,1.8,5.2,3.1,9,0.000648176355822892,481858,34.7032180515675,46,0.00331290137420589
2008,2009,"springWheat_corn","springWheat","corn","#a65628","#ffd300",1,2,3.7,6.4,1.2,1.8,4,6.1,1650,0.118832331900864,2022,0.145623621274876,587034,42.277950984904
2008,2009,"springWheat_hay","springWheat","hay","#a65628","#f781bf",1,2,3.7,4.6,1.2,1.8,3.8,4.5,75,0.00540146963185744,2022,0.145623621274876,16607,1.19602941568342
2008,2009,"springWheat_other","springWheat","other","#a65628","#AAAAAA",1,2,3.7,1,1.2,1.8,3.4,1.3,136,0.00979466493243482,2022,0.145623621274876,296075,21.3232016166959
2008,2009,"springWheat_soy","springWheat","soy","#a65628","#4daf4a",1,2,3.7,5.5,1.2,1.8,3.9,5.3,152,0.0109469784538977,2022,0.145623621274876,486349,35.0266580531231
2008,2009,"springWheat_springWheat","springWheat","springWheat","#a65628","#a65628",1,2,3.7,3.7,1.2,1.8,3.7,3.7,9,0.000648176355822892,2022,0.145623621274876,2353,0.169462107250141
2008,2009,"sugarbeets_corn","sugarbeets","corn","#377eb8","#ffd300",1,2,2.8,6.4,1.2,1.8,3.2,6,23,0.00165645068710295,104,0.00749003788950898,587034,42.277950984904
2008,2009,"sugarbeets_hay","sugarbeets","hay","#377eb8","#f781bf",1,2,2.8,4.6,1.2,1.8,3,4.4,2,0.000144039190182865,104,0.00749003788950898,16607,1.19602941568342
2008,2009,"sugarbeets_other","sugarbeets","other","#377eb8","#AAAAAA",1,2,2.8,1,1.2,1.8,2.6,1.2,36,0.00259270542329157,104,0.00749003788950898,296075,21.3232016166959
2008,2009,"sugarbeets_soy","sugarbeets","soy","#377eb8","#4daf4a",1,2,2.8,5.5,1.2,1.8,3.1,5.2,43,0.0030968425889316,104,0.00749003788950898,486349,35.0266580531231
2009,2010,"corn_corn","corn","corn","#ffd300","#ffd300",2,3,6.4,6.4,2.2,2.8,6.4,6.4,120943,8.71026588914312,587034,42.277950984904,595749,42.9056017561258
