"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Roseau",0,152,0,0,2008,2009
"Roseau",1005,13332,1,5,2008,2009
"Roseau",1023,2660,1,23,2008,2009
"Roseau",1028,13,1,28,2008,2009
"Roseau",1036,224,1,36,2008,2009
"Roseau",1037,41,1,37,2008,2009
"Roseau",1059,142,1,59,2008,2009
"Roseau",1061,12528,1,61,2008,2009
"Roseau",1111,23,1,111,2008,2009
"Roseau",1121,4,1,121,2008,2009
"Roseau",1152,1,1,152,2008,2009
"Roseau",1176,373,1,176,2008,2009
"Roseau",1190,17,1,190,2008,2009
"Roseau",1195,1067,1,195,2008,2009
"Roseau",5005,65396,5,5,2008,2009
"Roseau",5023,171505,5,23,2008,2009
"Roseau",5024,532,5,24,2008,2009
"Roseau",5028,203,5,28,2008,2009
"Roseau",5031,523,5,31,2008,2009
"Roseau",5036,4034,5,36,2008,2009
"Roseau",5037,1039,5,37,2008,2009
"Roseau",5044,1,5,44,2008,2009
"Roseau",5058,3,5,58,2008,2009
"Roseau",5059,3580,5,59,2008,2009
"Roseau",5061,122995,5,61,2008,2009
"Roseau",5111,825,5,111,2008,2009
"Roseau",5121,324,5,121,2008,2009
"Roseau",5141,429,5,141,2008,2009
"Roseau",5142,43,5,142,2008,2009
"Roseau",5152,32,5,152,2008,2009
"Roseau",5176,10424,5,176,2008,2009
"Roseau",5190,338,5,190,2008,2009
"Roseau",5195,15535,5,195,2008,2009
"Roseau",6005,7607,6,5,2008,2009
"Roseau",6023,36947,6,23,2008,2009
"Roseau",6059,195,6,59,2008,2009
"Roseau",6061,15017,6,61,2008,2009
"Roseau",6176,487,6,176,2008,2009
"Roseau",6190,4,6,190,2008,2009
"Roseau",6195,974,6,195,2008,2009
"Roseau",21005,5274,21,5,2008,2009
"Roseau",21023,4736,21,23,2008,2009
"Roseau",21028,3,21,28,2008,2009
"Roseau",21036,61,21,36,2008,2009
"Roseau",21037,10,21,37,2008,2009
"Roseau",21058,1,21,58,2008,2009
"Roseau",21061,2621,21,61,2008,2009
"Roseau",21141,12,21,141,2008,2009
"Roseau",21176,182,21,176,2008,2009
"Roseau",21190,21,21,190,2008,2009
"Roseau",21195,195,21,195,2008,2009
"Roseau",23005,179811,23,5,2008,2009
"Roseau",23023,79113,23,23,2008,2009
"Roseau",23024,10249,23,24,2008,2009
"Roseau",23028,41,23,28,2008,2009
"Roseau",23031,16293,23,31,2008,2009
"Roseau",23036,3079,23,36,2008,2009
"Roseau",23037,723,23,37,2008,2009
"Roseau",23043,3,23,43,2008,2009
"Roseau",23058,18,23,58,2008,2009
"Roseau",23059,36072,23,59,2008,2009
"Roseau",23061,192937,23,61,2008,2009
"Roseau",23111,262,23,111,2008,2009
"Roseau",23121,380,23,121,2008,2009
"Roseau",23131,8,23,131,2008,2009
"Roseau",23141,363,23,141,2008,2009
"Roseau",23142,10,23,142,2008,2009
"Roseau",23152,17,23,152,2008,2009
"Roseau",23176,10506,23,176,2008,2009
"Roseau",23190,294,23,190,2008,2009
"Roseau",23195,10610,23,195,2008,2009
"Roseau",24005,6931,24,5,2008,2009
"Roseau",24023,2107,24,23,2008,2009
"Roseau",24031,1438,24,31,2008,2009
"Roseau",24036,492,24,36,2008,2009
"Roseau",24037,169,24,37,2008,2009
"Roseau",24059,4125,24,59,2008,2009
"Roseau",24061,8164,24,61,2008,2009
"Roseau",24111,48,24,111,2008,2009
"Roseau",24131,1,24,131,2008,2009
"Roseau",24141,13,24,141,2008,2009
"Roseau",24176,1029,24,176,2008,2009
"Roseau",24190,23,24,190,2008,2009
"Roseau",24195,820,24,195,2008,2009
"Roseau",27176,48,27,176,2008,2009
"Roseau",27190,16,27,190,2008,2009
"Roseau",27195,36,27,195,2008,2009
"Roseau",28005,561,28,5,2008,2009
"Roseau",28023,562,28,23,2008,2009
"Roseau",28028,18,28,28,2008,2009
"Roseau",28031,9,28,31,2008,2009
"Roseau",28036,557,28,36,2008,2009
"Roseau",28037,37,28,37,2008,2009
"Roseau",28059,105,28,59,2008,2009
"Roseau",28061,1355,28,61,2008,2009
"Roseau",28141,80,28,141,2008,2009
"Roseau",28176,251,28,176,2008,2009
"Roseau",28190,33,28,190,2008,2009
"Roseau",28195,282,28,195,2008,2009
"Roseau",29005,8,29,5,2008,2009
"Roseau",31005,2754,31,5,2008,2009
"Roseau",31023,21991,31,23,2008,2009
"Roseau",31028,7,31,28,2008,2009
"Roseau",31031,165,31,31,2008,2009
"Roseau",31037,35,31,37,2008,2009
"Roseau",31059,2761,31,59,2008,2009
"Roseau",31061,9485,31,61,2008,2009
"Roseau",31111,12,31,111,2008,2009
"Roseau",31141,13,31,141,2008,2009
"Roseau",31176,433,31,176,2008,2009
"Roseau",31190,13,31,190,2008,2009
"Roseau",31195,222,31,195,2008,2009
"Roseau",32005,93,32,5,2008,2009
"Roseau",32061,324,32,61,2008,2009
"Roseau",36005,8002,36,5,2008,2009
"Roseau",36006,228,36,6,2008,2009
"Roseau",36023,5561,36,23,2008,2009
"Roseau",36028,77,36,28,2008,2009
"Roseau",36031,670,36,31,2008,2009
"Roseau",36036,81678,36,36,2008,2009
"Roseau",36037,7123,36,37,2008,2009
"Roseau",36044,1,36,44,2008,2009
