"xCoords","yCoords","width","colorToUse"
1,6.4,0.0140819549066812,"#ffd300"
1.2,6.4,0.0140819549066812,"#ffd300"
1.4,6.4,0.0140819549066812,"#ffd300"
2,6.4,0.0140819549066812,"#ffd300"
1.8,6.4,0.0140819549066812,"#ffd300"
1.6,6.4,0.0140819549066812,"#ffd300"
1,6.4,0.0046387616163185,"#f781bf"
1.2,6.2,0.0046387616163185,"#f781bf"
1.4,6.2,0.0046387616163185,"#f781bf"
2,4.6,0.0046387616163185,"#ffd300"
1.8,4.8,0.0046387616163185,"#ffd300"
1.6,4.8,0.0046387616163185,"#ffd300"
1,6.4,0.305951179104864,"#AAAAAA"
1.2,5.8,0.305951179104864,"#AAAAAA"
1.4,5.8,0.305951179104864,"#AAAAAA"
2,1,0.305951179104864,"#ffd300"
1.8,1.6,0.305951179104864,"#ffd300"
1.6,1.6,0.305951179104864,"#ffd300"
1,6.4,0.276089151199814,"#4daf4a"
1.2,6.3,0.276089151199814,"#4daf4a"
1.4,6.3,0.276089151199814,"#4daf4a"
2,5.5,0.276089151199814,"#ffd300"
1.8,5.6,0.276089151199814,"#ffd300"
1.6,5.6,0.276089151199814,"#ffd300"
1,6.4,0.0550852941937822,"#a65628"
1.2,6.1,0.0550852941937822,"#a65628"
1.4,6.1,0.0550852941937822,"#a65628"
2,3.7,0.0550852941937822,"#ffd300"
1.8,4,0.0550852941937822,"#ffd300"
1.6,4,0.0550852941937822,"#ffd300"
1,6.4,8.28350288628304e-05,"#377eb8"
1.2,6,8.28350288628304e-05,"#377eb8"
1.4,6,8.28350288628304e-05,"#377eb8"
2,2.8,8.28350288628304e-05,"#ffd300"
1.8,3.2,8.28350288628304e-05,"#ffd300"
1.6,3.2,8.28350288628304e-05,"#ffd300"
1,1.9,2.07087572157076e-05,"#ffd300"
1.2,2.4,2.07087572157076e-05,"#ffd300"
1.4,2.4,2.07087572157076e-05,"#ffd300"
2,6.4,2.07087572157076e-05,"#e41a1c"
1.8,5.9,2.07087572157076e-05,"#e41a1c"
1.6,5.9,2.07087572157076e-05,"#e41a1c"
1,1.9,0.00107685537521679,"#f781bf"
1.2,2.2,0.00107685537521679,"#f781bf"
1.4,2.2,0.00107685537521679,"#f781bf"
2,4.6,0.00107685537521679,"#e41a1c"
1.8,4.3,0.00107685537521679,"#e41a1c"
1.6,4.3,0.00107685537521679,"#e41a1c"
1,1.9,0.0156558204550749,"#AAAAAA"
1.2,1.8,0.0156558204550749,"#AAAAAA"
1.4,1.8,0.0156558204550749,"#AAAAAA"
2,1,0.0156558204550749,"#e41a1c"
1.8,1.1,0.0156558204550749,"#e41a1c"
1.6,1.1,0.0156558204550749,"#e41a1c"
1,1.9,0.003541197483886,"#4daf4a"
1.2,2.3,0.003541197483886,"#4daf4a"
1.4,2.3,0.003541197483886,"#4daf4a"
2,5.5,0.003541197483886,"#e41a1c"
1.8,5.1,0.003541197483886,"#e41a1c"
1.6,5.1,0.003541197483886,"#e41a1c"
1,1.9,0.00492868421733841,"#a65628"
1.2,2.1,0.00492868421733841,"#a65628"
1.4,2.1,0.00492868421733841,"#a65628"
2,3.7,0.00492868421733841,"#e41a1c"
1.8,3.5,0.00492868421733841,"#e41a1c"
1.6,3.5,0.00492868421733841,"#e41a1c"
1,4.6,0.0169397634024488,"#ffd300"
1.2,4.8,0.0169397634024488,"#ffd300"
1.4,4.8,0.0169397634024488,"#ffd300"
2,6.4,0.0169397634024488,"#f781bf"
1.8,6.2,0.0169397634024488,"#f781bf"
1.6,6.2,0.0169397634024488,"#f781bf"
1,4.6,0.000124252543294246,"#e41a1c"
1.2,4.3,0.000124252543294246,"#e41a1c"
1.4,4.3,0.000124252543294246,"#e41a1c"
2,1.9,0.000124252543294246,"#f781bf"
1.8,2.2,0.000124252543294246,"#f781bf"
1.6,2.2,0.000124252543294246,"#f781bf"
1,4.6,3.30671222593254,"#f781bf"
1.2,4.6,3.30671222593254,"#f781bf"
1.4,4.6,3.30671222593254,"#f781bf"
2,4.6,3.30671222593254,"#f781bf"
1.8,4.6,3.30671222593254,"#f781bf"
1.6,4.6,3.30671222593254,"#f781bf"
1,4.6,1.79097615904326,"#AAAAAA"
1.2,4.2,1.79097615904326,"#AAAAAA"
1.4,4.2,1.79097615904326,"#AAAAAA"
2,1,1.79097615904326,"#f781bf"
1.8,1.4,1.79097615904326,"#f781bf"
1.6,1.4,1.79097615904326,"#f781bf"
1,4.6,0.230281380238668,"#4daf4a"
1.2,4.7,0.230281380238668,"#4daf4a"
1.4,4.7,0.230281380238668,"#4daf4a"
2,5.5,0.230281380238668,"#f781bf"
1.8,5.4,0.230281380238668,"#f781bf"
1.6,5.4,0.230281380238668,"#f781bf"
1,4.6,0.131769822163547,"#a65628"
1.2,4.5,0.131769822163547,"#a65628"
1.4,4.5,0.131769822163547,"#a65628"
2,3.7,0.131769822163547,"#f781bf"
1.8,3.8,0.131769822163547,"#f781bf"
1.6,3.8,0.131769822163547,"#f781bf"
1,4.6,0.00169811809168802,"#377eb8"
1.2,4.4,0.00169811809168802,"#377eb8"
1.4,4.4,0.00169811809168802,"#377eb8"
2,2.8,0.00169811809168802,"#f781bf"
1.8,3,0.00169811809168802,"#f781bf"
1.6,3,0.00169811809168802,"#f781bf"
1,1,0.028826590044265,"#ffd300"
1.2,1.6,0.028826590044265,"#ffd300"
1.4,1.6,0.028826590044265,"#ffd300"
2,6.4,0.028826590044265,"#AAAAAA"
1.8,5.8,0.028826590044265,"#AAAAAA"
1.6,5.8,0.028826590044265,"#AAAAAA"
1,1,0.000331340115451321,"#e41a1c"
1.2,1.1,0.000331340115451321,"#e41a1c"
1.4,1.1,0.000331340115451321,"#e41a1c"
2,1.9,0.000331340115451321,"#AAAAAA"
1.8,1.8,0.000331340115451321,"#AAAAAA"
1.6,1.8,0.000331340115451321,"#AAAAAA"
1,1,1.12454764308457,"#f781bf"
1.2,1.4,1.12454764308457,"#f781bf"
1.4,1.4,1.12454764308457,"#f781bf"
2,4.6,1.12454764308457,"#AAAAAA"
1.8,4.2,1.12454764308457,"#AAAAAA"
1.6,4.2,1.12454764308457,"#AAAAAA"
1,1,69.0670394242966,"#AAAAAA"
1.2,1,69.0670394242966,"#AAAAAA"
1.4,1,69.0670394242966,"#AAAAAA"
2,1,69.0670394242966,"#AAAAAA"
1.8,1,69.0670394242966,"#AAAAAA"
1.6,1,69.0670394242966,"#AAAAAA"
1,1,1.69830447050296,"#4daf4a"
1.2,1.5,1.69830447050296,"#4daf4a"
1.4,1.5,1.69830447050296,"#4daf4a"
2,5.5,1.69830447050296,"#AAAAAA"
1.8,5,1.69830447050296,"#AAAAAA"
1.6,5,1.69830447050296,"#AAAAAA"
1,1,1.75223007429267,"#a65628"
1.2,1.3,1.75223007429267,"#a65628"
1.4,1.3,1.75223007429267,"#a65628"
2,3.7,1.75223007429267,"#AAAAAA"
1.8,3.4,1.75223007429267,"#AAAAAA"
1.6,3.4,1.75223007429267,"#AAAAAA"
1,1,0.00122181667572675,"#377eb8"
1.2,1.2,0.00122181667572675,"#377eb8"
1.4,1.2,0.00122181667572675,"#377eb8"
2,2.8,0.00122181667572675,"#AAAAAA"
1.8,2.6,0.00122181667572675,"#AAAAAA"
1.6,2.6,0.00122181667572675,"#AAAAAA"
1,5.5,0.151256762703528,"#ffd300"
1.2,5.6,0.151256762703528,"#ffd300"
1.4,5.6,0.151256762703528,"#ffd300"
2,6.4,0.151256762703528,"#4daf4a"
1.8,6.3,0.151256762703528,"#4daf4a"
1.6,6.3,0.151256762703528,"#4daf4a"
1,5.5,0.000331340115451321,"#e41a1c"
1.2,5.1,0.000331340115451321,"#e41a1c"
1.4,5.1,0.000331340115451321,"#e41a1c"
2,1.9,0.000331340115451321,"#4daf4a"
1.8,2.3,0.000331340115451321,"#4daf4a"
1.6,2.3,0.000331340115451321,"#4daf4a"
1,5.5,0.0835391266081644,"#f781bf"
1.2,5.4,0.0835391266081644,"#f781bf"
1.4,5.4,0.0835391266081644,"#f781bf"
2,4.6,0.0835391266081644,"#4daf4a"
1.8,4.7,0.0835391266081644,"#4daf4a"
1.6,4.7,0.0835391266081644,"#4daf4a"
1,5.5,3.41824959229634,"#AAAAAA"
1.2,5,3.41824959229634,"#AAAAAA"
1.4,5,3.41824959229634,"#AAAAAA"
2,1,3.41824959229634,"#4daf4a"
1.8,1.5,3.41824959229634,"#4daf4a"
1.6,1.5,3.41824959229634,"#4daf4a"
1,5.5,1.35426988687841,"#4daf4a"
1.2,5.5,1.35426988687841,"#4daf4a"
1.4,5.5,1.35426988687841,"#4daf4a"
2,5.5,1.35426988687841,"#4daf4a"
1.8,5.5,1.35426988687841,"#4daf4a"
1.6,5.5,1.35426988687841,"#4daf4a"
1,5.5,3.55165540627993,"#a65628"
1.2,5.3,3.55165540627993,"#a65628"
1.4,5.3,3.55165540627993,"#a65628"
2,3.7,3.55165540627993,"#4daf4a"
1.8,3.9,3.55165540627993,"#4daf4a"
1.6,3.9,3.55165540627993,"#4daf4a"
1,5.5,0.00144961300509953,"#377eb8"
1.2,5.2,0.00144961300509953,"#377eb8"
1.4,5.2,0.00144961300509953,"#377eb8"
2,2.8,0.00144961300509953,"#4daf4a"
1.8,3.1,0.00144961300509953,"#4daf4a"
1.6,3.1,0.00144961300509953,"#4daf4a"
1,3.7,0.0410240480443167,"#ffd300"
1.2,4,0.0410240480443167,"#ffd300"
1.4,4,0.0410240480443167,"#ffd300"
2,6.4,0.0410240480443167,"#a65628"
1.8,6.1,0.0410240480443167,"#a65628"
1.6,6.1,0.0410240480443167,"#a65628"
1,3.7,0.000559136444824105,"#e41a1c"
1.2,3.5,0.000559136444824105,"#e41a1c"
1.4,3.5,0.000559136444824105,"#e41a1c"
2,1.9,0.000559136444824105,"#a65628"
1.8,2.1,0.000559136444824105,"#a65628"
1.6,2.1,0.000559136444824105,"#a65628"
1,3.7,0.0637622634671637,"#f781bf"
1.2,3.8,0.0637622634671637,"#f781bf"
1.4,3.8,0.0637622634671637,"#f781bf"
2,4.6,0.0637622634671637,"#a65628"
1.8,4.5,0.0637622634671637,"#a65628"
1.6,4.5,0.0637622634671637,"#a65628"
1,3.7,6.112852372447,"#AAAAAA"
