"X","cropCode","numPixelsWiZone","cropCodeFrom","cropCodeTo","yearFrom","yearTo"
"Scott",1005,92651,1,5,2008,2009
"Scott",1023,1476,1,23,2008,2009
"Scott",1028,680,1,28,2008,2009
"Scott",1036,385,1,36,2008,2009
"Scott",1037,36,1,37,2008,2009
"Scott",1044,2,1,44,2008,2009
"Scott",1059,1,1,59,2008,2009
"Scott",1061,5,1,61,2008,2009
"Scott",1111,234,1,111,2008,2009
"Scott",1121,242,1,121,2008,2009
"Scott",1152,4,1,152,2008,2009
"Scott",1176,13172,1,176,2008,2009
"Scott",1190,5,1,190,2008,2009
"Scott",1195,1931,1,195,2008,2009
"Scott",5005,18935,5,5,2008,2009
"Scott",5023,2045,5,23,2008,2009
"Scott",5024,341,5,24,2008,2009
"Scott",5028,328,5,28,2008,2009
"Scott",5036,524,5,36,2008,2009
"Scott",5037,47,5,37,2008,2009
"Scott",5043,1,5,43,2008,2009
"Scott",5061,87,5,61,2008,2009
"Scott",5111,121,5,111,2008,2009
"Scott",5121,149,5,121,2008,2009
"Scott",5141,427,5,141,2008,2009
"Scott",5142,1,5,142,2008,2009
"Scott",5152,8,5,152,2008,2009
"Scott",5176,12261,5,176,2008,2009
"Scott",5190,9,5,190,2008,2009
"Scott",5195,803,5,195,2008,2009
"Scott",6176,2,6,176,2008,2009
"Scott",21061,1,21,61,2008,2009
"Scott",21176,8,21,176,2008,2009
"Scott",23005,836,23,5,2008,2009
"Scott",23023,886,23,23,2008,2009
"Scott",23024,167,23,24,2008,2009
"Scott",23028,24,23,28,2008,2009
"Scott",23036,379,23,36,2008,2009
"Scott",23037,15,23,37,2008,2009
"Scott",23111,36,23,111,2008,2009
"Scott",23121,1,23,121,2008,2009
"Scott",23131,5,23,131,2008,2009
"Scott",23176,1169,23,176,2008,2009
"Scott",23195,23,23,195,2008,2009
"Scott",24005,128,24,5,2008,2009
"Scott",24023,11,24,23,2008,2009
"Scott",24028,1,24,28,2008,2009
"Scott",24036,98,24,36,2008,2009
"Scott",24037,3,24,37,2008,2009
"Scott",24061,1,24,61,2008,2009
"Scott",24111,4,24,111,2008,2009
"Scott",24176,318,24,176,2008,2009
"Scott",24195,3,24,195,2008,2009
"Scott",27176,177,27,176,2008,2009
"Scott",27195,5,27,195,2008,2009
"Scott",28005,21,28,5,2008,2009
"Scott",28023,57,28,23,2008,2009
"Scott",28028,2,28,28,2008,2009
"Scott",28036,250,28,36,2008,2009
"Scott",28037,1,28,37,2008,2009
"Scott",28141,3,28,141,2008,2009
"Scott",28176,187,28,176,2008,2009
"Scott",28195,8,28,195,2008,2009
"Scott",36005,316,36,5,2008,2009
"Scott",36023,28,36,23,2008,2009
"Scott",36028,10,36,28,2008,2009
"Scott",36036,5772,36,36,2008,2009
"Scott",36037,58,36,37,2008,2009
"Scott",36059,3,36,59,2008,2009
"Scott",36141,243,36,141,2008,2009
"Scott",36142,1,36,142,2008,2009
"Scott",36152,7,36,152,2008,2009
"Scott",36176,5080,36,176,2008,2009
"Scott",36190,4,36,190,2008,2009
"Scott",36195,60,36,195,2008,2009
"Scott",37005,37,37,5,2008,2009
"Scott",37023,3,37,23,2008,2009
"Scott",37028,3,37,28,2008,2009
"Scott",37036,115,37,36,2008,2009
"Scott",37037,3,37,37,2008,2009
"Scott",37141,5,37,141,2008,2009
"Scott",37176,583,37,176,2008,2009
"Scott",37195,12,37,195,2008,2009
"Scott",43176,2,43,176,2008,2009
"Scott",43195,1,43,195,2008,2009
"Scott",59036,2,59,36,2008,2009
"Scott",59141,2,59,141,2008,2009
"Scott",59176,14,59,176,2008,2009
"Scott",59195,1,59,195,2008,2009
"Scott",61005,10,61,5,2008,2009
"Scott",61023,2,61,23,2008,2009
"Scott",61036,12,61,36,2008,2009
"Scott",61061,2,61,61,2008,2009
"Scott",61111,1,61,111,2008,2009
"Scott",61176,49,61,176,2008,2009
"Scott",61195,5,61,195,2008,2009
"Scott",70176,2,70,176,2008,2009
"Scott",111005,151,111,5,2008,2009
"Scott",111023,126,111,23,2008,2009
"Scott",111028,2,111,28,2008,2009
"Scott",111037,9,111,37,2008,2009
"Scott",111061,1,111,61,2008,2009
"Scott",111111,40612,111,111,2008,2009
"Scott",111141,959,111,141,2008,2009
"Scott",111142,2,111,142,2008,2009
