"xCoords","yCoords","width","colorToUse"
1,6.4,4.26882790098894,"#ffd300"
1.2,6.4,4.26882790098894,"#ffd300"
1.4,6.4,4.26882790098894,"#ffd300"
2,6.4,4.26882790098894,"#ffd300"
1.8,6.4,4.26882790098894,"#ffd300"
1.6,6.4,4.26882790098894,"#ffd300"
1,6.4,0.0363372778942878,"#f781bf"
1.2,6.2,0.0363372778942878,"#f781bf"
1.4,6.2,0.0363372778942878,"#f781bf"
2,4.6,0.0363372778942878,"#ffd300"
1.8,4.8,0.0363372778942878,"#ffd300"
1.6,4.8,0.0363372778942878,"#ffd300"
1,6.4,1.67585637997656,"#AAAAAA"
1.2,5.8,1.67585637997656,"#AAAAAA"
1.4,5.8,1.67585637997656,"#AAAAAA"
2,1,1.67585637997656,"#ffd300"
1.8,1.6,1.67585637997656,"#ffd300"
1.6,1.6,1.67585637997656,"#ffd300"
1,6.4,8.74463671216534,"#4daf4a"
1.2,6.3,8.74463671216534,"#4daf4a"
1.4,6.3,8.74463671216534,"#4daf4a"
2,5.5,8.74463671216534,"#ffd300"
1.8,5.6,8.74463671216534,"#ffd300"
1.6,5.6,8.74463671216534,"#ffd300"
1,6.4,0.139308629018101,"#a65628"
1.2,6.1,0.139308629018101,"#a65628"
1.4,6.1,0.139308629018101,"#a65628"
2,3.7,0.139308629018101,"#ffd300"
1.8,4,0.139308629018101,"#ffd300"
1.6,4,0.139308629018101,"#ffd300"
1,4.6,0.257853099239466,"#ffd300"
1.2,4.8,0.257853099239466,"#ffd300"
1.4,4.8,0.257853099239466,"#ffd300"
2,6.4,0.257853099239466,"#f781bf"
1.8,6.2,0.257853099239466,"#f781bf"
1.6,6.2,0.257853099239466,"#f781bf"
1,4.6,0.613203362283604,"#f781bf"
1.2,4.6,0.613203362283604,"#f781bf"
1.4,4.6,0.613203362283604,"#f781bf"
2,4.6,0.613203362283604,"#f781bf"
1.8,4.6,0.613203362283604,"#f781bf"
1.6,4.6,0.613203362283604,"#f781bf"
1,4.6,0.519198352458382,"#AAAAAA"
1.2,4.2,0.519198352458382,"#AAAAAA"
1.4,4.2,0.519198352458382,"#AAAAAA"
2,1,0.519198352458382,"#f781bf"
1.8,1.4,0.519198352458382,"#f781bf"
1.6,1.4,0.519198352458382,"#f781bf"
1,4.6,0.0333170366147626,"#4daf4a"
1.2,4.7,0.0333170366147626,"#4daf4a"
1.4,4.7,0.0333170366147626,"#4daf4a"
2,5.5,0.0333170366147626,"#f781bf"
1.8,5.4,0.0333170366147626,"#f781bf"
1.6,5.4,0.0333170366147626,"#f781bf"
1,4.6,0.00292585873954005,"#a65628"
1.2,4.5,0.00292585873954005,"#a65628"
1.4,4.5,0.00292585873954005,"#a65628"
2,3.7,0.00292585873954005,"#f781bf"
1.8,3.8,0.00292585873954005,"#f781bf"
1.6,3.8,0.00292585873954005,"#f781bf"
1,1,1.23367418014607,"#ffd300"
1.2,1.6,1.23367418014607,"#ffd300"
1.4,1.6,1.23367418014607,"#ffd300"
2,6.4,1.23367418014607,"#AAAAAA"
1.8,5.8,1.23367418014607,"#AAAAAA"
1.6,5.8,1.23367418014607,"#AAAAAA"
1,1,0.000188765079970326,"#e41a1c"
1.2,1.1,0.000188765079970326,"#e41a1c"
1.4,1.1,0.000188765079970326,"#e41a1c"
2,1.9,0.000188765079970326,"#AAAAAA"
1.8,1.8,0.000188765079970326,"#AAAAAA"
1.6,1.8,0.000188765079970326,"#AAAAAA"
1,1,0.584133539968174,"#f781bf"
1.2,1.4,0.584133539968174,"#f781bf"
1.4,1.4,0.584133539968174,"#f781bf"
2,4.6,0.584133539968174,"#AAAAAA"
1.8,4.2,0.584133539968174,"#AAAAAA"
1.6,4.2,0.584133539968174,"#AAAAAA"
1,1,66.5453536419391,"#AAAAAA"
1.2,1,66.5453536419391,"#AAAAAA"
1.4,1,66.5453536419391,"#AAAAAA"
2,1,66.5453536419391,"#AAAAAA"
1.8,1,66.5453536419391,"#AAAAAA"
1.6,1,66.5453536419391,"#AAAAAA"
1,1,0.840759666187833,"#4daf4a"
1.2,1.5,0.840759666187833,"#4daf4a"
1.4,1.5,0.840759666187833,"#4daf4a"
2,5.5,0.840759666187833,"#AAAAAA"
1.8,5,0.840759666187833,"#AAAAAA"
1.6,5,0.840759666187833,"#AAAAAA"
1,1,0.181214476771513,"#a65628"
1.2,1.3,0.181214476771513,"#a65628"
1.4,1.3,0.181214476771513,"#a65628"
2,3.7,0.181214476771513,"#AAAAAA"
1.8,3.4,0.181214476771513,"#AAAAAA"
1.6,3.4,0.181214476771513,"#AAAAAA"
1,1,0.000188765079970326,"#377eb8"
1.2,1.2,0.000188765079970326,"#377eb8"
1.4,1.2,0.000188765079970326,"#377eb8"
2,2.8,0.000188765079970326,"#AAAAAA"
1.8,2.6,0.000188765079970326,"#AAAAAA"
1.6,2.6,0.000188765079970326,"#AAAAAA"
1,5.5,10.4661742414947,"#ffd300"
1.2,5.6,10.4661742414947,"#ffd300"
1.4,5.6,10.4661742414947,"#ffd300"
2,6.4,10.4661742414947,"#4daf4a"
1.8,6.3,10.4661742414947,"#4daf4a"
1.6,6.3,10.4661742414947,"#4daf4a"
1,5.5,9.43825399851631e-05,"#e41a1c"
1.2,5.1,9.43825399851631e-05,"#e41a1c"
1.4,5.1,9.43825399851631e-05,"#e41a1c"
2,1.9,9.43825399851631e-05,"#4daf4a"
